from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
29-Mar-2020 - 00:00,25.31,990.73,45.61,19.25,60.44,254.46,68.32,2.17,0.51,7.86,28.07,2.98,10.7,15.56,0.53,,7.82,30-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
30-Mar-2020 - 00:00,25.19,990.97,54.58,28.75,58.63,251.84,53.39,1.73,0.61,8.22,27.71,2.89,11.93,18.0,0.58,,8.47,31-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
31-Mar-2020 - 00:00,25.93,989.72,63.02,30.8,57.17,246.34,82.96,1.83,0.72,8.24,26.83,2.92,11.38,16.92,0.57,,9.78,01-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
01-Apr-2020 - 00:00,26.76,988.81,65.84,33.42,54.49,251.61,88.83,1.85,0.82,7.87,27.91,3.18,11.63,17.0,0.59,,10.9,02-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Apr-2020 - 00:00,25.88,989.13,60.52,27.96,56.37,251.76,69.96,2.24,0.57,7.68,25.48,2.76,10.12,14.8,0.57,,8.81,03-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Apr-2020 - 00:00,25.38,990.53,55.08,26.79,49.64,253.59,65.77,1.73,0.58,7.77,22.84,2.57,11.38,17.47,0.56,,8.88,04-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-Apr-2020 - 00:00,25.49,990.61,71.6,36.28,54.97,259.47,101.83,1.55,0.85,8.5,24.47,3.71,13.65,19.98,0.67,,9.99,05-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-Apr-2020 - 00:00,26.78,991.14,113.8,66.39,53.16,259.71,115.15,1.37,1.15,8.64,27.01,3.01,12.89,19.61,0.8,,15.26,06-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-Apr-2020 - 00:00,27.67,989.9,125.54,68.89,53.15,262.49,86.77,1.4,1.97,8.31,28.19,3.01,12.11,18.16,0.86,0.0,12.25,07-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-Apr-2020 - 00:00,26.67,978.85,97.98,30.04,52.54,257.34,106.28,2.41,0.76,6.9,25.57,3.0,11.57,17.15,0.57,,9.82,08-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Apr-2020 - 00:00,26.78,987.92,82.51,27.33,47.75,255.52,77.4,2.23,0.58,7.14,22.37,2.62,10.56,15.83,0.56,,9.5,09-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Apr-2020 - 00:00,26.48,980.26,75.68,32.56,50.27,259.73,77.65,1.4,0.79,7.87,22.17,2.98,13.17,20.18,0.69,,9.85,10-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Apr-2020 - 00:00,27.77,983.09,99.11,49.8,49.84,259.91,139.46,0.82,1.15,8.75,22.91,3.83,15.13,22.57,0.79,,11.54,11-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Apr-2020 - 00:00,28.86,976.83,129.48,62.02,49.13,260.35,131.75,1.09,1.88,8.87,23.89,3.26,12.94,19.34,0.92,,15.56,12-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
