from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
11-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Jun-2020 - 00:00,,3.07,,23.05,90.82,66.78,,,,,,,,,,,,,16-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Jun-2020 - 00:00,,2.38,,29.61,89.27,71.37,,,,,,,,,,,,,17-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Jun-2020 - 00:00,,2.32,,39.6,95.06,82.77,,44.08,,,,,,,,,,,18-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Jun-2020 - 00:00,,2.49,,51.39,85.23,87.1,,46.16,,,,,,,,,,,19-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-Jun-2020 - 00:00,,2.8,44.4,31.09,79.52,67.57,,36.02,4.15,15.72,5.08,28.67,81.1,0.3,134.25,65.83,769.42,-0.23,23-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Jun-2020 - 00:00,,2.75,43.07,29.98,71.69,62.51,,40.73,2.64,8.71,2.14,28.46,80.44,0.3,119.68,74.4,768.82,-0.26,24-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Jun-2020 - 00:00,,2.31,32.63,18.91,66.6,50.71,5.17,43.27,1.53,3.97,0.22,27.84,78.75,0.3,156.01,77.69,765.4,-0.27,25-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Jun-2020 - 00:00,,2.77,,30.7,69.16,61.75,4.5,48.51,2.79,9.59,2.51,29.01,82.11,0.3,195.24,28.21,770.79,-0.09,26-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Jun-2020 - 00:00,,2.17,31.36,34.18,57.53,55.85,,30.43,1.68,6.12,0.89,29.42,83.18,0.3,182.9,50.02,771.55,-0.17,27-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Jun-2020 - 00:00,,2.6,22.08,27.7,51.37,49.7,,32.84,1.8,6.3,0.43,28.39,80.29,0.3,216.75,98.97,767.17,-0.35,28-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Jun-2020 - 00:00,,1.71,4.42,14.65,32.92,27.52,,37.83,1.74,5.96,0.64,29.11,82.4,0.3,204.26,45.84,770.06,-0.15,29-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
29-Jun-2020 - 00:00,,2.24,8.98,21.95,45.15,41.84,,38.17,2.17,7.54,2.67,29.45,83.27,0.3,133.19,34.27,771.81,-0.11,30-Jun-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
