from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
09-Apr-2020 - 00:00,11.56,9.4,2.16,54.88,94.85,1.48,10-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Apr-2020 - 00:00,15.13,12.82,2.32,64.99,109.49,0.7,11-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Apr-2020 - 00:00,16.34,14.09,2.24,77.11,130.54,1.32,12-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Apr-2020 - 00:00,13.69,11.6,2.09,68.46,92.19,0.65,13-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Apr-2020 - 00:00,15.47,12.8,2.67,65.28,102.7,2.26,14-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Apr-2020 - 00:00,11.96,9.63,2.34,70.74,97.84,1.26,15-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Apr-2020 - 00:00,15.83,12.02,3.81,59.39,107.42,3.27,16-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Apr-2020 - 00:00,11.88,9.22,2.67,54.88,87.59,5.53,17-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Apr-2020 - 00:00,11.79,7.6,4.19,53.18,82.52,5.71,18-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Apr-2020 - 00:00,9.27,6.76,2.51,61.73,85.0,5.4,19-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Apr-2020 - 00:00,9.99,6.97,3.02,51.29,95.75,5.09,20-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Apr-2020 - 00:00,10.21,7.9,2.29,65.88,96.42,2.55,21-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Apr-2020 - 00:00,13.27,10.19,3.08,67.49,98.39,1.66,22-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Apr-2020 - 00:00,11.89,9.59,2.29,76.6,99.43,1.54,23-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Apr-2020 - 00:00,11.58,7.93,3.65,76.26,111.66,0.74,24-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Apr-2020 - 00:00,10.47,7.55,2.92,69.0,96.6,3.35,25-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Apr-2020 - 00:00,11.03,7.42,3.61,52.09,137.8,5.32,26-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Apr-2020 - 00:00,9.36,6.67,2.69,62.45,112.95,3.14,27-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Apr-2020 - 00:00,10.13,7.06,3.07,48.66,84.74,1.87,28-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Apr-2020 - 00:00,13.23,9.94,3.28,62.13,97.74,2.49,29-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Apr-2020 - 00:00,15.05,11.77,3.27,62.05,87.55,1.21,30-Apr-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Apr-2020 - 00:00,19.85,15.8,4.05,58.41,92.53,0.87,01-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-May-2020 - 00:00,11.59,7.21,4.38,66.88,98.84,0.24,02-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-May-2020 - 00:00,12.46,7.33,5.13,57.38,118.59,0.25,03-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-May-2020 - 00:00,11.77,6.07,5.7,65.18,119.44,0.09,04-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-May-2020 - 00:00,13.49,8.25,10.31,67.81,110.43,9.11,05-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-May-2020 - 00:00,14.94,5.44,10.7,50.01,115.43,10.32,06-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-May-2020 - 00:00,26.24,4.6,22.38,44.09,152.38,11.94,07-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-May-2020 - 00:00,12.7,5.95,6.75,63.37,113.35,10.58,08-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-May-2020 - 00:00,9.13,4.84,4.28,65.16,109.15,9.59,09-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-May-2020 - 00:00,10.09,4.96,5.13,57.32,95.22,10.31,10-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-May-2020 - 00:00,11.44,4.74,6.7,57.93,103.65,9.89,11-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-May-2020 - 00:00,7.81,3.19,4.62,62.39,68.36,9.1,12-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-May-2020 - 00:00,10.05,4.46,5.59,56.02,102.68,9.72,13-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-May-2020 - 00:00,10.45,4.92,5.52,56.07,83.75,9.79,14-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-May-2020 - 00:00,15.19,4.27,10.92,50.97,107.36,10.59,15-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-May-2020 - 00:00,,,,,,,16-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-May-2020 - 00:00,15.46,,25.35,26.62,105.78,9.58,17-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-May-2020 - 00:00,10.14,,12.95,42.28,116.23,12.4,18-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-May-2020 - 00:00,4.59,,3.93,60.15,189.97,10.75,19-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-May-2020 - 00:00,7.09,,5.89,51.8,109.47,11.12,20-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-May-2020 - 00:00,20.8,18.2,7.75,46.63,96.45,10.71,21-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-May-2020 - 00:00,29.69,18.52,11.17,49.33,110.23,11.03,22-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-May-2020 - 00:00,45.28,14.18,31.1,42.76,151.46,11.56,23-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-May-2020 - 00:00,34.73,17.0,17.73,28.53,87.77,9.32,24-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-May-2020 - 00:00,26.73,19.16,7.57,28.26,95.61,9.48,25-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-May-2020 - 00:00,26.84,19.14,7.71,102.41,159.97,9.43,26-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-May-2020 - 00:00,26.83,19.21,7.62,104.67,176.21,9.34,27-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-May-2020 - 00:00,26.88,19.22,7.66,91.65,180.26,8.89,28-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-May-2020 - 00:00,26.94,19.25,7.68,100.67,157.25,8.33,29-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-May-2020 - 00:00,26.84,19.23,7.61,98.88,162.47,8.39,30-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
