from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,SR,WS,WD,to date,station
06-Aug-2020 - 00:00,30.92,119.2,4.57,7.14,10.06,1.33,2.36,0.59,98.02,2.42,4.08,1.52,3.93,2.59,31.06,72.21,402.34,5.35,82.84,07-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Aug-2020 - 00:00,47.79,122.77,6.69,6.96,12.19,3.31,7.78,0.65,88.11,1.77,3.57,1.17,2.76,1.35,30.49,73.64,367.06,6.84,104.81,08-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Aug-2020 - 00:00,62.83,144.94,5.2,7.1,10.73,6.25,2.3,1.09,78.47,3.12,6.84,2.61,5.82,4.96,,,,8.75,152.24,09-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Aug-2020 - 00:00,66.26,147.21,5.64,7.29,11.01,6.15,6.26,0.59,83.4,3.46,5.64,3.61,6.8,6.25,,,,17.71,247.7,10-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Aug-2020 - 00:00,80.73,108.87,6.15,7.14,11.77,6.73,2.12,0.54,108.91,3.16,5.13,2.85,3.83,1.48,30.08,78.68,394.47,7.44,121.14,11-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Aug-2020 - 00:00,71.22,171.37,5.17,7.2,10.76,6.3,2.2,1.19,111.2,6.53,6.08,2.47,5.45,4.59,29.62,88.17,201.1,10.86,178.6,12-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Aug-2020 - 00:00,52.99,196.72,5.22,6.87,10.59,5.88,2.11,0.94,121.28,2.61,4.17,2.3,5.36,3.93,30.58,80.2,288.12,18.6,236.68,13-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Aug-2020 - 00:00,54.55,125.19,6.69,7.19,12.38,6.82,26.51,1.63,77.66,3.19,3.99,1.91,3.87,2.95,27.16,94.19,124.13,11.35,187.4,14-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Aug-2020 - 00:00,66.5,151.34,4.98,7.06,10.45,5.67,2.07,0.57,76.9,3.01,13.67,1.98,4.02,2.73,27.98,92.16,229.32,5.3,85.64,15-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Aug-2020 - 00:00,26.57,200.1,5.44,6.93,10.77,5.91,21.23,1.15,103.57,1.34,3.46,0.34,0.36,0.33,29.85,84.82,510.47,7.21,110.61,16-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Aug-2020 - 00:00,33.67,123.13,5.36,6.79,10.64,3.81,8.49,0.89,123.02,1.47,4.55,0.58,0.59,0.76,29.24,83.59,372.39,6.89,109.37,17-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Aug-2020 - 00:00,55.33,191.49,5.23,7.19,10.83,2.16,1.88,0.54,126.51,2.71,5.39,1.03,1.15,1.83,30.7,81.85,447.97,7.57,134.06,18-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Aug-2020 - 00:00,78.7,159.92,6.71,7.09,12.37,3.07,2.27,0.75,102.88,3.81,6.24,1.81,1.87,4.22,30.07,82.87,302.59,13.54,198.43,19-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Aug-2020 - 00:00,41.12,96.38,56.98,13.86,72.17,42.74,2.91,3.01,21.52,3.99,7.65,2.06,2.25,4.2,26.96,96.07,62.31,10.66,174.33,20-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Aug-2020 - 00:00,17.32,109.89,14.45,7.13,21.39,12.01,12.97,1.07,51.33,2.41,4.89,1.05,0.99,1.57,24.25,91.03,79.15,6.86,101.5,21-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Aug-2020 - 00:00,21.63,67.97,32.88,10.77,46.13,27.71,4.95,1.66,12.88,2.76,5.57,1.02,1.21,1.76,28.43,82.15,444.67,4.96,84.1,22-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Aug-2020 - 00:00,22.06,64.51,5.66,6.99,11.15,4.0,1.95,0.41,11.95,1.35,4.94,0.67,1.14,1.72,28.56,80.54,422.14,4.63,75.02,23-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Aug-2020 - 00:00,31.45,64.98,5.13,6.84,10.46,3.49,2.59,0.36,11.43,0.53,5.96,0.47,1.08,1.38,28.23,84.32,346.86,5.26,82.49,24-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Aug-2020 - 00:00,19.79,55.45,32.55,9.1,43.5,25.56,4.68,1.6,9.24,0.85,11.87,1.31,2.6,3.5,28.24,84.54,349.61,7.73,115.01,25-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Aug-2020 - 00:00,28.64,53.78,6.02,6.9,11.34,4.72,8.81,0.55,10.12,0.82,8.49,1.24,2.46,3.86,28.62,83.38,299.72,8.7,145.41,26-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Aug-2020 - 00:00,51.34,79.39,6.09,6.89,11.55,5.14,2.62,0.73,10.47,1.88,15.85,3.91,5.3,18.43,30.79,69.15,370.8,20.49,248.61,27-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Aug-2020 - 00:00,44.81,87.6,5.95,7.35,11.72,4.67,2.53,1.01,11.79,2.32,22.42,4.63,8.59,24.93,29.52,77.54,213.41,17.56,236.83,28-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Aug-2020 - 00:00,28.29,58.98,6.9,7.3,12.63,5.24,5.02,1.46,30.33,2.22,37.67,5.53,9.78,35.34,27.82,89.56,226.8,13.45,199.08,29-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Aug-2020 - 00:00,24.99,36.95,5.74,7.36,11.49,6.24,2.15,0.65,52.47,2.43,17.5,3.06,6.47,12.99,28.85,82.79,349.75,5.71,109.6,30-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Aug-2020 - 00:00,33.01,65.75,5.64,7.32,11.36,5.66,2.15,0.36,38.85,1.56,10.22,0.88,2.59,1.33,27.14,87.13,156.53,5.59,87.24,31-Aug-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Aug-2020 - 00:00,29.04,79.17,8.51,7.34,14.29,7.37,3.57,1.33,42.87,1.63,11.68,1.54,3.3,1.58,27.71,82.6,242.29,8.69,133.6,01-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Sep-2020 - 00:00,33.12,67.55,6.35,7.08,11.97,5.82,2.13,0.42,34.09,2.2,20.76,2.27,5.58,4.28,29.15,73.84,442.88,12.99,196.91,02-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Sep-2020 - 00:00,38.6,56.02,5.89,7.02,11.44,5.59,1.55,0.81,35.17,2.74,18.44,3.13,7.71,6.72,29.78,73.78,318.0,15.18,216.25,03-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Sep-2020 - 00:00,33.34,63.25,5.04,7.1,10.55,5.03,2.28,0.82,37.75,2.42,12.58,1.61,4.12,2.58,29.74,78.14,383.63,6.4,95.64,04-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Sep-2020 - 00:00,36.93,50.58,5.13,6.84,10.46,4.89,1.86,0.95,40.87,2.68,17.24,2.55,5.8,5.49,29.59,78.8,374.79,9.87,142.82,05-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Sep-2020 - 00:00,33.32,45.18,7.69,6.74,13.2,6.49,1.99,0.88,26.08,3.31,23.93,3.74,7.95,6.72,30.31,73.81,364.49,13.17,206.45,06-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Sep-2020 - 00:00,38.22,56.51,6.91,6.74,12.28,4.23,6.36,2.48,18.7,3.51,21.57,4.43,8.65,6.98,30.62,63.88,328.79,15.95,243.69,07-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Sep-2020 - 00:00,47.68,73.1,7.62,7.11,13.38,5.81,2.21,0.99,17.2,5.13,30.85,6.38,13.83,11.87,28.38,84.16,215.9,13.84,201.67,08-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Sep-2020 - 00:00,48.02,106.34,3.69,7.28,8.3,4.09,2.45,1.37,22.7,7.38,35.95,9.28,18.11,16.79,30.06,73.53,355.44,20.53,279.8,09-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Sep-2020 - 00:00,83.88,197.98,1.97,7.23,6.22,2.54,2.64,2.05,20.08,8.56,45.42,9.58,20.71,19.37,30.99,71.35,421.79,22.52,275.28,10-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Sep-2020 - 00:00,106.35,209.68,1.96,8.75,7.07,3.17,2.52,1.87,14.55,7.34,33.04,8.24,18.12,14.15,31.27,67.07,476.55,22.19,265.64,11-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Sep-2020 - 00:00,88.69,195.24,1.74,7.84,6.18,2.63,2.15,1.68,9.91,8.09,34.04,8.12,17.87,14.89,33.73,48.34,544.63,15.07,222.12,12-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Sep-2020 - 00:00,75.05,179.88,3.28,8.77,9.27,2.94,12.34,2.22,20.2,7.31,51.29,8.04,14.0,12.18,32.05,58.91,464.34,11.26,206.19,13-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Sep-2020 - 00:00,88.17,136.29,5.41,11.79,14.97,3.6,2.66,1.62,38.01,7.6,45.75,7.55,15.38,12.25,31.61,64.91,279.74,9.24,152.01,14-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Sep-2020 - 00:00,59.95,116.36,5.37,11.67,14.84,3.49,2.13,1.44,39.31,6.17,31.01,4.4,10.1,7.41,31.43,70.47,272.11,11.04,174.85,15-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Sep-2020 - 00:00,72.74,119.25,5.54,11.66,15.01,3.94,4.75,1.44,32.23,6.36,41.99,7.97,17.57,15.43,31.59,66.08,263.53,15.08,232.57,16-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Sep-2020 - 00:00,74.83,117.53,5.51,12.05,15.26,3.83,2.29,0.9,17.8,7.56,47.32,9.37,20.82,17.31,32.57,62.34,413.37,19.61,257.4,17-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Sep-2020 - 00:00,54.28,151.92,5.58,11.9,15.23,3.96,1.92,1.5,15.84,6.64,31.66,8.1,17.66,13.69,31.94,58.87,480.78,23.31,275.12,18-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Sep-2020 - 00:00,58.45,148.82,5.76,11.56,15.19,4.02,3.27,0.7,30.08,5.62,30.94,8.51,18.69,15.46,33.17,58.35,437.92,23.27,288.23,19-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Sep-2020 - 00:00,72.39,138.93,5.49,11.48,14.84,3.56,2.22,1.05,47.28,5.98,34.22,7.01,15.13,12.73,33.03,59.39,400.23,14.11,242.05,20-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Sep-2020 - 00:00,85.07,164.08,5.43,11.6,14.86,3.52,4.34,1.14,44.95,7.79,36.58,6.72,14.4,11.04,32.4,59.57,416.13,15.88,256.55,21-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Sep-2020 - 00:00,68.85,138.21,5.32,11.44,14.61,3.43,5.8,1.81,48.32,6.64,33.65,7.11,11.4,7.29,30.96,64.65,382.58,15.78,296.68,22-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Sep-2020 - 00:00,34.68,88.53,5.26,11.46,14.57,3.3,2.04,0.53,62.1,3.09,21.02,2.5,5.69,3.29,31.34,67.04,415.98,7.68,127.83,23-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Sep-2020 - 00:00,29.01,69.76,5.25,11.54,14.62,3.31,2.5,0.66,44.06,2.11,13.42,1.57,3.92,2.44,30.47,69.8,434.01,7.21,108.51,24-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Sep-2020 - 00:00,37.67,92.2,5.33,11.36,14.62,3.33,36.41,2.04,21.04,2.9,22.79,2.5,2.91,2.11,29.68,60.63,353.91,6.6,125.4,25-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Sep-2020 - 00:00,66.4,121.96,5.58,11.51,14.96,3.7,4.5,0.97,19.58,6.33,45.78,7.15,15.34,12.11,31.0,59.64,452.94,19.1,246.75,26-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Sep-2020 - 00:00,71.49,138.53,5.42,11.58,14.83,3.56,6.69,0.99,14.14,7.35,44.67,9.32,20.21,18.77,30.56,54.19,372.4,20.36,250.98,27-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Sep-2020 - 00:00,60.56,90.21,5.33,11.58,14.73,3.4,5.42,1.11,25.42,5.26,25.23,6.47,14.33,11.24,32.31,47.31,476.0,21.94,272.71,28-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Sep-2020 - 00:00,100.91,176.68,5.32,11.59,14.73,3.42,7.79,1.26,19.42,9.29,33.09,9.82,18.74,17.27,32.31,47.31,465.97,23.41,285.87,29-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Sep-2020 - 00:00,90.93,224.9,5.37,11.51,14.73,3.45,11.44,1.17,22.21,7.76,31.71,6.6,14.11,12.04,32.45,44.75,459.48,22.73,285.49,30-Sep-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Sep-2020 - 00:00,99.47,248.72,5.69,11.72,15.23,3.99,16.68,1.12,19.53,7.3,35.07,6.71,14.64,13.27,29.75,51.49,470.38,23.95,284.41,01-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Oct-2020 - 00:00,79.59,187.32,5.47,11.71,14.99,3.67,19.33,1.36,21.51,9.33,43.99,10.45,23.52,21.29,30.21,48.34,480.66,21.68,270.32,02-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Oct-2020 - 00:00,77.16,161.33,5.37,11.67,14.85,3.49,8.91,1.03,25.25,8.63,42.73,9.16,20.26,16.87,29.79,48.18,497.51,21.19,267.64,03-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Oct-2020 - 00:00,62.18,150.43,5.35,11.53,14.72,3.4,12.44,1.62,27.81,12.17,40.61,9.45,20.11,16.05,29.79,46.11,455.89,19.77,279.51,04-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Oct-2020 - 00:00,44.39,108.67,5.29,11.61,14.72,3.4,15.14,1.13,31.61,9.24,41.45,9.55,20.78,16.97,29.1,43.37,466.97,18.43,274.77,05-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Oct-2020 - 00:00,65.09,151.24,5.31,11.44,14.6,3.39,40.08,1.89,21.86,9.92,37.39,10.37,23.06,20.33,28.27,45.78,498.33,22.42,266.79,06-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Oct-2020 - 00:00,64.66,135.89,5.29,11.58,14.69,3.37,52.46,1.14,23.58,10.27,44.11,12.53,28.94,27.3,28.89,42.47,468.21,20.8,248.9,07-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Oct-2020 - 00:00,49.37,134.1,5.37,11.61,14.8,3.57,51.18,1.84,25.09,14.91,67.22,16.47,35.28,33.36,28.82,44.89,436.51,19.88,255.36,08-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Oct-2020 - 00:00,96.56,229.31,5.23,11.58,14.63,3.39,44.08,1.24,24.33,9.74,54.27,13.64,27.97,24.15,29.38,43.65,412.61,19.35,273.32,09-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Oct-2020 - 00:00,121.52,226.12,5.11,11.39,14.37,3.27,39.5,1.41,33.82,3.37,47.53,10.56,22.18,19.94,28.86,44.34,384.14,14.11,247.43,10-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Oct-2020 - 00:00,83.86,234.3,5.05,11.23,14.18,3.11,12.61,1.23,31.19,2.84,39.71,8.21,17.84,15.78,29.33,45.11,397.03,17.48,257.05,11-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Oct-2020 - 00:00,68.04,210.12,5.04,11.17,14.13,3.08,16.41,1.14,29.55,2.41,24.8,6.01,12.8,8.77,29.5,43.52,379.87,20.13,295.4,12-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Oct-2020 - 00:00,46.47,165.33,4.99,11.35,14.21,3.18,10.36,1.53,34.42,3.22,46.31,9.82,19.65,15.83,29.39,42.5,355.79,12.23,250.71,13-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Oct-2020 - 00:00,58.86,157.12,4.95,11.5,14.26,3.21,4.75,1.0,23.39,2.6,28.72,4.57,10.63,7.37,28.75,56.61,316.33,5.96,100.99,14-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Oct-2020 - 00:00,156.29,254.49,4.98,11.27,14.13,3.18,21.97,1.28,31.13,3.2,29.93,5.79,13.27,10.67,29.43,53.07,306.88,7.23,146.09,15-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Oct-2020 - 00:00,186.01,316.06,5.09,11.51,14.42,3.27,52.16,1.93,20.74,4.34,64.12,14.09,27.52,26.09,28.31,38.48,261.35,12.68,254.7,16-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Oct-2020 - 00:00,113.69,191.73,5.07,12.39,15.02,3.47,63.23,1.17,31.68,3.37,54.71,13.25,27.87,26.34,28.3,30.63,375.37,11.96,249.26,17-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Oct-2020 - 00:00,136.46,300.94,21.16,25.18,41.37,18.2,67.58,1.83,7.06,5.32,81.91,18.07,36.08,34.09,27.66,36.8,328.74,13.86,203.8,18-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Oct-2020 - 00:00,169.6,313.52,41.47,54.15,83.77,40.91,58.99,1.41,9.19,3.19,36.08,9.74,21.17,16.4,27.87,32.81,355.51,21.23,272.79,19-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Oct-2020 - 00:00,153.82,303.95,34.66,41.05,67.04,32.25,64.12,1.3,19.39,3.32,32.37,9.04,18.12,14.92,27.77,29.81,407.87,22.04,287.11,20-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Oct-2020 - 00:00,173.79,355.48,31.17,38.49,61.4,29.39,56.19,1.74,33.82,3.76,55.3,14.69,32.07,29.51,26.7,29.3,405.47,15.23,243.2,21-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Oct-2020 - 00:00,191.32,294.7,28.18,42.89,61.24,29.25,44.85,2.82,31.16,4.85,72.32,18.59,39.16,36.46,26.65,30.89,375.01,12.42,221.52,22-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Oct-2020 - 00:00,168.95,244.36,23.78,33.79,49.97,24.52,25.7,1.49,36.12,4.87,74.37,16.52,30.93,29.16,26.34,30.94,339.82,11.09,207.08,23-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Oct-2020 - 00:00,171.11,267.28,23.31,23.74,42.34,22.82,28.99,2.41,32.28,6.2,87.36,24.16,53.96,51.91,26.53,36.03,353.07,12.21,198.67,24-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Oct-2020 - 00:00,168.96,295.35,21.97,25.59,42.2,22.69,29.22,2.04,24.79,5.67,89.85,21.7,44.6,41.51,25.97,36.6,377.44,17.54,241.76,25-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Oct-2020 - 00:00,147.29,304.04,21.84,24.18,41.04,22.02,20.46,2.85,25.72,5.94,86.28,19.9,43.98,37.82,25.18,42.99,359.71,13.55,194.41,26-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Oct-2020 - 00:00,199.58,345.94,21.84,30.01,45.17,24.52,22.49,2.69,16.5,6.66,85.82,21.76,41.04,33.43,25.11,40.84,307.32,15.18,263.3,27-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Oct-2020 - 00:00,149.65,241.39,16.99,17.05,30.67,15.69,28.09,1.42,17.71,3.12,40.28,10.83,23.92,20.7,24.74,34.43,357.87,24.32,291.31,28-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Oct-2020 - 00:00,165.78,302.07,19.21,21.52,36.29,19.04,39.94,2.44,25.61,5.56,77.16,24.57,55.97,53.84,22.99,37.57,292.29,15.85,207.36,29-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Oct-2020 - 00:00,161.79,316.53,14.64,19.59,29.92,15.32,23.99,2.26,20.91,6.87,108.01,25.74,55.28,52.06,23.88,39.17,354.56,12.96,200.29,30-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Oct-2020 - 00:00,209.43,400.28,9.19,13.77,19.81,8.98,32.98,2.39,19.13,4.7,69.98,17.22,36.14,29.66,24.48,36.78,347.64,18.56,268.45,31-Oct-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Oct-2020 - 00:00,210.53,357.71,7.42,9.92,15.15,5.99,28.24,2.29,16.81,3.53,33.05,8.5,19.06,15.02,23.8,37.45,365.88,25.28,288.99,01-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Nov-2020 - 00:00,182.37,303.7,6.79,9.86,14.43,5.58,49.81,1.64,16.08,3.33,30.38,9.48,21.13,15.0,22.9,31.55,381.64,22.33,271.6,02-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Nov-2020 - 00:00,148.26,245.91,7.98,14.39,18.94,8.46,47.16,2.25,11.67,4.04,66.43,18.67,41.18,32.17,22.22,29.86,362.45,21.27,256.03,03-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Nov-2020 - 00:00,129.38,213.39,8.69,15.63,20.59,9.38,20.97,1.53,12.43,3.67,61.27,17.29,35.74,34.01,22.51,29.91,395.5,16.09,228.63,04-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Nov-2020 - 00:00,176.34,298.08,9.17,13.62,19.67,8.88,40.65,2.84,9.43,4.65,68.81,16.1,33.66,25.96,21.2,39.09,281.36,19.01,223.42,05-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Nov-2020 - 00:00,164.98,282.68,9.5,12.54,19.29,8.57,34.31,2.56,12.04,5.02,58.61,19.6,41.88,36.5,22.34,39.07,335.63,19.91,236.95,06-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Nov-2020 - 00:00,237.26,451.92,11.71,15.63,23.9,11.43,45.92,2.27,8.84,6.51,91.47,31.7,68.45,61.77,22.09,40.57,238.94,18.62,232.38,07-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Nov-2020 - 00:00,278.19,482.11,12.19,14.17,23.4,11.16,48.47,2.23,12.68,5.88,75.92,21.29,47.41,38.27,22.15,41.48,303.63,21.71,244.75,08-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Nov-2020 - 00:00,200.91,425.94,13.46,14.17,24.78,11.9,27.87,3.15,11.56,7.6,88.84,28.34,59.55,47.99,20.51,50.02,190.59,14.11,192.68,09-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Nov-2020 - 00:00,334.26,494.82,16.56,12.81,27.21,13.3,21.75,2.61,11.83,7.22,71.9,26.43,54.8,44.79,20.39,52.41,228.77,13.41,191.76,10-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Nov-2020 - 00:00,80.2,493.03,14.74,11.58,20.0,9.16,65.62,3.32,10.77,7.35,71.49,25.93,46.56,38.17,20.09,59.24,343.99,9.28,163.37,11-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Nov-2020 - 00:00,88.94,184.02,12.72,9.74,14.8,6.04,7.37,1.66,11.25,4.5,52.13,16.66,34.75,26.16,21.75,52.78,325.21,7.55,171.07,12-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Nov-2020 - 00:00,124.87,230.11,21.59,12.77,32.68,16.78,14.08,2.71,13.74,6.58,90.04,35.06,70.3,58.41,23.91,44.98,294.88,10.14,175.75,13-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Nov-2020 - 00:00,131.23,326.18,25.21,10.66,34.37,17.85,12.54,2.53,14.28,5.5,68.12,26.62,49.86,36.48,23.02,45.11,360.57,14.53,218.39,14-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Nov-2020 - 00:00,173.14,391.65,27.41,8.76,36.2,18.91,24.34,1.59,19.48,5.46,43.27,12.16,23.54,13.45,21.18,49.83,263.22,10.02,169.92,15-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Nov-2020 - 00:00,82.16,210.93,27.1,7.38,34.89,18.1,7.47,0.74,26.18,2.68,12.75,2.54,6.03,2.47,20.39,61.79,197.74,9.72,134.18,16-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Nov-2020 - 00:00,34.31,79.61,27.29,7.64,35.27,18.35,3.81,0.79,10.21,1.29,10.49,2.33,5.83,3.29,19.55,82.27,217.16,10.68,155.92,17-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Nov-2020 - 00:00,46.49,123.4,27.52,8.6,36.21,18.89,12.03,1.22,8.16,2.54,24.91,7.79,17.06,10.97,20.72,66.15,363.23,23.08,285.69,18-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Nov-2020 - 00:00,48.79,127.06,30.65,7.94,39.16,20.79,15.18,1.18,12.15,2.35,27.51,9.01,18.14,12.51,19.67,57.39,328.38,16.88,255.58,19-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Nov-2020 - 00:00,55.92,148.89,32.95,8.93,42.38,22.69,15.38,1.62,11.69,3.94,49.96,15.41,31.92,26.06,19.44,48.77,325.65,15.06,263.56,20-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Nov-2020 - 00:00,68.71,183.76,34.43,7.81,43.21,23.35,15.26,1.22,10.48,3.11,31.47,8.44,16.61,10.24,18.7,45.17,377.0,25.64,295.11,21-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
