from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WD,RH,BP,to date,station
19-Mar-2020 - 00:00,14.8,20.68,11.41,12.73,2.19,0.54,87.7,32.9,67.24,1.47,13.96,23.32,191.64,44.62,722.19,20-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Mar-2020 - 00:00,11.81,20.07,12.6,13.01,2.88,0.94,60.78,40.08,81.4,1.7,9.11,24.16,142.12,59.15,721.09,21-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Mar-2020 - 00:00,8.08,33.35,12.96,22.57,5.94,0.93,71.33,47.96,102.09,3.69,5.18,24.15,167.45,51.68,721.49,22-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Mar-2020 - 00:00,8.98,9.39,12.87,5.38,0.48,0.37,52.76,23.94,45.28,1.21,6.71,23.04,180.13,47.43,721.33,23-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Mar-2020 - 00:00,7.86,15.25,13.65,9.96,2.35,0.69,43.88,34.13,63.63,1.13,2.8,23.96,195.19,58.9,720.47,24-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Mar-2020 - 00:00,,,,,,,,,,,,,,,,25-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Mar-2020 - 00:00,,,,,,,,,,,,,,,,26-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,,,,27-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Apr-2020 - 00:00,6.83,8.88,12.11,5.24,0.64,0.64,57.44,19.8,30.06,0.77,9.97,23.61,130.33,57.76,721.02,08-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Apr-2020 - 00:00,8.3,10.17,12.02,6.12,0.89,0.42,64.7,18.24,31.05,0.86,6.9,24.99,158.09,57.58,721.29,09-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Apr-2020 - 00:00,9.06,9.09,14.05,5.5,0.87,0.39,56.81,20.92,33.01,0.85,7.5,25.47,156.2,66.61,719.6,10-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Apr-2020 - 00:00,5.59,10.12,12.98,6.53,1.48,0.28,56.14,15.99,26.43,0.71,8.92,25.62,193.72,60.29,721.79,11-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Apr-2020 - 00:00,7.19,8.72,14.24,5.21,0.73,0.48,53.49,28.19,40.31,0.68,11.69,24.95,266.07,57.02,722.75,12-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Apr-2020 - 00:00,6.83,8.5,12.4,4.92,0.53,0.4,61.74,24.1,41.85,0.94,9.05,24.44,245.03,46.0,722.01,13-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Apr-2020 - 00:00,9.67,11.18,13.37,6.5,0.7,0.5,65.99,28.57,50.9,1.01,6.61,24.14,221.14,38.76,720.71,14-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Apr-2020 - 00:00,12.18,12.69,13.39,7.83,1.32,0.51,65.26,32.65,62.62,0.86,7.7,24.03,268.72,33.08,720.73,15-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Apr-2020 - 00:00,17.53,9.72,13.95,5.66,0.62,0.33,60.75,33.02,56.27,0.82,7.56,24.09,221.51,42.16,721.62,16-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
