from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
22-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-Apr-2020 - 00:00,28.44,745.43,,,0.0,63.36,202.43,30.14,279.71,2.85,0.09,0.2,0.06,0.72,34.1,0.8,10.7,4.18,,10.43,28-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Apr-2020 - 00:00,32.15,742.5,16.0,5.0,0.0,48.9,227.45,31.28,225.35,1.35,0.07,0.18,0.01,0.56,41.32,0.44,10.31,5.51,,6.45,29-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Apr-2020 - 00:00,31.79,741.86,52.86,33.0,0.0,58.36,215.07,31.06,248.86,1.53,0.1,0.23,0.0,2.29,55.36,0.7,10.45,5.75,16.23,13.29,30-Apr-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-May-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-May-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-May-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-May-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-May-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
