from date,PM2.5,NO2,NO,NOx,SO2,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
19-Sep-2020 - 00:00,37.44,10.39,2.62,7.59,9.5,30.36,73.92,0.71,-0.77,199.4,749.0,103.06,0.0,,,42.64,20-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Sep-2020 - 00:00,26.02,13.34,2.67,9.21,10.08,31.64,66.19,0.28,-0.38,201.11,749.0,179.41,0.0,,,46.4,21-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Sep-2020 - 00:00,19.71,13.79,3.18,9.8,10.08,31.8,65.11,1.0,-0.71,200.26,749.0,217.55,0.0,,,40.67,22-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Sep-2020 - 00:00,19.85,9.06,3.18,7.41,9.21,29.62,72.58,2.38,-1.09,200.22,749.0,180.21,0.0,,,31.21,23-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Sep-2020 - 00:00,27.96,8.76,3.15,7.1,10.17,28.02,82.44,1.17,-0.72,204.05,749.6,46.64,0.09,,,25.07,24-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Sep-2020 - 00:00,32.62,7.75,3.29,6.71,9.33,26.71,83.88,0.8,-0.46,213.09,750.0,31.01,1.24,,,22.42,25-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Sep-2020 - 00:00,43.4,17.2,5.22,13.3,10.22,28.42,77.61,0.21,-0.22,168.78,750.0,85.29,0.0,,,25.55,26-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Sep-2020 - 00:00,53.99,21.88,4.25,14.95,11.12,30.71,69.7,0.21,-0.2,160.02,750.0,175.99,0.0,,,35.99,27-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Sep-2020 - 00:00,79.36,32.52,6.03,22.2,12.17,31.07,69.68,0.2,-0.17,174.58,750.0,169.39,0.0,,,38.81,28-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Sep-2020 - 00:00,61.02,35.32,5.87,23.56,12.82,31.14,58.67,0.24,-0.17,191.1,750.0,172.82,0.0,,,41.28,29-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
