from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
03-Sep-2020 - 00:00,12.3,29.49,13.21,8.28,21.48,5.59,4.02,0.47,10.03,,,,,,28.29,88.74,0.39,103.31,0.01,,138.39,04-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-Sep-2020 - 00:00,14.53,35.42,14.47,9.95,24.43,8.8,5.75,0.46,16.68,,,,,,29.78,82.42,0.33,145.39,0.01,,153.1,05-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-Sep-2020 - 00:00,11.59,29.72,7.28,4.73,12.0,9.04,5.62,0.39,16.23,,,,,,30.38,80.16,0.48,133.97,-0.01,999.83,189.39,06-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
06-Sep-2020 - 00:00,9.1,23.52,6.63,4.87,11.49,8.05,5.41,0.4,12.45,,,,,,30.41,81.24,0.72,108.97,-0.03,999.79,198.03,07-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-Sep-2020 - 00:00,6.21,21.1,5.18,4.41,9.6,7.45,5.75,0.39,14.21,,,,,,30.11,81.63,0.6,108.3,-0.02,999.84,122.97,08-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-Sep-2020 - 00:00,8.63,25.21,10.36,5.72,16.07,5.82,4.26,0.46,14.15,,,,,,29.46,86.01,0.38,155.54,-0.0,998.84,133.38,09-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-Sep-2020 - 00:00,20.45,40.82,13.24,6.79,20.02,5.66,4.46,0.49,19.72,,,,,,29.52,85.18,0.37,165.06,0.0,999.24,147.8,10-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-Sep-2020 - 00:00,14.83,31.49,8.55,5.51,14.05,5.81,4.41,0.43,18.39,,,,,,29.1,89.01,0.48,132.33,-0.01,998.71,100.38,11-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
11-Sep-2020 - 00:00,9.14,21.31,6.53,4.64,11.17,7.07,5.28,0.38,18.54,,,,,,29.57,82.44,0.67,104.62,-0.02,999.41,159.36,12-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
12-Sep-2020 - 00:00,6.13,18.19,8.42,5.88,14.3,7.92,4.27,0.42,11.95,,,,,,29.73,82.53,0.61,109.63,-0.02,,168.9,13-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
13-Sep-2020 - 00:00,6.27,19.37,10.67,7.74,18.41,6.0,4.39,0.42,9.88,,,,,,29.84,82.12,0.58,104.4,-0.02,,138.73,14-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
