from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
08-Mar-2020 - 00:00,10.57,988.92,64.23,207.41,258.96,1.25,104.03,47.07,2.18,24.6,13.26,16.89,36.21,42.2,9.36,49.67,0.85,09-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Mar-2020 - 00:00,10.45,986.14,60.47,202.95,295.1,1.98,150.86,66.28,2.15,19.12,19.51,18.9,40.92,47.99,12.95,43.62,0.89,10-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Mar-2020 - 00:00,10.69,984.89,59.55,185.47,196.93,1.08,153.22,85.35,2.13,13.4,25.87,5.66,20.25,29.38,22.65,76.71,0.8,11-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Mar-2020 - 00:00,11.31,982.47,63.31,177.64,115.94,1.85,96.09,52.44,1.48,9.2,26.49,2.39,10.64,16.32,15.44,76.05,0.58,12-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Mar-2020 - 00:00,11.58,984.64,60.09,163.57,175.18,1.37,160.86,56.03,1.91,18.68,29.48,19.27,32.92,33.07,15.17,51.23,0.78,13-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Mar-2020 - 00:00,11.44,986.45,54.06,192.77,175.74,1.04,164.43,54.31,1.56,15.28,24.82,7.57,21.81,29.4,16.76,60.5,0.49,14-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Mar-2020 - 00:00,10.44,987.7,70.92,109.36,157.14,1.19,79.21,34.44,1.63,19.26,25.29,11.39,28.79,36.66,12.03,33.47,0.66,15-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Mar-2020 - 00:00,10.37,989.39,65.28,183.89,187.81,0.91,108.32,45.94,1.99,24.85,25.38,20.6,44.2,51.53,11.27,47.67,0.8,16-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Mar-2020 - 00:00,11.09,989.14,61.56,154.12,302.54,1.39,146.78,58.45,2.45,28.95,31.85,21.03,50.07,61.89,13.6,54.25,0.97,17-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Mar-2020 - 00:00,11.55,989.07,59.35,204.71,304.77,1.56,154.3,65.05,2.82,36.21,36.44,26.89,54.23,60.72,15.44,59.55,1.05,18-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
