from date,CO,RH,NO,NO2,NOx,NH3,Ozone,PM10,PM2.5,RF,SO2,SR,Temp,WD,WS,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,to date,station
29-Sep-2020 - 00:00,0.37,82.53,12.92,22.47,35.39,5.69,38.29,46.94,24.11,,5.01,211.17,29.72,157.61,0.3,,,,,,30-Sep-2020 - 00:00,"Victoria, Kolkata - WBPCB"
30-Sep-2020 - 00:00,0.39,82.51,22.52,23.5,45.56,4.9,35.76,33.39,17.47,,6.32,173.17,29.3,145.57,0.39,,,,,,01-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
01-Oct-2020 - 00:00,0.33,81.9,5.72,19.17,24.88,7.35,33.7,33.19,14.02,0.2,6.56,184.15,28.85,89.52,0.53,,,,,,02-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
02-Oct-2020 - 00:00,0.27,86.72,2.99,11.76,14.74,8.35,42.23,21.41,9.85,1.5,4.35,180.97,28.37,97.99,0.6,,,,,,03-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
03-Oct-2020 - 00:00,0.58,89.9,16.36,17.14,33.51,6.73,35.35,30.1,14.97,0.5,3.96,149.26,28.11,120.66,0.44,,,,,,04-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
04-Oct-2020 - 00:00,0.48,91.7,7.81,19.37,27.17,6.79,27.73,40.87,20.51,2.35,4.0,142.2,27.82,104.95,0.34,,,,,,05-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
05-Oct-2020 - 00:00,0.45,88.52,6.05,20.78,26.74,7.09,16.81,30.55,17.17,4.2,3.95,136.71,27.99,136.07,0.4,,,,,,06-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
06-Oct-2020 - 00:00,0.39,87.54,6.74,19.93,26.67,7.02,12.25,27.26,12.52,0.8,4.06,173.2,28.08,137.41,0.56,,,,,,07-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
07-Oct-2020 - 00:00,0.42,88.51,4.21,20.69,24.67,7.24,10.81,27.66,12.8,1.65,9.66,127.74,27.9,145.33,0.48,0.71,0.39,0.0,0.41,0.2,08-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
08-Oct-2020 - 00:00,0.53,87.17,7.92,29.7,37.62,5.73,23.62,48.74,23.45,2.0,4.39,162.66,28.57,159.62,0.23,0.71,0.39,0.0,0.41,0.2,09-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
09-Oct-2020 - 00:00,0.63,88.6,19.2,27.01,46.22,4.6,23.1,68.41,31.58,1.77,4.08,176.24,28.71,123.9,0.26,0.71,0.39,0.0,0.41,0.2,10-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
10-Oct-2020 - 00:00,0.7,88.94,13.92,41.77,54.77,4.5,18.38,74.16,21.87,,5.6,67.55,28.11,178.87,0.34,0.68,0.37,0.0,0.39,0.19,11-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
11-Oct-2020 - 00:00,0.72,84.92,17.39,30.41,47.8,5.01,33.98,60.24,31.3,,8.23,170.89,28.9,173.11,0.19,0.71,0.39,0.0,0.41,0.2,12-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
12-Oct-2020 - 00:00,1.13,81.64,60.41,38.77,99.23,4.18,31.9,85.17,42.0,,9.43,212.76,29.66,128.48,0.24,0.64,0.35,0.0,0.37,0.18,13-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
13-Oct-2020 - 00:00,0.72,77.45,42.03,25.41,67.43,6.67,30.95,82.09,40.13,,8.11,210.12,30.1,128.98,0.46,0.7,0.38,0.0,0.4,0.2,14-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
14-Oct-2020 - 00:00,0.37,77.39,4.49,20.87,25.68,11.09,35.34,26.46,12.28,,7.54,221.92,29.86,102.15,0.68,0.71,0.39,0.0,0.41,0.2,15-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
15-Oct-2020 - 00:00,0.37,78.29,6.48,30.97,37.45,12.56,29.27,24.85,9.82,,7.6,213.98,29.63,122.09,0.51,0.69,0.38,0.0,0.4,0.19,16-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
16-Oct-2020 - 00:00,1.14,89.19,72.08,47.74,119.86,8.29,94.03,76.52,35.41,3.33,6.94,175.42,27.99,149.8,0.25,5.68,13.07,2.23,5.13,5.0,17-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
17-Oct-2020 - 00:00,1.06,81.64,40.96,67.78,108.75,9.87,78.41,97.36,49.69,,5.59,181.77,29.57,149.95,0.23,7.15,14.32,2.17,4.13,2.46,18-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
18-Oct-2020 - 00:00,0.79,84.3,44.89,52.66,97.54,10.31,53.18,100.96,57.18,,5.51,129.06,28.82,130.09,0.38,7.0,10.02,1.61,2.87,1.17,19-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
19-Oct-2020 - 00:00,1.02,87.81,31.46,53.06,84.53,10.61,42.41,68.89,33.74,2.3,5.87,154.94,28.11,200.45,0.26,5.7,12.65,1.81,3.73,2.64,20-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
20-Oct-2020 - 00:00,0.54,77.8,8.42,48.66,57.08,12.43,70.56,93.09,47.91,,7.16,190.68,29.37,84.94,0.51,4.82,7.61,0.86,1.64,0.81,21-Oct-2020 - 00:00,"Victoria, Kolkata - WBPCB"
