from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WD,RH,BP,Toluene,to date,station
18-Jul-2020 - 00:00,28.81,17.94,6.39,20.2,13.94,0.69,14.88,21.04,56.31,0.15,24.02,126.81,62.93,709.85,43.06,19-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Jul-2020 - 00:00,31.9,16.97,6.37,21.82,14.29,0.69,14.12,19.5,34.26,0.15,25.03,165.36,62.2,710.4,45.67,20-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Jul-2020 - 00:00,30.86,17.48,6.39,21.29,14.93,0.69,21.01,22.38,38.56,0.17,24.93,177.22,64.18,709.81,51.35,21-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Jul-2020 - 00:00,28.61,18.17,6.39,20.09,13.63,0.69,22.92,21.38,49.03,0.16,23.07,154.59,53.82,710.24,39.83,22-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Jul-2020 - 00:00,34.35,16.9,6.28,22.99,13.06,0.68,23.71,34.75,62.1,0.25,23.77,256.05,56.12,710.65,55.53,23-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Jul-2020 - 00:00,34.37,16.83,6.27,23.05,14.86,0.68,25.85,29.12,59.25,0.23,24.77,182.09,60.68,710.27,55.13,24-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Jul-2020 - 00:00,31.49,17.63,6.44,21.66,15.65,0.7,19.52,26.98,50.11,0.19,25.85,153.22,64.57,710.88,49.57,25-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Jul-2020 - 00:00,28.61,18.08,6.39,20.09,15.95,0.69,17.08,21.92,51.7,0.16,25.52,129.34,57.86,712.11,47.25,26-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Jul-2020 - 00:00,30.47,17.68,6.4,21.09,14.92,0.69,18.76,21.81,41.53,0.1,22.65,136.03,59.43,713.26,39.48,27-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Jul-2020 - 00:00,29.33,18.31,6.33,20.42,11.63,0.69,18.38,23.14,53.01,0.15,23.92,139.57,56.68,712.53,40.3,28-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
