from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
15-Feb-2020 - 00:00,30.83,0.57,27.97,11.11,47.57,33.67,24.94,15.04,58.3,131.61,0.63,5.61,0.08,24.83,24.91,0.88,74.61,115.62,711.09,16-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Feb-2020 - 00:00,30.67,0.44,36.0,0.85,29.42,16.05,25.79,13.09,62.4,122.75,0.31,5.69,0.06,24.36,27.01,0.94,47.36,114.11,712.04,17-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Feb-2020 - 00:00,30.44,0.51,30.95,2.79,34.79,20.24,23.22,10.57,56.06,131.1,0.34,6.39,0.04,24.0,27.01,1.09,34.07,114.36,712.53,18-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Feb-2020 - 00:00,30.45,0.41,29.58,1.51,28.48,16.02,15.8,17.22,33.09,94.01,0.19,1.79,0.05,23.4,22.65,1.36,25.06,121.9,712.0,19-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Feb-2020 - 00:00,30.6,0.5,29.61,2.32,33.79,19.42,21.82,8.33,46.65,114.55,0.28,5.36,0.16,23.34,27.89,0.87,62.89,114.03,711.56,20-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Feb-2020 - 00:00,30.1,0.47,26.16,1.68,25.63,14.83,25.11,5.5,50.0,99.07,0.19,2.65,0.09,21.66,33.54,1.3,66.08,114.72,711.48,21-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Feb-2020 - 00:00,30.02,0.35,26.61,0.83,19.8,10.96,19.66,5.99,37.34,74.57,0.21,3.32,0.07,20.7,31.36,1.29,66.17,116.88,712.86,22-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Feb-2020 - 00:00,30.23,0.36,24.74,1.66,22.48,12.96,15.76,3.49,29.23,73.23,0.37,4.24,0.15,21.87,29.14,1.35,59.43,119.14,713.39,23-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Feb-2020 - 00:00,30.23,0.32,24.61,1.22,22.94,12.77,16.41,5.04,29.48,70.79,0.16,1.84,0.04,22.56,28.81,1.22,55.75,118.71,712.57,24-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Feb-2020 - 00:00,30.16,0.52,26.23,1.34,30.73,17.26,17.21,5.45,37.57,91.69,0.16,1.04,0.11,24.11,28.5,1.26,73.99,113.1,710.54,25-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Feb-2020 - 00:00,30.13,0.53,26.01,1.58,27.95,15.74,33.13,19.72,43.63,120.59,0.51,3.78,0.05,23.7,29.53,1.52,122.67,105.19,709.81,26-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Feb-2020 - 00:00,30.25,0.46,30.82,0.85,26.84,14.6,22.39,19.36,49.99,120.01,0.18,1.72,0.0,22.3,28.93,1.5,44.88,113.77,710.91,27-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Feb-2020 - 00:00,30.73,0.38,29.39,1.53,29.0,16.21,14.63,12.43,34.74,109.04,0.17,1.7,0.01,22.63,23.62,1.36,29.45,116.02,711.17,28-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Feb-2020 - 00:00,30.24,0.4,29.37,1.27,24.41,13.73,19.35,7.99,37.49,99.92,0.14,2.28,0.02,22.19,30.48,1.11,34.56,113.92,710.26,29-Feb-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Feb-2020 - 00:00,30.27,0.43,29.16,0.93,21.04,11.7,21.37,6.1,40.21,94.61,0.13,1.24,0.04,22.56,33.41,1.29,43.46,106.34,709.9,01-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Mar-2020 - 00:00,30.12,0.43,27.85,1.25,21.47,12.15,20.06,6.06,39.49,88.05,0.21,1.44,0.02,22.49,34.12,1.12,60.64,110.45,710.06,02-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Mar-2020 - 00:00,30.28,0.49,25.05,3.81,32.48,20.09,23.5,9.96,48.18,99.52,0.39,2.88,0.04,24.48,32.04,0.98,128.66,128.42,710.4,03-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Mar-2020 - 00:00,30.22,0.45,25.18,2.1,31.46,18.18,26.36,11.03,48.44,109.53,0.22,1.81,0.07,25.27,31.38,1.2,102.24,109.72,709.6,04-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Mar-2020 - 00:00,29.74,0.52,22.81,2.81,30.49,18.33,34.13,32.43,48.59,125.71,0.51,4.85,0.02,25.62,29.39,1.52,150.74,125.54,709.04,05-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Mar-2020 - 00:00,30.19,0.55,25.96,3.91,30.37,18.69,45.67,27.87,53.58,139.29,0.62,14.95,0.03,24.08,27.39,1.01,133.65,126.49,708.55,06-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Mar-2020 - 00:00,29.91,0.39,19.52,1.61,22.8,13.26,35.64,10.07,30.01,99.27,0.11,0.95,0.01,24.47,32.89,1.96,110.48,124.55,708.76,07-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Mar-2020 - 00:00,29.99,0.37,21.89,1.73,21.37,12.66,29.99,9.16,35.61,93.59,0.21,1.9,0.04,24.36,35.3,0.98,112.5,118.28,710.19,08-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Mar-2020 - 00:00,29.92,0.37,21.53,0.85,15.55,8.72,25.6,5.49,29.12,62.01,0.09,1.08,0.01,23.26,38.0,1.19,69.0,95.73,710.34,09-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Mar-2020 - 00:00,29.94,0.39,18.94,1.42,21.32,12.25,19.54,6.03,28.46,67.43,0.13,1.28,0.03,23.2,35.51,1.27,67.82,95.33,709.46,10-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Mar-2020 - 00:00,30.14,0.38,20.15,1.84,21.17,12.63,17.76,4.51,23.3,63.05,0.11,0.86,0.0,25.5,32.53,1.49,80.38,120.21,709.05,11-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Mar-2020 - 00:00,30.37,0.41,21.71,1.1,22.81,12.86,24.64,6.86,28.51,77.6,0.18,1.58,0.01,24.78,34.21,1.19,107.53,85.41,709.61,12-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Mar-2020 - 00:00,30.41,0.46,22.2,2.66,26.96,16.15,20.72,6.84,31.71,84.74,0.13,1.33,0.01,23.85,36.75,1.13,64.77,98.24,710.5,13-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Mar-2020 - 00:00,30.44,0.34,18.69,1.97,22.8,13.51,17.61,5.17,23.38,79.82,0.09,0.69,0.0,25.35,32.81,1.74,78.21,132.65,710.67,14-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Mar-2020 - 00:00,30.19,0.42,20.03,2.9,26.37,16.28,24.72,10.44,31.26,93.16,0.22,4.2,0.01,24.78,33.6,1.35,107.61,105.55,710.01,15-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Mar-2020 - 00:00,30.61,0.36,21.69,1.53,22.07,12.8,16.47,5.99,26.1,67.6,0.1,1.15,0.0,24.52,30.89,1.19,56.59,137.83,710.46,16-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Mar-2020 - 00:00,30.45,0.38,19.42,1.59,24.33,14.12,16.18,5.33,24.79,66.92,0.11,1.55,0.02,24.92,31.79,1.15,55.07,134.67,711.21,17-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Mar-2020 - 00:00,30.76,0.35,18.77,1.98,25.91,15.32,15.01,4.95,21.3,71.62,0.11,1.6,0.03,27.29,27.56,1.39,52.08,138.1,711.79,18-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Mar-2020 - 00:00,30.66,0.43,18.08,7.15,35.77,24.56,15.66,9.34,28.65,86.78,0.14,0.98,0.06,27.98,26.33,1.04,60.93,135.21,711.31,19-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Mar-2020 - 00:00,30.67,0.52,24.09,1.2,33.56,18.51,22.37,9.92,40.34,89.64,0.21,2.45,0.04,25.12,32.84,1.13,117.33,104.15,710.44,20-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
