from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM10,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
13-Aug-2020 - 00:00,,131.81,736.16,27.19,502.51,45.25,28.79,6.38,0.93,0.22,34.66,14.97,92.5,0.62,930.3,29.31,22.78,10.04,14-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Aug-2020 - 00:00,,92.46,735.9,72.2,458.15,16.67,12.36,4.54,0.67,0.45,43.61,14.51,86.49,0.64,,35.84,32.28,7.75,15-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Aug-2020 - 00:00,100.0,140.68,736.86,112.16,452.15,22.22,15.73,4.98,1.0,0.45,60.91,20.22,79.14,0.88,600.0,38.99,30.43,4.82,16-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Aug-2020 - 00:00,491.4,137.98,737.25,119.66,512.26,19.93,14.15,4.64,0.89,0.29,46.42,18.02,79.11,0.9,959.65,34.4,29.83,8.27,17-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Aug-2020 - 00:00,,143.59,737.93,82.01,563.13,21.66,18.19,8.57,1.11,0.15,55.74,21.26,86.35,0.79,,29.37,23.18,7.13,18-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Aug-2020 - 00:00,,182.1,738.56,77.96,618.34,23.32,20.6,10.49,1.0,-0.06,69.85,24.0,82.18,0.65,,30.31,19.71,5.59,19-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Aug-2020 - 00:00,,152.15,737.49,19.82,610.56,37.0,29.05,12.1,0.9,-0.16,48.63,20.62,93.22,0.7,,28.65,14.23,5.66,20-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Aug-2020 - 00:00,,104.42,738.37,47.33,530.63,29.42,22.64,9.05,1.04,-0.11,40.78,17.85,93.65,0.6,,29.5,18.01,7.3,21-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Aug-2020 - 00:00,462.54,92.04,742.47,133.57,446.35,19.97,18.29,9.79,0.81,0.14,47.25,16.58,79.53,0.7,878.37,30.32,17.74,9.1,22-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Aug-2020 - 00:00,482.52,88.82,739.86,134.84,388.9,16.27,13.66,6.42,0.47,0.26,37.32,14.83,73.9,0.76,901.39,29.01,17.94,7.15,23-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Aug-2020 - 00:00,439.0,97.55,738.86,94.95,355.64,13.5,11.81,5.93,0.63,0.47,41.2,13.31,78.38,0.82,846.35,27.55,17.86,8.92,24-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Aug-2020 - 00:00,340.27,131.45,738.5,94.54,385.24,15.32,13.54,6.9,0.52,0.45,42.32,20.74,80.56,0.97,896.34,27.52,17.72,20.65,25-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Aug-2020 - 00:00,,157.71,739.09,100.43,421.14,19.2,15.99,7.42,0.52,0.2,55.67,16.78,77.83,0.83,,29.91,17.94,10.93,26-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Aug-2020 - 00:00,,256.15,739.44,110.59,464.91,20.11,15.99,6.89,0.51,0.14,52.99,18.94,71.07,0.5,,30.6,16.73,7.25,27-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Aug-2020 - 00:00,,276.62,739.02,113.07,394.3,20.95,19.63,10.82,0.72,0.06,61.21,17.05,70.93,0.47,,30.57,15.66,6.72,28-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Aug-2020 - 00:00,318.19,156.74,738.36,31.74,260.52,24.92,25.88,16.1,1.08,-0.31,89.56,19.93,89.31,0.37,480.15,30.24,27.09,5.51,29-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Aug-2020 - 00:00,414.09,88.26,739.7,118.77,88.77,21.75,18.22,8.49,0.98,-0.05,71.23,21.52,79.88,0.34,477.54,31.94,26.06,6.17,30-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Aug-2020 - 00:00,227.33,102.5,739.83,83.15,6.05,17.79,12.98,4.58,0.51,-0.07,46.64,14.61,79.07,1.01,319.33,30.72,24.51,13.52,31-Aug-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Aug-2020 - 00:00,239.99,157.02,740.62,120.92,63.97,18.36,13.78,5.23,0.46,-0.05,36.77,15.97,74.54,1.48,260.49,33.36,24.3,11.07,01-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Sep-2020 - 00:00,326.78,179.64,741.02,123.39,109.9,25.78,18.3,6.0,0.5,-0.05,49.33,17.53,70.35,0.96,583.66,31.66,26.1,7.2,02-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Sep-2020 - 00:00,457.6,197.54,741.56,101.2,135.64,28.9,19.51,5.48,0.66,-0.05,67.5,20.71,71.17,0.4,731.66,33.02,28.32,11.82,03-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Sep-2020 - 00:00,466.5,125.8,740.86,123.19,129.19,24.83,17.06,5.07,0.73,-0.08,92.4,21.89,71.51,0.91,730.13,31.94,27.48,17.41,04-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Sep-2020 - 00:00,413.78,152.04,740.48,115.65,124.86,24.39,16.9,5.16,0.69,-0.01,92.46,23.97,71.49,0.96,699.59,31.82,26.14,11.23,05-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Sep-2020 - 00:00,229.84,177.56,739.58,105.83,339.62,35.97,23.17,5.99,1.2,0.02,88.63,39.32,77.89,0.8,734.83,31.05,36.68,6.82,06-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Sep-2020 - 00:00,475.57,228.7,739.39,119.84,297.04,22.04,13.01,1.94,0.94,0.02,68.53,21.2,80.91,0.68,873.22,30.58,74.92,5.81,07-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Sep-2020 - 00:00,,192.42,739.07,97.01,372.2,38.96,25.1,5.88,1.06,0.02,102.37,27.47,79.72,0.54,898.74,31.24,80.29,3.44,08-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Sep-2020 - 00:00,459.4,303.22,740.32,132.55,298.75,26.62,15.97,2.55,0.67,0.01,83.88,22.07,69.09,0.85,876.58,32.43,73.84,5.14,09-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Sep-2020 - 00:00,,323.27,739.68,127.43,302.07,26.7,16.87,3.61,0.91,0.02,113.07,27.98,68.21,1.05,953.86,29.67,78.23,8.1,10-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Sep-2020 - 00:00,,309.36,739.67,128.18,288.19,24.63,15.68,3.5,0.76,0.04,115.0,20.61,64.83,1.1,891.02,33.54,58.23,4.81,11-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Sep-2020 - 00:00,433.14,199.4,736.87,135.33,331.79,29.64,18.77,4.08,0.82,0.08,128.7,27.12,60.47,0.64,800.25,33.38,57.89,5.92,12-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Sep-2020 - 00:00,392.8,135.83,736.98,125.79,349.75,28.9,18.13,3.81,0.75,0.18,166.21,47.15,64.17,0.73,746.7,31.69,60.42,8.45,13-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Sep-2020 - 00:00,,96.69,736.99,104.19,351.62,24.58,15.27,3.02,0.85,0.18,159.47,49.32,68.04,0.59,,31.78,47.08,6.52,14-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Sep-2020 - 00:00,,214.53,736.53,104.83,384.88,26.25,16.4,3.35,0.86,0.12,151.2,37.54,67.55,0.61,,33.02,43.54,6.84,15-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Sep-2020 - 00:00,,224.29,736.3,107.53,363.87,38.44,23.79,4.59,0.94,0.05,159.86,45.43,64.01,0.68,,33.09,49.58,9.26,16-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Sep-2020 - 00:00,,279.02,736.19,119.74,294.36,37.66,24.16,5.56,1.06,0.08,161.13,44.17,63.19,0.86,926.99,34.67,66.98,13.38,17-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Sep-2020 - 00:00,,310.06,735.94,132.65,268.2,30.99,20.19,5.0,0.71,0.1,129.4,30.49,59.08,1.17,939.39,30.49,51.07,15.89,18-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Sep-2020 - 00:00,,293.12,737.62,128.96,263.47,30.47,20.2,5.32,0.58,0.12,116.57,28.12,58.9,1.21,929.69,30.62,48.72,12.99,19-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Sep-2020 - 00:00,,248.74,739.53,109.62,269.42,40.01,24.29,4.18,0.81,0.06,132.08,31.76,61.03,0.78,,30.72,48.38,12.21,20-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Sep-2020 - 00:00,,252.58,739.38,118.68,286.19,39.39,24.47,4.82,1.26,0.08,171.87,49.17,65.43,0.9,,31.43,67.18,15.73,21-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Sep-2020 - 00:00,,257.84,738.75,105.82,273.56,33.85,21.54,4.77,1.23,0.07,159.48,41.91,62.32,0.79,,31.99,50.31,18.6,22-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Sep-2020 - 00:00,,116.68,738.91,112.07,249.42,38.81,24.51,5.25,0.68,0.05,105.48,24.68,65.08,0.65,863.68,31.34,45.8,26.35,23-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Sep-2020 - 00:00,456.77,115.38,738.98,116.61,218.61,30.94,19.91,4.64,0.62,0.03,64.13,14.76,64.72,0.86,776.95,30.88,47.77,22.09,24-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Sep-2020 - 00:00,,168.55,737.95,118.07,233.59,31.24,20.12,4.7,0.57,0.04,95.06,22.64,66.58,0.85,897.83,27.46,43.19,26.12,25-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Sep-2020 - 00:00,,261.24,737.91,122.27,302.07,38.14,24.03,5.11,0.72,0.07,132.92,39.22,60.07,1.08,967.5,28.84,40.86,9.08,26-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Sep-2020 - 00:00,487.9,238.4,739.43,82.37,408.59,65.54,42.24,9.9,0.83,0.01,175.83,50.26,59.29,0.69,882.93,29.43,38.87,8.32,27-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Sep-2020 - 00:00,0.0,306.14,740.7,125.11,319.92,40.45,25.09,4.89,0.98,0.01,112.75,37.66,52.95,0.68,331.92,29.64,41.45,5.63,28-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Sep-2020 - 00:00,291.37,297.5,741.25,125.41,388.2,48.2,34.44,11.52,0.78,-0.0,186.78,57.67,52.72,0.97,577.07,30.54,49.91,7.87,29-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Sep-2020 - 00:00,382.72,309.91,741.11,120.24,333.5,39.42,23.44,3.5,0.77,0.04,229.91,67.5,55.25,1.05,727.59,30.84,55.77,7.8,30-Sep-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Sep-2020 - 00:00,387.1,304.39,740.65,126.68,265.9,42.51,24.89,3.32,0.91,0.02,182.02,56.31,49.63,1.06,738.76,30.33,48.17,8.35,01-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Oct-2020 - 00:00,487.33,301.03,740.43,124.48,304.46,47.95,28.07,3.77,1.24,0.02,183.12,64.0,49.19,1.07,766.01,30.55,49.77,8.33,02-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Oct-2020 - 00:00,468.4,282.41,740.73,123.52,277.98,48.26,32.35,8.87,1.12,0.02,199.05,69.58,51.51,0.86,727.5,31.59,45.95,10.46,03-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Oct-2020 - 00:00,490.6,295.33,741.25,118.36,288.47,49.02,30.14,5.6,1.16,0.16,192.29,65.26,48.53,1.02,773.15,30.3,58.93,10.3,04-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Oct-2020 - 00:00,460.98,268.09,741.62,118.04,267.94,54.73,32.83,5.23,1.0,0.12,220.85,79.98,47.33,1.14,725.77,31.76,62.28,11.95,05-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Oct-2020 - 00:00,489.1,309.56,741.4,122.31,281.76,67.47,39.53,5.26,1.12,0.03,200.55,68.43,43.94,1.32,822.62,29.24,54.7,10.27,06-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Oct-2020 - 00:00,,277.04,741.62,133.7,349.75,68.59,45.65,12.18,1.52,-0.04,207.57,68.55,46.75,0.69,816.9,28.38,57.52,10.05,07-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Oct-2020 - 00:00,,256.79,742.45,142.83,363.73,80.36,51.41,11.67,1.38,0.03,271.98,97.55,48.62,0.72,775.92,28.22,74.6,11.37,08-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Oct-2020 - 00:00,,282.58,742.56,137.14,215.92,58.51,34.72,5.11,1.06,-0.05,228.26,76.43,45.03,0.88,947.09,29.15,70.6,16.0,09-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Oct-2020 - 00:00,,279.5,742.63,123.62,295.43,61.36,38.34,7.77,1.05,-0.0,238.42,80.67,47.41,0.58,890.05,28.56,61.71,15.6,10-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Oct-2020 - 00:00,,303.87,742.09,127.01,201.64,56.5,36.12,8.18,1.03,0.13,232.56,85.06,48.46,0.74,819.98,28.68,65.69,16.43,11-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Oct-2020 - 00:00,,322.83,741.26,125.59,210.34,61.74,37.46,6.43,1.01,0.3,223.05,76.63,46.94,0.91,770.25,28.87,75.71,19.61,12-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Oct-2020 - 00:00,,209.73,740.62,115.62,270.73,70.18,49.96,16.51,1.64,0.16,314.91,126.8,49.5,0.67,778.04,27.93,70.54,17.21,13-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Oct-2020 - 00:00,,139.8,741.02,97.51,255.15,79.3,64.58,28.85,1.32,0.03,301.55,118.0,60.57,1.04,930.37,27.7,69.58,18.94,14-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Oct-2020 - 00:00,0.0,98.89,741.69,85.68,328.68,70.19,46.86,12.64,1.11,0.19,265.03,107.26,62.31,0.54,83.82,27.71,80.12,10.63,15-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Oct-2020 - 00:00,415.52,196.76,741.99,120.04,364.02,66.28,39.82,6.4,1.32,0.1,344.69,136.56,41.56,0.59,620.05,28.08,66.62,14.2,16-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Oct-2020 - 00:00,465.92,234.55,741.9,122.52,360.82,78.13,47.41,8.14,1.35,0.02,254.19,105.43,35.54,0.37,696.0,26.5,60.48,19.2,17-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Oct-2020 - 00:00,487.2,229.4,742.24,111.22,545.9,103.97,76.41,27.47,1.75,0.02,295.67,131.31,42.69,0.27,794.74,25.96,76.43,9.82,18-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Oct-2020 - 00:00,385.89,303.88,742.17,129.22,303.76,76.51,43.82,4.71,1.12,-0.03,242.58,117.17,32.66,0.44,593.07,27.47,76.29,16.12,19-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Oct-2020 - 00:00,469.08,316.47,742.02,130.74,322.26,84.04,48.29,5.37,1.33,-0.03,275.84,126.77,31.71,0.49,816.29,27.31,64.69,27.64,20-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Oct-2020 - 00:00,,283.94,741.9,127.33,352.32,83.61,52.59,11.03,0.63,-0.04,256.47,112.23,32.73,0.44,949.35,25.88,63.38,20.57,21-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Oct-2020 - 00:00,,168.54,742.36,128.22,412.17,115.6,119.0,73.1,0.53,-0.0,272.6,123.55,39.99,0.42,918.95,24.9,58.49,9.88,22-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Oct-2020 - 00:00,,180.34,741.79,87.39,492.6,112.43,124.37,81.89,0.92,0.02,389.19,190.22,43.01,0.23,,25.09,84.45,21.77,23-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Oct-2020 - 00:00,300.42,188.72,741.72,114.83,384.56,90.94,74.81,34.0,2.23,0.02,413.78,202.28,47.15,0.47,482.09,23.59,63.38,20.59,24-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Oct-2020 - 00:00,420.16,258.42,742.19,108.86,430.65,95.44,85.66,44.61,1.63,0.01,399.11,190.63,47.83,0.51,574.68,23.39,70.77,13.98,25-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Oct-2020 - 00:00,391.43,209.79,743.24,108.45,377.89,114.36,151.15,114.09,1.97,-0.2,452.35,218.01,52.62,0.56,564.67,23.34,79.72,12.58,26-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Oct-2020 - 00:00,413.39,258.79,743.81,93.42,343.53,117.76,111.63,62.49,2.48,-0.17,442.82,213.86,44.04,0.5,685.22,24.48,77.57,19.05,27-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Oct-2020 - 00:00,343.36,297.45,743.76,113.02,198.77,86.6,60.7,19.25,1.42,0.02,313.17,147.32,39.24,1.05,499.22,23.23,75.8,9.92,28-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Oct-2020 - 00:00,471.65,260.34,744.06,98.07,370.12,127.31,102.6,44.94,1.52,0.1,336.3,156.1,43.41,0.3,691.63,22.22,79.04,13.05,29-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Oct-2020 - 00:00,395.93,203.56,744.43,94.45,385.82,123.48,125.08,75.55,2.06,0.21,497.81,241.07,51.5,0.17,518.52,21.67,96.48,15.46,30-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Oct-2020 - 00:00,411.2,297.03,744.25,103.16,383.68,124.6,86.74,26.87,1.41,0.25,411.41,179.29,41.17,0.59,625.51,23.59,86.42,19.96,31-Oct-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Oct-2020 - 00:00,439.44,305.6,744.19,110.78,266.81,93.18,52.57,4.76,1.37,0.25,471.28,217.25,38.1,1.61,645.23,23.8,83.55,16.71,01-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Nov-2020 - 00:00,,280.79,744.51,106.3,410.81,117.67,72.8,13.86,1.41,0.25,521.91,222.68,33.29,2.2,752.31,22.8,75.74,16.52,02-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Nov-2020 - 00:00,464.3,253.84,744.84,96.91,359.51,106.69,91.22,44.21,1.47,0.12,347.4,167.22,38.24,1.16,805.58,20.95,76.67,13.93,03-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Nov-2020 - 00:00,436.53,221.01,744.58,104.15,359.85,122.94,184.53,133.33,1.5,0.05,324.34,138.51,44.03,0.53,674.66,20.28,86.83,10.99,04-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Nov-2020 - 00:00,,231.37,744.0,70.12,658.9,150.41,146.85,85.09,2.55,0.06,547.15,275.55,50.92,0.51,,20.03,92.76,12.65,05-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Nov-2020 - 00:00,,232.64,744.54,100.25,509.82,120.25,101.39,48.03,1.86,0.06,448.41,229.6,49.03,0.59,866.5,20.92,93.7,12.26,06-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Nov-2020 - 00:00,436.4,238.45,745.74,89.61,577.96,129.96,108.5,50.57,1.99,0.07,436.51,217.25,44.91,0.7,777.53,21.4,85.1,13.29,07-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Nov-2020 - 00:00,,272.28,746.13,93.56,450.13,119.53,87.58,31.25,1.9,0.07,514.13,236.74,43.47,0.77,878.78,21.49,89.28,12.36,08-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Nov-2020 - 00:00,,232.23,746.39,72.52,635.33,140.54,121.24,59.58,2.64,0.07,639.57,315.74,54.83,0.92,,19.7,93.01,18.87,09-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Nov-2020 - 00:00,,259.28,745.73,74.2,531.65,149.0,117.62,49.52,2.91,0.07,708.98,373.06,56.49,1.26,,20.0,96.23,18.32,10-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Nov-2020 - 00:00,,169.05,745.27,77.44,372.48,119.65,123.78,76.41,2.47,0.06,448.66,394.21,65.1,0.89,,19.53,103.55,14.8,11-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Nov-2020 - 00:00,,157.7,746.08,83.87,399.59,98.7,123.68,90.01,1.86,0.06,322.86,146.54,62.75,0.51,980.9,19.73,87.89,12.18,12-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Nov-2020 - 00:00,,175.0,746.62,80.56,381.66,97.16,114.83,79.96,1.66,0.06,346.53,157.57,61.44,0.37,,19.96,82.45,13.5,13-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Nov-2020 - 00:00,,250.51,745.99,81.53,502.06,119.66,134.69,90.06,1.96,0.06,448.91,213.01,58.78,0.6,,20.33,83.07,10.92,14-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Nov-2020 - 00:00,,199.29,745.01,63.79,612.42,135.29,100.71,37.34,2.09,0.06,612.26,332.23,62.11,0.44,,19.06,86.18,15.96,15-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Nov-2020 - 00:00,,154.35,744.77,74.88,330.61,83.72,64.06,25.28,1.47,0.08,384.48,328.36,61.29,1.33,976.33,20.1,87.63,13.97,16-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Nov-2020 - 00:00,495.3,114.36,748.33,76.65,263.77,46.42,29.37,6.33,1.07,0.09,141.3,66.72,72.12,0.79,809.38,19.88,85.09,12.03,17-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Nov-2020 - 00:00,473.52,299.21,750.02,92.82,302.61,63.1,39.21,7.72,0.72,0.07,137.66,57.52,58.72,0.83,777.62,20.27,71.81,12.55,18-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Nov-2020 - 00:00,,304.92,749.59,92.81,264.17,73.68,42.55,4.97,0.93,0.05,191.3,88.23,53.5,1.04,711.9,19.26,63.19,10.0,19-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Nov-2020 - 00:00,219.14,215.99,749.75,90.41,239.59,89.06,50.81,5.23,1.01,0.01,248.68,110.73,52.93,0.97,578.96,17.89,68.07,9.23,20-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Nov-2020 - 00:00,302.82,316.81,750.38,91.81,254.63,95.48,54.36,5.46,0.98,-0.01,253.7,112.92,44.39,1.6,594.89,18.78,76.02,14.45,21-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Nov-2020 - 00:00,294.53,311.74,750.57,93.17,234.3,85.09,53.74,11.49,1.21,-0.01,205.41,87.34,40.39,1.91,572.45,17.77,65.01,9.56,22-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Nov-2020 - 00:00,272.53,281.75,750.85,85.46,302.07,102.67,66.06,15.4,0.93,-0.02,249.08,110.91,40.25,1.22,430.46,16.93,66.52,10.04,23-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Nov-2020 - 00:00,486.2,204.68,751.01,78.78,596.5,168.04,184.73,120.94,2.36,0.01,373.78,161.51,51.65,0.51,856.6,15.9,94.16,11.8,24-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Nov-2020 - 00:00,,174.96,750.8,62.71,540.13,179.77,182.64,111.82,2.41,0.04,550.36,268.19,56.37,0.51,,15.87,102.54,10.81,25-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Nov-2020 - 00:00,790.12,103.67,750.92,38.99,486.21,129.97,102.83,43.49,1.82,0.04,513.81,231.35,63.76,0.95,879.2,16.88,94.73,11.96,26-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Nov-2020 - 00:00,531.79,204.43,751.79,82.66,204.28,69.63,45.03,10.71,0.83,0.01,191.32,81.76,60.29,1.14,497.13,18.93,95.55,12.35,27-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Nov-2020 - 00:00,568.74,309.76,752.48,88.45,260.09,87.14,57.64,15.02,0.88,-0.02,156.86,51.52,51.81,0.94,601.43,19.2,86.78,12.15,28-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Nov-2020 - 00:00,687.37,280.46,752.01,86.53,331.23,98.78,60.11,10.53,1.52,-0.03,206.75,71.93,47.63,1.1,709.18,18.64,81.55,7.62,29-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Nov-2020 - 00:00,758.35,256.48,751.48,82.23,330.8,112.68,83.97,31.22,1.65,-0.03,273.32,103.56,49.26,0.79,767.75,17.3,88.58,8.38,30-Nov-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
