from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
12-Mar-2020 - 00:00,141.02,62.23,984.04,173.99,27.6,51.81,27.61,22.12,495.83,2.97,22.68,6.43,37.79,8.52,13-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Mar-2020 - 00:00,147.62,48.81,985.86,191.09,29.99,53.38,29.19,22.21,,2.3,19.82,5.89,31.11,7.16,14-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Mar-2020 - 00:00,153.21,77.67,987.19,125.28,32.7,40.87,25.19,18.1,510.0,2.58,19.51,6.56,24.71,9.87,15-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Mar-2020 - 00:00,193.87,68.72,988.8,166.67,39.36,46.44,31.17,18.57,488.75,1.89,25.47,7.17,24.55,12.14,16-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Mar-2020 - 00:00,265.43,64.37,988.5,180.51,29.06,58.91,28.12,20.57,569.58,2.74,19.34,6.55,35.92,8.31,17-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Mar-2020 - 00:00,269.66,59.58,988.42,211.97,28.41,61.18,30.12,22.08,587.92,2.95,18.13,7.25,44.57,8.27,18-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Mar-2020 - 00:00,273.34,56.31,986.66,207.82,26.01,48.44,34.85,23.51,559.17,3.11,17.41,6.48,35.92,6.88,19-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Mar-2020 - 00:00,223.69,61.94,983.44,151.24,30.05,53.27,40.17,24.02,522.08,2.15,26.96,7.44,46.78,7.01,20-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Mar-2020 - 00:00,101.21,56.22,982.56,168.17,31.95,72.89,35.65,25.19,620.42,1.91,34.24,8.3,48.02,7.54,21-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Mar-2020 - 00:00,242.7,53.93,982.98,158.37,28.67,60.09,35.14,25.33,691.67,2.28,26.08,7.64,42.36,8.69,22-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Mar-2020 - 00:00,205.08,53.12,984.78,200.15,25.87,28.94,43.11,24.95,786.67,2.36,40.56,7.48,30.61,7.44,23-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Mar-2020 - 00:00,177.95,48.9,984.33,198.82,25.71,27.8,40.87,25.82,680.83,1.75,25.76,6.27,29.71,8.29,24-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Mar-2020 - 00:00,151.16,55.63,983.09,142.27,24.31,29.86,33.9,24.86,586.25,2.27,23.37,6.77,27.47,7.69,25-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Mar-2020 - 00:00,238.42,58.71,983.36,212.02,25.52,24.08,31.63,25.63,590.83,2.21,16.83,6.03,20.71,7.63,26-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Mar-2020 - 00:00,291.16,60.6,984.6,136.42,25.33,22.5,24.94,24.88,590.0,3.52,16.32,5.53,22.01,7.92,27-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Mar-2020 - 00:00,189.93,70.54,986.39,121.45,24.13,19.75,25.9,22.05,612.08,2.92,13.04,5.02,17.44,7.46,28-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Mar-2020 - 00:00,271.53,68.38,986.76,237.04,23.16,19.71,25.67,22.63,771.67,3.18,14.1,5.38,17.48,8.89,29-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-Mar-2020 - 00:00,307.16,55.84,984.68,239.11,22.76,17.7,30.53,24.1,827.5,4.18,12.9,5.15,15.0,8.18,30-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
30-Mar-2020 - 00:00,304.05,51.71,984.74,239.51,22.99,19.54,34.91,24.22,850.42,3.64,13.78,5.57,18.6,8.51,31-Mar-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
31-Mar-2020 - 00:00,283.8,50.69,983.52,202.67,23.62,19.27,37.02,25.07,722.5,3.3,17.23,5.3,18.05,8.3,01-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Apr-2020 - 00:00,237.36,50.78,982.61,222.58,24.55,19.59,36.0,25.94,794.58,2.76,18.04,5.41,18.92,8.3,02-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Apr-2020 - 00:00,302.8,49.86,983.0,243.25,23.41,17.52,34.0,25.23,739.62,4.2,15.72,5.84,18.3,8.77,03-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Apr-2020 - 00:00,304.64,39.44,984.29,243.8,23.03,21.49,39.49,24.82,652.08,3.42,15.85,5.79,19.06,8.63,04-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Apr-2020 - 00:00,308.91,40.11,984.28,248.17,23.55,23.91,38.35,26.2,621.74,2.89,19.9,6.07,22.54,8.62,05-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Apr-2020 - 00:00,170.76,43.49,984.97,226.93,23.47,21.85,44.84,27.0,585.42,2.24,30.55,6.45,25.76,8.79,06-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Apr-2020 - 00:00,240.02,39.24,983.74,236.73,23.32,19.89,43.15,29.27,556.25,2.56,24.01,6.66,25.79,9.75,07-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Apr-2020 - 00:00,286.17,44.17,981.84,232.49,22.38,19.81,37.16,27.07,640.0,4.08,17.04,5.53,17.52,7.3,08-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Apr-2020 - 00:00,296.88,38.82,982.42,242.25,22.55,19.77,37.64,26.9,627.5,3.84,15.46,5.73,19.68,8.98,09-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Apr-2020 - 00:00,297.5,39.39,982.88,231.53,24.99,24.04,40.17,27.12,679.58,2.89,18.14,6.0,21.3,7.9,10-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Apr-2020 - 00:00,250.38,35.06,983.75,239.34,23.35,25.81,40.33,29.72,509.58,1.88,21.54,6.44,32.33,9.35,11-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Apr-2020 - 00:00,161.68,35.84,984.63,226.61,23.69,21.26,43.36,31.01,554.58,2.22,35.6,6.97,25.51,8.97,12-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Apr-2020 - 00:00,298.32,37.87,982.53,241.08,23.39,21.16,40.93,30.11,560.42,3.25,18.45,5.79,19.43,10.79,13-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
