from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
04-Aug-2020 - 00:00,14.36,28.6,18.94,3.67,1.85,1.37,1.06,2.48,1.25,180.39,3.06,0.0,15.89,0.6,27.72,26.93,92.31,05-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Aug-2020 - 00:00,13.36,28.01,18.99,4.61,2.25,1.19,1.03,2.41,1.06,181.07,3.15,0.0,15.85,0.6,50.84,26.84,92.73,06-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Aug-2020 - 00:00,13.65,28.05,19.1,5.28,2.13,1.59,0.82,2.61,0.93,180.84,3.09,0.0,15.24,0.69,50.04,14.45,61.29,07-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Aug-2020 - 00:00,8.62,15.36,10.29,3.63,1.67,1.03,0.63,2.04,0.74,181.4,3.46,0.0,15.45,0.62,58.83,13.71,41.43,08-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Aug-2020 - 00:00,6.75,5.02,1.75,6.41,2.01,1.19,0.69,0.84,0.47,180.69,3.22,0.0,15.33,0.65,53.17,15.89,41.45,09-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Aug-2020 - 00:00,7.83,5.87,2.1,6.29,1.73,1.38,0.71,1.82,0.89,181.58,3.38,0.03,15.33,0.62,44.59,9.56,30.81,10-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Aug-2020 - 00:00,7.16,7.03,4.96,7.03,1.68,1.73,1.07,3.44,1.09,181.51,3.5,0.12,15.22,0.78,60.21,8.98,34.57,11-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Aug-2020 - 00:00,7.08,7.07,4.13,6.29,1.75,2.74,1.41,7.1,1.8,181.24,3.46,0.0,13.02,0.63,37.8,9.03,28.63,12-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Aug-2020 - 00:00,6.25,5.38,2.61,6.71,1.16,2.05,0.93,6.13,1.19,180.71,3.23,0.0,11.45,0.61,38.41,12.36,52.32,13-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Aug-2020 - 00:00,7.15,5.65,2.3,6.29,1.27,2.41,0.87,6.29,1.18,181.48,3.36,0.0,11.4,0.62,38.63,21.55,67.5,14-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
