from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
07-Mar-2020 - 00:00,25.92,53.26,11.63,1.69,7.36,10.88,19.31,0.34,22.07,0.05,0.07,27.39,1.03,190.43,48.5,726.5,08-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
08-Mar-2020 - 00:00,23.99,48.72,12.17,2.47,8.4,10.08,19.24,0.39,19.74,0.01,0.05,27.62,1.12,171.7,46.83,726.17,09-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
09-Mar-2020 - 00:00,31.8,60.65,15.0,4.83,11.81,9.77,17.57,0.57,25.28,0.04,0.1,27.57,1.15,176.09,48.18,725.1,10-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
10-Mar-2020 - 00:00,24.6,49.95,7.09,1.78,4.99,9.51,25.16,0.33,26.05,0.02,0.03,28.7,1.32,164.8,39.48,724.71,11-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
11-Mar-2020 - 00:00,17.78,47.77,14.63,4.9,11.66,8.07,17.87,0.57,23.28,0.07,0.12,27.79,1.26,184.06,39.33,725.92,12-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
12-Mar-2020 - 00:00,31.02,54.83,18.51,15.98,22.75,8.98,19.45,1.38,22.73,0.05,0.11,27.65,1.24,179.58,39.49,726.98,13-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
13-Mar-2020 - 00:00,27.48,50.58,15.48,5.27,12.42,8.34,17.92,0.51,22.54,0.04,0.1,27.79,1.41,151.68,34.81,727.04,14-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
14-Mar-2020 - 00:00,23.19,54.64,14.09,6.04,12.14,8.19,21.45,0.54,23.69,0.02,0.06,28.03,1.27,146.49,36.17,725.83,15-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
15-Mar-2020 - 00:00,23.06,51.6,8.85,1.8,6.13,8.51,18.36,0.31,24.84,0.0,0.03,28.2,1.62,126.46,40.42,725.47,16-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
16-Mar-2020 - 00:00,17.82,36.96,7.19,2.01,5.14,7.66,18.87,0.31,21.33,0.0,0.03,28.23,1.67,131.42,40.19,726.94,17-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
17-Mar-2020 - 00:00,19.45,31.9,9.07,3.77,7.49,6.81,15.81,0.41,18.23,0.01,0.05,28.49,1.97,132.41,38.23,728.02,18-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
