from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
23-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
29-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
30-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,31-May-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
31-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
