from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
13-Mar-2020 - 00:00,24.16,769.81,25.98,189.24,55.49,0.0,0.26,80.38,76.91,0.67,13.3,10.99,58.39,47.39,1.68,4.94,23.91,14-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
14-Mar-2020 - 00:00,25.84,767.99,27.07,175.57,51.26,0.0,0.17,102.52,96.51,0.67,13.42,11.3,66.27,54.96,1.81,7.49,33.08,15-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
15-Mar-2020 - 00:00,36.96,766.84,29.02,214.86,49.14,0.0,0.1,113.76,141.62,0.78,15.47,18.12,105.35,87.22,2.31,17.36,48.5,16-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
16-Mar-2020 - 00:00,47.24,767.5,30.58,208.08,46.0,0.0,0.13,137.11,154.64,0.78,17.62,19.35,143.19,123.92,2.72,22.84,54.86,17-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
17-Mar-2020 - 00:00,55.11,767.89,30.62,193.87,52.35,0.0,0.12,139.71,155.25,0.76,20.61,33.05,173.45,140.41,2.99,32.89,50.89,18-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
18-Mar-2020 - 00:00,31.6,768.15,29.87,189.6,57.98,0.0,0.09,164.51,104.3,0.74,19.24,12.01,96.56,84.55,1.57,13.71,58.14,19-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
19-Mar-2020 - 00:00,23.73,768.62,28.73,258.49,66.13,0.0,0.08,167.05,65.73,0.76,19.45,10.22,76.65,66.43,1.21,9.17,38.77,20-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
20-Mar-2020 - 00:00,14.8,768.23,29.8,297.31,62.61,0.0,0.06,62.71,36.27,0.59,19.46,6.43,31.17,24.74,0.96,3.1,34.56,21-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
21-Mar-2020 - 00:00,16.39,768.29,28.29,219.6,71.01,0.0,0.1,170.31,47.1,0.67,20.59,8.59,44.27,35.72,1.02,4.81,32.17,22-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
22-Mar-2020 - 00:00,13.91,767.91,28.77,183.26,74.19,0.0,0.11,97.33,59.46,0.69,20.48,7.07,33.7,26.62,0.94,2.76,36.93,23-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
23-Mar-2020 - 00:00,14.01,766.88,29.89,169.31,72.43,0.0,0.07,84.38,52.61,0.65,21.67,7.01,33.29,26.27,0.96,2.87,34.26,24-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
24-Mar-2020 - 00:00,23.21,765.36,30.33,189.62,71.49,0.0,0.09,102.76,84.63,0.71,22.23,7.09,36.8,29.71,0.98,5.5,41.76,25-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
25-Mar-2020 - 00:00,21.26,765.31,30.85,207.79,74.55,0.0,0.1,266.29,71.07,0.71,23.15,6.76,29.88,23.11,1.05,7.27,34.5,26-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
26-Mar-2020 - 00:00,14.88,765.74,30.51,148.3,76.11,0.0,0.08,203.12,64.31,0.74,22.61,7.18,31.0,23.82,0.99,9.37,35.83,27-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
27-Mar-2020 - 00:00,16.02,767.7,30.38,181.55,72.37,0.0,0.08,76.82,53.23,0.67,24.99,6.83,23.91,17.08,0.93,4.17,22.43,28-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
28-Mar-2020 - 00:00,14.3,767.36,30.58,191.71,60.32,0.0,0.13,90.39,47.22,0.65,24.0,7.43,28.88,21.43,1.0,6.12,26.83,29-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
29-Mar-2020 - 00:00,14.97,766.26,30.46,192.58,59.3,0.0,0.08,112.05,53.83,0.6,23.99,6.37,22.6,16.22,0.94,3.94,26.58,30-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
30-Mar-2020 - 00:00,18.46,766.47,30.49,190.95,64.45,0.0,0.09,66.16,56.34,0.66,23.95,6.17,21.46,15.28,0.95,3.59,25.31,31-Mar-2020 - 00:00,"Bandra, Mumbai - MPCB"
31-Mar-2020 - 00:00,17.72,767.31,29.59,187.06,71.22,0.0,0.1,102.42,72.1,0.66,22.19,6.23,18.97,12.74,0.99,3.73,14.0,01-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
01-Apr-2020 - 00:00,16.62,766.96,29.69,207.42,72.3,0.0,0.11,99.05,58.28,0.64,23.12,6.3,17.15,10.84,0.92,2.99,8.58,02-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
02-Apr-2020 - 00:00,18.74,765.69,30.6,206.64,72.07,0.0,0.11,101.36,68.33,0.63,23.39,5.74,15.4,9.65,0.94,3.75,9.45,03-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
03-Apr-2020 - 00:00,18.51,766.0,30.63,204.45,73.53,0.0,0.09,146.55,67.93,0.64,24.92,5.79,15.5,9.71,0.93,2.51,7.47,04-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
04-Apr-2020 - 00:00,16.86,766.41,30.49,215.34,76.3,0.0,0.15,115.39,68.34,0.63,22.35,6.09,15.68,9.58,0.94,2.7,5.73,05-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
05-Apr-2020 - 00:00,18.3,767.02,30.35,211.76,78.62,0.0,0.08,196.38,76.12,0.64,20.69,6.9,18.33,11.42,0.95,4.22,6.26,06-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
06-Apr-2020 - 00:00,14.35,767.97,30.38,218.65,78.67,0.0,0.11,230.15,54.11,0.6,23.36,4.89,10.03,5.13,0.9,5.61,1.26,07-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
07-Apr-2020 - 00:00,19.08,767.24,29.75,226.31,77.93,0.0,0.09,237.17,77.62,0.65,25.52,5.0,10.02,5.01,0.89,4.04,0.92,08-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
08-Apr-2020 - 00:00,22.44,768.21,29.74,220.84,74.44,0.0,0.1,189.77,76.54,0.6,24.94,5.15,9.97,4.81,0.9,6.37,0.13,09-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
09-Apr-2020 - 00:00,21.79,767.59,29.71,219.53,74.29,0.0,0.1,162.56,67.76,0.57,24.79,5.39,9.86,4.47,0.9,2.68,0.22,10-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
10-Apr-2020 - 00:00,18.99,767.1,30.45,213.64,75.91,0.0,0.07,141.46,63.37,0.56,22.95,4.95,9.42,4.46,0.89,1.91,0.09,11-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
