from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
02-Apr-2020 - 00:00,25.62,986.33,76.85,39.1,55.58,244.79,3.22,116.92,2.4,0.42,0.9,24.09,5.01,11.79,10.37,48.52,11.78,03-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
03-Apr-2020 - 00:00,25.21,987.54,108.69,68.15,50.38,244.73,7.34,98.79,2.04,0.5,1.27,24.75,5.64,15.44,12.81,59.95,19.06,04-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
04-Apr-2020 - 00:00,25.89,987.46,115.56,74.56,50.02,245.52,9.13,104.07,1.68,0.52,1.31,26.86,5.56,16.61,13.37,59.49,18.47,05-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
05-Apr-2020 - 00:00,27.14,988.04,126.44,80.44,48.67,217.33,13.65,155.33,0.85,0.63,1.46,26.57,6.1,20.65,15.96,54.28,19.49,06-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
06-Apr-2020 - 00:00,28.16,986.85,128.48,72.42,47.11,236.46,13.02,99.34,1.08,0.61,1.73,29.46,6.1,19.04,15.1,51.75,14.96,07-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
07-Apr-2020 - 00:00,27.01,985.07,129.48,56.54,50.1,227.52,7.12,90.43,1.26,0.46,0.97,30.36,5.83,15.17,12.84,45.39,18.61,08-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
08-Apr-2020 - 00:00,26.52,985.71,98.66,40.6,46.32,240.38,3.74,109.21,2.51,0.39,0.73,22.06,5.33,13.48,11.52,62.96,15.96,09-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
09-Apr-2020 - 00:00,26.65,986.06,121.86,66.7,46.53,225.79,11.66,93.22,1.56,0.59,1.37,25.06,5.97,21.74,16.43,63.45,21.35,10-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
10-Apr-2020 - 00:00,28.34,986.85,156.0,85.75,43.09,229.06,22.51,88.17,0.71,0.71,1.9,26.77,8.26,24.62,19.85,55.8,20.6,11-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
11-Apr-2020 - 00:00,29.27,987.77,153.29,64.34,42.76,223.3,21.46,144.13,1.28,0.67,1.63,31.49,8.12,23.37,19.05,63.41,16.57,12-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
