from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
24-Apr-2020 - 00:00,8.51,11.93,9.1,19.72,13.45,1.17,18.58,171.18,68.59,0.14,0.2,34.95,0.49,43.14,240.48,740.0,6.0,,25-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Apr-2020 - 00:00,8.83,12.06,9.1,20.45,12.09,1.19,18.62,184.76,73.67,0.15,0.22,36.26,0.42,42.53,222.72,740.0,6.0,,26-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Apr-2020 - 00:00,5.74,10.42,9.07,19.13,12.22,0.98,18.65,93.94,42.38,0.06,0.16,27.14,1.29,60.99,206.81,740.29,6.24,6.5,27-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Apr-2020 - 00:00,4.43,9.74,9.03,15.18,9.32,0.88,18.67,38.79,19.7,0.02,0.14,26.72,1.16,64.76,179.51,740.91,6.47,,28-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Apr-2020 - 00:00,5.46,10.27,9.06,14.38,21.24,0.96,18.51,51.16,25.51,0.03,0.17,32.2,0.49,53.4,153.15,740.62,6.1,,29-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Apr-2020 - 00:00,8.05,11.67,9.06,20.05,19.96,1.16,18.6,112.46,65.63,0.09,0.19,33.82,0.63,55.56,223.58,740.24,6.12,,30-Apr-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Apr-2020 - 00:00,5.87,10.49,9.05,26.56,17.93,1.03,18.58,116.88,54.58,0.1,0.2,35.63,0.64,53.45,229.08,740.17,6.0,,01-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-May-2020 - 00:00,6.49,10.87,9.13,23.08,17.36,1.01,18.73,99.01,39.5,,,34.26,0.84,52.95,266.51,740.0,6.0,,02-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-May-2020 - 00:00,7.29,11.23,9.08,20.12,16.59,0.97,18.58,87.12,34.25,,,34.49,1.25,53.52,260.09,740.0,6.0,,03-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-May-2020 - 00:00,5.3,10.13,9.01,21.51,19.45,0.96,18.57,98.61,42.83,,,34.29,1.25,56.22,249.75,740.06,6.17,3.12,04-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-May-2020 - 00:00,6.72,10.96,9.13,17.33,18.26,0.94,18.57,50.87,26.4,,,32.75,0.35,55.62,117.27,740.21,6.33,,05-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-May-2020 - 00:00,8.07,11.58,9.0,17.35,26.1,1.06,18.6,121.14,56.64,,,36.33,0.41,49.1,203.31,740.0,6.0,,06-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-May-2020 - 00:00,8.84,12.15,9.09,16.64,26.03,1.02,18.63,143.22,51.39,,,33.63,0.33,51.42,133.77,740.02,6.01,,07-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-May-2020 - 00:00,10.26,13.01,9.04,16.49,13.83,1.03,18.62,73.84,35.33,,,32.72,0.32,49.87,184.02,740.0,5.98,5.88,08-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-May-2020 - 00:00,11.11,13.28,9.07,21.96,12.45,1.2,18.56,144.16,85.25,,,35.23,0.3,51.97,186.77,740.0,6.0,,09-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-May-2020 - 00:00,12.0,13.79,9.08,23.7,22.15,1.12,18.61,157.01,85.49,,,36.93,0.3,50.66,196.86,740.0,6.0,9.0,10-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-May-2020 - 00:00,9.51,12.37,9.09,16.42,21.86,1.08,18.54,108.92,88.75,,,30.3,0.3,57.53,173.29,740.1,6.0,2.81,11-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-May-2020 - 00:00,9.98,12.74,9.08,16.42,18.84,1.25,18.53,73.52,63.33,,,32.4,0.32,54.49,172.28,740.09,21.48,5.5,12-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-May-2020 - 00:00,8.6,12.01,9.13,17.48,19.65,1.07,18.55,78.12,40.81,,,34.01,0.3,53.71,121.73,740.21,83.38,,13-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-May-2020 - 00:00,15.95,15.94,9.15,23.76,29.75,1.37,18.52,224.07,115.49,,,34.19,0.3,57.1,165.03,740.0,38.53,,14-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-May-2020 - 00:00,11.12,13.33,9.15,27.45,22.84,1.27,18.61,172.74,102.92,,,36.22,0.3,53.23,173.89,740.0,79.5,16.5,15-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-May-2020 - 00:00,9.18,12.22,9.06,18.22,22.17,1.07,18.59,120.46,47.59,,,37.51,0.3,42.64,298.96,740.0,100.82,5.6,16-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-May-2020 - 00:00,9.3,12.32,9.06,16.92,25.18,1.12,18.57,130.66,57.7,,,38.72,0.3,39.11,311.3,740.0,104.02,6.77,17-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-May-2020 - 00:00,13.09,13.98,9.08,17.03,36.44,1.27,18.58,175.57,80.01,,,41.41,0.3,32.93,287.49,740.0,98.35,,18-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-May-2020 - 00:00,17.18,16.14,9.06,18.58,32.41,1.39,18.56,212.78,98.0,,,40.79,0.3,34.19,256.45,740.0,91.26,,19-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-May-2020 - 00:00,13.15,14.33,9.03,14.5,21.87,1.11,18.56,128.22,52.85,,,40.47,0.3,30.36,159.0,739.96,100.26,6.47,20-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-May-2020 - 00:00,11.05,13.15,9.06,15.3,31.75,1.19,18.62,142.12,63.09,,,39.97,0.3,30.93,284.77,739.83,103.95,11.45,21-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-May-2020 - 00:00,12.6,14.02,9.05,17.56,29.35,1.3,18.54,199.14,81.1,,,39.07,0.3,32.52,274.68,739.39,101.39,14.53,22-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-May-2020 - 00:00,18.19,17.17,9.11,22.73,32.23,1.6,18.62,252.1,122.21,,,39.89,0.3,36.02,168.79,739.72,95.44,1.5,23-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-May-2020 - 00:00,15.87,15.95,9.16,30.89,29.18,1.55,18.64,260.29,117.98,,,41.17,0.3,45.03,145.28,740.0,78.53,0.66,24-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-May-2020 - 00:00,14.45,15.14,9.13,27.74,38.85,1.4,18.56,241.28,98.29,,,42.36,0.3,40.6,210.64,739.8,93.66,1.83,25-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-May-2020 - 00:00,12.0,13.75,9.09,22.08,30.55,1.22,18.73,179.7,68.26,,,42.51,0.3,32.7,297.38,739.67,104.09,9.06,26-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-May-2020 - 00:00,11.88,13.75,9.08,22.28,24.03,1.14,18.63,154.86,52.97,,,41.66,0.3,33.64,164.64,739.55,92.85,2.1,27-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-May-2020 - 00:00,8.96,12.12,9.1,17.55,16.99,1.0,18.56,145.2,43.51,,,41.54,0.3,34.19,149.56,739.38,97.4,10.33,28-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-May-2020 - 00:00,7.78,11.57,9.05,16.75,20.22,0.97,18.48,148.1,41.08,,,36.96,0.3,46.12,187.75,739.55,97.32,13.04,29-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-May-2020 - 00:00,9.81,12.62,9.01,17.26,23.22,0.97,18.58,58.24,32.9,,,32.27,0.3,58.77,160.17,739.94,57.1,5.5,30-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-May-2020 - 00:00,10.66,12.94,9.03,20.43,19.03,1.02,18.58,84.96,48.11,,,33.4,0.3,57.16,162.75,740.0,74.64,,31-May-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-May-2020 - 00:00,10.19,12.78,9.04,17.74,32.45,1.04,18.6,64.32,41.36,,,30.09,0.3,67.16,136.84,740.0,63.59,4.43,01-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Jun-2020 - 00:00,8.76,12.13,9.09,15.97,20.2,1.02,18.51,51.49,28.96,0.07,0.52,33.29,0.3,59.43,139.24,740.0,107.7,4.0,02-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Jun-2020 - 00:00,15.51,15.7,9.07,22.15,22.03,1.19,18.53,148.38,79.22,0.15,0.48,35.86,0.3,53.89,179.72,740.0,91.59,15.67,03-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Jun-2020 - 00:00,12.58,13.69,9.05,24.76,34.08,1.07,18.57,143.24,64.92,0.11,0.3,37.16,0.3,51.79,183.75,740.0,102.47,,04-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Jun-2020 - 00:00,9.39,12.37,9.18,31.16,16.88,1.1,18.65,139.54,66.38,0.11,0.22,36.07,0.3,55.51,152.52,739.93,75.51,1.25,05-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Jun-2020 - 00:00,10.67,13.06,9.11,21.66,34.23,1.08,18.6,68.59,39.29,0.1,0.23,32.36,0.3,61.5,148.69,740.0,80.25,1.0,06-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Jun-2020 - 00:00,8.75,12.14,9.13,19.62,18.84,1.06,18.66,81.2,50.83,0.12,0.27,35.01,0.3,57.55,161.86,739.89,95.69,,07-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Jun-2020 - 00:00,9.29,11.98,9.1,22.83,21.56,1.08,18.66,83.92,49.58,0.12,0.61,34.82,0.3,57.58,187.36,739.73,88.05,,08-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Jun-2020 - 00:00,13.07,14.3,9.03,21.77,23.44,1.22,18.62,123.32,67.88,0.14,0.61,37.92,0.3,53.53,159.44,739.7,96.28,,09-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Jun-2020 - 00:00,22.07,18.81,9.16,27.72,40.81,1.2,18.6,250.29,124.8,0.27,0.69,41.41,0.3,48.31,281.23,739.62,105.66,1.0,10-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Jun-2020 - 00:00,18.03,17.08,9.11,29.64,38.39,1.26,18.65,245.85,113.47,0.18,0.59,41.97,0.3,48.23,215.68,739.45,100.95,,11-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Jun-2020 - 00:00,13.72,14.35,9.08,26.56,20.16,1.25,18.63,192.95,84.17,0.29,0.38,41.05,0.3,53.76,148.36,739.28,86.66,,12-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Jun-2020 - 00:00,8.3,11.86,9.11,31.04,9.74,1.07,18.67,133.95,58.69,0.1,0.29,41.31,0.3,53.03,174.74,739.18,92.77,,13-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Jun-2020 - 00:00,10.55,13.01,9.14,23.48,21.87,1.1,18.68,144.51,61.7,0.12,0.38,37.92,0.3,56.74,137.2,739.23,76.21,,14-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Jun-2020 - 00:00,10.55,12.96,9.12,25.38,22.86,1.04,18.7,132.56,65.22,0.11,0.3,39.54,0.3,57.54,134.7,739.49,75.59,,15-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Jun-2020 - 00:00,9.53,12.52,9.13,25.52,21.09,1.17,18.61,110.96,49.72,0.09,0.31,40.43,0.3,54.27,162.86,739.17,105.42,1.0,16-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Jun-2020 - 00:00,7.45,11.36,9.05,21.21,17.05,1.24,18.63,108.2,52.24,0.08,0.21,40.58,0.3,52.5,165.74,739.0,136.59,,17-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Jun-2020 - 00:00,5.55,10.39,9.1,19.55,18.93,0.99,18.66,78.98,34.54,0.07,0.2,42.3,0.3,51.98,168.24,738.94,134.87,,18-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Jun-2020 - 00:00,7.44,11.34,9.07,25.29,23.69,1.13,18.63,123.68,56.32,0.11,0.25,40.84,0.3,56.2,160.05,739.0,95.59,3.0,19-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Jun-2020 - 00:00,3.89,9.5,9.1,18.11,12.84,0.96,18.61,82.26,31.53,0.04,0.19,39.74,0.3,58.5,152.29,739.07,92.74,,20-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Jun-2020 - 00:00,6.69,11.0,9.07,15.72,24.19,1.03,18.55,89.58,38.79,0.07,0.2,37.41,0.3,58.65,154.52,739.25,79.41,21.5,21-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Jun-2020 - 00:00,4.4,9.68,9.04,14.75,14.87,0.97,18.62,84.96,41.31,0.06,0.15,36.37,0.3,61.18,156.5,739.41,77.33,3.5,22-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Jun-2020 - 00:00,4.61,9.89,9.17,23.88,4.97,1.06,18.6,86.83,51.11,0.09,0.18,38.16,0.3,59.29,151.3,739.28,89.4,,23-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Jun-2020 - 00:00,5.95,10.58,9.07,24.51,16.54,1.0,18.62,64.99,33.03,0.05,0.18,38.66,0.3,58.31,148.91,739.97,106.3,,24-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Jun-2020 - 00:00,5.23,10.22,9.09,16.88,16.77,1.05,18.6,73.03,34.4,0.07,0.28,37.7,0.3,61.11,171.19,739.95,75.58,12.5,25-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Jun-2020 - 00:00,9.34,12.35,9.03,18.53,20.14,1.25,18.73,131.85,65.4,0.11,0.54,39.14,0.3,58.83,195.89,739.48,82.28,,26-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Jun-2020 - 00:00,6.57,10.88,9.07,17.54,9.05,1.08,18.64,111.56,57.71,0.09,0.34,38.87,0.3,58.64,221.34,739.19,89.49,,27-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Jun-2020 - 00:00,7.36,11.28,9.06,20.81,18.92,1.05,18.59,172.09,59.49,0.1,0.33,41.55,0.3,55.44,262.59,739.0,101.34,,28-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Jun-2020 - 00:00,6.1,10.6,9.02,27.65,15.52,1.04,18.7,280.41,77.36,0.09,0.33,43.73,0.3,52.32,258.29,739.0,103.72,,29-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Jun-2020 - 00:00,5.72,10.4,9.06,17.13,13.06,1.04,18.69,82.43,44.6,0.04,0.19,36.77,0.3,64.51,153.27,739.36,77.09,1.5,30-Jun-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Jun-2020 - 00:00,4.24,9.68,9.08,19.97,11.17,0.99,18.68,109.9,34.66,0.03,0.16,38.46,0.3,60.62,153.66,739.72,94.88,,01-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Jul-2020 - 00:00,7.08,11.12,9.01,20.97,14.01,1.14,18.64,112.17,55.7,0.09,0.24,39.74,0.3,60.06,168.08,739.43,80.97,8.5,02-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Jul-2020 - 00:00,7.85,11.16,9.02,19.67,12.59,1.08,18.52,109.84,45.08,0.08,0.21,39.24,0.3,60.36,151.02,739.0,88.91,4.5,03-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Jul-2020 - 00:00,6.39,10.83,9.08,22.3,12.06,1.09,18.71,96.16,51.31,0.09,0.22,39.52,0.3,61.89,153.93,739.0,101.99,,04-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Jul-2020 - 00:00,3.99,9.38,9.01,15.39,3.86,0.96,18.63,60.5,35.73,0.02,0.16,36.65,0.3,64.47,154.2,739.0,103.54,20.33,05-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Jul-2020 - 00:00,5.13,9.98,9.09,11.32,10.96,0.95,18.63,44.42,21.63,0.03,0.23,34.35,0.3,65.67,142.12,739.03,89.9,8.38,06-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Jul-2020 - 00:00,5.64,10.34,9.03,15.76,16.16,1.05,18.62,82.64,43.88,0.06,0.21,38.14,0.3,61.59,154.64,739.0,103.49,,07-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Jul-2020 - 00:00,3.91,9.49,9.08,15.41,19.99,0.88,18.62,53.91,20.38,0.03,0.16,35.26,0.3,65.09,167.63,739.56,63.4,,08-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Jul-2020 - 00:00,4.6,9.85,9.11,15.8,15.91,0.93,18.57,43.21,18.18,0.03,0.16,39.12,0.3,59.73,182.4,739.52,125.87,,09-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Jul-2020 - 00:00,11.44,13.48,8.94,16.83,15.63,1.15,18.76,89.92,48.43,0.08,0.42,37.74,0.3,64.85,183.32,739.02,72.12,14.25,10-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Jul-2020 - 00:00,10.09,12.69,9.05,18.99,23.09,1.06,18.66,108.64,59.67,0.07,0.3,39.94,0.3,57.85,194.61,739.0,121.56,,11-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Jul-2020 - 00:00,3.65,8.74,9.03,9.46,6.89,0.88,18.6,60.93,28.19,0.03,0.29,34.86,0.3,66.23,200.34,738.99,57.05,4.17,12-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Jul-2020 - 00:00,2.82,8.79,9.06,18.44,12.21,0.87,18.73,51.49,25.06,0.04,0.29,34.36,0.3,63.78,158.61,739.04,86.49,7.0,13-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Jul-2020 - 00:00,5.35,10.22,9.08,17.27,10.09,1.01,18.63,77.07,29.41,0.05,0.39,37.66,0.3,58.98,188.89,739.0,121.14,,14-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Jul-2020 - 00:00,9.3,12.28,9.14,26.3,18.17,1.13,18.67,181.85,75.2,0.1,0.29,39.7,0.3,59.49,192.23,739.21,84.47,,15-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Jul-2020 - 00:00,6.99,11.12,9.1,30.68,22.39,1.07,18.58,94.39,42.88,0.06,0.25,38.91,0.3,61.78,165.59,739.41,88.91,1.0,16-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Jul-2020 - 00:00,4.89,10.05,9.16,25.12,14.68,1.02,18.71,76.78,30.8,0.05,0.24,38.79,0.3,61.94,165.79,739.24,100.91,,17-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Jul-2020 - 00:00,6.67,11.06,9.16,23.44,13.86,1.19,18.62,88.76,45.81,0.08,0.42,36.84,0.3,68.59,153.93,739.32,54.38,4.3,18-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Jul-2020 - 00:00,2.84,8.89,9.16,18.82,9.51,1.0,18.62,61.74,33.77,0.05,0.19,35.08,0.3,70.64,166.52,739.65,51.79,17.81,19-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Jul-2020 - 00:00,2.03,8.49,9.11,27.43,7.7,1.01,18.56,79.2,48.76,0.04,0.26,37.36,0.3,66.93,211.61,739.47,104.44,,20-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Jul-2020 - 00:00,2.62,8.86,9.2,20.12,10.88,0.99,18.59,74.8,35.16,0.04,0.28,37.7,0.3,60.7,250.78,738.98,94.35,1.0,21-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Jul-2020 - 00:00,4.14,9.32,9.24,21.33,10.97,1.02,18.59,56.65,30.95,0.06,0.3,31.21,0.3,72.62,169.32,739.47,26.51,5.94,22-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Jul-2020 - 00:00,4.94,10.14,9.24,24.2,15.78,1.16,18.66,75.18,41.16,0.08,0.53,32.48,0.3,70.82,201.02,739.72,43.93,,23-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Jul-2020 - 00:00,3.66,9.36,9.08,19.32,15.0,1.05,18.68,72.0,39.62,0.08,0.44,35.77,0.3,63.54,196.21,739.38,112.4,3.0,24-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Jul-2020 - 00:00,3.61,8.81,9.06,20.14,17.29,0.98,18.7,63.14,29.17,0.03,0.22,38.73,0.3,59.03,175.4,740.0,160.59,,25-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Jul-2020 - 00:00,1.78,7.77,9.07,20.99,18.28,0.89,18.67,48.76,24.99,0.03,0.19,,,,,,,,26-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Jul-2020 - 00:00,2.24,8.17,9.18,20.6,6.45,1.04,18.58,67.4,39.66,0.05,0.21,,,,,,,,27-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Jul-2020 - 00:00,4.6,9.93,9.17,28.69,15.0,1.18,18.65,115.85,63.55,0.1,0.45,42.02,0.3,56.98,236.94,739.48,97.65,,28-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Jul-2020 - 00:00,2.92,9.04,9.23,33.06,8.21,1.08,18.67,111.52,50.8,0.08,0.36,39.51,0.3,62.97,250.81,739.28,75.4,,29-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Jul-2020 - 00:00,0.99,7.66,9.14,29.25,6.94,0.98,18.59,57.85,32.45,0.05,0.2,34.61,0.3,69.59,184.16,739.65,55.83,,30-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Jul-2020 - 00:00,1.76,8.11,9.17,22.25,11.62,1.06,18.6,53.77,29.23,0.06,0.23,36.42,0.3,66.8,211.8,739.79,62.75,,31-Jul-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Jul-2020 - 00:00,1.92,8.32,9.18,19.83,13.16,1.02,19.2,65.82,31.49,0.03,0.22,36.77,0.3,66.23,188.67,739.76,73.26,,01-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Aug-2020 - 00:00,2.54,8.23,8.99,14.82,20.64,1.04,18.64,67.72,34.61,0.04,0.18,36.08,0.3,67.24,194.28,739.7,81.12,4.0,02-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Aug-2020 - 00:00,0.86,7.58,9.16,17.3,11.71,1.0,18.65,70.02,31.68,0.04,0.23,41.7,0.3,55.69,206.37,739.2,132.39,,03-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Aug-2020 - 00:00,1.9,8.2,9.26,21.88,12.02,1.09,18.67,98.68,40.85,0.07,0.34,37.09,0.3,64.55,271.87,739.0,38.68,,04-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Aug-2020 - 00:00,5.26,9.93,9.09,25.62,8.11,1.12,18.55,71.96,34.51,0.05,0.38,41.31,0.3,54.73,142.88,738.85,157.98,,05-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Aug-2020 - 00:00,6.73,11.0,9.07,18.53,15.95,1.05,18.68,81.43,37.83,0.06,0.28,40.26,0.3,57.11,173.89,739.0,113.57,1.0,06-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Aug-2020 - 00:00,3.76,9.4,9.12,16.45,10.71,0.99,18.69,35.8,12.83,0.03,0.24,39.84,0.3,59.05,159.57,739.08,94.28,,07-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Aug-2020 - 00:00,6.59,10.29,9.07,12.45,16.91,0.99,18.64,49.77,16.82,0.03,0.21,39.1,0.3,59.72,173.06,739.61,91.67,,08-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Aug-2020 - 00:00,5.87,10.49,9.04,9.59,3.9,1.02,18.72,76.02,37.13,0.06,0.32,40.93,0.3,59.18,172.21,739.14,67.48,,09-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Aug-2020 - 00:00,6.87,11.08,9.08,15.43,6.67,1.07,18.62,102.58,55.04,0.08,0.31,37.1,0.3,68.66,193.59,739.05,41.5,15.38,10-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Aug-2020 - 00:00,5.03,10.13,9.11,11.5,13.18,1.06,18.61,67.64,38.7,0.05,0.22,36.42,0.3,69.31,186.72,739.26,54.1,,11-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Aug-2020 - 00:00,5.2,10.05,9.06,12.69,5.64,1.11,18.6,53.75,27.54,0.06,0.29,35.92,0.3,69.14,177.4,739.1,52.06,,12-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Aug-2020 - 00:00,7.06,11.14,9.03,7.73,8.07,1.11,18.66,80.04,44.72,0.07,0.26,35.03,0.3,71.9,186.6,739.0,35.22,12.08,13-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Aug-2020 - 00:00,6.55,10.92,9.13,13.74,7.41,1.08,18.57,52.52,30.72,0.04,0.27,33.58,0.3,73.83,180.21,739.0,23.34,5.0,14-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Aug-2020 - 00:00,5.07,10.08,9.04,10.9,4.48,1.0,18.68,43.49,20.57,0.02,0.22,35.02,0.3,69.28,169.96,739.0,60.24,,15-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Aug-2020 - 00:00,4.38,9.67,9.07,9.33,6.99,1.01,18.7,69.66,36.25,0.05,0.17,37.22,0.3,66.18,177.38,739.0,76.17,,16-Aug-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
