from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
26-Feb-2020 - 00:00,62.69,161.18,52.78,7.39,34.09,41.54,24.98,0.7,50.55,22.5,0.62,195.34,55.04,726.56,301.27,0.0,27-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
27-Feb-2020 - 00:00,43.4,102.66,41.93,2.73,24.52,37.59,4.7,0.59,65.37,23.49,0.54,133.73,55.95,726.89,306.74,0.0,28-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
28-Feb-2020 - 00:00,39.65,100.19,36.92,2.13,21.36,36.39,6.13,0.49,76.66,24.2,0.78,124.7,53.96,725.5,304.39,0.0,29-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
29-Feb-2020 - 00:00,49.1,130.64,42.26,3.58,25.39,37.2,7.06,0.62,70.37,24.98,0.56,144.48,55.95,724.2,280.16,0.0,01-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
01-Mar-2020 - 00:00,41.91,89.2,31.76,2.11,18.59,35.83,5.82,0.41,71.82,23.68,1.06,109.19,63.69,725.07,287.96,0.03,02-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
02-Mar-2020 - 00:00,43.22,113.14,45.4,4.87,28.1,33.34,8.96,0.76,54.28,24.93,0.76,194.03,62.43,724.23,300.64,0.01,03-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
03-Mar-2020 - 00:00,42.07,99.51,40.48,3.38,24.28,35.86,7.73,0.49,59.18,26.17,0.8,158.85,58.18,722.46,300.94,0.0,04-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
04-Mar-2020 - 00:00,39.36,92.11,39.82,4.2,24.6,31.38,8.28,0.4,57.15,25.26,0.8,144.55,57.2,722.03,308.1,0.0,05-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
05-Mar-2020 - 00:00,42.52,110.22,38.4,4.21,23.86,29.1,7.63,0.47,67.57,25.82,0.65,132.1,52.74,721.47,304.32,0.0,06-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
06-Mar-2020 - 00:00,40.4,108.33,27.74,3.6,17.68,30.97,4.26,0.41,58.73,25.12,0.95,162.0,60.94,721.15,299.8,0.0,07-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
07-Mar-2020 - 00:00,54.71,149.51,40.68,6.61,27.01,31.02,9.88,0.63,46.48,24.82,0.5,214.15,54.67,724.79,295.74,0.0,08-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
08-Mar-2020 - 00:00,42.56,110.55,35.31,4.31,22.28,31.29,6.2,0.53,57.85,24.14,0.61,136.02,57.22,726.62,314.25,0.0,09-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
09-Mar-2020 - 00:00,42.96,141.62,49.58,12.97,36.92,28.33,17.93,0.82,44.69,23.95,0.51,179.98,45.36,725.43,320.02,0.0,10-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
10-Mar-2020 - 00:00,49.23,100.07,32.91,4.93,21.51,32.44,13.32,0.73,52.2,23.75,0.95,118.17,49.78,723.92,281.66,0.0,11-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
11-Mar-2020 - 00:00,27.88,61.35,25.38,4.44,17.11,27.66,17.15,0.49,46.23,25.34,0.69,184.03,62.55,722.31,288.73,0.01,12-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
12-Mar-2020 - 00:00,47.55,121.22,34.34,9.27,25.81,34.07,20.11,0.76,41.97,27.31,0.55,218.58,57.83,724.32,301.04,0.0,13-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
13-Mar-2020 - 00:00,33.05,100.26,30.26,6.52,21.39,44.84,11.67,0.61,46.08,26.29,0.64,212.18,58.07,725.12,271.67,0.0,14-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
14-Mar-2020 - 00:00,26.08,65.96,32.89,4.15,20.87,41.18,6.6,0.52,46.2,25.35,0.59,145.38,61.39,725.11,278.56,0.0,15-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
15-Mar-2020 - 00:00,35.16,86.88,27.74,4.28,18.23,42.84,6.73,0.4,49.13,24.17,0.52,135.75,63.54,726.35,278.51,0.0,16-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
16-Mar-2020 - 00:00,40.45,135.39,41.06,6.66,27.26,47.58,6.89,0.6,54.51,25.12,0.52,163.3,51.33,727.21,322.73,0.0,17-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
17-Mar-2020 - 00:00,36.01,136.06,40.58,7.06,27.32,56.97,5.27,0.77,67.45,25.65,0.53,114.81,45.72,727.83,321.1,0.0,18-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
18-Mar-2020 - 00:00,51.41,173.79,50.04,15.37,39.12,72.38,3.69,1.51,65.18,26.55,0.46,169.07,46.07,726.44,318.27,0.0,19-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
19-Mar-2020 - 00:00,58.27,148.59,46.44,9.05,32.06,89.3,11.08,0.85,39.45,22.35,0.55,153.97,66.73,724.49,216.06,0.06,20-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
20-Mar-2020 - 00:00,49.44,127.02,38.12,9.88,27.7,83.25,10.96,1.58,33.25,25.67,0.51,195.56,55.74,723.43,302.35,0.0,21-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
21-Mar-2020 - 00:00,33.19,121.64,36.19,5.64,23.84,77.5,10.21,0.35,56.16,27.31,0.74,197.93,48.92,723.38,313.15,0.0,22-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
22-Mar-2020 - 00:00,27.93,66.24,25.86,3.32,16.45,58.54,3.97,0.38,74.19,28.07,0.59,123.84,51.17,724.66,309.89,0.0,23-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
23-Mar-2020 - 00:00,36.69,89.53,26.83,4.15,16.5,61.37,9.72,0.55,68.99,29.41,0.44,153.93,41.88,723.43,195.32,0.0,24-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
24-Mar-2020 - 00:00,34.03,91.05,26.77,3.72,17.26,67.73,8.36,0.55,68.94,30.04,0.59,134.16,41.28,722.74,305.97,0.0,25-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
25-Mar-2020 - 00:00,29.57,85.69,20.31,3.27,13.46,62.92,7.52,0.49,72.41,30.4,0.7,133.65,42.56,722.89,290.88,0.0,26-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
