from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
22-Nov-2020 - 00:00,13.58,7.26,8.64,3.11,6.66,0.58,43.02,48.48,122.82,0.33,136.65,57.4,705.8,2.39,27.46,23-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Nov-2020 - 00:00,14.01,7.44,8.96,3.39,7.47,0.73,39.84,44.91,95.38,0.38,109.45,63.58,705.53,2.66,27.64,24-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Nov-2020 - 00:00,14.0,7.44,8.9,3.37,4.86,0.74,42.17,54.65,108.21,0.4,97.58,72.69,704.42,2.64,27.94,25-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Nov-2020 - 00:00,13.6,7.27,8.62,3.12,5.59,0.65,44.47,48.83,98.89,0.37,112.42,75.14,702.57,2.39,27.5,26-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Nov-2020 - 00:00,13.55,7.25,8.6,3.21,3.86,0.46,27.98,15.11,21.81,0.31,208.7,88.14,702.24,2.37,30.56,27-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Nov-2020 - 00:00,12.97,7.0,8.3,2.7,3.62,0.47,25.02,9.82,30.59,0.27,188.81,79.73,703.86,2.0,29.03,28-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Nov-2020 - 00:00,13.3,7.14,8.48,2.92,4.59,0.52,25.57,19.91,48.62,0.29,145.5,76.86,705.39,2.21,28.3,29-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Nov-2020 - 00:00,12.95,7.0,8.29,2.69,5.48,0.52,24.18,18.33,48.51,0.28,97.02,79.6,706.23,1.99,28.25,30-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Nov-2020 - 00:00,13.32,7.15,8.51,2.94,4.79,0.61,22.34,21.75,53.35,0.33,108.19,72.11,706.05,2.22,28.29,01-Dec-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Dec-2020 - 00:00,12.7,6.9,8.1,2.5,2.9,0.43,12.74,28.0,57.0,0.25,81.0,82.0,707.0,1.8,27.35,02-Dec-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
