from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
12-Feb-2020 - 00:00,39.68,69.53,30.11,29.86,5.91,0.76,109.21,178.45,3.45,0.0,0.74,3.6,28.12,18.81,0.01,186.55,70.14,0.0,222.18,0.42,998.39,13-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Feb-2020 - 00:00,50.11,87.9,26.48,37.79,6.03,1.05,124.06,219.02,4.26,0.0,1.09,4.38,26.63,18.99,0.0,181.72,70.9,0.0,213.04,0.46,996.76,14-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Feb-2020 - 00:00,56.77,104.91,28.88,48.14,5.65,0.88,152.57,227.9,5.02,0.0,1.43,5.67,27.07,19.61,0.01,170.86,71.13,0.0,196.52,0.41,993.35,15-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Feb-2020 - 00:00,63.39,116.47,29.43,53.19,7.4,1.42,189.99,319.76,6.79,0.0,2.2,8.79,30.49,20.62,0.01,122.76,71.95,0.0,125.03,0.55,996.02,16-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Feb-2020 - 00:00,61.73,128.95,29.88,67.22,7.76,0.87,175.23,303.0,6.2,0.0,2.31,9.62,23.07,20.5,0.01,134.46,77.21,0.0,205.67,0.39,998.33,17-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Feb-2020 - 00:00,48.44,96.12,35.95,47.67,5.52,0.92,186.15,278.47,5.22,0.0,1.35,5.67,20.73,20.49,0.01,129.38,82.0,0.0,219.82,0.34,998.06,18-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Feb-2020 - 00:00,46.63,76.64,40.57,30.01,5.29,1.1,159.9,228.71,5.7,0.0,1.11,5.12,21.1,20.17,0.01,134.31,84.72,0.0,210.07,0.4,997.04,19-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
19-Feb-2020 - 00:00,54.5,103.56,39.98,49.06,5.45,1.32,173.05,262.24,5.17,0.0,2.38,9.24,19.4,20.59,0.0,118.72,85.52,0.0,114.27,0.6,998.47,20-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
20-Feb-2020 - 00:00,69.95,99.29,28.93,32.34,5.4,0.99,144.93,220.91,3.91,0.57,1.99,7.48,18.38,20.55,0.0,98.44,84.64,0.0,60.25,0.74,999.09,21-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
21-Feb-2020 - 00:00,81.88,118.48,17.22,36.62,5.41,0.85,112.44,212.01,2.73,0.49,1.5,5.15,20.74,21.6,0.01,153.2,70.88,0.0,154.04,0.49,,22-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
22-Feb-2020 - 00:00,69.29,158.71,15.85,89.42,5.77,0.87,137.86,251.99,2.38,0.0,1.68,6.18,18.9,21.77,0.01,119.48,72.18,0.0,221.25,0.42,,23-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
23-Feb-2020 - 00:00,47.1,89.67,20.4,42.89,5.21,0.42,102.38,166.62,2.21,0.0,0.81,3.69,24.65,22.52,0.01,194.4,63.48,0.0,183.53,0.66,998.2,24-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Feb-2020 - 00:00,32.73,48.34,29.06,14.2,6.9,0.51,61.85,112.5,1.69,0.0,0.43,2.67,30.64,22.14,-0.03,181.23,60.92,0.0,115.09,1.17,997.38,25-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Feb-2020 - 00:00,37.88,56.43,28.04,18.54,4.21,0.53,33.94,69.22,1.27,0.0,0.5,2.67,26.97,19.41,-0.09,88.68,71.21,0.13,81.85,1.62,997.88,26-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Feb-2020 - 00:00,35.42,54.83,24.6,19.42,3.74,0.7,25.1,45.04,1.19,0.0,0.72,3.51,19.8,17.92,0.0,105.15,87.62,0.15,142.92,0.67,998.35,27-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Feb-2020 - 00:00,37.98,71.76,19.97,32.98,5.5,0.56,37.13,82.82,1.51,0.01,0.66,3.56,24.08,20.04,0.0,245.93,75.54,0.0,159.31,0.54,998.26,28-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
28-Feb-2020 - 00:00,61.63,105.46,22.42,43.75,5.05,0.76,55.33,92.59,1.88,0.0,0.88,3.86,23.4,20.79,0.0,232.14,77.46,0.0,188.56,0.51,997.69,29-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Feb-2020 - 00:00,60.66,114.58,28.01,53.91,4.89,0.77,54.22,115.11,1.86,0.0,1.04,3.73,25.59,21.65,0.01,223.56,71.58,0.0,219.0,0.51,996.0,01-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
01-Mar-2020 - 00:00,54.48,94.45,31.91,39.97,5.05,0.74,70.41,116.15,1.95,0.0,0.97,3.99,26.13,22.13,0.01,224.4,71.33,0.0,193.91,0.5,995.93,02-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Mar-2020 - 00:00,51.83,73.0,39.16,21.18,4.94,0.63,67.95,121.28,1.96,0.0,0.82,3.96,26.28,22.13,0.0,200.71,71.23,0.0,161.97,0.66,994.9,03-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
