from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,WS,WD,to date,station
20-May-2020 - 00:00,38.1,81.62,6.75,17.97,11.24,9.52,8.29,0.77,16.06,0.92,1.39,110.3,21-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-May-2020 - 00:00,43.19,92.55,5.45,14.61,9.18,10.02,8.18,0.89,27.04,0.77,1.24,234.71,22-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-May-2020 - 00:00,49.5,105.86,6.09,16.38,10.18,9.48,8.32,0.9,20.28,0.76,1.38,222.7,23-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-May-2020 - 00:00,44.84,96.57,6.14,16.4,10.32,9.56,8.45,0.83,16.46,0.75,1.24,254.31,24-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-May-2020 - 00:00,35.97,76.92,5.39,14.32,8.94,8.46,4.96,0.7,16.64,0.69,1.05,138.91,25-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-May-2020 - 00:00,39.61,84.96,5.76,15.29,9.55,6.41,5.42,0.87,19.6,0.61,1.12,223.21,26-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-May-2020 - 00:00,42.82,91.53,5.94,15.79,9.89,7.17,6.35,0.84,15.68,0.61,1.24,157.03,27-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-May-2020 - 00:00,42.86,91.69,6.27,16.86,10.55,7.44,6.36,0.86,23.1,0.58,1.77,239.22,28-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-May-2020 - 00:00,41.54,88.89,6.14,16.4,10.23,7.48,5.3,0.73,24.13,0.66,2.63,169.33,29-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-May-2020 - 00:00,45.74,97.35,6.01,16.02,10.05,7.7,5.83,0.63,19.4,0.77,3.08,321.25,30-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-May-2020 - 00:00,41.07,87.11,5.89,15.75,9.87,7.64,5.68,0.62,21.01,0.64,2.04,285.95,31-May-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
31-May-2020 - 00:00,32.75,70.63,5.31,14.19,8.86,7.37,4.66,0.57,22.26,0.69,1.9,315.95,01-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Jun-2020 - 00:00,32.01,69.01,4.8,12.77,8.03,6.77,4.37,0.52,24.85,0.64,2.25,232.9,02-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Jun-2020 - 00:00,32.26,69.56,4.91,13.09,8.13,6.84,4.36,0.54,22.77,0.65,2.26,233.24,03-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Jun-2020 - 00:00,41.24,88.01,7.2,19.3,12.04,9.81,4.97,0.77,13.46,0.73,2.24,222.39,04-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Jun-2020 - 00:00,41.04,87.51,7.56,20.15,12.61,11.15,5.3,0.9,18.76,0.77,2.29,220.74,05-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Jun-2020 - 00:00,34.11,73.35,6.07,16.19,10.07,10.04,4.94,0.89,16.66,0.72,3.78,267.24,06-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Jun-2020 - 00:00,39.29,83.89,5.74,15.42,9.58,7.75,4.97,0.94,17.82,0.76,2.76,235.96,07-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Jun-2020 - 00:00,30.75,65.79,4.93,13.17,8.25,6.45,4.38,0.75,16.11,0.74,3.18,298.69,08-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Jun-2020 - 00:00,26.18,55.76,5.59,14.93,9.31,7.68,4.97,0.73,13.02,0.72,3.18,298.62,09-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Jun-2020 - 00:00,31.76,67.57,5.47,14.58,9.11,8.95,4.91,0.71,18.44,0.74,3.18,298.74,10-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Jun-2020 - 00:00,37.76,80.37,5.08,13.54,8.5,9.33,4.66,0.67,20.74,0.78,3.18,298.71,11-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Jun-2020 - 00:00,29.71,63.31,4.59,12.32,7.7,10.3,3.99,0.6,17.3,0.66,3.18,298.71,12-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Jun-2020 - 00:00,34.01,72.46,4.59,12.36,7.71,10.32,4.0,0.6,21.51,0.67,3.18,298.74,13-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Jun-2020 - 00:00,34.06,72.54,4.87,13.03,8.16,9.44,4.33,0.7,14.08,0.71,3.18,298.67,14-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Jun-2020 - 00:00,28.58,60.89,6.57,17.57,10.96,10.65,6.02,1.01,16.73,0.73,3.18,298.74,15-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Jun-2020 - 00:00,19.79,42.16,6.66,17.67,11.08,9.23,5.92,0.86,16.43,0.67,3.18,298.66,16-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Jun-2020 - 00:00,32.88,70.02,5.45,14.48,9.04,9.27,4.71,0.65,17.75,0.65,3.18,298.73,17-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Jun-2020 - 00:00,42.74,91.09,5.79,15.53,9.65,10.8,5.02,0.67,17.68,0.7,3.17,298.72,18-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Jun-2020 - 00:00,35.79,76.22,5.87,15.57,9.74,10.9,5.14,0.68,20.71,0.66,3.18,298.76,19-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Jun-2020 - 00:00,32.58,69.37,6.78,18.18,11.38,12.65,6.97,0.73,18.53,0.75,3.18,298.64,20-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Jun-2020 - 00:00,29.01,61.78,7.12,19.07,11.91,11.25,6.88,0.71,21.58,0.63,3.18,298.57,21-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Jun-2020 - 00:00,27.28,58.09,6.46,17.11,10.76,10.59,5.93,0.64,17.58,0.7,3.18,298.68,22-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Jun-2020 - 00:00,30.13,64.32,6.06,16.12,10.07,12.45,5.25,0.55,19.92,0.77,3.18,298.72,23-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Jun-2020 - 00:00,29.42,62.65,6.19,16.42,10.23,13.03,6.49,0.69,19.09,0.74,3.18,298.65,24-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Jun-2020 - 00:00,25.94,55.24,5.77,15.37,9.65,11.05,7.58,0.66,16.29,0.72,3.18,298.67,25-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Jun-2020 - 00:00,30.08,64.28,6.76,18.09,11.27,11.72,8.93,0.66,18.55,0.75,3.18,298.75,26-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Jun-2020 - 00:00,29.13,62.11,6.75,18.05,11.27,12.34,7.99,0.62,20.96,0.71,3.18,298.75,27-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Jun-2020 - 00:00,37.69,80.3,7.78,20.84,13.02,14.86,8.07,0.64,28.75,0.78,3.18,298.7,28-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Jun-2020 - 00:00,38.97,82.97,7.01,18.6,11.62,13.89,7.22,0.7,20.15,0.67,3.18,298.65,29-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Jun-2020 - 00:00,39.58,84.31,6.08,16.15,10.09,12.93,6.27,0.76,18.63,0.54,3.18,298.58,30-Jun-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Jun-2020 - 00:00,29.08,61.9,7.27,19.37,12.07,15.01,6.43,0.68,15.78,0.47,3.18,298.76,01-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Jul-2020 - 00:00,27.21,57.99,7.24,19.32,11.99,15.87,6.79,0.62,17.87,0.59,3.18,298.76,02-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Jul-2020 - 00:00,25.52,54.17,7.3,19.24,12.08,15.73,6.84,0.81,18.62,0.59,3.18,298.65,03-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Jul-2020 - 00:00,29.17,61.69,7.54,20.11,12.6,15.61,6.54,1.06,17.89,0.57,3.18,298.62,04-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Jul-2020 - 00:00,32.01,68.18,8.52,22.72,14.18,16.78,7.54,0.78,16.75,0.64,3.18,298.66,05-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Jul-2020 - 00:00,33.02,70.26,6.32,17.02,10.58,16.77,8.6,0.63,16.17,0.64,3.18,298.77,06-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Jul-2020 - 00:00,19.22,40.93,6.95,18.55,11.66,13.57,7.54,0.63,12.17,0.51,3.19,298.47,07-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Jul-2020 - 00:00,22.67,48.26,7.75,20.52,12.87,12.12,7.23,0.67,13.71,0.55,3.18,298.61,08-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Jul-2020 - 00:00,26.74,56.94,6.1,16.24,10.16,13.33,5.79,0.53,13.25,0.62,3.18,298.68,09-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Jul-2020 - 00:00,29.27,62.3,8.12,21.62,13.51,15.34,7.57,0.67,17.84,0.53,3.18,298.65,10-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Jul-2020 - 00:00,20.69,44.06,8.9,23.76,14.86,14.91,8.26,0.7,18.63,0.52,3.18,298.77,11-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Jul-2020 - 00:00,24.35,51.88,8.58,22.97,14.3,14.4,8.12,0.67,20.21,0.51,3.18,298.62,12-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Jul-2020 - 00:00,26.73,56.82,7.21,19.17,11.99,15.78,7.27,0.57,6.63,0.59,3.17,298.4,13-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Jul-2020 - 00:00,26.03,55.4,7.53,19.95,12.56,16.27,7.48,0.6,16.36,0.62,3.18,298.67,14-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Jul-2020 - 00:00,36.36,77.37,8.94,23.83,14.89,17.85,8.54,0.72,20.55,0.74,3.18,298.78,15-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Jul-2020 - 00:00,37.37,79.36,8.36,22.23,13.91,17.49,8.42,1.23,30.6,0.66,3.18,298.72,16-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Jul-2020 - 00:00,26.73,59.55,7.8,20.84,13.04,17.01,8.21,1.5,21.95,0.64,3.18,298.72,17-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Jul-2020 - 00:00,21.95,58.38,7.95,21.24,13.19,17.43,6.81,1.27,19.88,0.64,3.18,298.63,18-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Jul-2020 - 00:00,28.12,71.07,7.72,20.58,12.88,13.88,4.75,1.03,27.84,0.53,3.18,298.64,19-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Jul-2020 - 00:00,19.69,55.12,22.62,42.57,19.94,17.47,7.9,0.89,14.3,0.4,3.18,298.59,20-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Jul-2020 - 00:00,17.07,66.65,9.46,24.74,15.26,19.45,6.16,0.89,45.98,0.5,3.18,298.68,21-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Jul-2020 - 00:00,21.83,69.08,17.94,34.89,17.0,15.63,13.31,0.95,18.99,4.6,2.27,251.21,22-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Jul-2020 - 00:00,46.21,90.62,32.98,51.27,18.29,20.08,36.42,1.04,35.93,5.51,1.08,191.05,23-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Jul-2020 - 00:00,37.68,98.9,8.08,28.03,20.54,27.78,2.61,1.0,,2.91,0.5,230.28,24-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Jul-2020 - 00:00,58.84,135.66,11.82,29.48,17.71,20.88,6.53,0.99,24.25,4.24,0.47,215.16,25-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Jul-2020 - 00:00,41.74,68.87,41.99,62.7,20.71,30.55,11.12,0.92,19.04,5.39,0.46,142.86,26-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Jul-2020 - 00:00,40.34,62.09,18.65,36.22,17.57,31.9,13.85,0.84,19.69,6.83,0.59,169.63,27-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Jul-2020 - 00:00,34.26,54.95,21.1,38.74,17.63,38.53,20.54,0.78,22.95,5.3,0.55,209.29,28-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Jul-2020 - 00:00,49.96,86.72,25.22,44.87,19.86,29.13,45.41,0.86,17.32,4.93,0.54,222.82,29-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Jul-2020 - 00:00,49.29,100.76,21.12,39.38,17.96,22.07,35.88,0.94,21.06,4.33,0.55,220.42,30-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Jul-2020 - 00:00,58.24,102.78,9.3,29.17,20.21,22.42,6.25,1.08,17.81,5.33,0.47,192.56,31-Jul-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
31-Jul-2020 - 00:00,46.45,72.96,8.74,27.47,19.57,29.01,5.29,0.98,18.7,6.92,0.52,202.43,01-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Aug-2020 - 00:00,38.66,67.71,6.6,22.58,16.41,34.6,4.98,0.87,21.04,7.2,0.6,204.64,02-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Aug-2020 - 00:00,35.49,61.33,10.93,25.02,14.11,29.94,5.15,0.82,21.37,4.23,0.55,212.69,03-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Aug-2020 - 00:00,28.34,46.09,11.3,20.97,9.52,35.04,5.31,0.72,22.25,2.38,0.63,209.52,04-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Aug-2020 - 00:00,34.81,54.15,19.8,32.94,13.22,35.08,5.47,0.82,22.7,2.39,0.5,166.99,05-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Aug-2020 - 00:00,45.34,88.19,49.88,73.7,23.83,26.25,5.49,1.13,26.92,2.48,0.37,241.39,06-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Aug-2020 - 00:00,50.86,85.36,60.17,94.39,34.29,13.19,4.84,1.36,17.98,2.54,0.29,204.22,07-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Aug-2020 - 00:00,52.13,72.45,39.23,53.91,14.25,19.85,6.61,0.98,19.77,2.69,0.62,195.09,08-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Aug-2020 - 00:00,60.03,95.98,37.52,49.98,12.47,16.63,6.68,0.87,18.12,2.77,0.64,210.77,09-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Aug-2020 - 00:00,57.12,82.82,35.63,48.81,13.18,15.42,6.65,1.0,15.1,2.68,0.42,225.68,10-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Aug-2020 - 00:00,58.62,90.19,38.5,53.33,14.75,15.5,7.97,0.98,18.55,2.84,0.42,223.86,11-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Aug-2020 - 00:00,37.73,78.31,35.18,49.03,13.86,18.28,8.53,0.79,19.46,2.95,0.48,223.01,12-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Aug-2020 - 00:00,28.65,46.81,27.29,37.17,10.03,19.93,7.46,0.69,17.29,3.0,0.51,229.54,13-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Aug-2020 - 00:00,30.61,41.98,30.61,43.13,12.38,16.77,7.77,0.7,17.33,2.93,0.53,233.03,14-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Aug-2020 - 00:00,32.73,50.45,28.59,46.16,17.76,16.85,8.08,0.8,20.06,2.73,0.49,229.78,15-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Aug-2020 - 00:00,41.98,64.84,26.97,50.27,23.21,18.42,22.64,0.82,18.67,2.52,0.5,225.08,16-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Aug-2020 - 00:00,39.59,60.42,25.82,44.9,19.64,20.76,16.06,0.82,19.44,2.4,0.49,226.04,17-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Aug-2020 - 00:00,44.59,78.94,24.32,47.65,24.12,25.96,21.0,0.81,21.52,2.48,0.52,225.31,18-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Aug-2020 - 00:00,39.9,63.14,24.26,45.13,20.19,21.39,18.49,0.83,22.15,2.51,0.54,220.61,19-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Aug-2020 - 00:00,41.61,74.86,20.95,48.11,28.67,17.55,28.31,0.8,21.57,2.59,0.48,226.95,20-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Aug-2020 - 00:00,44.68,88.49,23.37,51.94,29.65,18.74,24.13,0.84,20.86,2.4,0.43,230.62,21-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Aug-2020 - 00:00,45.02,70.98,26.68,48.65,22.01,19.3,9.34,0.87,19.41,2.25,0.39,241.56,22-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Aug-2020 - 00:00,43.29,78.19,21.29,55.04,34.66,14.4,6.98,0.9,15.24,2.27,0.44,231.86,23-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Aug-2020 - 00:00,26.72,52.88,31.21,52.43,21.26,13.13,6.01,0.88,13.42,2.3,0.5,241.66,24-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Aug-2020 - 00:00,33.69,72.72,36.12,65.28,29.1,7.76,13.66,0.89,13.63,2.43,0.59,220.06,25-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Aug-2020 - 00:00,34.66,83.77,20.13,57.14,37.72,9.9,23.86,0.81,22.36,2.63,0.6,220.47,26-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Aug-2020 - 00:00,48.62,94.14,24.38,60.37,36.09,15.23,24.61,0.8,16.99,2.79,0.58,210.89,27-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Aug-2020 - 00:00,60.55,92.23,22.56,60.25,38.02,26.67,16.07,0.83,19.05,2.94,0.54,205.78,28-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Aug-2020 - 00:00,43.73,76.95,21.69,46.6,25.07,29.59,10.81,0.82,21.47,2.75,0.47,218.14,29-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Aug-2020 - 00:00,51.88,87.81,22.63,46.51,23.89,28.89,24.98,0.79,21.89,2.29,0.47,228.37,30-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Aug-2020 - 00:00,40.99,64.54,25.35,49.6,24.05,23.81,8.5,0.83,10.2,2.3,0.46,232.06,31-Aug-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
31-Aug-2020 - 00:00,44.11,70.89,30.32,61.17,31.15,19.26,5.9,0.89,12.55,2.25,0.45,207.25,01-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Sep-2020 - 00:00,55.63,106.96,24.68,54.85,31.21,26.06,16.43,0.93,23.37,2.19,0.41,221.9,02-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Sep-2020 - 00:00,51.29,112.07,28.27,68.38,40.49,21.61,14.88,1.08,23.17,2.03,0.29,230.82,03-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Sep-2020 - 00:00,84.03,151.19,26.14,65.64,44.46,22.4,15.75,1.07,21.56,2.2,0.32,205.15,04-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Sep-2020 - 00:00,61.73,112.52,21.65,45.7,25.02,18.46,5.25,0.94,23.23,2.16,0.43,174.67,05-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Sep-2020 - 00:00,60.21,139.11,17.41,64.35,55.64,16.13,5.44,1.32,21.7,2.16,0.33,189.65,06-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Sep-2020 - 00:00,54.33,128.79,24.87,61.33,41.24,16.52,5.74,0.98,21.67,2.08,0.36,215.25,07-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Sep-2020 - 00:00,51.95,100.91,32.64,65.63,33.54,16.64,5.18,0.87,23.7,1.99,0.39,220.5,08-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Sep-2020 - 00:00,58.66,115.43,23.61,63.77,42.39,14.47,4.73,0.94,23.14,2.2,0.36,255.52,09-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Sep-2020 - 00:00,54.19,147.72,48.34,100.91,61.65,8.6,4.94,1.53,18.31,2.3,0.3,178.16,10-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Sep-2020 - 00:00,53.74,130.15,49.49,87.72,39.19,9.88,4.87,1.23,19.68,2.23,0.28,211.06,11-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Sep-2020 - 00:00,58.01,102.77,59.06,85.02,24.76,10.62,5.55,0.94,16.63,2.59,0.37,205.69,12-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Sep-2020 - 00:00,28.68,54.47,46.24,63.07,16.87,13.39,4.65,0.85,17.75,2.2,0.31,121.84,13-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Sep-2020 - 00:00,24.36,53.41,50.76,70.06,19.31,15.07,5.28,0.73,17.17,1.86,0.47,144.81,14-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Sep-2020 - 00:00,33.92,67.79,33.18,56.15,22.97,27.93,21.53,0.71,16.77,2.18,0.53,197.82,15-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Sep-2020 - 00:00,47.71,102.38,44.26,76.59,32.34,26.5,24.4,0.91,17.52,2.45,0.4,197.3,16-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Sep-2020 - 00:00,44.04,99.94,36.22,71.55,35.63,24.89,27.45,1.11,10.16,2.52,0.37,236.12,17-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Sep-2020 - 00:00,54.38,122.61,37.89,67.46,32.29,14.0,11.83,1.15,18.73,2.49,0.4,252.68,18-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Sep-2020 - 00:00,44.62,139.38,32.61,59.23,25.9,13.63,20.4,1.04,18.84,2.55,0.41,242.28,19-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Sep-2020 - 00:00,70.47,147.19,39.91,70.1,30.28,14.82,5.71,1.28,19.37,2.64,0.29,198.83,20-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Sep-2020 - 00:00,73.38,88.64,41.91,66.12,24.22,17.31,5.89,1.08,21.26,2.64,0.3,212.13,21-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Sep-2020 - 00:00,66.88,97.57,43.57,59.22,16.03,17.07,5.97,1.07,18.76,2.51,0.4,284.43,22-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Sep-2020 - 00:00,71.31,122.89,44.88,63.51,18.64,15.46,6.04,1.06,19.89,2.6,0.39,240.56,23-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Sep-2020 - 00:00,61.47,138.19,30.54,64.96,34.84,13.42,5.01,0.96,18.68,2.66,0.5,211.81,24-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Sep-2020 - 00:00,36.08,121.84,54.51,82.38,27.98,9.26,13.48,1.0,21.48,2.52,0.49,235.15,25-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Sep-2020 - 00:00,49.63,131.38,41.26,65.04,23.81,11.21,13.24,1.04,19.5,2.69,0.42,242.88,26-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Sep-2020 - 00:00,45.25,124.32,38.05,66.24,28.19,11.74,25.96,0.9,19.81,2.68,0.54,225.77,27-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Sep-2020 - 00:00,31.77,123.98,34.29,64.57,30.32,14.26,27.88,0.83,19.52,2.61,0.45,224.91,28-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Sep-2020 - 00:00,29.44,128.89,45.32,83.5,38.18,12.99,11.05,1.27,14.84,2.47,0.36,221.81,29-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Sep-2020 - 00:00,58.6,151.63,42.21,78.81,36.6,11.8,30.88,1.13,20.14,2.56,0.35,252.54,30-Sep-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Sep-2020 - 00:00,70.26,160.81,43.87,89.51,45.7,10.24,33.41,1.13,18.94,2.81,0.34,254.1,01-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Oct-2020 - 00:00,59.28,156.38,43.18,80.79,37.66,13.07,28.7,0.99,21.76,2.68,0.37,282.23,02-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Oct-2020 - 00:00,39.86,112.03,46.92,67.14,20.21,15.39,16.12,0.82,21.18,2.57,0.38,303.15,03-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Oct-2020 - 00:00,55.77,138.18,44.31,78.32,35.57,13.86,30.05,1.09,22.39,2.78,0.38,265.94,04-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Oct-2020 - 00:00,55.78,135.88,45.11,74.31,29.19,14.07,40.44,0.94,25.57,2.62,0.41,276.16,05-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
