from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,RF,WS,WD,to date,station
05-Mar-2020 - 00:00,50.6,4.03,25.41,72.5,20.39,0.27,42.1,36.36,89.13,1.39,0.06,0.18,0.59,1.28,78.42,216.41,0.01,0.63,118.19,06-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Mar-2020 - 00:00,40.27,2.43,19.19,60.7,8.51,0.12,41.3,19.68,63.91,0.84,0.03,0.07,1.32,1.22,91.43,233.27,0.2,0.98,105.8,07-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Mar-2020 - 00:00,50.44,4.86,26.19,55.57,15.58,0.34,24.53,31.97,89.16,1.71,0.07,0.52,2.58,4.08,96.6,141.81,0.0,0.44,126.32,08-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Mar-2020 - 00:00,73.14,87.3,116.38,52.77,17.33,0.41,23.6,44.85,125.03,3.38,0.17,0.13,0.86,2.19,83.95,485.98,0.0,0.71,260.21,09-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Mar-2020 - 00:00,71.9,16.97,46.1,53.16,10.93,0.28,22.96,3.42,100.4,2.35,0.07,2.43,0.3,0.73,74.71,624.9,0.0,1.54,286.79,10-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Mar-2020 - 00:00,70.7,12.78,43.12,63.08,17.86,0.23,26.11,43.85,134.53,1.98,0.28,3.78,0.4,0.95,57.59,473.91,0.01,0.63,198.45,11-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Mar-2020 - 00:00,38.81,3.96,19.38,70.32,13.36,0.34,38.27,50.01,136.6,1.65,0.05,0.07,0.43,0.99,73.83,217.22,0.09,0.56,113.87,12-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Mar-2020 - 00:00,46.26,4.24,23.52,74.88,13.84,0.3,35.94,43.26,130.89,2.07,0.07,0.2,1.06,2.12,90.18,363.65,0.0,0.54,98.53,13-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Mar-2020 - 00:00,53.53,10.85,32.63,53.17,13.03,0.26,19.4,53.83,167.69,4.0,3.37,3.29,7.25,7.75,56.09,419.28,0.02,0.61,146.82,14-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Mar-2020 - 00:00,60.96,11.06,36.69,53.62,12.58,0.31,20.53,29.94,76.75,2.1,1.56,0.19,0.07,0.26,64.2,212.18,0.05,0.57,141.01,15-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Mar-2020 - 00:00,78.24,34.44,64.48,42.46,13.76,0.28,18.7,46.2,130.97,5.18,1.84,0.2,0.08,0.33,79.22,443.81,0.0,0.44,202.23,16-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Mar-2020 - 00:00,87.14,19.18,56.79,40.09,13.88,0.4,21.09,46.76,138.38,4.13,2.23,0.33,0.11,0.67,76.94,497.24,0.0,0.89,278.08,17-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Mar-2020 - 00:00,101.18,27.77,71.63,27.12,9.48,0.32,25.54,46.37,148.78,4.38,3.37,2.89,0.48,1.63,74.7,533.24,0.0,1.03,271.34,18-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Mar-2020 - 00:00,106.9,30.58,77.16,24.14,28.67,0.5,26.32,53.72,160.97,2.33,8.66,6.19,0.8,2.53,73.79,499.86,0.0,1.06,275.71,19-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Mar-2020 - 00:00,108.43,66.13,106.83,28.2,19.63,0.6,14.21,66.02,204.87,3.14,9.26,2.28,1.12,2.25,76.55,493.12,0.0,0.64,278.55,20-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Mar-2020 - 00:00,88.61,50.91,83.86,29.15,15.16,0.46,18.24,76.54,242.76,4.11,7.36,0.48,1.21,2.16,67.9,449.9,0.0,0.3,120.02,21-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Mar-2020 - 00:00,98.94,19.99,66.26,42.89,24.64,0.65,32.93,102.44,289.55,5.9,8.53,1.28,1.16,2.09,69.07,277.25,0.0,0.51,193.74,22-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Mar-2020 - 00:00,70.24,17.59,47.55,49.93,29.38,0.35,34.94,59.94,154.71,2.96,3.58,0.14,0.52,0.97,69.48,507.05,0.0,0.58,240.06,23-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Mar-2020 - 00:00,70.39,5.98,38.33,53.15,20.61,0.32,35.55,46.53,122.49,2.54,3.16,0.24,0.54,0.99,64.68,499.94,0.0,0.54,253.81,24-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Mar-2020 - 00:00,56.26,5.57,30.59,58.08,21.64,0.48,36.22,58.91,166.71,2.59,3.96,0.13,0.57,1.08,66.54,355.35,0.01,0.43,179.45,25-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Mar-2020 - 00:00,51.38,6.58,28.87,61.3,15.8,0.32,30.95,38.86,107.56,1.47,2.29,0.35,0.31,0.64,71.22,455.62,0.0,0.62,229.58,26-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Mar-2020 - 00:00,45.21,4.49,23.91,62.52,12.78,0.22,27.64,31.1,85.18,1.68,1.95,0.09,0.24,0.66,71.96,299.34,0.0,1.17,275.26,27-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Mar-2020 - 00:00,41.27,4.05,21.45,64.65,7.92,0.16,24.91,26.57,67.83,1.19,1.41,0.1,0.17,0.39,83.83,176.07,0.12,0.71,181.25,28-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Mar-2020 - 00:00,43.8,12.6,29.73,53.18,2.83,0.15,23.16,13.33,38.84,0.54,1.48,0.05,0.1,0.21,,7.4,0.0,1.08,280.73,29-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Mar-2020 - 00:00,36.77,2.88,18.22,49.71,9.19,0.16,39.75,21.09,69.84,0.95,1.56,0.03,0.16,0.41,57.85,612.48,0.0,1.88,294.86,30-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-Mar-2020 - 00:00,45.46,3.73,23.46,50.72,14.2,0.2,32.89,27.38,76.72,1.2,2.21,0.06,0.17,0.37,68.02,466.51,0.0,1.17,282.05,31-Mar-2020 - 00:00,"Sector-18, Panipat - HSPCB"
