from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,SR,RF,to date,station
25-Feb-2020 - 00:00,60.19,16.06,45.07,46.28,7.54,1.05,1.66,60.27,115.84,1.65,4.41,23.69,0.3,307.41,62.56,741.39,64.78,0.0,26-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
26-Feb-2020 - 00:00,56.47,16.04,43.07,43.0,6.56,0.99,1.77,53.41,84.05,1.7,2.77,23.53,0.3,297.57,63.71,741.58,64.28,0.0,27-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
27-Feb-2020 - 00:00,56.31,12.06,39.75,38.98,9.93,0.97,1.75,40.07,71.17,1.82,1.56,24.2,0.3,333.02,63.72,741.77,63.83,0.0,28-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
28-Feb-2020 - 00:00,47.78,8.89,32.65,39.65,8.07,0.93,1.8,41.7,97.29,1.58,1.15,23.89,1.03,335.03,65.22,741.36,65.22,0.0,29-Feb-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
29-Feb-2020 - 00:00,50.22,11.11,35.74,41.9,5.96,0.81,1.75,33.92,85.92,0.94,0.86,23.74,1.46,311.45,64.2,741.41,63.02,0.31,01-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
01-Mar-2020 - 00:00,69.11,19.13,52.3,70.13,5.17,0.79,,25.38,45.32,0.76,1.3,24.97,0.38,282.1,60.15,741.38,90.8,0.0,02-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
02-Mar-2020 - 00:00,53.49,31.23,53.84,47.72,5.27,1.02,1.78,61.23,108.86,1.38,3.08,26.73,0.3,246.15,58.61,741.34,84.15,0.0,03-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
03-Mar-2020 - 00:00,40.45,17.18,35.49,32.67,6.55,0.9,1.71,52.32,102.95,1.19,3.12,26.38,0.36,256.84,54.34,741.15,92.82,0.0,04-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
04-Mar-2020 - 00:00,39.68,14.53,32.92,34.04,4.62,0.89,1.78,63.72,134.95,1.26,2.83,25.75,0.4,280.44,55.26,741.12,78.79,0.0,05-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
05-Mar-2020 - 00:00,38.14,6.94,25.93,30.1,6.86,0.71,1.75,23.89,38.81,0.65,0.92,23.96,1.07,288.92,59.61,741.04,69.0,0.02,06-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
06-Mar-2020 - 00:00,35.27,5.22,23.0,36.49,4.22,0.64,2.02,13.57,21.77,0.29,0.55,20.21,2.6,309.44,67.72,741.0,65.18,0.83,07-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
07-Mar-2020 - 00:00,40.39,13.31,32.3,31.81,16.2,1.16,1.78,36.58,57.64,0.48,0.94,22.15,0.31,292.06,67.11,742.0,42.42,0.0,08-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
08-Mar-2020 - 00:00,60.42,22.4,50.35,30.31,1.47,1.0,1.8,50.81,91.78,1.11,3.09,21.54,0.45,204.55,65.29,741.91,92.56,0.0,09-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
09-Mar-2020 - 00:00,52.77,11.66,37.55,29.19,3.45,1.37,1.78,37.24,101.11,0.71,1.14,22.22,1.45,218.12,56.52,741.22,105.96,0.0,10-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
10-Mar-2020 - 00:00,61.77,10.53,41.41,30.86,1.96,1.22,1.8,53.98,151.66,1.08,2.52,23.11,0.34,262.7,55.34,741.2,86.53,0.0,11-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
11-Mar-2020 - 00:00,55.52,8.75,36.64,33.62,4.31,2.12,1.73,43.55,114.66,0.81,1.07,25.32,1.61,323.71,57.81,741.0,79.5,0.0,12-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
12-Mar-2020 - 00:00,50.68,9.18,34.42,36.36,2.53,2.41,1.77,46.21,141.45,0.83,1.46,27.14,0.61,330.39,58.12,741.22,85.05,0.0,13-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
13-Mar-2020 - 00:00,58.07,11.58,40.31,43.53,4.8,1.16,1.8,34.27,101.1,0.72,1.14,25.38,1.17,310.47,58.41,741.6,82.0,0.01,14-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
14-Mar-2020 - 00:00,62.99,10.55,42.09,37.61,3.4,1.05,1.71,18.46,48.82,0.47,1.17,22.24,0.67,296.91,62.31,741.63,67.63,0.27,15-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
15-Mar-2020 - 00:00,,,,,,1.12,1.76,26.78,77.35,0.66,1.14,22.69,0.31,233.45,59.32,741.8,97.8,0.0,16-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
16-Mar-2020 - 00:00,41.52,5.86,26.85,37.71,4.19,1.56,1.75,44.94,131.92,1.15,1.62,23.95,0.43,234.65,59.76,741.89,86.24,0.0,17-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
17-Mar-2020 - 00:00,61.72,11.12,41.88,38.57,7.16,0.97,1.75,42.89,145.64,1.16,2.87,25.63,0.94,205.26,55.96,741.9,105.76,0.0,18-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
18-Mar-2020 - 00:00,64.34,9.54,41.98,39.39,6.52,0.95,1.79,41.48,151.72,1.11,1.73,27.06,0.82,214.12,55.01,741.57,104.56,0.0,19-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
19-Mar-2020 - 00:00,72.22,18.5,53.46,42.59,5.94,1.72,1.72,59.26,210.8,1.89,4.48,28.51,0.32,222.5,56.22,741.2,95.95,0.0,20-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
20-Mar-2020 - 00:00,68.31,21.27,53.63,54.58,8.54,0.93,2.0,89.51,208.54,1.43,4.55,31.64,0.32,287.33,51.21,741.27,110.01,0.0,21-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
