from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
08-May-2020 - 00:00,17.8,307.72,3.89,0.58,4.33,,3.08,0.48,4.34,4.37,0.77,9.23,18.49,27.45,26.93,69.4,0.58,100.89,750.36,281.34,0.0,09-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
09-May-2020 - 00:00,31.98,526.27,4.06,0.44,4.51,,3.1,0.59,4.99,5.71,0.86,9.74,19.64,27.98,29.0,67.96,0.59,98.9,750.85,257.98,0.0,10-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
10-May-2020 - 00:00,31.94,659.74,4.09,0.27,4.35,,3.07,0.55,5.46,5.62,0.81,8.49,17.85,25.84,30.12,67.24,0.57,85.67,750.69,212.03,0.0,11-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
11-May-2020 - 00:00,14.31,70.2,3.86,0.15,3.96,,3.1,0.49,7.4,3.91,0.74,6.34,16.97,25.36,26.87,74.29,0.45,188.85,752.22,258.56,0.0,12-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
12-May-2020 - 00:00,30.0,68.54,5.15,0.73,5.88,,3.32,0.62,4.35,5.64,0.86,7.19,19.68,28.43,29.5,66.26,0.33,198.65,750.92,223.62,0.0,13-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
13-May-2020 - 00:00,34.81,85.08,6.36,0.69,7.05,,3.25,0.66,6.12,5.86,0.94,7.49,20.0,27.8,31.76,55.88,0.3,213.1,749.21,260.87,0.0,14-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
14-May-2020 - 00:00,41.81,297.77,8.5,3.5,6.44,,2.76,0.67,9.64,6.39,0.83,6.78,17.06,22.74,30.51,66.43,0.4,136.67,748.63,84.52,0.0,15-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
15-May-2020 - 00:00,26.1,74.24,3.36,8.02,8.09,15.43,2.82,0.49,4.79,5.15,0.74,9.31,17.95,25.25,30.33,71.53,0.58,108.78,747.96,262.32,0.0,16-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
16-May-2020 - 00:00,36.45,100.61,6.98,5.04,12.02,15.43,2.81,0.64,5.42,6.58,0.87,9.47,18.6,25.91,32.88,53.87,0.4,164.65,746.67,268.0,0.0,17-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
17-May-2020 - 00:00,48.27,787.34,7.07,4.91,11.85,15.43,2.85,0.75,7.06,7.24,1.04,10.23,20.11,27.07,33.4,40.99,0.4,187.03,746.64,275.59,0.0,18-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
18-May-2020 - 00:00,39.97,105.95,7.15,4.78,11.93,14.83,2.11,0.68,21.61,6.04,0.63,5.94,12.05,14.79,31.67,65.19,0.54,110.94,745.77,251.05,0.0,19-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
19-May-2020 - 00:00,37.29,93.14,6.76,5.03,7.51,21.78,1.27,0.44,18.9,4.22,0.33,3.05,6.18,6.78,31.44,66.77,0.65,70.99,745.51,231.63,0.0,20-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
20-May-2020 - 00:00,27.31,86.78,,1.01,0.01,14.71,0.13,0.51,10.41,4.85,0.37,4.19,8.23,8.72,29.53,66.91,0.85,102.06,744.93,123.09,0.0,21-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
21-May-2020 - 00:00,18.12,57.65,,,0.0,6.89,0.09,0.41,10.6,2.57,0.36,4.36,8.57,9.95,27.77,73.96,0.61,130.04,745.54,174.52,0.0,22-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
22-May-2020 - 00:00,10.45,63.74,,,0.0,,3.97,0.39,12.94,3.14,0.42,3.39,9.39,10.8,29.71,67.38,1.04,114.82,746.74,286.59,0.0,23-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
23-May-2020 - 00:00,22.15,66.63,,,0.0,6.9,6.81,0.52,4.73,3.83,0.46,3.2,11.23,13.13,29.8,74.84,0.65,92.33,747.32,206.09,0.0,24-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
24-May-2020 - 00:00,33.17,76.01,,,0.0,6.9,6.85,0.67,6.52,4.82,0.56,5.72,11.32,14.42,32.85,69.12,0.53,76.89,745.99,247.4,0.0,25-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
25-May-2020 - 00:00,37.02,109.25,,,0.0,6.9,6.68,0.65,7.49,5.26,0.62,6.06,11.82,14.35,33.37,68.23,0.62,78.11,745.35,253.15,0.0,26-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
26-May-2020 - 00:00,33.52,99.8,,,0.0,6.77,7.12,0.64,14.89,4.61,0.54,5.37,10.66,13.5,32.85,67.19,0.62,77.96,745.17,265.4,0.0,27-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
27-May-2020 - 00:00,26.72,175.94,,,0.0,,6.97,0.45,13.11,3.57,0.44,5.45,10.66,13.87,29.72,69.09,1.13,113.86,746.32,256.86,0.0,28-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
28-May-2020 - 00:00,19.36,97.39,,,0.21,,6.65,0.39,15.97,3.42,0.4,5.02,9.75,12.35,28.45,65.49,1.16,117.08,751.23,241.41,0.0,29-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
29-May-2020 - 00:00,23.05,77.55,,,0.26,6.9,6.76,0.49,5.85,4.23,0.48,6.31,12.26,15.76,30.05,65.91,0.86,101.43,756.62,219.35,0.0,30-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
30-May-2020 - 00:00,25.4,107.2,,,0.0,6.9,7.37,0.46,31.86,4.82,0.47,5.52,10.98,13.06,29.87,68.08,0.66,106.77,757.31,220.32,0.0,31-May-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
31-May-2020 - 00:00,20.12,39.16,,,0.0,6.9,9.47,,4.57,4.24,0.8,10.45,19.33,27.31,28.65,73.85,0.62,101.81,758.38,229.53,0.0,01-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
01-Jun-2020 - 00:00,19.68,72.51,,,0.0,6.69,9.0,0.21,19.21,4.26,0.75,9.61,17.85,25.04,30.05,63.88,0.42,135.8,757.86,253.84,0.0,02-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
02-Jun-2020 - 00:00,25.85,250.56,,,0.0,,8.63,0.28,18.49,3.85,0.54,6.87,12.8,18.46,30.58,64.86,0.37,253.4,756.61,284.1,0.0,03-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
03-Jun-2020 - 00:00,253.78,92.9,0.01,0.02,0.0,,7.22,1.05,35.31,5.53,0.69,5.82,12.33,14.8,34.31,49.32,0.22,48.01,748.2,321.3,,04-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
04-Jun-2020 - 00:00,26.63,61.21,,,0.0,,1.1,0.79,19.6,3.59,0.46,2.65,10.92,13.31,28.27,70.28,0.51,190.08,747.81,64.39,,05-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
05-Jun-2020 - 00:00,14.63,40.3,,,0.0,,1.79,0.88,7.06,5.17,0.54,2.34,14.76,16.77,26.09,90.77,0.66,98.55,750.07,79.15,,06-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
06-Jun-2020 - 00:00,9.48,27.29,8.45,2.84,5.41,,1.5,0.86,8.94,4.53,0.51,1.22,14.2,14.71,28.0,81.07,0.19,191.75,755.09,182.05,,07-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
07-Jun-2020 - 00:00,21.29,56.13,8.9,3.28,12.17,,2.46,0.92,3.09,5.08,0.63,0.94,16.64,16.38,29.91,73.99,0.31,202.92,754.57,212.34,,08-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
08-Jun-2020 - 00:00,19.7,52.3,8.25,2.56,10.67,,1.7,0.9,17.32,3.94,0.5,0.29,12.71,8.24,31.89,66.78,0.35,244.97,754.06,293.88,,09-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
09-Jun-2020 - 00:00,41.38,96.02,8.0,2.0,1.46,,2.69,1.07,8.36,5.85,0.62,0.29,13.98,9.44,32.91,66.62,0.48,83.11,754.39,250.99,,10-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
10-Jun-2020 - 00:00,35.43,169.53,,,0.0,,3.61,0.96,10.29,5.24,0.61,0.29,13.34,8.06,33.45,64.53,0.55,93.96,753.81,254.1,,11-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
11-Jun-2020 - 00:00,37.49,83.52,,,0.0,,3.58,0.86,6.62,5.02,0.56,0.0,13.23,7.58,32.88,64.0,0.76,97.68,752.97,235.8,,12-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
12-Jun-2020 - 00:00,20.82,65.89,,,0.0,,3.64,0.73,6.8,3.97,0.49,0.09,11.84,5.1,31.78,67.55,0.82,112.74,752.46,215.39,,13-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
13-Jun-2020 - 00:00,10.91,62.71,,,0.0,,3.51,0.69,3.01,4.1,0.48,0.0,12.91,5.8,30.43,75.36,0.81,111.16,753.03,210.44,,14-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
14-Jun-2020 - 00:00,13.74,52.64,,,0.0,,3.33,0.73,2.72,3.68,0.43,0.0,11.03,3.31,30.44,76.23,0.9,110.88,753.69,247.62,,15-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
15-Jun-2020 - 00:00,9.7,35.84,,,0.0,,3.4,0.85,5.52,3.71,0.44,0.12,12.36,4.39,28.67,86.49,0.68,104.71,752.67,137.99,,16-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
16-Jun-2020 - 00:00,13.98,53.48,,,0.0,,3.21,0.85,4.77,4.25,0.47,0.09,13.33,5.89,29.15,84.09,0.84,115.31,751.46,157.65,,17-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
17-Jun-2020 - 00:00,14.73,63.01,,,0.0,,2.96,0.85,2.83,4.4,0.52,0.17,14.22,5.88,29.87,80.44,0.7,112.97,751.3,157.17,,18-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
18-Jun-2020 - 00:00,15.78,43.69,,,0.0,,2.69,0.83,7.58,4.22,0.42,0.01,12.26,4.15,28.65,88.21,0.48,131.4,748.93,126.84,1.79,19-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
19-Jun-2020 - 00:00,14.82,39.61,,,0.0,,2.92,0.98,2.65,5.69,0.58,0.0,10.47,1.01,27.87,92.89,0.69,118.67,749.07,98.73,0.23,20-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
20-Jun-2020 - 00:00,12.93,41.81,,,0.0,,2.92,0.9,6.96,4.85,0.52,0.0,9.67,2.92,29.0,86.61,0.81,134.39,749.11,178.04,0.07,21-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
21-Jun-2020 - 00:00,5.24,40.14,,,0.0,,3.43,0.74,1.73,4.19,0.53,0.0,15.26,5.61,29.38,82.01,0.71,100.24,749.05,200.16,0.0,22-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
22-Jun-2020 - 00:00,7.02,41.28,,,0.0,,3.06,0.89,1.74,4.59,0.55,0.0,14.88,3.24,28.92,86.5,0.69,100.51,749.08,150.78,0.0,23-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
23-Jun-2020 - 00:00,13.58,75.91,,,0.0,,2.76,0.72,5.88,2.54,0.26,0.0,4.45,0.66,29.83,84.32,0.88,99.74,749.3,227.91,0.0,24-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
24-Jun-2020 - 00:00,11.53,67.1,,,0.0,,7.49,0.08,32.26,2.06,0.2,0.0,0.1,0.0,32.59,71.96,0.27,130.14,749.32,192.12,0.0,25-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
25-Jun-2020 - 00:00,10.13,69.89,,,0.0,,0.9,0.28,13.06,2.62,0.26,0.37,1.2,0.52,28.46,93.82,0.38,112.06,749.25,71.22,0.0,26-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
26-Jun-2020 - 00:00,36.46,36.54,,,0.0,,3.0,0.49,7.71,2.59,0.21,0.43,2.66,0.69,27.74,95.08,0.31,183.22,749.13,129.64,0.31,27-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
27-Jun-2020 - 00:00,8.54,77.27,,,0.0,,5.77,0.49,3.5,0.16,0.02,0.03,0.08,0.04,30.34,82.58,0.19,172.55,749.11,228.21,0.0,28-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
28-Jun-2020 - 00:00,15.78,67.91,,,0.0,,6.02,0.56,1.98,1.24,0.45,0.37,1.0,0.52,27.78,94.12,0.33,189.67,749.2,75.5,0.37,29-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
29-Jun-2020 - 00:00,11.7,47.33,,,0.0,,5.17,0.92,3.69,2.2,0.72,0.49,0.2,0.69,27.12,99.08,0.54,102.03,749.27,67.67,0.02,30-Jun-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
30-Jun-2020 - 00:00,32.57,107.21,,,0.0,,6.57,0.51,6.35,0.0,0.0,0.0,0.0,0.0,29.24,90.62,0.46,93.75,749.29,239.83,0.04,01-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
01-Jul-2020 - 00:00,48.59,206.79,,,0.0,,5.98,0.96,30.07,0.0,0.0,0.0,0.0,0.0,31.46,83.24,0.41,106.06,749.12,284.99,0.0,02-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
02-Jul-2020 - 00:00,51.19,223.93,,,0.0,,8.11,0.84,8.58,0.0,0.0,0.0,0.0,0.0,30.23,91.23,0.36,146.53,748.99,123.22,0.07,03-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
03-Jul-2020 - 00:00,29.54,278.09,,,0.0,,7.87,0.34,9.37,0.0,0.0,0.0,0.0,0.0,29.01,94.34,0.7,106.93,749.08,189.05,0.1,04-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
04-Jul-2020 - 00:00,19.94,186.63,,,0.0,,10.0,0.37,6.79,0.0,0.0,0.0,0.0,0.0,27.61,98.73,0.66,136.73,749.07,92.94,0.19,05-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
05-Jul-2020 - 00:00,15.11,49.39,,,0.0,,4.33,0.36,2.7,0.0,0.0,0.0,0.0,0.0,29.72,91.75,0.6,106.03,748.96,212.18,0.03,06-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
06-Jul-2020 - 00:00,9.97,42.98,,,0.0,,4.25,0.4,2.02,0.0,0.0,0.0,0.0,0.0,28.9,91.81,0.83,115.02,748.93,191.29,0.02,07-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
07-Jul-2020 - 00:00,5.42,40.17,,,0.0,,4.13,0.4,3.76,0.0,0.0,0.0,0.0,0.0,28.7,90.66,0.89,110.48,749.25,127.23,0.02,08-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
08-Jul-2020 - 00:00,18.63,57.04,,,0.0,,5.63,0.56,1.03,0.0,0.0,0.0,0.0,0.0,28.73,90.59,0.37,111.92,749.36,141.39,0.0,09-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
09-Jul-2020 - 00:00,12.27,24.22,,,0.0,,2.2,0.24,16.21,0.0,0.0,0.0,0.0,0.0,26.8,93.69,0.21,162.0,749.08,25.44,0.01,10-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
10-Jul-2020 - 00:00,5.78,39.02,,,0.0,,2.98,0.31,2.71,0.0,0.0,0.0,0.0,0.0,27.56,92.42,0.24,170.87,749.02,96.57,0.16,11-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
11-Jul-2020 - 00:00,27.81,39.02,,,,,2.75,0.32,0.68,,0.0,0.0,0.0,0.0,28.88,86.95,0.25,170.29,748.98,141.77,0.0,12-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
12-Jul-2020 - 00:00,22.58,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,29.6,84.74,0.43,134.25,749.04,170.64,0.0,13-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
13-Jul-2020 - 00:00,17.09,88.74,,,0.0,,7.38,0.18,12.1,0.0,0.0,0.0,0.0,0.0,27.97,87.02,0.51,122.63,749.07,91.86,0.0,14-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
14-Jul-2020 - 00:00,21.7,80.29,,,,,7.91,0.66,1.62,,0.0,0.0,0.0,0.0,29.84,81.57,0.69,125.07,749.19,252.24,0.0,15-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
15-Jul-2020 - 00:00,26.23,87.39,,,,,6.21,0.63,4.95,,0.0,0.0,0.0,0.0,30.68,77.07,0.88,115.8,749.19,246.15,0.0,16-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
16-Jul-2020 - 00:00,20.98,82.45,,,0.0,,3.86,0.67,10.22,0.0,0.0,0.0,0.0,0.0,31.3,75.26,0.9,117.46,747.76,271.51,0.0,17-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
17-Jul-2020 - 00:00,20.02,85.05,,,0.0,,3.9,0.54,5.21,0.0,0.0,0.0,0.0,0.0,31.65,73.34,0.77,110.2,745.73,275.39,0.0,18-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
18-Jul-2020 - 00:00,29.52,93.22,,,0.0,,3.79,0.59,12.46,0.0,0.0,0.0,0.0,0.0,31.46,78.31,0.58,98.62,746.41,208.82,0.0,19-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
19-Jul-2020 - 00:00,36.79,83.6,,,0.0,,3.7,0.58,8.43,0.0,0.0,0.0,0.0,0.0,28.29,88.71,0.28,172.05,745.62,62.84,0.18,20-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
20-Jul-2020 - 00:00,19.28,64.49,,,0.0,24.8,3.92,0.71,2.37,0.0,0.0,0.0,0.0,0.0,26.45,95.14,0.33,182.9,745.17,47.34,0.73,21-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
21-Jul-2020 - 00:00,37.77,64.67,,,0.0,,4.01,0.78,3.27,0.0,0.0,0.0,0.0,0.0,28.16,89.47,0.26,110.83,746.6,155.48,0.0,22-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
22-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
23-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
24-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
25-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
26-Jul-2020 - 00:00,25.26,194.33,8.52,1.67,4.86,4.71,2.62,0.19,20.65,0.0,0.0,0.0,0.0,0.0,32.59,78.77,0.21,152.08,747.6,159.25,0.0,27-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
27-Jul-2020 - 00:00,40.75,166.46,18.48,8.27,5.04,4.35,21.5,0.55,14.63,1.47,0.31,1.7,0.05,0.12,31.46,81.72,0.23,173.01,747.33,179.46,0.0,28-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
28-Jul-2020 - 00:00,10.9,54.76,5.65,3.3,1.51,3.1,50.29,0.42,3.53,1.09,0.77,5.28,0.0,0.01,28.04,89.44,0.49,201.85,747.01,89.59,0.23,29-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
29-Jul-2020 - 00:00,5.99,36.98,7.08,4.49,2.54,2.84,30.07,0.52,2.44,1.26,0.14,6.37,2.82,1.64,29.53,83.31,0.5,102.18,747.32,212.04,0.0,30-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
30-Jul-2020 - 00:00,18.03,40.69,7.1,4.5,2.21,4.5,7.31,0.57,4.31,1.36,0.07,4.55,4.6,2.59,28.69,89.07,0.29,140.22,747.5,59.39,0.0,31-Jul-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
31-Jul-2020 - 00:00,21.45,41.99,6.96,4.41,1.72,2.85,7.81,0.55,4.24,1.41,0.05,5.61,5.2,2.98,28.56,88.55,0.43,114.5,748.12,175.37,0.18,01-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
01-Aug-2020 - 00:00,19.36,37.65,7.1,4.5,2.6,2.89,7.69,0.64,4.53,1.43,2.9,5.91,5.46,3.1,30.14,81.99,0.31,112.59,748.47,245.49,0.01,02-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
02-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
03-Aug-2020 - 00:00,19.26,42.61,7.1,4.5,0.23,4.94,7.9,0.66,4.29,1.36,0.16,5.13,4.9,2.78,32.34,74.45,0.28,174.05,742.72,233.17,0.0,04-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
04-Aug-2020 - 00:00,17.28,38.21,6.81,4.37,1.92,3.33,7.0,0.46,6.52,1.05,0.05,4.29,4.01,2.38,32.1,75.29,0.47,221.38,741.41,323.55,0.23,05-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
05-Aug-2020 - 00:00,5.11,26.1,6.55,4.15,1.91,2.76,7.7,0.46,9.38,1.17,0.01,4.46,4.18,2.46,30.43,82.1,0.87,66.32,742.5,266.4,0.34,06-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
06-Aug-2020 - 00:00,18.6,35.42,,,0.0,,7.97,0.28,5.69,1.66,0.88,3.97,4.24,2.64,29.93,83.14,0.77,117.17,747.37,198.42,0.59,07-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
07-Aug-2020 - 00:00,18.3,37.85,4.88,4.19,0.66,3.33,5.47,0.63,4.8,2.69,0.15,5.26,5.73,1.25,29.96,82.8,0.52,106.94,747.84,239.27,0.0,08-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
08-Aug-2020 - 00:00,31.0,53.99,5.87,4.64,2.19,,7.69,0.57,3.7,1.48,1.56,6.68,5.2,5.59,32.02,77.41,0.24,166.0,746.25,266.88,0.0,09-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
09-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
10-Aug-2020 - 00:00,69.94,72.73,7.76,5.24,2.36,,7.04,0.48,5.89,1.29,0.03,2.98,3.84,2.03,31.81,74.18,0.92,115.03,746.88,259.64,0.0,11-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
11-Aug-2020 - 00:00,38.25,73.25,7.67,5.17,1.67,,7.07,0.29,5.69,1.05,0.94,1.99,2.7,1.4,29.55,83.04,0.38,194.45,746.56,11.48,0.0,12-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
12-Aug-2020 - 00:00,13.54,45.07,7.73,5.22,2.23,,7.83,0.42,1.18,1.04,0.09,5.11,4.62,2.72,27.28,94.58,0.24,97.18,746.42,14.99,0.31,13-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
13-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
14-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
15-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
17-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
18-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
19-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
20-Aug-2020 - 00:00,,859.13,7.71,5.17,2.54,3.55,7.27,0.44,42.38,1.56,2.93,0.01,1.18,2.53,29.83,74.74,1.74,112.07,743.77,73.13,0.0,21-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
21-Aug-2020 - 00:00,,27.03,7.72,5.2,2.52,3.76,7.33,0.48,35.22,1.25,0.82,0.29,0.81,1.72,28.15,84.93,1.18,118.02,747.24,14.24,0.09,22-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
22-Aug-2020 - 00:00,,32.32,7.69,5.19,2.5,3.76,7.12,0.56,35.94,1.34,1.03,0.26,1.01,1.95,28.81,83.98,0.79,108.62,747.84,177.03,0.0,23-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
23-Aug-2020 - 00:00,,22.17,7.73,5.21,2.51,3.76,7.01,0.63,32.08,1.55,1.99,0.27,1.27,2.61,28.98,86.91,0.35,117.04,747.32,157.21,0.47,24-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
24-Aug-2020 - 00:00,,34.51,8.06,5.49,2.58,3.7,6.98,0.57,16.47,1.09,0.92,0.21,0.71,1.48,28.31,90.9,0.2,209.18,747.48,113.21,0.01,25-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
25-Aug-2020 - 00:00,,35.32,7.81,5.08,5.94,3.62,6.89,0.52,15.61,1.79,0.97,0.25,0.73,1.53,30.44,83.58,0.26,192.14,747.72,152.52,0.0,26-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
26-Aug-2020 - 00:00,,37.9,7.12,5.02,12.15,3.63,6.88,0.48,28.64,1.23,0.8,0.27,0.7,1.47,30.33,81.93,0.63,122.25,747.32,24.57,0.08,27-Aug-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
