from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,to date,station
02-Oct-2020 - 00:00,,22.96,9.6,14.26,8.36,22.63,14.65,48.67,21.44,2.23,16.85,0.64,1.46,28.59,0.81,0.01,165.36,84.2,998.55,132.72,03-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Oct-2020 - 00:00,,21.36,9.59,10.01,8.94,18.95,15.57,53.68,30.89,2.15,19.09,0.79,1.75,28.3,0.75,0.0,157.55,86.94,999.17,126.92,04-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Oct-2020 - 00:00,,21.87,9.66,10.29,9.14,19.43,15.73,58.28,36.61,2.75,19.65,0.97,2.07,27.77,0.83,0.0,139.69,89.01,998.98,87.3,05-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Oct-2020 - 00:00,,22.83,8.58,10.32,9.72,20.04,15.54,56.34,30.15,2.56,19.61,0.91,1.99,27.58,0.8,0.0,163.49,90.68,999.45,97.8,06-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Oct-2020 - 00:00,,22.58,7.8,13.18,10.83,23.94,17.96,51.76,25.79,3.98,18.82,2.21,3.23,27.93,0.83,0.01,208.53,88.3,999.85,133.44,07-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Oct-2020 - 00:00,,26.05,7.75,14.39,8.53,22.92,14.31,55.73,27.34,4.26,18.7,0.86,1.99,28.27,1.17,0.0,212.52,86.26,,151.52,08-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Oct-2020 - 00:00,,25.15,13.13,14.59,11.18,25.66,13.84,86.79,39.83,7.58,21.87,1.3,2.79,28.74,1.12,0.01,199.6,83.92,,108.94,09-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Oct-2020 - 00:00,,22.91,7.67,15.55,13.96,29.5,13.24,113.61,60.5,11.03,27.5,2.39,5.25,29.2,1.01,0.01,208.99,85.79,,138.48,10-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Oct-2020 - 00:00,,19.69,6.92,17.72,10.69,28.41,13.15,105.01,59.9,7.47,28.09,2.2,4.96,28.79,1.12,0.01,177.34,84.9,999.65,103.66,11-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Oct-2020 - 00:00,,19.81,7.01,21.35,10.36,31.71,11.26,89.49,53.24,4.34,20.62,1.23,2.72,28.52,0.81,0.01,195.46,83.98,998.65,131.82,12-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Oct-2020 - 00:00,,19.04,7.26,17.84,11.63,29.47,12.55,101.1,53.78,6.04,22.41,1.73,3.69,29.4,0.85,0.01,186.52,79.4,998.77,116.19,13-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Oct-2020 - 00:00,,21.48,7.54,13.89,10.62,24.51,12.17,88.25,48.79,6.34,21.59,2.53,4.03,30.16,0.9,0.0,172.18,74.92,998.98,153.75,14-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Oct-2020 - 00:00,,23.68,7.66,10.81,8.4,19.21,11.98,52.64,19.98,2.26,18.21,0.76,1.73,29.59,0.69,0.01,155.42,77.92,999.62,127.72,15-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Oct-2020 - 00:00,,25.09,7.3,9.9,8.71,18.62,12.36,54.18,24.51,3.09,16.96,0.77,1.73,29.63,0.9,0.0,125.89,76.36,999.27,132.11,16-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Oct-2020 - 00:00,1.33,30.45,6.68,13.33,13.39,26.72,10.91,97.14,49.04,6.57,20.91,1.37,3.07,29.04,1.24,-0.0,186.86,79.63,999.05,108.16,17-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Oct-2020 - 00:00,,28.63,6.61,13.1,13.06,26.26,11.29,138.69,75.74,,,,,30.05,1.41,0.01,180.85,73.3,999.17,138.51,18-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Oct-2020 - 00:00,,26.68,6.52,12.71,9.36,22.08,11.62,152.37,82.52,,,,,29.22,1.58,0.0,186.46,80.32,,98.89,19-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Oct-2020 - 00:00,,29.09,6.83,15.47,13.31,28.78,9.54,139.91,69.08,,,,,28.32,1.62,0.01,230.34,84.26,999.55,107.28,20-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Oct-2020 - 00:00,,28.51,6.26,20.07,10.66,30.74,9.39,151.15,83.91,,,,,29.2,1.2,0.0,177.58,75.81,999.85,129.39,21-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Oct-2020 - 00:00,,27.82,7.11,9.87,9.23,19.16,12.16,49.2,20.17,,,,,28.23,1.05,-0.0,73.89,80.86,,146.91,22-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Oct-2020 - 00:00,0.15,28.67,7.77,8.45,8.02,16.46,12.78,35.11,16.18,1.72,3.09,0.73,1.07,25.62,1.45,-0.0,72.13,89.56,999.28,69.96,23-Oct-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
