from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,to date,station
28-Jan-2020 - 00:00,1.06,37.08,24.5,88.67,34.03,122.7,54.46,345.31,144.59,13.72,17.17,2.87,6.11,19.89,0.19,0.0,126.56,62.68,,86.84,29-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Jan-2020 - 00:00,0.42,33.84,14.79,73.93,89.45,119.51,91.29,174.36,62.6,4.31,4.51,0.52,1.22,20.6,0.35,-0.0,117.71,79.7,,113.51,30-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Jan-2020 - 00:00,1.23,21.49,15.13,44.86,42.37,87.22,58.47,194.39,52.04,9.55,14.97,2.64,4.59,20.38,0.32,0.0,139.46,92.39,,107.44,31-Jan-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
31-Jan-2020 - 00:00,0.74,30.81,20.24,62.48,33.37,95.89,56.46,223.94,49.46,6.84,14.14,1.85,3.75,19.36,0.25,0.0,202.48,71.38,,143.28,01-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Feb-2020 - 00:00,1.13,44.54,24.94,76.2,89.86,160.79,38.03,230.26,36.88,8.45,18.22,2.67,5.18,19.96,0.36,0.0,164.93,54.9,,155.73,02-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Feb-2020 - 00:00,0.56,43.39,27.02,67.98,60.84,128.82,57.87,272.29,44.58,6.47,11.65,1.85,4.01,19.23,0.25,0.0,226.89,50.57,,171.86,03-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Feb-2020 - 00:00,0.68,47.38,21.86,62.8,15.67,78.12,34.2,173.9,51.43,5.01,10.27,1.4,3.17,19.51,0.21,0.0,175.22,41.98,,185.3,04-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Feb-2020 - 00:00,0.79,38.82,32.69,83.1,24.63,107.74,37.75,254.05,97.75,7.13,13.47,1.82,4.17,18.65,0.31,0.0,186.04,50.55,,138.68,05-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Feb-2020 - 00:00,0.8,38.16,51.23,87.57,24.94,112.83,41.0,341.11,120.36,7.96,13.1,1.66,3.91,21.99,0.24,0.0,176.85,52.38,,124.2,06-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Feb-2020 - 00:00,0.68,37.46,32.85,66.84,15.49,82.32,52.77,285.28,109.04,6.66,12.36,0.74,4.16,21.64,0.47,0.0,147.26,50.52,,146.2,07-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Feb-2020 - 00:00,0.72,26.53,31.13,61.49,10.99,72.47,42.62,279.66,101.11,7.32,8.91,1.15,2.89,19.65,0.61,0.0,101.39,54.43,,65.06,08-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Feb-2020 - 00:00,0.73,11.13,30.41,74.82,11.0,85.8,50.62,343.17,127.38,6.23,11.04,1.44,3.8,17.98,0.1,0.01,211.68,65.36,,32.11,09-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Feb-2020 - 00:00,0.16,53.59,33.27,31.32,6.9,37.63,34.41,236.8,107.7,2.73,6.47,0.57,1.39,24.31,0.63,-0.01,82.55,31.22,,498.58,12-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Feb-2020 - 00:00,1.08,31.38,24.46,103.07,31.94,135.0,32.47,285.44,106.75,5.39,12.54,1.79,3.52,22.69,0.32,0.0,213.33,40.35,,191.87,14-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Feb-2020 - 00:00,1.56,21.67,42.99,135.47,120.14,255.33,68.72,396.24,148.52,16.61,28.65,4.38,9.01,21.8,0.27,0.0,197.55,55.84,,141.59,15-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
