from date,Toluene,Benzene,AT,RH,BP,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,station
02-May-2020 - 00:00,1.36,1.58,26.39,68.85,998.5,0.39,32.65,0.08,0.51,111.44,0.92,2.3,6.38,5.23,13.56,43.43,6.51,03-May-2020 - 00:00,"Central School, Lucknow - CPCB"
03-May-2020 - 00:00,1.53,1.68,28.52,56.67,997.7,0.4,33.91,0.05,0.5,125.96,0.91,2.38,6.9,5.58,15.66,36.56,12.17,04-May-2020 - 00:00,"Central School, Lucknow - CPCB"
04-May-2020 - 00:00,4.27,2.27,27.55,73.38,999.12,0.74,31.62,0.11,0.41,121.12,1.04,2.54,11.72,8.06,8.81,28.41,8.46,05-May-2020 - 00:00,"Central School, Lucknow - CPCB"
05-May-2020 - 00:00,1.74,1.3,24.2,84.32,998.91,0.51,40.76,0.09,0.4,131.97,0.89,2.57,9.13,6.79,19.45,20.0,10.82,06-May-2020 - 00:00,"Central School, Lucknow - CPCB"
06-May-2020 - 00:00,2.83,2.0,25.87,67.75,998.93,0.78,35.95,0.08,0.45,131.61,0.9,2.64,11.98,8.48,29.99,32.99,7.04,07-May-2020 - 00:00,"Central School, Lucknow - CPCB"
07-May-2020 - 00:00,2.26,1.6,26.29,65.98,999.17,0.52,27.16,0.06,0.45,130.94,0.96,3.13,11.87,6.95,33.45,36.39,7.8,08-May-2020 - 00:00,"Central School, Lucknow - CPCB"
08-May-2020 - 00:00,2.03,1.85,29.17,56.59,997.66,0.6,33.35,0.07,0.43,139.38,0.9,2.75,8.89,6.77,33.58,27.45,7.97,09-May-2020 - 00:00,"Central School, Lucknow - CPCB"
09-May-2020 - 00:00,1.86,2.08,29.57,54.65,998.14,0.61,31.7,0.08,0.49,117.64,0.89,2.8,8.79,6.92,37.55,30.63,7.21,10-May-2020 - 00:00,"Central School, Lucknow - CPCB"
10-May-2020 - 00:00,1.49,1.7,27.66,67.4,999.07,0.59,31.14,0.07,0.47,140.41,0.93,3.03,8.06,6.52,35.65,29.82,8.65,11-May-2020 - 00:00,"Central School, Lucknow - CPCB"
11-May-2020 - 00:00,3.17,1.75,27.43,67.46,998.8,0.87,43.48,0.08,0.42,147.19,0.92,3.23,13.0,9.46,29.88,25.63,7.24,12-May-2020 - 00:00,"Central School, Lucknow - CPCB"
12-May-2020 - 00:00,2.93,2.81,30.19,61.88,998.15,0.84,31.73,0.08,0.38,156.41,0.88,2.97,13.69,9.66,29.06,30.78,7.72,13-May-2020 - 00:00,"Central School, Lucknow - CPCB"
13-May-2020 - 00:00,3.82,2.33,30.23,58.15,997.63,0.8,27.67,0.02,0.41,202.24,1.04,5.07,18.28,11.62,24.97,29.97,13.05,14-May-2020 - 00:00,"Central School, Lucknow - CPCB"
14-May-2020 - 00:00,6.65,2.0,31.99,51.08,996.66,0.91,31.45,-0.04,0.44,238.67,1.05,3.0,17.43,11.66,28.93,30.8,9.83,15-May-2020 - 00:00,"Central School, Lucknow - CPCB"
15-May-2020 - 00:00,11.21,3.06,33.46,45.08,994.83,1.58,23.25,0.02,0.4,248.77,0.93,3.19,23.9,14.21,27.44,58.84,7.91,16-May-2020 - 00:00,"Central School, Lucknow - CPCB"
16-May-2020 - 00:00,3.68,1.61,33.73,35.95,994.25,0.73,32.5,0.01,0.44,280.39,0.8,2.47,12.89,8.83,34.2,29.8,7.93,17-May-2020 - 00:00,"Central School, Lucknow - CPCB"
17-May-2020 - 00:00,9.11,2.26,34.14,29.21,992.76,1.15,33.01,0.0,0.46,278.31,0.87,2.69,23.97,14.9,33.11,32.38,8.72,18-May-2020 - 00:00,"Central School, Lucknow - CPCB"
18-May-2020 - 00:00,8.51,2.91,33.79,32.15,991.58,1.5,29.93,0.01,0.44,256.67,0.8,3.43,27.15,17.09,33.72,32.75,8.72,19-May-2020 - 00:00,"Central School, Lucknow - CPCB"
19-May-2020 - 00:00,15.98,2.63,33.3,30.29,990.68,1.36,35.03,0.0,0.43,240.75,0.88,3.85,30.03,19.05,34.45,31.1,8.65,20-May-2020 - 00:00,"Central School, Lucknow - CPCB"
20-May-2020 - 00:00,2.92,2.43,31.71,47.98,990.01,0.73,30.51,0.03,0.44,127.66,0.81,,,,39.49,133.29,9.9,21-May-2020 - 00:00,"Central School, Lucknow - CPCB"
21-May-2020 - 00:00,3.56,1.84,32.7,38.68,989.54,0.8,33.14,0.04,0.42,225.2,0.92,2.51,4.51,7.02,52.43,31.37,6.12,22-May-2020 - 00:00,"Central School, Lucknow - CPCB"
22-May-2020 - 00:00,10.84,2.88,32.12,41.15,991.23,0.89,31.63,0.08,0.47,151.32,1.36,2.51,3.76,6.93,67.32,34.16,7.26,23-May-2020 - 00:00,"Central School, Lucknow - CPCB"
23-May-2020 - 00:00,2.08,2.04,31.86,61.12,992.79,0.66,26.16,0.08,0.47,113.81,1.34,2.5,3.76,7.01,62.64,37.12,3.72,24-May-2020 - 00:00,"Central School, Lucknow - CPCB"
24-May-2020 - 00:00,5.03,3.02,35.19,47.42,991.48,1.2,27.67,0.06,0.44,200.72,1.78,2.49,3.76,7.01,53.98,34.81,3.54,25-May-2020 - 00:00,"Central School, Lucknow - CPCB"
25-May-2020 - 00:00,5.57,2.32,36.73,30.76,990.83,1.12,30.99,0.05,0.49,267.72,1.26,2.51,3.76,7.0,57.65,34.03,3.17,26-May-2020 - 00:00,"Central School, Lucknow - CPCB"
26-May-2020 - 00:00,9.88,2.56,36.54,27.84,989.62,1.31,30.01,0.06,0.43,226.96,1.32,2.5,3.76,7.01,60.65,32.66,3.19,27-May-2020 - 00:00,"Central School, Lucknow - CPCB"
27-May-2020 - 00:00,7.35,2.61,34.72,39.39,988.96,1.06,29.9,0.06,0.49,136.9,1.31,2.5,3.75,6.99,62.09,35.67,3.33,28-May-2020 - 00:00,"Central School, Lucknow - CPCB"
28-May-2020 - 00:00,0.86,0.76,28.98,55.59,992.86,0.31,26.82,0.06,0.49,115.06,0.92,2.5,3.75,7.03,65.89,29.88,5.66,29-May-2020 - 00:00,"Central School, Lucknow - CPCB"
29-May-2020 - 00:00,1.02,0.96,29.34,60.57,995.29,0.23,25.56,0.04,0.48,125.0,1.19,2.49,3.75,7.0,62.74,26.42,4.27,30-May-2020 - 00:00,"Central School, Lucknow - CPCB"
30-May-2020 - 00:00,1.84,1.08,26.96,76.33,996.67,0.52,15.69,0.08,0.38,155.4,1.49,2.5,3.76,7.0,49.75,29.22,6.22,31-May-2020 - 00:00,"Central School, Lucknow - CPCB"
31-May-2020 - 00:00,1.68,1.25,26.26,83.99,998.07,0.44,29.37,0.07,0.48,137.21,1.34,2.5,3.76,7.0,53.21,29.13,,01-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Jun-2020 - 00:00,2.11,1.52,29.95,73.73,997.81,0.64,30.35,-0.01,0.44,158.46,1.5,2.5,3.76,6.98,65.84,26.84,,02-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Jun-2020 - 00:00,2.99,1.67,30.26,58.82,996.89,0.8,22.72,0.06,0.5,199.78,1.25,2.51,3.76,7.0,61.95,32.78,6.74,03-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Jun-2020 - 00:00,7.44,2.17,31.04,54.13,994.93,0.95,21.18,0.05,0.54,191.15,1.14,2.5,3.75,6.99,60.34,50.57,5.49,04-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Jun-2020 - 00:00,3.07,1.52,26.91,79.51,995.03,0.73,21.32,0.06,0.5,143.57,1.31,2.5,3.76,7.01,57.19,39.39,3.33,05-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Jun-2020 - 00:00,2.08,0.87,22.35,99.01,995.42,0.5,8.51,0.11,0.34,167.41,1.31,2.5,3.76,7.0,50.81,71.02,5.9,06-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Jun-2020 - 00:00,1.56,0.64,28.14,76.74,994.27,0.48,70.32,0.07,0.49,119.74,1.13,2.51,3.77,7.0,48.41,25.47,5.79,07-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Jun-2020 - 00:00,1.75,0.86,30.09,70.16,992.96,1.16,35.78,0.06,0.49,175.43,1.19,2.5,3.76,7.0,55.05,20.47,3.84,08-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Jun-2020 - 00:00,3.79,1.26,32.71,56.28,991.69,1.22,28.71,0.05,0.58,237.17,1.24,2.5,3.76,7.0,55.51,47.58,3.42,09-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Jun-2020 - 00:00,3.38,1.9,33.97,49.6,991.45,0.96,28.87,0.03,0.57,183.26,1.3,2.5,3.76,7.01,59.07,57.59,3.0,10-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Jun-2020 - 00:00,1.96,1.97,33.1,59.28,990.9,0.64,27.2,0.05,0.63,109.93,1.22,2.5,3.77,7.01,59.66,70.33,3.85,11-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Jun-2020 - 00:00,1.5,1.6,32.51,63.39,990.08,0.63,23.83,0.06,0.62,105.12,1.27,2.5,3.75,6.99,52.18,63.2,3.1,12-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Jun-2020 - 00:00,1.44,1.59,32.75,60.81,988.76,0.59,23.41,0.03,0.64,111.82,1.43,2.49,3.76,7.01,54.99,52.68,4.73,13-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Jun-2020 - 00:00,1.33,1.3,32.44,61.78,989.65,0.52,26.55,0.01,0.6,114.2,1.07,2.49,3.76,7.0,68.18,35.31,3.73,14-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Jun-2020 - 00:00,1.23,1.02,32.59,62.69,991.13,0.45,24.38,0.03,0.6,113.57,1.02,2.5,3.77,7.01,67.54,29.72,3.91,15-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Jun-2020 - 00:00,1.06,1.02,30.96,71.92,990.1,0.51,16.51,0.05,0.55,107.53,1.07,2.51,3.77,7.02,68.86,39.36,5.11,16-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Jun-2020 - 00:00,0.77,0.56,30.23,76.48,987.42,0.31,29.67,0.06,0.57,118.43,1.15,2.55,4.07,7.14,71.11,17.5,4.11,17-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Jun-2020 - 00:00,1.41,0.89,29.2,92.09,986.08,0.55,13.48,0.06,0.59,104.81,1.43,10.35,17.16,16.18,78.72,18.66,4.31,18-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Jun-2020 - 00:00,1.91,1.31,29.2,91.55,987.54,0.65,14.82,0.03,0.54,123.43,1.24,5.46,16.64,13.08,75.92,22.94,4.07,19-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Jun-2020 - 00:00,0.89,0.67,29.41,85.85,989.83,0.45,17.48,0.0,0.47,108.34,1.07,5.13,14.35,11.47,71.48,21.72,5.16,20-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Jun-2020 - 00:00,0.78,0.59,28.4,89.43,991.07,0.28,23.45,0.01,0.46,96.26,0.98,9.11,14.18,13.57,74.55,25.47,5.56,21-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Jun-2020 - 00:00,0.92,0.58,26.84,99.13,991.69,0.34,17.01,0.02,0.41,110.36,0.99,7.66,15.14,13.2,65.06,24.95,4.64,22-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Jun-2020 - 00:00,0.87,0.54,28.36,91.67,990.69,0.33,19.93,0.01,0.45,94.11,1.02,5.04,15.01,11.75,70.54,19.11,5.33,23-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Jun-2020 - 00:00,1.37,0.78,27.57,95.96,992.93,0.36,17.87,0.05,0.55,110.47,1.15,6.61,32.8,22.18,67.32,19.19,4.38,24-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Jun-2020 - 00:00,1.66,0.91,28.71,95.09,993.6,0.42,25.96,0.05,0.54,119.19,1.29,10.83,67.6,44.62,61.44,27.34,4.1,25-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Jun-2020 - 00:00,3.53,1.15,27.1,99.15,991.64,0.66,10.13,0.02,0.52,177.95,1.14,10.76,86.03,54.28,50.34,28.8,1.27,26-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Jun-2020 - 00:00,1.62,0.89,28.27,91.83,990.27,0.43,26.9,0.07,0.41,152.55,1.0,9.41,57.38,38.0,56.11,24.32,1.88,27-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Jun-2020 - 00:00,2.03,0.56,29.21,83.1,989.38,0.39,21.01,0.08,0.44,250.21,0.83,8.45,42.55,29.39,73.11,18.88,1.47,28-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Jun-2020 - 00:00,1.41,0.65,29.83,85.81,988.82,0.54,24.91,0.09,0.45,193.61,0.79,8.31,37.42,26.53,61.11,23.1,2.11,29-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Jun-2020 - 00:00,1.19,0.53,27.14,92.57,992.59,0.41,29.05,0.09,0.47,138.54,0.64,26.08,44.92,41.85,35.73,16.44,1.55,30-Jun-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Jun-2020 - 00:00,0.85,0.96,29.1,87.94,992.39,0.33,21.62,0.08,0.5,108.72,0.61,12.34,30.61,24.02,34.43,24.4,1.96,01-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Jul-2020 - 00:00,1.62,1.07,29.36,90.96,990.55,0.59,17.37,0.08,0.49,141.04,0.62,24.36,35.05,32.98,34.77,30.21,1.78,02-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Jul-2020 - 00:00,1.16,0.73,31.79,78.42,987.45,0.46,22.13,0.07,0.45,112.39,0.98,11.27,32.24,25.23,29.23,56.51,12.27,03-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Jul-2020 - 00:00,1.07,0.88,30.46,93.41,987.92,0.47,17.88,0.08,0.51,121.12,0.66,14.35,24.43,22.88,39.62,37.51,16.06,04-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Jul-2020 - 00:00,0.6,0.73,29.53,91.88,988.32,0.22,18.23,-0.0,0.44,115.95,0.66,15.2,19.18,17.95,50.35,35.26,6.7,05-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Jul-2020 - 00:00,0.24,0.23,28.79,90.48,988.8,0.09,15.21,0.04,0.46,113.95,0.36,7.56,9.56,14.13,28.34,20.31,4.85,06-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Jul-2020 - 00:00,0.48,0.18,26.63,99.15,988.45,0.14,22.33,0.14,0.46,135.59,0.43,14.45,13.61,17.82,30.63,17.83,12.43,07-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Jul-2020 - 00:00,0.36,0.15,26.49,99.15,991.57,0.13,21.35,0.15,0.54,106.98,0.42,6.08,11.34,10.9,37.43,10.28,5.95,08-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Jul-2020 - 00:00,1.03,0.26,28.39,93.9,992.74,0.19,37.51,0.1,0.45,145.17,0.46,6.07,9.19,9.73,38.59,20.61,10.92,09-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Jul-2020 - 00:00,1.91,0.34,29.82,91.87,988.54,0.27,34.72,0.11,0.51,214.32,0.57,6.73,12.32,11.94,37.75,17.56,9.08,10-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Jul-2020 - 00:00,1.09,0.13,29.31,91.33,986.95,0.11,29.63,0.07,0.42,245.47,0.58,5.88,19.44,15.03,39.98,17.65,10.57,11-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Jul-2020 - 00:00,1.24,0.12,30.55,82.78,986.62,0.12,35.82,0.1,0.43,234.99,0.3,6.46,27.86,19.77,11.31,20.8,6.36,12-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Jul-2020 - 00:00,0.3,0.09,31.57,79.33,987.11,0.09,28.1,0.08,0.43,252.09,0.24,5.29,32.58,21.55,7.5,12.98,7.84,13-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Jul-2020 - 00:00,0.38,0.15,31.83,79.59,987.48,0.13,40.07,0.08,0.45,244.86,0.27,5.84,26.75,18.63,9.34,17.12,10.02,14-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Jul-2020 - 00:00,0.31,0.14,28.27,94.96,990.19,0.12,28.24,0.12,0.43,136.6,0.26,6.24,24.55,17.55,8.48,39.94,8.74,15-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Jul-2020 - 00:00,0.24,0.14,29.53,92.47,990.6,0.1,22.72,0.04,0.47,103.72,0.45,20.4,26.01,26.76,30.9,413.74,7.49,16-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Jul-2020 - 00:00,0.23,0.13,30.34,88.5,988.87,0.09,23.85,0.02,0.47,107.74,0.54,23.38,17.39,35.04,58.89,58.79,4.77,17-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Jul-2020 - 00:00,0.27,0.16,31.58,83.46,989.94,0.1,25.52,0.08,0.45,111.14,0.55,3.96,14.6,18.57,82.15,62.04,6.4,18-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Jul-2020 - 00:00,0.33,0.22,30.77,88.74,991.53,0.09,21.42,0.09,0.46,130.73,0.4,3.61,12.6,16.2,24.82,55.49,7.23,19-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Jul-2020 - 00:00,0.4,0.15,29.25,91.42,989.43,0.13,8.86,0.08,0.45,193.63,0.51,3.38,11.59,14.97,57.02,47.49,6.93,20-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Jul-2020 - 00:00,0.45,0.12,27.85,99.15,988.17,0.15,14.94,0.09,0.43,216.42,0.53,3.78,13.35,17.05,57.59,63.5,16.83,21-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Jul-2020 - 00:00,0.39,0.09,27.85,92.47,991.59,0.14,27.84,0.08,0.48,209.8,0.52,4.9,16.24,21.05,61.32,32.62,10.85,22-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Jul-2020 - 00:00,0.42,0.08,29.01,86.23,991.33,0.15,28.4,0.09,0.42,260.03,0.51,4.02,13.34,17.35,59.16,7.04,8.19,23-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Jul-2020 - 00:00,0.72,0.11,29.66,82.54,991.11,0.1,20.14,0.08,0.42,214.12,0.55,3.89,14.13,18.01,63.67,12.59,7.5,24-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Jul-2020 - 00:00,0.2,0.19,28.5,95.58,994.54,0.09,22.1,0.09,0.48,106.13,0.42,3.81,13.2,17.0,66.33,9.61,6.02,25-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Jul-2020 - 00:00,0.15,0.11,29.2,91.33,996.49,0.03,16.89,0.09,0.47,115.71,0.37,3.54,12.7,16.01,72.42,15.56,13.98,26-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Jul-2020 - 00:00,0.35,0.15,30.95,84.02,995.84,0.11,20.34,0.07,0.45,191.17,0.33,4.04,14.24,18.13,72.67,21.83,12.2,27-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Jul-2020 - 00:00,0.19,0.06,31.21,79.1,992.65,0.23,21.43,0.01,0.46,235.54,0.6,4.25,13.59,17.61,63.95,24.22,8.86,28-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Jul-2020 - 00:00,0.17,0.06,28.54,95.52,991.68,0.09,12.09,0.06,0.45,200.3,0.58,4.86,17.97,22.83,54.79,23.59,8.75,29-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Jul-2020 - 00:00,0.0,0.0,26.09,99.15,993.68,0.0,27.18,0.14,0.48,159.54,0.51,4.6,15.0,19.59,58.57,17.75,7.9,30-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Jul-2020 - 00:00,0.0,0.0,27.71,96.91,994.15,0.0,210.6,0.1,0.39,136.32,0.48,4.1,14.99,19.1,78.38,21.41,5.8,31-Jul-2020 - 00:00,"Central School, Lucknow - CPCB"
31-Jul-2020 - 00:00,0.0,0.0,27.71,98.19,992.83,0.0,271.98,0.11,0.42,159.85,0.84,10.55,18.34,25.47,64.26,30.07,6.23,01-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Aug-2020 - 00:00,0.0,0.0,28.45,93.63,991.53,0.0,34.16,0.11,0.43,205.28,0.46,8.7,13.61,15.86,34.8,19.27,7.26,02-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Aug-2020 - 00:00,0.0,0.0,29.72,87.19,988.85,0.0,47.03,0.11,0.4,212.27,0.57,8.17,15.1,16.69,7.66,18.01,5.91,03-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Aug-2020 - 00:00,0.0,0.0,28.71,95.79,984.52,0.0,40.63,0.11,0.42,229.0,0.53,6.78,17.16,17.22,8.45,16.27,6.51,04-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Aug-2020 - 00:00,0.0,0.0,29.78,89.05,981.58,0.0,37.48,0.11,0.39,208.54,0.72,44.38,33.98,58.59,7.79,18.53,9.07,05-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Aug-2020 - 00:00,0.0,0.0,29.76,89.17,982.82,0.0,43.47,0.1,0.48,109.45,0.63,15.15,18.14,20.47,32.53,12.75,6.25,06-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Aug-2020 - 00:00,0.0,0.0,29.39,87.72,986.69,0.0,30.6,0.08,0.46,110.86,0.72,4.24,16.69,9.85,85.41,32.48,4.77,07-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Aug-2020 - 00:00,0.0,0.0,30.16,86.06,990.75,0.0,40.08,0.09,0.44,129.66,0.64,5.23,16.05,10.14,95.02,32.04,4.86,08-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Aug-2020 - 00:00,0.0,0.0,30.25,93.04,988.44,0.0,37.27,0.09,0.44,181.39,0.72,10.26,18.01,15.35,86.73,51.46,3.31,09-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Aug-2020 - 00:00,0.0,0.0,29.71,94.33,987.58,0.0,29.22,0.08,0.44,125.88,0.65,2.0,12.67,8.97,46.98,35.67,2.65,10-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Aug-2020 - 00:00,0.0,0.0,30.17,89.27,988.53,0.0,32.05,0.06,0.44,110.72,0.73,11.92,15.92,18.79,65.97,33.97,4.45,11-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Aug-2020 - 00:00,0.18,0.09,29.76,90.38,988.22,0.06,29.05,0.1,0.43,139.57,0.72,65.95,51.08,79.29,68.01,29.47,8.89,12-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Aug-2020 - 00:00,0.47,0.13,27.72,98.21,988.15,0.14,37.91,0.14,0.41,184.91,0.76,25.09,26.58,42.69,67.51,19.71,7.44,13-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Aug-2020 - 00:00,3.28,1.21,26.24,99.15,987.28,1.07,31.74,0.13,0.44,155.96,0.83,42.93,50.34,57.85,83.37,18.46,8.11,14-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Aug-2020 - 00:00,6.13,1.99,26.89,99.15,986.04,2.77,35.74,0.12,0.47,128.65,1.0,46.44,41.13,54.77,82.75,21.2,10.28,15-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Aug-2020 - 00:00,2.11,0.93,28.91,93.8,986.35,1.31,50.61,0.12,0.42,131.46,0.72,26.57,32.26,37.05,88.12,19.83,6.94,16-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Aug-2020 - 00:00,1.12,0.63,29.79,88.59,987.63,0.42,53.49,0.07,0.44,99.9,0.65,35.61,29.2,38.49,96.02,17.51,9.95,17-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Aug-2020 - 00:00,1.3,0.73,30.39,86.99,987.16,0.93,61.44,0.07,0.45,101.36,0.69,20.08,18.64,34.03,97.88,16.21,10.05,18-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Aug-2020 - 00:00,1.59,0.81,32.08,76.59,986.15,0.77,16.01,0.09,0.45,118.76,0.61,49.21,23.16,53.53,73.98,30.18,9.41,19-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Aug-2020 - 00:00,2.46,0.77,26.93,99.14,988.69,1.4,24.0,0.12,0.4,137.99,0.76,39.64,19.97,51.61,82.43,17.39,10.28,20-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Aug-2020 - 00:00,1.62,0.66,29.52,84.62,989.99,0.94,37.89,0.09,0.47,97.63,0.9,19.99,19.54,27.35,67.44,20.64,8.11,21-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Aug-2020 - 00:00,0.91,0.54,28.03,93.21,991.38,0.45,30.15,0.1,0.48,105.02,1.31,12.29,23.39,21.28,72.44,11.19,10.48,22-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Aug-2020 - 00:00,0.93,0.48,27.07,99.15,991.71,0.35,31.42,0.09,0.49,111.49,0.43,18.45,25.86,25.03,54.47,18.27,10.12,23-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Aug-2020 - 00:00,1.06,0.24,27.69,92.94,991.93,0.46,31.31,0.1,0.46,150.02,0.81,10.6,23.23,18.64,61.95,16.2,6.92,24-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Aug-2020 - 00:00,3.52,1.47,28.92,86.59,992.65,1.97,29.89,0.08,0.46,185.27,1.5,8.79,27.0,20.0,48.44,16.68,6.23,25-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Aug-2020 - 00:00,7.5,0.71,30.42,79.91,993.88,1.78,32.26,0.07,0.49,249.73,0.82,23.16,25.79,30.2,66.92,17.3,4.13,26-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Aug-2020 - 00:00,11.67,0.69,29.92,88.16,994.15,1.63,33.65,0.08,0.42,219.72,0.66,32.81,26.5,38.1,56.02,26.03,4.51,27-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Aug-2020 - 00:00,1.69,0.53,27.91,94.84,992.64,0.96,35.67,0.09,0.32,101.08,1.0,17.98,17.25,23.78,58.19,20.02,3.65,28-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Aug-2020 - 00:00,1.6,0.61,27.8,96.2,989.79,0.92,32.61,0.1,0.45,96.25,2.18,25.92,14.03,28.24,52.62,25.89,7.38,29-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Aug-2020 - 00:00,0.89,0.32,28.04,89.76,989.25,0.27,32.03,0.09,0.48,109.93,1.82,10.65,11.01,16.63,77.56,31.23,11.35,30-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Aug-2020 - 00:00,1.02,0.19,28.71,81.56,992.17,0.53,32.73,0.09,0.42,163.14,1.83,23.23,15.38,26.15,51.94,27.14,11.33,31-Aug-2020 - 00:00,"Central School, Lucknow - CPCB"
31-Aug-2020 - 00:00,4.41,0.68,30.41,75.73,994.77,2.06,33.65,0.06,0.46,255.02,1.53,19.06,17.87,25.65,39.76,29.59,9.88,01-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
