from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
03-Oct-2020 - 00:00,11.69,4.91,8.31,2.57,10.2,0.49,28.23,20.17,39.45,0.14,27.35,70.85,711.38,0.86,214.74,04-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Oct-2020 - 00:00,10.09,4.16,7.48,2.59,10.54,0.37,19.89,13.8,25.51,0.12,27.53,71.7,712.46,0.58,222.25,05-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Oct-2020 - 00:00,14.83,4.61,9.99,2.6,11.14,0.52,27.41,23.66,46.81,0.16,27.39,68.08,711.7,1.24,248.55,06-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Oct-2020 - 00:00,18.81,5.65,12.1,2.58,10.77,0.74,38.93,35.26,69.54,0.2,27.29,67.07,710.96,1.82,232.92,07-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Oct-2020 - 00:00,17.38,5.89,11.27,2.49,11.45,0.56,38.99,35.64,69.04,0.15,27.14,69.69,711.52,1.34,239.06,08-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Oct-2020 - 00:00,18.45,6.8,11.93,2.61,11.84,0.65,60.07,50.67,95.79,0.16,26.93,66.66,710.97,1.59,219.65,09-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Oct-2020 - 00:00,19.24,6.5,12.38,2.63,10.56,0.72,50.77,44.74,70.78,0.13,27.02,76.32,711.16,1.42,191.85,10-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Oct-2020 - 00:00,13.31,4.79,9.23,2.65,10.16,0.57,46.16,20.11,31.44,0.11,27.47,77.91,710.79,1.01,227.42,11-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Oct-2020 - 00:00,11.24,4.94,8.05,2.56,11.04,0.51,36.73,22.48,31.37,0.11,27.63,80.81,709.23,0.77,227.45,12-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Oct-2020 - 00:00,11.66,4.94,8.28,2.54,10.65,0.61,39.29,24.51,38.86,0.1,27.55,81.78,707.16,0.76,212.3,13-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Oct-2020 - 00:00,11.87,4.83,8.36,2.52,9.86,0.51,41.67,21.29,36.55,0.1,27.6,80.95,706.69,0.85,218.27,14-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Oct-2020 - 00:00,10.13,4.43,7.45,2.54,10.4,0.4,34.93,18.57,36.7,0.1,27.61,79.43,707.8,0.57,205.82,15-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Oct-2020 - 00:00,11.02,4.25,7.96,2.57,10.77,0.41,28.85,19.43,40.84,0.11,27.47,75.47,708.57,0.67,204.33,16-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
