from date,NO,NO2,NOx,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,Xylene,RH,WD,WS,SR,RF,to date,station
19-Aug-2020 - 00:00,3.48,13.42,8.2,50.55,29.11,17.15,28.89,0.79,10.68,2.29,45.83,0.21,0.06,0.56,99.72,155.79,0.69,74.45,0.06,20-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
20-Aug-2020 - 00:00,3.49,9.71,6.28,44.57,26.12,19.04,29.45,0.69,9.76,1.68,78.25,0.46,0.03,0.53,99.51,131.62,1.26,325.44,0.01,21-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
21-Aug-2020 - 00:00,2.64,6.79,2.32,52.22,30.96,17.41,28.6,1.46,5.89,1.05,0.28,0.14,0.18,0.28,99.62,67.01,1.26,303.57,0.0,22-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
22-Aug-2020 - 00:00,3.15,7.43,2.76,60.04,29.74,17.28,47.55,1.58,6.17,1.68,1.76,0.89,1.18,0.21,98.64,80.71,1.05,386.56,0.0,23-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
23-Aug-2020 - 00:00,3.19,6.5,2.79,60.29,34.32,22.35,24.0,1.47,6.52,1.74,1.85,0.88,1.18,0.25,99.14,100.42,0.85,377.02,0.1,24-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
24-Aug-2020 - 00:00,3.14,5.9,2.76,60.04,30.35,16.33,15.28,1.1,6.1,1.72,1.77,0.84,1.16,0.21,99.4,118.48,1.19,257.49,0.01,25-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
25-Aug-2020 - 00:00,3.2,5.92,2.78,60.32,39.47,24.96,30.59,1.05,6.35,1.55,1.8,0.91,1.21,0.24,99.38,130.16,1.13,289.72,0.0,26-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
26-Aug-2020 - 00:00,3.19,5.91,2.87,60.29,27.85,12.9,25.34,1.48,6.48,1.7,1.95,0.91,1.29,0.23,99.33,199.37,0.83,265.68,0.0,27-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
27-Aug-2020 - 00:00,3.19,5.91,2.77,60.47,41.43,20.22,18.26,0.66,6.66,1.81,1.77,0.91,1.23,0.22,98.04,191.21,0.57,237.23,0.0,28-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
28-Aug-2020 - 00:00,3.19,5.94,2.84,60.31,34.93,15.22,14.88,0.45,6.14,1.57,1.89,0.91,1.23,0.21,97.51,208.51,0.96,517.74,0.0,29-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
29-Aug-2020 - 00:00,5.16,87.11,63.15,71.88,46.99,36.87,19.58,0.57,5.94,3.27,4.98,3.95,3.21,3.66,98.93,92.36,0.66,487.95,0.0,30-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
30-Aug-2020 - 00:00,3.32,5.16,2.61,51.04,41.38,26.9,13.85,1.13,6.44,5.0,8.0,6.97,5.22,4.93,97.01,90.86,1.35,372.95,0.0,31-Aug-2020 - 00:00,"Police Lines, Jind - HSPCB"
31-Aug-2020 - 00:00,4.72,7.69,3.06,55.53,22.8,13.73,12.8,0.74,6.16,4.89,8.0,7.34,5.5,3.78,99.25,134.28,1.83,275.75,0.0,01-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
01-Sep-2020 - 00:00,4.74,7.88,3.2,30.89,31.5,19.36,9.47,0.91,6.29,3.33,4.68,3.42,2.67,2.01,96.49,151.43,1.13,313.62,0.0,02-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
02-Sep-2020 - 00:00,4.66,7.91,3.14,35.02,28.25,14.76,8.01,1.07,5.78,2.41,3.11,1.43,1.32,1.08,97.52,186.87,0.68,382.46,0.0,03-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
03-Sep-2020 - 00:00,4.71,7.94,3.04,35.23,55.61,35.99,10.18,1.25,6.22,2.5,2.96,1.45,1.27,1.08,98.01,120.02,0.72,260.09,0.0,04-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
04-Sep-2020 - 00:00,4.69,7.89,2.96,35.4,66.8,45.46,10.6,1.1,5.57,2.45,2.82,1.47,1.33,1.11,99.21,168.36,0.7,355.42,0.0,05-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
05-Sep-2020 - 00:00,4.75,7.81,3.01,35.65,60.01,43.11,8.32,1.03,6.4,2.56,3.11,1.47,1.31,1.12,96.16,169.11,0.76,339.15,0.0,06-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
06-Sep-2020 - 00:00,4.63,7.91,3.06,34.92,39.0,25.39,11.19,1.21,5.6,2.4,2.86,1.44,1.28,1.06,98.18,199.79,0.53,280.79,0.0,07-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
07-Sep-2020 - 00:00,4.79,7.85,2.94,35.38,54.79,35.58,5.85,0.84,6.4,2.58,2.84,1.43,1.38,1.07,97.58,196.62,0.62,202.23,0.0,08-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
08-Sep-2020 - 00:00,6.39,21.01,15.16,59.52,60.25,33.9,12.23,1.12,19.42,2.59,3.02,1.48,1.37,1.12,94.12,279.41,0.88,280.42,0.0,09-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
09-Sep-2020 - 00:00,4.02,20.23,9.28,55.18,84.08,50.98,17.06,1.19,29.84,2.44,2.96,1.41,1.21,1.1,97.99,277.06,0.79,232.73,0.0,10-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
10-Sep-2020 - 00:00,3.72,14.64,8.82,53.71,96.73,54.09,16.39,1.24,29.71,2.41,2.59,1.41,1.27,1.1,80.61,273.63,0.95,359.01,0.0,11-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
11-Sep-2020 - 00:00,3.78,13.59,8.54,56.45,111.92,55.29,21.59,1.59,29.44,2.38,2.83,1.49,1.27,1.12,68.0,190.07,0.55,736.93,0.0,12-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
12-Sep-2020 - 00:00,3.77,12.94,8.19,49.65,107.43,53.04,18.4,1.63,24.42,2.47,2.89,1.47,1.31,1.12,74.3,202.17,0.5,408.89,0.0,13-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
13-Sep-2020 - 00:00,4.1,13.76,8.89,43.03,129.28,72.85,45.85,2.31,13.77,2.63,3.09,1.44,1.33,1.1,87.53,221.3,0.52,341.84,0.0,14-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
14-Sep-2020 - 00:00,3.63,12.81,8.01,39.61,116.85,59.51,23.17,2.05,14.97,2.5,2.83,1.44,1.3,1.09,87.26,236.23,0.56,330.58,0.0,15-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
