from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
09-Sep-2020 - 00:00,30.59,980.27,50.52,116.56,0.38,131.32,261.94,1.01,2.16,75.73,19.17,25.3,16.43,3.64,0.84,17.28,10.66,10-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
10-Sep-2020 - 00:00,30.56,978.1,49.39,119.86,0.37,90.22,246.55,0.87,1.65,70.07,26.16,28.27,19.92,6.0,1.39,17.35,12.76,11-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
11-Sep-2020 - 00:00,31.64,978.36,65.06,175.16,0.36,132.86,251.12,0.68,2.56,145.16,28.87,31.58,34.05,21.14,1.17,20.19,11.61,12-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
12-Sep-2020 - 00:00,31.3,980.95,61.02,184.69,0.36,115.27,199.23,0.8,2.26,195.95,43.89,31.59,31.22,17.69,1.09,15.18,2.42,13-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
13-Sep-2020 - 00:00,30.99,980.94,68.02,183.48,0.39,97.32,214.57,0.8,1.97,114.74,47.06,31.38,25.4,10.69,0.96,17.48,3.16,14-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
14-Sep-2020 - 00:00,30.95,979.87,68.35,178.25,1.38,112.23,243.67,0.84,2.42,168.64,48.02,32.48,27.21,12.18,1.04,16.82,5.34,15-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
15-Sep-2020 - 00:00,31.05,979.48,68.9,168.03,0.39,117.3,231.4,0.72,1.79,131.01,44.85,31.34,22.08,6.64,0.96,16.39,4.61,16-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
16-Sep-2020 - 00:00,31.49,979.09,66.26,180.26,0.38,117.39,248.94,0.87,2.18,99.34,42.97,31.61,22.53,7.01,0.93,16.02,5.29,17-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
17-Sep-2020 - 00:00,31.49,978.43,50.61,130.5,0.35,123.34,264.18,1.12,1.58,77.3,40.63,24.45,15.95,3.61,0.88,15.88,4.66,18-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
18-Sep-2020 - 00:00,32.12,977.58,44.52,140.32,0.39,122.97,269.44,1.13,1.46,53.49,37.0,23.45,14.95,3.03,1.18,15.26,4.29,19-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
19-Sep-2020 - 00:00,31.25,978.01,58.77,159.79,0.41,113.26,251.71,0.76,1.8,123.5,34.88,29.58,25.09,11.48,0.67,15.55,4.88,20-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
20-Sep-2020 - 00:00,30.95,977.3,67.06,179.7,0.34,115.88,272.26,1.18,2.21,141.62,37.23,26.1,17.92,4.95,0.65,14.47,3.88,21-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
21-Sep-2020 - 00:00,31.46,976.26,60.0,163.55,0.34,111.66,278.0,1.03,2.11,146.81,37.84,23.42,14.01,1.9,0.54,14.64,2.71,22-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
22-Sep-2020 - 00:00,31.59,977.17,48.54,151.8,0.43,93.04,93.37,1.21,2.79,166.16,35.43,36.05,29.29,12.41,0.86,15.46,6.94,23-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
23-Sep-2020 - 00:00,31.37,977.38,31.2,121.27,0.46,104.35,72.64,1.28,2.47,157.3,33.22,35.29,35.04,19.96,0.44,14.68,6.38,24-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
24-Sep-2020 - 00:00,30.3,979.27,45.28,126.43,0.4,104.87,161.57,1.0,2.12,88.36,31.93,35.3,31.0,15.02,1.07,13.33,6.42,25-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
25-Sep-2020 - 00:00,30.44,978.3,62.07,169.89,0.35,111.91,237.81,0.94,2.43,96.6,31.74,36.83,23.77,5.14,0.93,10.44,5.6,26-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
26-Sep-2020 - 00:00,27.65,978.46,74.95,191.97,0.34,63.5,232.43,0.76,2.95,95.86,32.19,39.0,28.24,9.2,0.72,9.3,11.11,27-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
27-Sep-2020 - 00:00,28.04,981.08,38.03,128.98,0.32,115.69,263.69,0.88,2.28,106.51,31.08,27.75,20.87,7.48,0.59,11.95,9.24,28-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
28-Sep-2020 - 00:00,28.83,982.0,68.78,215.9,0.32,120.71,268.64,1.24,3.43,144.89,34.54,31.68,22.55,7.0,0.99,15.23,7.77,29-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
29-Sep-2020 - 00:00,28.44,981.7,77.0,236.24,0.31,114.56,271.05,1.2,3.67,122.59,35.3,29.71,18.62,3.55,1.16,15.89,8.16,30-Sep-2020 - 00:00,"Narela, Delhi - DPCC"
30-Sep-2020 - 00:00,28.09,980.63,57.88,184.99,0.3,118.14,272.99,1.31,2.27,100.7,34.26,27.65,16.93,2.73,0.66,14.16,8.38,01-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
01-Oct-2020 - 00:00,28.48,980.03,66.57,211.38,0.31,116.43,273.19,1.23,2.69,119.76,34.15,35.52,21.96,4.01,0.84,15.05,7.22,02-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
02-Oct-2020 - 00:00,28.08,980.73,83.99,209.52,0.31,114.55,258.75,0.9,2.72,88.89,35.01,32.02,23.71,8.19,0.7,15.59,9.67,03-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
03-Oct-2020 - 00:00,27.34,981.8,89.58,235.18,0.32,115.38,268.09,0.97,2.68,104.0,35.8,35.9,20.9,2.22,0.42,17.01,10.34,04-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
04-Oct-2020 - 00:00,26.66,982.68,89.95,243.44,0.31,111.7,252.06,0.9,2.78,196.89,34.05,36.54,30.12,13.12,0.64,18.16,14.41,05-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
05-Oct-2020 - 00:00,26.55,982.09,77.75,223.2,0.3,114.51,273.94,1.27,2.56,100.02,34.05,37.36,22.67,3.46,0.43,17.43,12.73,06-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
06-Oct-2020 - 00:00,26.53,982.68,91.33,250.69,0.32,116.37,252.4,1.04,3.5,140.03,34.9,48.75,49.93,29.43,1.11,17.95,16.49,07-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
07-Oct-2020 - 00:00,27.15,984.47,111.93,299.89,0.31,109.49,259.11,1.09,3.29,194.16,39.05,45.52,53.08,36.2,1.03,18.98,15.7,08-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
08-Oct-2020 - 00:00,27.17,984.53,98.64,275.92,0.33,100.38,267.06,1.08,3.09,142.83,42.71,40.38,25.88,5.55,0.44,24.07,12.57,09-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
09-Oct-2020 - 00:00,27.11,985.0,102.58,301.5,0.32,99.59,252.45,0.87,2.8,150.29,42.82,40.65,27.6,7.57,0.95,60.49,14.74,10-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
10-Oct-2020 - 00:00,25.24,983.74,116.12,290.88,0.32,69.35,258.67,0.76,3.8,79.46,45.1,40.49,25.96,5.57,1.18,35.41,19.97,11-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
11-Oct-2020 - 00:00,26.78,981.85,118.27,319.85,0.33,96.01,274.27,0.97,3.81,88.82,46.48,36.94,23.26,4.43,0.7,53.76,12.93,12-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
12-Oct-2020 - 00:00,26.77,980.64,144.21,349.69,0.36,88.88,248.17,0.57,4.67,144.11,46.61,58.56,56.14,30.66,1.5,45.71,16.23,13-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
13-Oct-2020 - 00:00,28.04,982.03,153.23,380.25,0.46,71.73,77.22,0.87,5.3,233.46,54.82,64.64,59.92,31.33,1.42,50.57,14.54,14-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
14-Oct-2020 - 00:00,28.3,983.18,146.73,385.15,0.39,65.42,163.68,0.68,5.26,286.99,68.56,58.41,48.45,21.34,1.44,38.69,17.54,15-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
15-Oct-2020 - 00:00,27.38,983.49,136.81,338.23,0.32,92.51,261.85,0.92,3.46,227.6,55.09,50.09,36.78,12.44,1.15,40.8,16.96,16-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
16-Oct-2020 - 00:00,25.49,983.21,121.81,301.08,0.32,88.25,251.95,0.72,3.12,185.7,45.34,56.85,43.47,16.21,1.06,51.09,13.53,17-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
17-Oct-2020 - 00:00,25.24,983.94,130.52,316.44,0.31,81.94,243.23,0.6,3.72,178.09,47.09,55.7,40.44,13.27,1.08,54.48,15.31,18-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
18-Oct-2020 - 00:00,25.19,983.77,103.46,253.81,0.3,91.63,273.25,1.01,2.86,110.95,40.39,38.59,23.3,3.4,1.01,57.99,13.96,19-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
19-Oct-2020 - 00:00,24.89,983.48,111.69,290.1,0.3,92.11,272.0,1.1,3.28,98.46,38.27,44.07,27.03,4.4,1.03,56.91,15.13,20-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
20-Oct-2020 - 00:00,24.92,983.18,117.26,299.33,0.3,83.12,276.21,1.01,3.32,145.46,35.69,55.91,38.25,10.44,1.18,57.85,15.78,21-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
21-Oct-2020 - 00:00,25.04,984.45,158.62,384.35,0.34,73.05,247.63,0.65,4.79,294.63,41.52,78.69,108.78,84.29,0.99,62.65,15.69,22-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
22-Oct-2020 - 00:00,24.5,983.24,200.52,466.37,0.36,55.88,199.41,0.66,5.14,403.77,57.29,83.3,120.63,93.62,0.95,52.0,11.1,23-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
23-Oct-2020 - 00:00,23.21,982.97,237.27,473.31,0.34,64.99,240.9,0.64,4.71,274.96,59.88,76.07,106.02,80.41,1.76,56.86,8.51,24-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
24-Oct-2020 - 00:00,22.45,983.93,236.12,421.79,0.34,62.56,242.51,0.69,5.53,209.53,55.94,68.59,73.57,45.51,1.19,49.06,7.04,25-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
25-Oct-2020 - 00:00,23.17,986.38,211.21,409.27,0.37,61.17,188.92,0.53,5.56,256.37,49.51,74.6,115.98,95.65,1.38,57.68,6.63,26-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
26-Oct-2020 - 00:00,23.6,987.67,198.08,407.69,0.33,60.76,259.17,0.79,5.08,209.14,53.75,63.98,61.85,34.14,1.12,52.16,6.67,27-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
27-Oct-2020 - 00:00,21.9,987.43,176.33,318.54,0.31,71.49,268.62,0.94,3.3,77.68,21.55,49.92,32.56,7.38,1.08,45.66,5.66,28-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
28-Oct-2020 - 00:00,20.89,988.21,211.6,371.73,0.33,60.28,246.9,0.53,4.84,132.18,13.37,68.89,76.84,49.31,1.69,45.62,7.29,29-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
29-Oct-2020 - 00:00,21.18,989.29,301.5,527.17,0.36,53.53,180.63,0.49,6.41,319.15,17.18,96.6,112.44,74.91,2.47,38.12,8.54,30-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
30-Oct-2020 - 00:00,21.62,988.65,240.06,398.79,0.31,64.31,268.38,0.88,4.41,86.6,16.12,59.46,40.32,10.66,1.58,47.72,6.54,31-Oct-2020 - 00:00,"Narela, Delhi - DPCC"
31-Oct-2020 - 00:00,21.09,988.56,302.79,479.19,0.31,58.32,275.68,1.17,4.68,70.25,17.15,50.02,29.57,3.7,1.6,50.84,9.82,01-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
01-Nov-2020 - 00:00,20.34,989.31,321.04,491.06,0.34,62.52,265.54,0.89,4.99,106.29,16.39,52.0,32.45,6.04,1.86,49.13,7.66,02-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
02-Nov-2020 - 00:00,19.28,990.08,209.0,387.02,0.35,56.92,221.52,0.62,5.14,127.78,13.93,62.5,94.29,74.89,1.72,36.28,7.67,03-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
03-Nov-2020 - 00:00,19.58,989.66,181.53,417.62,0.39,54.64,203.86,0.52,5.2,202.59,13.69,81.77,138.22,116.22,2.0,33.75,10.6,04-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
04-Nov-2020 - 00:00,18.79,988.24,400.45,610.97,0.37,43.86,250.2,0.49,7.89,201.06,22.26,92.56,111.36,76.2,2.06,24.27,9.18,05-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
05-Nov-2020 - 00:00,20.27,989.46,337.18,512.53,0.34,57.34,249.98,0.59,6.52,144.02,24.1,76.26,74.09,41.12,1.83,41.89,7.11,06-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
06-Nov-2020 - 00:00,20.74,992.17,328.28,512.54,0.34,59.27,254.55,0.69,6.13,136.39,27.24,72.46,56.67,22.74,1.71,41.52,7.66,07-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
07-Nov-2020 - 00:00,20.02,992.95,376.27,573.64,0.33,61.78,267.2,0.75,5.96,115.28,28.05,65.67,49.49,17.87,1.84,51.49,6.37,08-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
08-Nov-2020 - 00:00,19.01,993.7,449.4,674.61,0.46,50.23,233.43,0.46,7.22,189.26,30.99,79.44,67.35,31.51,2.1,45.81,8.34,09-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
09-Nov-2020 - 00:00,18.5,992.08,603.01,717.35,0.89,59.74,255.64,0.54,9.77,172.31,34.58,82.91,63.51,24.95,2.54,42.39,6.54,10-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
10-Nov-2020 - 00:00,19.09,991.43,405.74,488.76,0.7,66.86,127.27,0.5,8.15,188.82,37.32,91.76,144.16,116.96,2.87,44.25,13.31,11-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
11-Nov-2020 - 00:00,19.8,993.44,196.36,384.52,0.75,76.54,80.11,0.72,4.85,305.8,32.16,68.42,169.9,163.77,2.0,33.7,12.7,12-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
12-Nov-2020 - 00:00,19.8,994.37,186.62,385.64,0.66,74.44,165.0,0.49,5.82,271.96,33.04,83.09,154.06,134.76,2.16,30.39,12.9,13-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
13-Nov-2020 - 00:00,19.72,992.52,279.73,447.3,17.05,70.68,244.91,0.55,6.95,94.82,35.58,68.29,52.6,19.98,2.24,45.38,11.45,14-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
14-Nov-2020 - 00:00,18.51,990.59,500.24,707.57,54.68,49.22,148.97,0.52,5.91,136.58,37.82,65.01,49.37,18.14,2.72,42.34,12.8,15-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
15-Nov-2020 - 00:00,20.21,990.16,300.31,439.47,62.39,57.46,77.88,1.2,4.86,41.68,36.92,54.4,36.74,9.58,1.93,55.85,12.23,16-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
16-Nov-2020 - 00:00,20.23,991.89,80.69,144.31,67.04,52.84,116.97,1.13,2.21,68.54,36.06,35.99,24.03,5.98,1.53,40.0,6.95,17-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
17-Nov-2020 - 00:00,18.58,989.75,86.12,157.16,67.53,72.42,273.3,0.92,2.5,115.82,31.71,37.36,27.9,9.84,1.58,31.5,7.68,18-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
18-Nov-2020 - 00:00,17.41,988.72,138.7,241.97,60.96,74.46,260.85,0.84,3.32,100.93,28.63,48.82,43.68,21.39,1.87,44.15,6.42,19-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
19-Nov-2020 - 00:00,17.11,989.19,167.02,311.46,59.73,74.35,260.75,0.82,3.46,198.31,27.87,64.41,55.09,25.56,1.81,46.85,11.76,20-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
20-Nov-2020 - 00:00,16.3,990.41,157.79,262.16,56.03,76.11,274.13,1.11,3.01,94.9,27.54,49.04,30.99,6.01,1.58,52.51,8.99,21-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
21-Nov-2020 - 00:00,14.9,990.78,136.2,244.0,55.34,77.08,284.17,1.26,3.52,89.66,23.29,47.04,31.31,7.71,1.63,53.25,9.24,22-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
22-Nov-2020 - 00:00,15.02,991.44,175.64,297.14,54.15,72.74,259.49,0.82,4.04,151.85,24.15,53.46,43.48,18.46,1.95,56.49,11.44,23-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
23-Nov-2020 - 00:00,15.26,991.96,206.95,383.86,53.7,70.14,191.23,0.49,5.39,99.6,25.09,86.97,137.24,111.59,2.55,38.88,18.45,24-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
24-Nov-2020 - 00:00,15.58,991.84,288.05,542.17,57.32,52.72,125.79,0.6,7.81,262.97,31.94,105.77,163.77,131.87,2.83,52.95,19.86,25-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
25-Nov-2020 - 00:00,16.67,992.48,322.6,516.73,66.19,31.6,80.86,1.07,8.12,224.87,41.14,74.44,56.69,20.98,2.23,25.18,19.8,26-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
26-Nov-2020 - 00:00,18.83,994.12,114.69,228.46,62.43,72.05,295.34,1.22,3.41,300.22,33.04,41.04,29.44,9.33,1.38,26.33,14.58,27-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
27-Nov-2020 - 00:00,17.06,995.51,87.39,162.31,63.59,76.7,277.32,1.06,2.67,127.19,29.56,40.66,28.78,8.77,1.36,27.14,6.85,28-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
28-Nov-2020 - 00:00,16.52,994.49,127.01,218.18,60.79,80.19,260.67,0.94,3.19,53.31,27.59,50.65,36.27,11.44,1.57,36.61,8.19,29-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
29-Nov-2020 - 00:00,15.76,993.28,194.38,306.04,59.06,80.32,249.48,0.63,4.54,139.81,26.06,63.9,51.92,21.99,1.86,43.05,12.58,30-Nov-2020 - 00:00,"Narela, Delhi - DPCC"
30-Nov-2020 - 00:00,16.14,992.36,247.7,385.51,61.68,247.93,251.54,0.6,6.34,158.26,29.89,80.38,71.88,35.73,2.39,36.85,12.1,01-Dec-2020 - 00:00,"Narela, Delhi - DPCC"
01-Dec-2020 - 00:00,12.0,991.85,246.0,356.0,74.65,2.5,254.3,0.5,5.95,52.35,31.95,91.05,65.35,20.7,1.9,7.0,7.3,02-Dec-2020 - 00:00,"Narela, Delhi - DPCC"
