from date,PM10,PM2.5,SO2,CO,NOx,NO2,NO,to date,station
02-Nov-2020 - 00:00,,101.46,4.88,0.98,,21.28,,03-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
03-Nov-2020 - 00:00,,88.39,4.68,0.83,,28.59,,04-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
04-Nov-2020 - 00:00,,97.68,4.67,0.8,,26.66,,05-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
05-Nov-2020 - 00:00,,95.49,5.0,0.88,,26.4,,06-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
06-Nov-2020 - 00:00,,108.82,4.6,0.83,,24.15,,07-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
07-Nov-2020 - 00:00,,92.59,4.89,0.76,,22.84,,08-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
08-Nov-2020 - 00:00,,116.78,4.82,0.51,,23.32,,09-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
09-Nov-2020 - 00:00,,125.62,4.78,0.5,,26.96,,10-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
10-Nov-2020 - 00:00,,135.23,4.79,0.65,,31.75,,11-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
11-Nov-2020 - 00:00,,93.17,4.73,0.59,,27.95,,12-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
12-Nov-2020 - 00:00,,51.84,5.14,0.44,,20.15,,13-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
13-Nov-2020 - 00:00,,46.69,4.21,0.62,,16.09,,14-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
14-Nov-2020 - 00:00,,51.49,4.73,0.55,,14.71,,15-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
15-Nov-2020 - 00:00,,46.36,4.85,0.41,,13.58,,16-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
16-Nov-2020 - 00:00,107.2,44.17,4.9,0.46,,14.09,,17-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
17-Nov-2020 - 00:00,89.66,49.78,4.57,0.52,,14.22,,18-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
18-Nov-2020 - 00:00,,43.24,4.47,0.73,,14.55,,19-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
19-Nov-2020 - 00:00,44.44,38.6,4.1,0.47,,13.34,,20-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
20-Nov-2020 - 00:00,,46.0,3.71,0.34,,14.19,,21-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
21-Nov-2020 - 00:00,,39.43,4.64,0.45,,15.78,,22-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
22-Nov-2020 - 00:00,,49.04,4.66,0.4,,20.37,,23-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
23-Nov-2020 - 00:00,,53.72,4.98,0.39,,21.77,,24-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
24-Nov-2020 - 00:00,,55.25,4.78,0.54,,22.39,,25-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
25-Nov-2020 - 00:00,,84.95,4.75,0.87,,29.41,,26-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
26-Nov-2020 - 00:00,,68.73,4.95,0.45,,19.03,,27-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
27-Nov-2020 - 00:00,,74.05,4.65,0.47,,18.8,,28-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
28-Nov-2020 - 00:00,75.21,38.13,5.54,1.11,,19.97,,29-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
29-Nov-2020 - 00:00,103.17,40.27,6.19,0.81,,29.48,,30-Nov-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
30-Nov-2020 - 00:00,,39.82,5.44,0.51,,33.54,,01-Dec-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
01-Dec-2020 - 00:00,,73.65,5.3,0.19,,55.37,,02-Dec-2020 - 00:00,"Deen Dayal Nagar, Sagar - MPPCB"
