from date,NO,NOx,NO2,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
09-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-May-2020 - 00:00,21.5,41.33,19.83,2.24,65.86,12.06,5.55,0.17,8.64,,,,31.26,73.45,,529.13,3.28,301.04,19-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-May-2020 - 00:00,56.19,70.07,13.88,3.67,52.31,6.37,6.75,0.15,9.1,,,,30.07,74.71,,498.04,2.01,250.5,20-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-May-2020 - 00:00,58.74,74.2,15.46,2.64,39.99,5.08,,0.18,8.79,,,,,,,,,,21-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-May-2020 - 00:00,55.58,70.77,15.19,1.71,34.52,3.52,,0.19,8.69,,,,,,,,,,22-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-May-2020 - 00:00,49.16,64.58,15.42,1.53,34.12,5.01,,0.19,8.64,,,,,,,,,,23-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-May-2020 - 00:00,56.0,71.57,15.57,1.35,53.12,10.78,,0.23,8.66,,,,,,,,,,24-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-May-2020 - 00:00,49.4,64.52,15.12,0.97,38.25,5.44,,0.15,8.46,,,,,,,,,,25-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-May-2020 - 00:00,47.94,63.42,15.47,0.86,44.5,4.71,,0.16,8.44,,,,,,,,,,26-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-May-2020 - 00:00,50.11,64.87,14.76,0.79,47.39,3.91,,0.16,8.34,,,,,,,,,,27-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-May-2020 - 00:00,38.71,54.48,15.77,0.85,39.19,4.8,,0.13,8.32,,,,,,,,,,28-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-May-2020 - 00:00,38.74,53.91,15.17,0.71,34.83,3.24,,0.13,8.28,,,,,,,,,,29-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-May-2020 - 00:00,34.96,50.47,15.52,0.53,21.17,2.73,,0.11,8.26,,,,,,,,,,30-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-May-2020 - 00:00,42.73,53.49,10.76,0.33,29.82,3.57,,0.11,8.18,,,,,,,,,,31-May-2020 - 00:00,"Vasai West, Mumbai - MPCB"
31-May-2020 - 00:00,42.27,54.2,11.93,0.51,45.9,2.85,,0.12,8.19,,,,,,,,,,01-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Jun-2020 - 00:00,45.41,63.25,17.84,1.09,24.0,17.65,,0.25,7.97,,,,31.29,72.75,,302.07,1.83,231.4,02-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Jun-2020 - 00:00,56.23,75.13,18.91,1.11,47.52,17.81,,0.44,8.26,,,,29.95,73.29,,143.27,2.1,78.36,03-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Jun-2020 - 00:00,61.4,76.42,15.02,1.25,9.81,5.43,,0.31,8.21,,,,27.13,85.36,997.76,112.73,4.31,42.85,04-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Jun-2020 - 00:00,49.2,67.46,18.26,4.06,32.36,9.64,5.56,0.37,8.46,,,,26.11,88.79,,167.65,1.68,131.52,05-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Jun-2020 - 00:00,50.59,68.45,17.86,3.77,34.92,9.58,5.92,0.34,8.43,,,,28.28,79.08,,431.04,1.68,172.92,06-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Jun-2020 - 00:00,51.5,63.87,12.37,3.46,25.59,6.68,5.97,0.28,8.42,,,,28.1,85.99,,421.38,2.16,160.3,07-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Jun-2020 - 00:00,56.27,66.76,10.49,2.57,33.99,4.91,6.14,0.23,8.4,,,,29.51,80.68,,402.14,1.57,180.68,08-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Jun-2020 - 00:00,44.58,61.46,16.88,2.31,20.4,6.29,5.6,0.25,8.69,,,,27.22,84.26,,410.96,1.83,183.99,09-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Jun-2020 - 00:00,48.25,60.35,12.1,2.98,22.62,6.24,5.82,0.28,8.75,,,,29.1,81.43,,442.87,1.53,186.53,10-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Jun-2020 - 00:00,49.8,60.82,11.02,2.83,27.35,5.35,5.87,0.22,8.69,,,,29.64,82.46,,437.97,1.81,206.88,11-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Jun-2020 - 00:00,60.76,69.19,8.43,1.61,21.64,4.32,6.45,0.24,8.66,,,,29.13,86.34,1000.0,347.37,1.41,183.49,12-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Jun-2020 - 00:00,67.82,78.06,10.24,1.22,25.17,5.75,6.99,0.32,8.64,,,,29.09,85.18,999.18,233.85,1.22,175.43,13-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Jun-2020 - 00:00,57.84,71.32,13.48,1.25,20.28,9.33,6.56,0.33,8.62,,,,28.49,85.78,999.29,224.38,1.33,182.94,14-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Jun-2020 - 00:00,59.8,72.9,13.1,1.38,21.08,8.27,6.69,0.3,8.62,,,,29.25,84.3,999.97,394.74,1.34,172.49,15-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Jun-2020 - 00:00,59.34,71.5,12.17,1.26,23.75,5.85,6.54,0.35,8.65,,,,28.14,89.57,999.8,181.55,1.38,162.96,16-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Jun-2020 - 00:00,58.7,72.79,14.09,1.42,21.81,11.89,6.66,0.38,8.62,,,,28.68,87.88,999.41,303.29,1.44,181.64,17-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Jun-2020 - 00:00,54.73,69.72,14.99,2.05,25.85,9.79,6.55,0.39,8.56,,,,28.9,83.06,999.66,302.84,1.65,170.07,18-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Jun-2020 - 00:00,57.49,67.6,10.11,1.59,24.0,6.73,6.38,0.34,8.59,,,,27.49,89.95,,115.63,1.71,161.93,19-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Jun-2020 - 00:00,59.28,67.43,8.15,1.21,53.45,13.44,6.43,0.41,8.55,,,,29.05,86.89,,349.47,1.62,179.59,20-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Jun-2020 - 00:00,51.2,59.45,8.25,1.79,47.27,10.64,6.02,0.32,8.6,,,,29.66,85.28,,365.14,1.57,186.85,21-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Jun-2020 - 00:00,26.94,34.78,7.84,1.59,,6.61,5.27,0.3,8.81,,,,29.26,83.9,,360.2,1.68,188.89,22-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Jun-2020 - 00:00,33.71,42.01,8.3,1.29,,14.31,5.84,0.37,8.84,,,,29.22,83.94,,371.75,1.54,175.22,23-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Jun-2020 - 00:00,30.96,39.87,8.91,1.7,,8.09,5.89,0.33,8.96,,,,29.38,79.94,,450.95,1.72,172.95,24-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-Jun-2020 - 00:00,34.25,44.72,10.47,2.9,,10.59,6.17,0.44,9.03,,,,29.49,80.65,,405.94,1.67,182.64,25-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Jun-2020 - 00:00,32.9,42.07,9.16,2.23,,7.93,5.98,0.28,8.87,,,,29.93,81.44,,450.34,1.59,194.77,26-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Jun-2020 - 00:00,34.89,43.1,8.21,1.75,,6.74,5.98,0.24,9.08,,,,29.78,82.21,,277.42,1.25,194.19,27-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Jun-2020 - 00:00,35.29,43.24,7.95,1.9,,12.25,6.09,0.27,8.9,,,,30.12,80.69,,377.52,1.53,203.25,28-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Jun-2020 - 00:00,32.53,40.98,8.45,2.07,,5.55,5.74,0.21,8.79,,,,29.72,82.66,,353.07,1.5,190.87,29-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Jun-2020 - 00:00,31.37,39.54,8.17,2.31,,3.02,5.85,0.2,8.86,,,,29.12,84.71,,420.03,1.76,193.72,30-Jun-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-Jun-2020 - 00:00,33.82,44.45,10.63,2.35,,8.43,6.05,0.27,8.81,,,,28.7,85.23,999.62,335.86,1.57,166.25,01-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Jul-2020 - 00:00,34.94,44.15,9.2,2.4,,12.11,6.1,0.36,8.93,,,,28.99,83.75,,387.31,1.83,174.13,02-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Jul-2020 - 00:00,37.87,44.93,7.07,2.31,,3.56,6.22,0.25,8.87,,,,28.6,86.25,,349.7,1.66,169.74,03-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Jul-2020 - 00:00,33.93,41.66,7.73,2.37,,2.57,6.07,0.26,,,,,26.53,96.81,999.84,124.75,1.96,163.56,04-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Jul-2020 - 00:00,27.3,36.74,9.44,2.0,,3.24,5.61,0.23,,,,,25.44,98.32,999.17,90.89,2.16,218.55,05-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Jul-2020 - 00:00,20.71,30.5,9.79,3.31,,11.96,5.42,0.23,,,,,26.2,94.97,998.94,84.46,2.1,195.84,06-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Jul-2020 - 00:00,15.85,25.23,9.38,3.61,,8.0,5.5,0.17,,,,,27.31,92.51,997.68,159.25,2.59,197.38,07-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Jul-2020 - 00:00,14.37,26.65,12.27,4.21,,,5.33,0.15,,,,,27.08,93.89,998.62,149.38,2.2,183.86,08-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Jul-2020 - 00:00,26.84,34.6,7.76,3.49,,,5.71,0.34,,,,,27.53,94.64,,275.6,1.73,190.43,09-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Jul-2020 - 00:00,30.45,36.51,6.05,3.19,,,5.83,0.16,,,,,28.32,90.47,,338.08,1.72,193.98,10-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Jul-2020 - 00:00,29.0,35.1,6.1,3.28,,,5.69,0.23,,,,,28.41,90.57,,304.26,1.82,197.54,11-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Jul-2020 - 00:00,31.63,37.88,6.24,2.98,,,5.72,0.2,,,,,28.45,90.95,,350.93,1.66,203.04,12-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Jul-2020 - 00:00,40.25,45.92,5.66,2.8,,,5.93,0.25,,,,,26.11,96.42,,189.61,1.63,156.46,13-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Jul-2020 - 00:00,57.88,61.82,5.72,2.91,10.21,0.81,5.24,0.26,,,,,26.82,94.02,,287.01,1.65,173.14,14-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Jul-2020 - 00:00,133.89,127.33,0.14,0.56,16.46,6.91,4.83,0.33,,,,,26.6,94.72,,203.52,1.22,171.65,15-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Jul-2020 - 00:00,131.8,124.36,1.46,,10.46,7.74,4.82,0.29,,,,,25.85,97.42,999.55,82.36,1.22,153.61,16-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Jul-2020 - 00:00,105.98,103.34,0.41,,4.95,3.03,4.16,0.28,,,,,25.41,98.46,998.3,105.63,1.73,163.86,17-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Jul-2020 - 00:00,85.58,87.35,3.97,,15.62,5.76,3.57,0.31,,,,,25.85,96.4,997.95,208.91,2.02,152.78,18-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Jul-2020 - 00:00,86.11,86.53,3.81,0.06,29.85,8.83,3.41,0.35,,,,,27.77,90.0,999.59,353.06,1.72,168.63,19-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Jul-2020 - 00:00,79.5,81.04,7.02,0.11,30.78,4.64,3.12,0.27,,,,,28.54,89.12,,381.72,1.83,203.94,20-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Jul-2020 - 00:00,79.97,80.72,5.32,,37.62,3.68,3.17,0.23,,,,,29.1,86.65,,315.44,1.47,213.67,21-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Jul-2020 - 00:00,89.18,88.42,6.17,,30.64,4.12,3.49,0.3,,,,,28.93,86.91,,344.52,1.42,185.77,22-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Jul-2020 - 00:00,94.22,93.73,5.54,0.3,29.75,9.33,3.78,0.33,,,,,29.6,83.8,,394.45,1.41,191.43,23-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Jul-2020 - 00:00,97.62,94.68,1.59,,17.31,3.27,3.83,0.29,,,,,28.59,90.15,,225.9,1.35,174.84,24-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-Jul-2020 - 00:00,107.52,103.67,0.69,0.25,27.04,5.34,4.1,0.36,13.33,,,,27.6,91.75,,149.49,1.21,152.74,25-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Jul-2020 - 00:00,95.27,95.05,7.0,,26.01,7.98,3.8,0.35,,,,,28.56,86.55,,198.69,1.28,164.31,26-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Jul-2020 - 00:00,102.91,102.87,11.2,,30.35,10.9,4.32,0.41,,,,,29.27,85.28,,392.6,1.5,143.56,27-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Jul-2020 - 00:00,78.41,78.03,,,,0.79,,,,,,,,,,,,,28-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Jul-2020 - 00:00,98.53,96.04,0.43,,14.56,4.44,3.75,0.4,,,,,26.61,98.16,,128.71,1.8,143.98,29-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Jul-2020 - 00:00,81.66,80.13,0.69,,26.73,12.58,3.5,0.43,,,,,27.31,94.35,,224.48,1.39,148.68,30-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-Jul-2020 - 00:00,49.36,50.63,2.69,,,7.49,2.12,0.31,,,,,27.93,92.72,,216.72,1.12,190.44,31-Jul-2020 - 00:00,"Vasai West, Mumbai - MPCB"
31-Jul-2020 - 00:00,45.6,48.0,4.1,0.02,,3.98,1.97,0.27,,,,,28.95,88.42,,356.6,1.3,190.21,01-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Aug-2020 - 00:00,49.68,52.36,4.19,0.27,13.08,5.94,2.3,0.25,8.53,,,,29.39,87.56,,360.8,1.39,169.22,02-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Aug-2020 - 00:00,78.79,80.96,4.71,0.14,20.33,11.14,3.44,0.35,8.55,,,,30.09,83.37,999.61,371.29,1.66,177.24,03-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Aug-2020 - 00:00,70.08,73.66,4.73,0.08,17.63,23.89,3.25,0.4,8.64,,,,28.92,90.21,998.49,383.89,1.9,178.01,04-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Aug-2020 - 00:00,32.23,43.34,12.46,,12.14,33.37,2.06,0.16,8.55,,,,27.3,95.44,995.29,130.64,3.72,238.31,05-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Aug-2020 - 00:00,31.51,43.44,11.93,,13.52,2.39,2.15,0.15,8.51,,,,26.79,97.3,992.67,59.09,4.04,219.36,06-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Aug-2020 - 00:00,9.4,31.65,22.25,,13.53,8.9,1.31,0.11,8.55,,,,26.2,98.05,994.03,56.64,3.7,228.26,07-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Aug-2020 - 00:00,41.76,52.02,10.35,0.48,30.21,6.66,2.24,0.16,8.52,,,,26.25,97.37,997.31,,2.04,193.66,08-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Aug-2020 - 00:00,44.63,53.42,8.79,,29.81,4.42,,0.05,8.56,,,,28.38,92.08,,290.32,2.59,223.11,09-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Aug-2020 - 00:00,42.14,50.94,8.8,,46.73,3.9,,0.04,8.62,,,,29.41,88.54,,284.68,2.14,236.48,10-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Aug-2020 - 00:00,46.88,55.37,8.49,,37.39,3.53,,0.07,8.65,,,,29.04,92.42,,214.34,2.01,237.86,11-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Aug-2020 - 00:00,45.07,53.73,8.65,,26.81,1.66,,0.05,8.72,,,,28.36,94.3,,107.32,1.94,221.71,12-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Aug-2020 - 00:00,31.3,44.03,12.73,,20.44,1.57,,0.04,8.7,,,,27.12,98.18,,52.09,2.69,240.45,13-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Aug-2020 - 00:00,29.92,42.75,12.83,,29.53,2.73,,0.05,8.74,,,,28.65,92.02,,152.18,2.84,239.22,14-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Aug-2020 - 00:00,36.42,48.08,11.67,,21.21,2.17,,0.09,8.76,,,,26.88,98.23,999.92,87.16,2.64,218.37,15-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Aug-2020 - 00:00,27.51,41.42,13.91,,33.52,4.63,,0.06,8.69,,,,28.76,91.69,999.46,229.28,2.9,228.77,16-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Aug-2020 - 00:00,29.22,41.31,12.08,,34.75,2.96,,0.02,8.71,,,,29.03,91.89,,130.64,2.71,240.07,17-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Aug-2020 - 00:00,38.74,48.62,9.89,,23.7,1.83,,0.03,8.74,,,,27.89,95.96,,75.51,2.34,231.73,18-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Aug-2020 - 00:00,52.27,59.13,6.86,,25.06,5.43,,0.05,8.76,,,,28.59,93.17,,242.97,2.05,223.73,19-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Aug-2020 - 00:00,46.51,53.75,7.23,,19.94,2.52,,0.02,8.73,,,,28.7,92.82,,284.41,2.37,232.41,20-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Aug-2020 - 00:00,56.14,60.53,4.97,,20.52,3.37,,0.05,8.74,,,,27.8,97.75,,91.93,1.89,215.33,21-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Aug-2020 - 00:00,53.25,57.12,4.4,0.2,16.17,6.02,,0.07,8.72,,,,27.23,98.65,,95.58,2.32,212.7,22-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Aug-2020 - 00:00,51.24,54.85,3.61,0.08,15.62,3.65,,0.05,8.74,,,,,,,,,,23-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Aug-2020 - 00:00,48.82,53.38,4.56,0.37,,3.29,,0.04,,,,,28.49,92.41,,264.21,2.52,215.14,24-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-Aug-2020 - 00:00,48.21,53.28,5.07,0.54,,2.32,,0.04,,,,,29.27,90.21,,235.72,2.22,210.15,25-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Aug-2020 - 00:00,61.56,64.4,3.45,0.61,,5.91,,0.06,,,,,29.49,88.37,,336.97,1.74,206.8,26-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Aug-2020 - 00:00,76.38,76.96,5.09,0.99,,20.19,,0.15,,,,,29.55,86.77,,318.45,1.41,202.36,27-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Aug-2020 - 00:00,62.07,65.28,6.68,1.85,,14.63,,0.06,,,,,29.53,88.08,,360.93,2.1,225.0,28-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Aug-2020 - 00:00,60.69,63.14,4.15,1.05,5.0,9.88,,0.03,8.93,,,,27.66,96.29,,106.72,1.87,201.64,29-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Aug-2020 - 00:00,77.26,77.59,5.53,1.48,12.17,8.45,,0.11,8.66,,,,26.94,98.62,,71.59,1.74,207.08,30-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-Aug-2020 - 00:00,66.41,69.25,5.42,2.07,14.0,8.54,,0.06,9.01,,,,27.05,97.0,,117.71,1.9,198.13,31-Aug-2020 - 00:00,"Vasai West, Mumbai - MPCB"
31-Aug-2020 - 00:00,44.68,49.78,5.15,6.19,,10.62,,0.01,,,,,28.0,93.06,,260.06,1.82,209.38,01-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Sep-2020 - 00:00,69.21,70.69,7.08,11.23,,12.34,,0.18,,,,,28.48,91.82,,300.83,1.48,193.77,02-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Sep-2020 - 00:00,86.07,86.04,6.27,10.79,,16.73,,0.26,,,,,29.98,87.38,,515.27,1.56,164.37,03-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Sep-2020 - 00:00,78.13,80.47,7.7,11.65,,14.02,,0.17,,,,,30.42,86.07,,439.99,1.66,138.72,04-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Sep-2020 - 00:00,69.83,80.2,19.54,11.35,,28.69,,,,,,,31.11,85.93,,433.62,1.21,175.15,05-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Sep-2020 - 00:00,59.55,73.42,15.71,10.61,,37.5,,0.46,,,,,29.61,91.92,,67.86,0.83,153.01,06-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Sep-2020 - 00:00,59.74,71.12,11.39,10.67,,46.82,,0.32,8.49,,,,31.86,86.0,,290.03,1.66,165.29,07-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Sep-2020 - 00:00,71.58,80.87,9.8,11.38,,12.63,,0.28,8.62,,,,30.34,87.59,,351.67,1.67,210.24,08-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Sep-2020 - 00:00,78.12,82.05,4.93,11.91,52.67,14.91,,0.24,8.53,,,,31.5,83.68,,564.52,1.83,200.07,09-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Sep-2020 - 00:00,81.14,86.98,11.8,12.3,73.14,25.31,,0.32,8.5,,,,31.68,85.32,,291.93,1.58,141.85,10-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Sep-2020 - 00:00,66.4,75.27,10.21,11.31,51.47,23.48,,0.32,8.46,,,,31.0,85.91,,373.82,1.44,191.13,11-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Sep-2020 - 00:00,72.21,80.57,11.18,11.27,53.65,28.12,,0.33,8.56,,,,30.42,89.35,999.82,271.4,1.39,153.08,12-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Sep-2020 - 00:00,69.78,80.46,14.3,11.68,28.17,14.61,,0.23,8.49,,,,30.3,86.75,,444.62,2.21,146.41,13-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Sep-2020 - 00:00,54.8,62.31,8.77,9.33,25.97,11.95,,0.16,8.49,,,,29.12,91.57,,279.09,1.62,175.59,14-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Sep-2020 - 00:00,87.93,87.9,4.19,9.7,26.66,11.94,,0.21,8.51,,,,28.79,92.31,,192.17,1.3,168.88,15-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Sep-2020 - 00:00,80.52,81.63,5.54,9.79,18.11,11.95,,0.14,8.53,,,,29.1,91.53,,250.97,1.23,186.45,16-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Sep-2020 - 00:00,88.93,88.79,6.01,9.38,32.49,15.62,,0.28,8.58,,,,29.46,91.71,,311.56,1.36,155.94,17-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Sep-2020 - 00:00,85.46,84.49,4.43,8.83,26.49,11.16,,0.21,8.55,,,,29.31,90.8,,225.94,1.32,174.08,18-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Sep-2020 - 00:00,93.56,91.91,1.93,9.12,41.26,16.63,,0.29,8.54,,,,28.85,93.05,,194.8,0.99,163.19,19-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Sep-2020 - 00:00,95.1,94.99,4.59,9.09,41.37,21.05,,0.41,8.49,,,,29.34,93.29,,135.05,1.0,159.25,20-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Sep-2020 - 00:00,79.46,82.97,11.15,10.08,42.99,32.25,,0.46,8.6,,,,30.21,88.06,999.17,306.03,1.17,182.7,21-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Sep-2020 - 00:00,65.66,71.9,9.06,10.13,54.91,,,0.54,8.5,,,,29.74,90.24,999.17,222.81,1.03,149.06,22-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Sep-2020 - 00:00,68.76,73.49,6.51,9.55,36.19,,,0.39,8.51,,,,28.5,96.63,999.23,81.61,1.14,177.43,23-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Sep-2020 - 00:00,60.62,66.72,6.1,9.49,16.7,,,0.29,8.5,,,,27.34,98.66,999.79,61.38,1.41,126.44,24-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
