from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
03-Mar-2020 - 00:00,21.39,987.57,149.94,75.16,60.48,192.18,65.19,149.82,1.13,1.17,6.97,47.62,102.26,70.59,120.43,22.05,20.13,04-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
04-Mar-2020 - 00:00,20.8,986.91,126.98,64.97,60.88,145.87,19.76,157.55,1.96,0.87,4.72,42.61,45.76,58.61,68.47,39.59,19.28,05-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
05-Mar-2020 - 00:00,19.31,987.04,52.95,23.2,65.52,151.05,11.44,150.53,3.47,0.48,2.11,28.54,21.76,37.12,37.55,43.53,11.85,06-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
06-Mar-2020 - 00:00,16.17,986.01,30.11,15.2,74.27,131.09,8.21,150.43,4.11,0.4,1.38,23.0,14.04,38.22,31.1,35.09,8.28,07-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
07-Mar-2020 - 00:00,17.1,990.48,96.08,39.92,71.83,105.74,22.86,142.92,1.23,0.91,4.06,,63.2,48.97,77.35,32.89,12.1,08-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
08-Mar-2020 - 00:00,18.94,992.44,150.25,63.04,64.47,225.66,46.45,247.07,0.96,1.21,6.09,,110.99,61.92,123.26,21.19,15.04,09-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
09-Mar-2020 - 00:00,19.41,989.7,165.75,69.08,58.3,224.91,21.97,318.96,1.49,0.9,3.91,14.03,92.46,70.88,111.88,21.94,18.06,10-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
10-Mar-2020 - 00:00,19.35,988.29,129.54,75.69,59.76,198.33,11.65,208.51,0.94,0.73,3.36,,18.28,44.18,38.44,45.21,23.2,11-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
11-Mar-2020 - 00:00,20.89,985.78,84.15,48.65,63.77,195.72,8.17,165.86,2.08,0.55,2.83,,14.1,35.45,30.38,45.13,15.45,12-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
12-Mar-2020 - 00:00,21.35,988.05,130.81,49.94,60.35,190.9,14.0,188.56,1.69,0.73,2.88,42.1,51.3,54.82,70.9,21.08,13.62,13-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
13-Mar-2020 - 00:00,21.04,989.96,175.54,55.43,55.05,200.52,23.7,201.04,1.16,0.46,3.6,51.38,77.38,59.67,94.49,21.85,13.58,14-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
14-Mar-2020 - 00:00,18.81,991.8,52.5,26.39,70.57,155.12,6.42,168.65,2.49,0.14,1.57,64.27,10.57,23.5,21.09,25.73,9.92,15-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
15-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,16-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
16-Mar-2020 - 00:00,23.18,992.41,172.04,53.14,56.13,243.88,43.49,257.47,1.6,1.23,6.72,67.49,127.9,82.27,147.97,25.25,8.2,17-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
17-Mar-2020 - 00:00,21.85,992.48,176.96,68.93,59.45,221.15,40.04,260.63,1.57,0.94,5.51,47.13,107.94,68.84,124.03,22.81,15.71,18-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
18-Mar-2020 - 00:00,22.78,990.65,159.88,58.86,58.25,212.55,42.7,287.94,1.53,1.23,6.48,42.62,103.7,76.85,125.39,20.36,14.09,19-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
19-Mar-2020 - 00:00,23.09,987.59,158.56,78.34,61.77,196.6,44.92,222.5,0.96,1.14,6.14,43.67,74.82,67.56,96.79,24.83,16.63,20-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
20-Mar-2020 - 00:00,23.79,986.46,143.04,75.95,60.02,160.94,26.01,181.43,1.42,0.99,4.87,50.73,60.55,67.6,82.76,55.73,21.66,21-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
21-Mar-2020 - 00:00,24.01,987.0,146.5,71.53,58.1,163.87,33.88,202.6,1.23,1.03,5.4,47.74,96.17,82.55,122.81,26.59,20.25,22-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
22-Mar-2020 - 00:00,24.59,988.76,101.52,67.02,55.24,204.15,13.16,131.18,1.31,0.53,3.42,43.85,20.39,33.34,32.08,51.89,15.14,23-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
23-Mar-2020 - 00:00,24.7,988.27,81.31,43.72,54.05,198.36,9.77,150.75,1.02,0.59,2.46,38.89,25.59,39.43,37.16,46.87,18.01,24-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
24-Mar-2020 - 00:00,23.76,986.99,76.6,41.78,59.95,138.22,8.82,181.25,1.29,0.61,2.85,41.83,23.58,37.71,39.32,30.69,15.55,25-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
25-Mar-2020 - 00:00,25.55,987.35,58.0,30.73,57.87,223.67,7.98,144.99,1.36,0.47,2.1,52.03,16.52,25.37,27.0,31.67,10.48,26-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
26-Mar-2020 - 00:00,24.95,988.66,80.88,45.2,57.17,141.84,6.35,294.13,2.49,0.44,1.99,44.38,19.85,23.47,28.42,26.06,16.39,27-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
27-Mar-2020 - 00:00,21.94,990.36,39.07,22.47,65.69,125.93,3.63,208.74,2.41,0.31,1.15,38.39,17.55,16.58,23.14,27.26,8.16,28-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
28-Mar-2020 - 00:00,22.84,990.79,33.73,16.82,62.58,252.06,7.15,121.17,1.63,0.33,1.56,38.61,16.5,20.64,24.43,25.39,7.6,29-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
29-Mar-2020 - 00:00,24.81,988.71,48.5,25.01,53.3,253.21,4.24,217.43,2.46,0.27,1.03,35.69,7.63,13.35,12.88,43.27,8.82,30-Mar-2020 - 00:00,"Pusa, Delhi - DPCC"
