from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,AT,RH,BP,SR,to date,station
28-Aug-2020 - 00:00,21.07,33.71,9.09,11.02,2.01,3.42,1.63,0.69,45.1,0.01,0.01,0.02,0.01,0.01,282.14,31.13,22.72,67.29,810.23,235.84,29-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Aug-2020 - 00:00,20.14,32.22,9.85,12.37,2.75,3.8,1.94,0.66,40.75,0.01,0.02,0.01,0.02,0.01,281.52,30.78,21.8,79.69,810.05,185.79,30-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Aug-2020 - 00:00,20.15,32.24,9.86,11.88,2.02,3.43,3.18,0.64,42.33,0.01,0.01,0.01,0.01,0.01,280.16,30.75,21.85,79.36,810.07,192.6,31-Aug-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
31-Aug-2020 - 00:00,20.42,32.67,9.17,11.21,2.04,3.72,2.65,0.67,32.16,0.01,0.02,0.01,0.01,0.01,277.45,30.32,21.74,79.58,810.02,222.26,01-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Sep-2020 - 00:00,24.39,39.02,9.41,11.51,2.1,3.85,1.95,0.57,31.27,0.01,0.01,0.01,0.01,0.01,222.69,29.34,22.51,70.4,809.89,230.5,02-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Sep-2020 - 00:00,25.34,40.55,9.32,11.33,2.02,3.97,2.28,0.76,30.02,0.01,0.02,0.01,0.01,0.01,179.19,29.16,22.54,72.22,809.97,179.71,03-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Sep-2020 - 00:00,24.8,39.69,9.16,11.22,2.05,3.9,1.32,0.6,33.62,0.01,0.01,0.02,0.01,0.01,167.6,29.35,22.78,68.64,810.99,207.37,04-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Sep-2020 - 00:00,29.69,47.5,9.88,11.95,2.08,3.81,2.71,0.74,25.19,0.01,0.01,0.01,0.01,0.01,144.99,29.45,22.88,68.79,810.44,192.52,05-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Sep-2020 - 00:00,30.17,48.49,9.25,11.29,2.04,3.78,3.94,0.76,23.35,0.01,0.01,0.02,0.01,0.01,149.75,29.4,23.29,65.08,813.71,204.43,06-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Sep-2020 - 00:00,21.88,35.01,9.64,11.73,2.09,3.88,3.2,0.74,26.73,0.01,0.01,0.01,0.02,0.01,152.45,29.48,23.48,63.13,815.66,208.84,07-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Sep-2020 - 00:00,21.75,34.8,12.58,14.59,2.02,3.34,0.72,0.66,44.23,0.01,0.02,0.01,0.01,0.01,205.36,29.35,22.36,77.89,812.37,223.34,08-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Sep-2020 - 00:00,24.88,39.8,11.54,13.6,2.06,3.57,1.66,0.71,27.88,0.01,0.01,0.02,0.01,0.01,207.01,29.31,21.89,88.11,809.06,195.11,09-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Sep-2020 - 00:00,27.07,43.31,11.44,13.59,2.15,3.55,1.92,0.88,25.19,0.01,0.01,0.01,0.02,0.01,203.9,29.25,22.32,83.43,809.06,221.6,10-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Sep-2020 - 00:00,21.27,34.03,12.02,14.11,2.09,3.37,0.66,0.52,38.53,0.01,0.01,0.01,0.01,0.01,222.44,29.65,22.12,82.56,809.09,221.74,11-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Sep-2020 - 00:00,17.95,28.73,11.38,13.4,2.03,3.27,2.67,0.7,37.95,0.01,0.01,0.01,0.02,0.01,250.8,30.11,21.94,84.08,809.58,188.57,12-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Sep-2020 - 00:00,17.56,28.09,10.98,13.0,2.02,3.32,2.53,0.64,39.97,0.01,0.01,0.01,0.01,0.01,268.14,30.2,21.71,85.44,810.38,193.7,13-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Sep-2020 - 00:00,23.34,37.34,10.41,12.44,2.03,3.52,3.03,0.76,34.17,0.01,0.01,0.01,0.02,0.01,282.95,30.09,21.24,87.5,810.01,157.92,14-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Sep-2020 - 00:00,22.2,35.53,10.86,12.92,2.06,3.43,1.21,0.71,29.66,0.01,0.01,0.01,0.01,0.01,284.15,30.03,21.1,89.37,810.05,115.45,15-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Sep-2020 - 00:00,15.48,24.77,15.34,17.2,1.85,2.88,1.54,0.58,37.0,0.01,0.01,0.01,0.01,0.01,248.31,29.66,21.85,82.67,809.88,254.84,16-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Sep-2020 - 00:00,17.14,27.43,,,,,0.5,,27.84,,,,,,267.03,29.82,21.28,91.9,810.14,146.31,17-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Sep-2020 - 00:00,16.17,25.87,,,,,2.17,,26.32,,,,,,276.5,29.87,21.4,93.54,810.32,138.83,18-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Sep-2020 - 00:00,17.28,27.66,7.33,9.49,2.17,3.77,1.45,0.53,21.2,0.01,0.01,0.01,0.02,0.01,271.3,29.77,21.42,91.12,810.42,170.09,19-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Sep-2020 - 00:00,16.83,26.92,8.31,10.34,2.1,3.58,8.98,0.91,37.49,0.01,0.01,0.01,0.01,0.01,259.91,29.54,21.76,86.29,811.29,192.39,20-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Sep-2020 - 00:00,18.39,29.42,8.23,10.27,2.04,3.8,2.35,0.66,48.37,0.01,0.01,0.01,0.02,0.01,233.98,29.56,21.85,86.7,809.32,237.0,21-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Sep-2020 - 00:00,18.26,29.21,9.65,11.67,2.03,3.32,2.52,0.68,60.04,0.01,0.01,0.01,0.01,0.01,267.12,30.61,21.72,85.85,809.58,225.02,22-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Sep-2020 - 00:00,17.43,27.88,8.93,10.97,2.04,3.39,3.39,0.72,64.52,0.01,0.01,0.02,0.02,0.01,278.76,31.0,21.76,84.21,810.56,209.01,23-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Sep-2020 - 00:00,15.85,25.36,10.05,12.06,2.01,3.11,1.5,0.61,71.24,0.01,0.01,0.01,0.01,0.01,276.2,31.24,21.66,82.63,815.59,191.92,24-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Sep-2020 - 00:00,17.12,27.39,9.2,11.17,1.97,3.47,1.94,0.63,51.02,0.01,0.02,0.01,0.01,0.01,271.73,30.3,22.02,79.76,817.75,197.17,25-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Sep-2020 - 00:00,14.86,23.78,8.52,10.54,2.02,3.61,2.27,0.7,48.73,0.01,0.02,0.02,0.01,0.01,280.34,30.41,22.13,81.76,811.05,191.07,26-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Sep-2020 - 00:00,15.05,24.08,7.84,9.84,2.0,3.89,2.15,0.55,34.97,0.01,0.02,0.01,0.01,0.01,280.14,29.89,20.9,96.64,810.15,109.62,27-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Sep-2020 - 00:00,18.03,28.74,8.46,10.48,2.01,3.71,1.65,0.69,36.31,0.01,0.02,0.01,0.02,0.01,268.36,29.53,21.05,90.84,810.22,138.51,28-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Sep-2020 - 00:00,19.56,31.34,9.43,11.38,2.06,3.37,4.04,1.05,33.65,0.01,0.02,0.02,0.02,0.01,208.87,29.12,22.08,77.55,809.36,239.97,29-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Sep-2020 - 00:00,20.74,33.19,8.74,10.77,2.03,3.59,2.25,0.69,43.77,0.01,0.02,0.01,0.01,0.01,233.39,29.33,22.15,76.74,809.46,203.93,30-Sep-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Sep-2020 - 00:00,29.01,46.42,8.61,10.62,2.01,3.66,3.0,0.82,44.78,0.01,0.02,0.02,0.01,0.01,226.72,29.24,22.2,76.83,809.77,194.67,01-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Oct-2020 - 00:00,22.96,36.74,8.94,10.92,1.98,3.55,1.78,0.83,46.72,0.01,0.01,0.02,0.02,0.01,221.34,29.23,21.5,81.61,809.9,166.76,02-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Oct-2020 - 00:00,24.65,39.44,8.93,10.92,1.99,3.55,3.33,0.87,49.28,0.01,0.01,0.01,0.02,0.01,234.0,29.42,22.44,73.63,811.17,212.11,03-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Oct-2020 - 00:00,19.95,31.91,8.31,10.27,1.97,3.63,1.91,0.75,58.55,0.01,0.01,0.01,0.01,0.01,265.64,29.83,22.38,75.7,810.72,210.49,04-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Oct-2020 - 00:00,18.79,30.07,8.2,10.21,2.01,3.6,1.69,0.76,65.21,0.01,0.01,0.01,0.02,0.01,267.34,30.24,21.97,78.81,810.27,200.87,05-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Oct-2020 - 00:00,20.92,33.47,7.96,9.98,2.02,3.75,3.02,0.76,50.29,0.01,0.02,0.02,0.02,0.01,244.74,29.72,22.26,74.27,809.36,213.59,06-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Oct-2020 - 00:00,27.23,43.57,7.42,9.42,2.0,3.89,3.78,0.89,50.29,0.01,0.01,0.01,0.01,0.01,207.9,29.25,22.58,66.69,809.33,213.81,07-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Oct-2020 - 00:00,35.13,56.2,8.93,10.89,1.97,3.59,3.56,0.89,59.54,0.01,0.01,0.01,0.01,0.01,191.44,29.18,22.62,65.9,809.41,207.0,08-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Oct-2020 - 00:00,27.56,44.1,10.93,12.96,2.03,3.28,2.18,1.05,68.39,0.01,0.01,0.01,0.01,0.01,197.58,29.11,22.8,57.09,809.07,213.32,09-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Oct-2020 - 00:00,26.22,41.95,10.94,12.89,1.95,3.44,1.79,0.75,51.15,0.01,0.01,0.01,0.01,0.01,164.12,29.08,23.12,65.39,810.8,196.3,10-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Oct-2020 - 00:00,24.55,39.28,8.77,10.78,2.0,3.85,1.32,0.65,42.8,0.01,0.01,0.01,0.02,0.01,246.58,29.46,22.17,81.82,810.85,185.87,11-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Oct-2020 - 00:00,20.74,33.17,9.55,11.58,2.03,3.69,1.65,0.68,48.49,0.01,0.02,0.01,0.01,0.01,209.1,29.29,21.27,89.14,809.77,166.44,12-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Oct-2020 - 00:00,22.81,36.59,8.94,10.96,2.02,3.87,0.68,0.76,43.06,0.01,0.01,0.01,0.01,0.01,168.88,29.15,21.06,93.62,809.65,183.65,13-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Oct-2020 - 00:00,19.52,31.24,8.08,10.09,2.01,4.16,1.58,0.82,29.11,0.01,0.02,0.01,0.01,0.01,196.71,29.13,21.08,93.8,809.77,184.77,14-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Oct-2020 - 00:00,23.28,37.25,6.29,8.31,2.03,5.61,1.7,0.7,46.64,0.01,0.01,0.01,0.01,0.01,213.38,29.79,20.55,98.21,809.72,117.38,15-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Oct-2020 - 00:00,19.96,31.94,4.97,6.99,2.01,5.72,2.34,0.81,52.2,0.01,0.01,0.01,0.01,0.01,234.19,30.35,20.82,94.0,809.72,99.43,16-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Oct-2020 - 00:00,24.35,38.96,6.0,8.03,2.02,4.74,2.83,0.79,56.02,0.01,0.01,0.01,0.01,0.01,227.24,29.91,21.14,87.95,809.69,172.01,17-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Oct-2020 - 00:00,31.97,51.15,10.99,13.71,2.74,3.11,10.38,1.19,48.28,0.01,0.02,0.02,0.02,0.01,246.4,29.79,22.43,68.36,811.48,279.4,18-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Oct-2020 - 00:00,26.03,41.66,9.57,11.6,2.03,3.55,3.84,0.77,44.05,0.01,0.01,0.01,0.01,0.01,251.5,29.66,22.02,78.44,813.27,210.29,19-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Oct-2020 - 00:00,27.94,44.71,9.75,11.74,1.99,3.59,1.9,0.77,32.59,0.01,0.01,0.01,0.02,0.01,210.51,29.12,22.22,82.1,813.23,199.21,20-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Oct-2020 - 00:00,28.22,48.68,8.87,10.88,2.01,3.71,2.51,0.75,41.92,0.01,0.01,0.01,0.01,0.01,185.36,19.98,21.99,83.5,820.68,191.65,21-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Oct-2020 - 00:00,32.77,55.44,9.96,11.98,2.02,3.68,2.7,1.01,48.31,0.01,0.01,0.01,0.01,0.01,222.54,1.34,21.69,88.43,827.6,206.74,22-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Oct-2020 - 00:00,35.9,55.6,10.45,12.44,1.99,3.42,2.23,0.9,51.46,0.01,0.01,0.01,0.02,0.01,199.03,1.18,22.47,72.63,824.64,222.24,23-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Oct-2020 - 00:00,43.76,86.17,9.51,13.9,1.99,3.29,2.02,1.18,61.24,0.01,0.01,0.02,0.02,0.01,156.44,1.1,23.55,60.3,821.34,272.12,24-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Oct-2020 - 00:00,39.02,57.73,8.38,10.35,1.96,3.68,2.95,0.84,58.78,0.01,0.02,0.01,0.01,0.01,210.84,1.41,22.48,71.76,818.94,200.92,25-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Oct-2020 - 00:00,36.59,65.36,8.37,10.4,2.03,3.67,0.94,0.82,58.57,0.01,0.02,0.01,0.02,0.01,170.5,1.22,22.37,72.06,817.27,202.99,26-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Oct-2020 - 00:00,38.11,67.67,8.56,10.54,1.98,3.62,2.3,0.9,59.01,0.01,0.01,0.01,0.02,0.01,143.4,1.08,22.22,72.43,818.76,180.58,27-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Oct-2020 - 00:00,43.22,84.49,8.6,10.64,1.99,3.56,2.39,0.85,46.21,0.01,0.01,0.01,0.01,0.01,140.33,1.12,22.39,63.7,819.13,200.26,28-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Oct-2020 - 00:00,40.33,71.28,9.61,11.63,2.03,3.4,2.23,1.0,37.24,0.01,0.01,0.01,0.01,0.01,152.51,1.13,22.25,55.0,818.28,185.36,29-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Oct-2020 - 00:00,42.81,68.15,10.79,12.8,2.01,3.03,3.96,1.01,38.67,0.01,0.01,0.01,0.01,0.01,118.7,1.16,22.21,50.67,817.05,194.71,30-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Oct-2020 - 00:00,46.22,75.58,9.81,11.86,2.05,3.29,2.31,1.1,39.56,0.01,0.01,0.01,0.01,0.01,137.88,1.08,22.37,54.3,816.67,203.01,31-Oct-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
31-Oct-2020 - 00:00,49.16,85.44,8.94,10.91,1.97,3.55,3.09,0.81,44.68,0.01,0.01,0.01,0.01,0.01,121.13,1.13,22.47,55.46,816.27,193.07,01-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Nov-2020 - 00:00,50.21,79.48,10.28,12.27,1.99,3.19,3.18,1.1,50.22,0.01,0.01,0.01,0.01,0.01,147.61,1.12,22.37,53.27,815.83,190.75,02-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
02-Nov-2020 - 00:00,50.98,73.36,10.6,12.63,2.03,3.15,1.87,1.03,66.53,0.01,0.02,0.01,0.01,0.01,128.03,1.13,22.19,45.0,815.83,190.01,03-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
03-Nov-2020 - 00:00,51.06,92.78,9.61,11.64,2.03,3.31,1.75,1.24,45.42,0.01,0.02,0.01,0.01,0.01,127.82,1.16,22.18,51.89,815.8,191.36,04-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
04-Nov-2020 - 00:00,48.1,85.25,10.46,12.48,2.03,3.15,3.64,1.06,46.17,0.01,0.01,0.01,0.02,0.01,104.23,1.14,21.99,45.64,817.16,190.56,05-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
05-Nov-2020 - 00:00,48.53,84.81,10.75,12.8,2.04,3.04,4.07,1.23,46.13,0.01,0.02,0.01,0.01,0.01,165.02,1.14,21.8,44.16,823.86,185.97,06-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
06-Nov-2020 - 00:00,45.44,94.92,11.26,13.25,1.99,2.93,3.8,1.13,55.63,0.01,0.01,0.01,0.02,0.01,158.72,1.17,21.7,43.21,822.02,183.26,07-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
07-Nov-2020 - 00:00,54.72,119.68,10.54,12.68,2.14,3.1,0.83,1.25,33.87,0.01,0.01,0.01,0.01,0.01,116.61,1.27,21.94,62.88,820.59,178.98,08-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
08-Nov-2020 - 00:00,48.55,85.43,14.44,16.46,2.01,2.88,0.75,0.66,56.22,0.01,0.01,0.01,0.01,0.01,111.4,1.19,21.77,65.49,822.31,171.86,09-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
09-Nov-2020 - 00:00,53.1,82.7,12.75,14.77,2.02,2.8,7.31,1.05,86.16,0.01,0.01,0.01,0.01,0.01,128.55,1.15,21.25,44.71,818.3,185.28,10-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
10-Nov-2020 - 00:00,55.21,88.62,10.96,12.89,1.93,3.02,10.4,1.33,105.05,0.01,0.01,0.01,0.01,0.01,130.73,1.21,20.85,39.15,823.61,187.59,11-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
11-Nov-2020 - 00:00,54.76,81.69,11.88,13.97,2.09,2.75,10.84,1.26,99.86,0.01,0.01,0.01,0.01,0.01,135.64,1.19,20.77,38.3,823.12,187.21,12-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
12-Nov-2020 - 00:00,45.57,63.58,9.76,11.76,2.0,3.23,4.53,1.1,47.87,0.01,0.02,0.01,0.01,0.01,119.38,1.25,21.08,53.52,820.21,199.0,13-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
13-Nov-2020 - 00:00,21.68,34.69,9.24,11.26,2.03,3.61,0.93,0.54,6.34,0.01,0.01,0.01,0.01,0.01,118.72,1.33,21.53,76.98,819.14,168.47,14-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
14-Nov-2020 - 00:00,26.29,42.76,11.16,13.22,2.06,3.45,2.46,0.62,9.51,0.01,0.01,0.01,0.01,0.01,136.11,1.53,22.01,62.75,819.12,198.46,15-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
15-Nov-2020 - 00:00,25.54,45.76,10.92,12.88,1.95,3.53,3.22,0.8,11.26,0.01,0.01,0.01,0.01,0.01,125.19,1.48,22.03,57.76,818.54,199.56,16-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
16-Nov-2020 - 00:00,26.83,44.56,10.1,12.1,2.0,3.66,1.73,0.76,9.69,0.01,0.02,0.01,0.01,0.01,129.96,1.5,21.88,71.05,817.45,190.81,17-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
17-Nov-2020 - 00:00,22.57,38.46,10.52,12.53,2.01,3.69,1.54,0.62,7.69,0.01,0.01,0.01,0.01,0.01,135.18,1.4,21.95,74.92,816.81,177.21,18-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
18-Nov-2020 - 00:00,21.73,37.49,10.09,12.13,2.04,3.71,1.81,0.73,7.28,0.01,0.01,0.01,0.01,0.01,145.68,1.5,22.07,70.94,816.29,171.75,19-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
19-Nov-2020 - 00:00,22.1,35.72,10.86,12.86,2.0,3.48,1.89,0.77,7.66,0.01,0.01,0.01,0.01,0.01,151.77,1.65,22.02,68.15,815.29,203.31,20-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
20-Nov-2020 - 00:00,24.28,40.03,8.79,10.79,2.0,4.09,1.57,0.75,8.84,0.01,0.01,0.01,0.01,0.01,169.66,1.42,22.02,56.3,814.64,190.76,21-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
21-Nov-2020 - 00:00,25.7,45.97,7.19,9.27,2.08,5.35,4.4,1.09,10.23,0.01,0.02,0.01,0.02,0.01,177.17,1.26,22.13,45.54,815.31,190.3,22-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
22-Nov-2020 - 00:00,27.79,54.03,7.1,9.12,2.01,5.15,5.23,1.0,13.64,0.01,0.01,0.01,0.01,0.01,184.54,1.2,22.25,47.34,814.17,186.51,23-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
23-Nov-2020 - 00:00,35.13,62.49,7.22,9.21,1.99,5.05,3.89,0.93,12.83,0.01,0.02,0.01,0.01,0.01,152.99,1.22,21.66,61.96,814.1,168.09,24-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
24-Nov-2020 - 00:00,37.7,63.56,4.08,6.09,2.0,4.07,3.14,0.82,15.46,0.01,0.01,0.01,0.01,0.01,129.92,1.2,21.51,59.83,814.13,181.47,25-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
25-Nov-2020 - 00:00,42.47,65.95,3.41,5.37,1.96,3.97,7.73,1.32,13.93,0.01,0.01,0.01,0.01,0.01,131.48,1.18,21.36,42.6,814.2,192.97,26-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
26-Nov-2020 - 00:00,42.28,63.99,3.47,5.48,2.01,3.98,3.29,1.07,11.94,0.01,0.01,0.01,0.01,0.01,121.22,1.14,21.23,59.52,814.14,153.34,27-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
27-Nov-2020 - 00:00,32.28,52.95,3.66,5.66,2.0,4.03,2.28,0.82,11.38,0.01,0.02,0.01,0.02,0.01,120.75,1.26,20.7,71.68,814.18,167.35,28-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
28-Nov-2020 - 00:00,18.6,42.5,3.5,5.5,2.0,4.04,0.59,0.87,7.7,0.01,0.01,0.01,0.01,0.01,125.58,1.2,19.44,97.39,814.13,126.23,29-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
29-Nov-2020 - 00:00,16.94,39.15,3.94,5.94,2.0,4.01,2.49,0.76,6.37,0.01,0.01,0.01,0.01,0.01,133.28,1.22,20.82,84.35,814.2,179.1,30-Nov-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
30-Nov-2020 - 00:00,22.13,43.47,2.87,4.87,2.0,4.11,3.05,0.82,8.02,0.01,0.01,0.01,0.01,0.01,144.52,1.24,21.4,74.99,815.25,184.61,01-Dec-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
01-Dec-2020 - 00:00,33.5,51.65,2.93,4.9,1.97,4.08,2.02,0.91,5.12,0.01,0.03,0.01,0.01,0.01,183.63,1.02,20.54,80.72,817.11,85.66,02-Dec-2020 - 00:00,"Ibrahimpur, Vijayapura - KSPCB"
