from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,WS,WD,to date,station
14-Aug-2020 - 00:00,13.86,24.62,25.45,34.6,9.15,8.97,6.05,0.4,12.51,0.98,11.06,0.58,0.69,0.83,99.11,62.13,1.37,207.95,15-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Aug-2020 - 00:00,13.35,31.45,11.99,17.34,5.35,11.48,6.72,0.37,11.9,1.25,14.82,0.74,0.88,1.06,70.91,60.77,1.2,201.17,16-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Aug-2020 - 00:00,13.01,30.72,11.77,16.58,4.81,10.54,6.77,0.37,9.93,1.07,13.05,0.62,0.75,0.88,89.27,61.5,1.26,202.8,17-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Aug-2020 - 00:00,16.86,33.53,11.96,16.42,4.46,9.88,6.51,0.37,13.07,0.87,9.87,0.51,0.61,0.74,113.35,61.6,1.17,202.48,18-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Aug-2020 - 00:00,13.51,26.26,11.59,16.71,5.12,11.3,6.17,0.34,9.43,1.22,13.77,0.72,0.86,1.04,119.55,61.68,1.26,201.34,19-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Aug-2020 - 00:00,11.64,29.17,11.71,17.59,5.89,11.59,6.49,0.3,11.59,1.01,11.43,0.6,0.72,0.86,163.2,60.27,1.29,199.65,20-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Aug-2020 - 00:00,17.57,38.32,12.48,17.83,5.34,10.14,6.48,0.33,16.45,0.98,11.12,0.59,0.69,0.83,86.31,60.56,0.91,211.2,21-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Aug-2020 - 00:00,18.26,31.46,11.83,21.34,9.54,10.12,4.78,0.35,11.68,1.02,11.45,0.6,0.72,0.86,125.56,61.45,0.98,199.07,22-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Aug-2020 - 00:00,17.25,28.45,18.28,25.34,8.48,22.65,2.93,0.44,10.05,0.9,10.18,0.53,0.63,0.76,56.37,61.67,1.18,209.96,23-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Aug-2020 - 00:00,9.85,13.35,18.31,25.31,8.51,22.68,2.72,0.44,11.57,0.87,9.81,0.51,0.61,0.74,39.7,61.57,1.32,220.16,24-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Aug-2020 - 00:00,9.32,13.34,18.51,25.03,8.42,22.19,2.69,0.42,11.86,0.92,10.32,0.54,0.64,0.77,52.91,62.99,1.61,192.53,25-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Aug-2020 - 00:00,12.27,30.91,13.3,18.63,6.59,17.55,2.26,0.36,15.62,0.95,10.67,0.56,0.66,0.8,150.26,58.45,1.73,194.76,26-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Aug-2020 - 00:00,14.14,37.14,11.24,15.95,5.83,16.05,2.33,0.35,16.87,0.99,11.21,0.59,0.7,0.84,153.66,59.7,1.48,182.87,27-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Aug-2020 - 00:00,17.39,42.04,14.77,22.45,8.28,10.3,2.55,0.45,15.74,0.98,9.62,0.65,0.73,0.87,176.69,59.09,1.15,175.21,28-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Aug-2020 - 00:00,16.06,35.16,13.34,21.71,8.37,8.13,2.77,0.47,12.38,1.05,7.3,0.84,0.83,0.83,111.82,61.52,0.95,174.23,29-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Aug-2020 - 00:00,14.5,37.6,11.19,16.2,5.01,9.06,2.6,0.39,13.82,0.81,6.33,0.72,0.73,0.72,165.96,61.71,1.14,202.8,30-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Aug-2020 - 00:00,15.1,28.37,11.56,17.22,5.66,7.67,3.29,0.43,12.9,0.76,5.3,0.61,0.61,0.61,40.82,59.74,1.19,202.09,31-Aug-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Aug-2020 - 00:00,11.37,24.93,11.68,17.06,5.38,8.12,2.66,0.4,13.37,0.78,5.43,0.62,0.62,0.62,67.74,59.29,1.28,180.65,01-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Sep-2020 - 00:00,17.06,46.29,12.14,16.87,4.74,8.29,2.37,0.44,15.05,0.81,5.63,0.65,0.65,0.65,184.22,58.65,0.99,186.07,02-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Sep-2020 - 00:00,24.67,53.37,14.53,25.78,11.25,7.53,2.15,0.46,15.27,0.94,6.74,0.75,0.75,0.74,153.04,58.53,0.64,185.67,03-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Sep-2020 - 00:00,30.67,62.34,12.63,20.7,8.07,7.04,2.98,0.62,16.75,1.04,8.47,0.82,0.83,0.83,158.93,61.33,0.54,150.89,04-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Sep-2020 - 00:00,29.87,57.12,12.08,19.38,7.3,8.28,2.85,0.47,19.72,0.84,5.83,0.67,0.66,0.67,194.75,58.16,0.74,163.02,05-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Sep-2020 - 00:00,33.28,67.05,13.24,24.92,11.59,7.44,3.77,0.62,17.73,0.83,5.68,0.65,0.65,0.66,189.87,58.61,0.6,162.99,06-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Sep-2020 - 00:00,30.63,61.26,11.99,19.53,7.54,8.05,3.57,0.56,16.47,0.9,6.19,0.71,0.71,0.72,172.41,59.58,0.69,149.9,07-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Sep-2020 - 00:00,23.63,55.4,12.94,21.46,8.52,6.76,3.35,0.5,17.27,0.89,6.07,0.7,0.7,0.71,194.67,56.83,0.88,187.93,08-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Sep-2020 - 00:00,23.17,60.91,12.13,20.76,8.63,6.97,3.32,0.54,17.51,0.94,6.44,0.74,0.74,0.74,210.31,55.15,0.92,206.24,09-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Sep-2020 - 00:00,32.78,63.8,15.49,32.17,16.68,5.24,3.61,0.71,16.84,1.04,7.13,0.82,0.82,0.82,127.36,57.59,0.51,173.49,10-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Sep-2020 - 00:00,35.18,64.84,15.03,24.03,9.05,5.48,3.0,0.7,21.29,0.96,6.69,0.76,0.76,0.77,199.24,54.81,0.48,181.44,11-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Sep-2020 - 00:00,36.97,65.88,14.11,18.43,4.32,5.98,2.96,0.42,19.24,1.0,6.88,0.79,0.79,0.79,155.6,57.19,0.79,199.62,12-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Sep-2020 - 00:00,20.22,28.64,11.04,15.75,4.71,8.29,3.22,0.42,18.51,0.95,6.54,0.75,0.76,0.75,192.71,57.56,0.75,133.39,13-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Sep-2020 - 00:00,18.89,34.87,10.08,14.89,4.81,9.09,3.44,0.44,17.59,0.86,5.95,0.68,0.68,0.68,177.88,58.72,1.01,129.6,14-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Sep-2020 - 00:00,16.9,35.43,9.97,15.16,5.18,9.17,3.52,0.42,16.87,0.84,5.83,0.67,0.67,0.67,148.49,58.99,1.04,156.38,15-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Sep-2020 - 00:00,19.4,43.25,12.04,17.53,5.49,8.15,3.35,0.45,17.56,1.06,7.38,0.85,0.85,0.85,162.49,57.8,0.75,178.68,16-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Sep-2020 - 00:00,26.95,56.57,12.47,18.13,5.66,7.59,3.32,0.49,16.12,1.02,7.02,0.81,0.81,0.81,127.52,57.81,0.73,224.19,17-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Sep-2020 - 00:00,22.91,47.64,12.06,18.55,6.48,7.08,3.3,0.49,13.29,0.79,5.5,0.63,0.63,0.63,107.69,60.09,0.83,197.89,18-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Sep-2020 - 00:00,26.43,67.7,12.06,17.74,5.68,6.99,3.59,0.48,15.77,1.02,7.03,0.81,0.81,0.81,131.4,56.74,0.83,212.9,19-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Sep-2020 - 00:00,28.3,68.31,12.02,18.03,6.01,6.96,4.31,0.54,16.43,1.2,8.32,0.96,0.95,0.95,181.52,58.05,0.59,198.47,20-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Sep-2020 - 00:00,19.03,38.81,10.26,15.7,5.44,8.88,4.39,0.55,17.98,1.08,7.42,0.85,0.85,0.85,180.24,59.34,0.74,194.88,21-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Sep-2020 - 00:00,20.69,39.45,11.43,18.84,7.41,7.62,3.77,0.53,18.38,1.06,7.32,0.84,0.84,0.84,163.97,55.48,0.7,186.0,22-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Sep-2020 - 00:00,24.58,66.7,12.39,19.14,6.76,6.73,3.4,0.54,19.52,0.93,6.42,0.74,0.74,0.74,203.88,52.19,0.69,198.78,23-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Sep-2020 - 00:00,32.66,77.38,14.04,20.96,6.92,5.42,2.96,0.55,20.22,0.84,5.57,0.64,0.64,0.64,140.38,58.55,1.29,200.74,24-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Sep-2020 - 00:00,22.41,52.74,15.83,22.49,6.66,4.97,3.43,0.52,19.32,1.02,6.65,0.76,0.76,0.77,212.38,54.65,1.19,217.14,25-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Sep-2020 - 00:00,27.23,65.66,23.74,28.92,5.18,4.91,3.21,0.51,19.18,1.1,7.49,0.86,0.86,0.86,167.81,56.03,1.1,232.04,26-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Sep-2020 - 00:00,21.39,60.82,11.23,14.17,2.94,8.94,3.3,0.5,18.2,1.2,8.26,0.96,0.96,0.96,149.14,55.14,1.2,217.26,27-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Sep-2020 - 00:00,21.48,54.91,12.54,16.37,3.82,8.03,3.39,0.53,13.01,1.35,9.38,1.08,1.08,1.09,143.7,54.4,0.89,202.87,28-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Sep-2020 - 00:00,27.81,65.82,15.1,20.3,5.2,6.0,3.45,0.58,21.0,1.23,8.53,0.98,0.98,0.98,176.04,52.96,0.8,182.55,29-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Sep-2020 - 00:00,28.72,70.16,14.65,20.11,5.46,5.71,3.38,0.58,18.14,1.07,7.42,0.85,0.85,0.86,166.43,53.89,0.82,230.07,30-Sep-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Sep-2020 - 00:00,26.39,60.12,17.59,24.77,7.18,4.83,3.46,0.58,17.85,1.2,8.31,0.95,0.96,0.96,179.55,54.57,0.66,205.68,01-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Oct-2020 - 00:00,31.47,71.25,17.62,24.31,6.68,5.01,3.56,0.61,17.42,1.24,8.54,0.99,0.99,0.99,181.21,54.47,0.83,217.37,02-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Oct-2020 - 00:00,24.38,64.12,13.76,18.42,4.66,6.87,4.0,0.58,18.94,1.49,10.46,1.2,1.2,1.2,193.63,55.01,0.8,234.5,03-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Oct-2020 - 00:00,25.39,59.63,15.25,20.01,4.75,6.92,3.57,0.57,22.23,1.48,10.25,1.18,1.18,1.18,196.33,51.27,0.88,250.88,04-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Oct-2020 - 00:00,27.4,67.21,17.07,25.49,8.42,6.31,4.24,0.63,19.51,1.24,8.53,0.98,0.98,0.99,182.13,54.99,0.8,206.02,05-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Oct-2020 - 00:00,30.26,71.18,15.92,21.38,5.46,5.43,3.8,0.66,20.12,1.38,9.52,1.1,1.09,1.09,190.96,51.02,0.79,244.44,06-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Oct-2020 - 00:00,28.29,72.31,21.0,36.28,15.28,6.11,3.88,0.68,19.16,1.09,7.49,0.86,0.86,0.86,191.04,45.66,0.45,178.64,07-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Oct-2020 - 00:00,30.54,83.74,24.95,41.17,16.4,5.15,3.79,0.83,20.71,1.54,10.64,1.23,1.23,1.23,191.43,43.85,0.51,104.13,08-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Oct-2020 - 00:00,32.95,80.15,28.72,50.35,22.51,4.19,6.47,0.61,21.45,1.09,7.51,0.87,0.87,0.87,186.83,41.52,0.5,111.27,09-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Oct-2020 - 00:00,32.66,86.95,26.68,56.56,29.88,4.77,4.27,0.91,21.01,1.84,12.72,1.46,1.45,1.45,178.27,45.6,0.72,82.98,10-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Oct-2020 - 00:00,43.49,90.61,24.05,31.88,7.89,6.35,4.57,0.77,20.06,1.35,9.33,1.07,1.07,1.07,176.51,43.03,0.63,80.36,11-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Oct-2020 - 00:00,46.46,93.64,20.97,25.68,4.74,5.62,4.6,0.71,22.37,1.03,7.15,0.82,0.82,0.82,172.92,44.9,0.57,92.39,12-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Oct-2020 - 00:00,42.89,99.96,24.42,32.28,7.84,5.76,4.71,0.8,20.46,0.98,6.81,0.78,0.79,0.78,170.75,43.91,0.62,89.73,13-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Oct-2020 - 00:00,45.43,107.65,37.23,59.7,22.5,3.96,4.67,1.0,3.64,1.14,7.87,0.9,0.91,0.9,77.5,47.36,0.56,80.18,14-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Oct-2020 - 00:00,36.15,88.07,20.54,25.24,4.7,5.7,4.25,0.72,19.61,1.88,13.47,1.85,1.84,1.84,166.92,35.27,0.74,66.79,15-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Oct-2020 - 00:00,37.03,77.82,14.26,17.87,3.62,9.98,3.92,0.68,20.36,1.39,10.46,1.75,1.74,1.74,168.27,42.09,1.01,58.9,16-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Oct-2020 - 00:00,31.99,61.19,11.65,15.3,3.65,12.31,2.97,0.59,22.28,1.62,12.15,2.02,2.02,2.02,157.15,49.59,1.01,79.49,17-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Oct-2020 - 00:00,28.17,46.41,12.45,15.75,3.3,12.49,3.62,0.59,17.14,1.77,13.34,2.22,2.22,2.22,126.81,52.66,0.74,137.17,18-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Oct-2020 - 00:00,28.48,60.6,11.74,14.98,3.24,10.62,4.35,0.53,17.83,1.68,12.61,2.1,2.1,2.1,135.3,54.91,0.87,195.78,19-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Oct-2020 - 00:00,38.06,71.66,14.58,18.51,3.93,8.24,3.9,0.58,18.99,2.38,17.84,2.97,2.97,2.98,144.27,54.24,0.63,197.99,20-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Oct-2020 - 00:00,39.42,77.01,22.03,32.28,10.25,6.19,4.38,0.71,20.31,2.4,17.93,3.0,3.0,3.0,157.9,50.52,0.53,176.37,21-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Oct-2020 - 00:00,48.39,83.28,19.8,31.15,11.98,7.36,4.3,0.66,26.65,2.4,17.98,3.0,3.0,3.0,153.41,49.78,0.5,126.46,22-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Oct-2020 - 00:00,31.19,68.04,25.86,42.1,17.63,8.7,4.72,0.65,27.83,2.4,18.03,3.0,3.0,3.0,171.22,39.85,0.49,195.19,23-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Oct-2020 - 00:00,40.96,93.75,28.62,53.49,25.33,6.5,5.78,0.91,14.49,2.34,17.49,2.92,2.92,2.92,177.38,37.41,0.48,159.04,24-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Oct-2020 - 00:00,53.07,93.74,31.41,54.48,23.07,7.11,6.33,0.93,18.34,2.26,16.95,2.83,2.83,2.83,175.45,39.54,0.54,146.12,25-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Oct-2020 - 00:00,45.6,85.03,,,,,6.3,0.98,17.11,2.95,22.03,3.68,3.69,3.69,166.25,38.86,0.54,94.34,26-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Oct-2020 - 00:00,41.19,81.5,45.34,100.73,55.39,6.13,5.79,0.98,19.0,2.89,21.67,3.61,3.61,3.61,172.83,38.63,0.35,134.73,27-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Oct-2020 - 00:00,48.84,101.75,43.5,80.4,36.9,6.06,5.71,1.0,15.87,1.94,14.56,2.65,2.65,2.65,173.11,39.06,0.59,98.7,28-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Oct-2020 - 00:00,48.3,101.39,44.64,86.29,41.65,6.04,6.13,1.06,20.15,2.97,22.34,4.14,4.15,4.15,167.57,37.09,0.61,111.05,29-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Oct-2020 - 00:00,43.06,100.53,44.13,70.06,25.92,5.86,5.79,0.96,17.86,3.58,26.76,4.47,4.47,4.47,162.39,38.64,0.64,125.17,30-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Oct-2020 - 00:00,41.2,80.19,43.24,73.23,29.99,7.08,6.24,1.01,17.96,2.9,22.08,3.6,3.53,3.56,160.42,40.01,0.62,115.4,31-Oct-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Oct-2020 - 00:00,45.98,99.98,38.27,65.16,26.9,8.33,6.42,1.04,24.17,1.6,12.02,2.0,2.0,2.0,154.05,40.41,0.8,91.83,01-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Nov-2020 - 00:00,52.07,123.98,48.3,96.99,48.69,8.52,6.96,1.21,15.84,1.72,12.93,2.15,2.15,2.16,153.01,38.83,0.69,89.5,02-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Nov-2020 - 00:00,56.65,129.61,53.02,102.59,48.95,7.59,6.78,1.28,18.01,1.8,13.6,2.26,2.26,2.26,149.47,38.67,0.69,95.28,03-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Nov-2020 - 00:00,52.95,113.0,51.07,113.37,62.31,8.92,8.79,1.42,16.72,1.83,13.75,2.3,2.29,2.3,155.44,38.45,0.62,97.73,04-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Nov-2020 - 00:00,54.2,108.16,43.91,87.74,43.83,16.68,6.89,1.26,17.88,2.39,17.92,2.98,2.98,2.98,160.35,39.95,0.51,95.35,05-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Nov-2020 - 00:00,45.76,93.2,37.59,57.43,19.84,19.81,6.64,1.07,17.0,2.92,21.85,3.65,3.64,3.64,151.33,40.72,0.61,133.37,06-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Nov-2020 - 00:00,41.78,102.17,42.47,79.27,36.8,19.06,6.82,1.23,19.28,1.66,12.45,2.07,2.07,2.07,153.59,46.99,0.58,104.43,07-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Nov-2020 - 00:00,39.66,83.96,36.56,64.87,28.31,14.95,6.51,1.11,16.7,1.7,12.72,2.12,2.12,2.12,150.09,42.99,0.73,93.52,08-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Nov-2020 - 00:00,49.55,105.43,36.89,66.43,29.54,22.06,7.17,1.19,16.19,2.2,16.52,2.75,2.75,2.75,145.66,37.98,0.78,91.38,09-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Nov-2020 - 00:00,66.07,145.67,38.32,74.16,35.84,18.91,7.75,1.35,17.24,2.27,17.1,2.84,2.84,2.84,139.47,40.75,0.67,85.48,10-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Nov-2020 - 00:00,54.16,103.25,33.6,66.0,32.4,17.09,7.36,1.37,18.08,1.8,13.48,2.25,2.25,2.25,141.11,41.8,0.72,79.87,11-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Nov-2020 - 00:00,63.54,127.59,35.64,64.28,28.64,16.26,7.2,1.34,16.63,1.39,10.42,1.74,1.74,1.74,134.71,42.53,0.71,100.62,12-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Nov-2020 - 00:00,75.16,131.84,31.79,53.14,21.35,19.96,7.61,1.32,15.46,1.26,9.48,1.58,1.58,1.58,126.16,44.32,0.78,79.38,13-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Nov-2020 - 00:00,53.38,98.36,27.3,45.63,18.32,24.48,7.53,1.24,17.38,1.33,9.99,1.66,1.66,1.66,140.4,46.67,0.74,78.05,14-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Nov-2020 - 00:00,58.71,101.89,22.4,29.81,7.41,30.19,6.86,1.12,17.51,1.68,12.6,2.1,2.1,2.1,136.6,52.78,0.72,143.37,15-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Nov-2020 - 00:00,47.77,93.43,16.9,21.46,4.56,38.46,6.76,1.03,15.97,1.5,11.19,1.87,1.87,1.87,129.47,54.38,0.49,140.8,16-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Nov-2020 - 00:00,40.44,85.29,16.25,20.58,4.33,32.44,6.39,1.03,18.03,1.31,9.84,1.64,1.64,1.64,143.2,51.9,0.53,125.3,17-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Nov-2020 - 00:00,37.56,93.72,17.36,23.29,5.93,26.52,5.98,1.02,18.13,1.76,13.18,2.2,2.2,2.19,137.94,51.63,0.43,203.86,18-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Nov-2020 - 00:00,43.43,91.8,21.53,39.45,17.91,16.92,5.77,0.89,16.83,0.7,5.23,0.8,0.8,0.81,131.57,50.95,0.59,184.86,19-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Nov-2020 - 00:00,36.75,80.78,20.62,26.9,6.29,19.52,5.91,0.78,16.72,0.93,6.61,1.05,1.05,1.05,146.57,48.42,0.36,150.59,20-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Nov-2020 - 00:00,38.14,84.38,23.45,39.47,16.24,17.25,5.99,0.76,12.99,1.37,10.31,1.72,1.72,1.72,138.23,49.54,0.71,111.27,21-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Nov-2020 - 00:00,39.69,89.1,22.6,30.66,8.05,20.98,6.15,0.8,14.42,1.49,11.21,1.86,1.86,1.86,135.5,49.5,0.81,139.28,22-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Nov-2020 - 00:00,45.72,93.88,22.5,30.96,8.46,24.29,7.5,0.86,15.39,1.23,9.8,1.52,1.52,1.52,140.46,49.36,0.83,101.88,23-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Nov-2020 - 00:00,45.03,105.74,28.54,44.9,16.37,20.28,7.61,0.98,17.2,1.01,10.23,1.42,1.42,1.42,140.17,49.64,0.69,147.27,24-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Nov-2020 - 00:00,65.71,139.26,33.84,63.55,29.72,16.55,7.68,1.15,13.98,1.39,12.25,1.96,1.96,1.96,140.75,49.45,0.59,128.89,25-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Nov-2020 - 00:00,45.76,130.59,27.54,36.01,8.47,14.77,7.4,0.96,14.25,1.58,13.3,2.21,2.21,2.22,108.56,48.23,0.49,105.91,26-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Nov-2020 - 00:00,45.64,103.98,14.63,18.15,3.52,22.52,8.83,0.84,12.89,1.18,9.98,1.66,1.66,1.66,117.19,51.92,0.67,117.52,27-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Nov-2020 - 00:00,38.63,90.15,13.41,17.19,3.78,27.46,6.95,0.82,16.38,1.73,14.78,2.46,2.46,2.46,132.19,50.89,1.19,77.94,28-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Nov-2020 - 00:00,28.66,65.41,15.74,21.51,5.78,23.36,7.84,0.83,16.87,1.45,12.7,2.12,2.12,2.12,139.5,50.45,1.02,83.09,29-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Nov-2020 - 00:00,33.11,74.91,19.98,26.75,6.76,21.27,8.32,0.89,14.78,1.43,13.18,1.81,2.06,2.0,130.22,51.12,0.96,92.49,30-Nov-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Nov-2020 - 00:00,47.71,106.1,22.41,34.09,11.68,21.46,8.67,0.97,16.36,1.79,15.67,2.4,2.42,2.52,126.01,53.27,0.72,82.9,01-Dec-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Dec-2020 - 00:00,105.8,229.38,24.77,30.52,5.75,12.29,7.97,0.94,2.27,1.08,15.13,1.25,1.25,1.26,6.55,52.46,0.15,345.11,02-Dec-2020 - 00:00,"Sector-10, Gandhinagar - GPCB"
