from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
02-Aug-2020 - 00:00,,33.14,5.03,10.17,5.35,5.01,1.24,0.63,20.43,1.77,1.27,2.98,3.59,2.77,29.46,84.63,0.16,291.94,745.23,161.2,0.0,03-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
03-Aug-2020 - 00:00,,38.86,5.0,9.97,4.98,5.0,1.35,0.71,25.84,2.29,1.3,3.14,2.09,2.95,29.78,84.81,0.21,256.39,745.21,225.25,0.21,04-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
04-Aug-2020 - 00:00,,32.39,5.01,10.15,5.14,5.0,1.11,0.66,13.0,1.6,1.29,3.69,1.56,3.55,29.57,83.59,0.3,241.42,745.19,206.37,0.08,05-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
05-Aug-2020 - 00:00,,25.17,4.78,6.9,5.04,4.97,1.89,0.45,2.74,1.18,1.19,1.9,0.76,1.72,28.55,84.41,1.19,68.04,745.19,199.59,0.09,06-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
06-Aug-2020 - 00:00,,22.09,4.81,6.09,4.27,4.97,2.43,0.38,4.07,1.08,0.92,1.41,0.31,1.27,29.17,79.56,1.47,86.4,745.23,188.68,0.01,07-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
07-Aug-2020 - 00:00,,34.74,4.83,6.27,4.65,4.97,3.12,0.6,2.69,1.18,0.94,1.65,0.56,1.4,28.73,83.98,0.41,129.24,745.24,142.97,0.0,08-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
08-Aug-2020 - 00:00,20.99,32.89,4.87,6.05,4.83,4.98,0.54,0.6,4.6,0.62,0.91,1.61,0.5,1.33,30.26,82.03,0.24,225.42,745.23,216.48,0.0,09-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
09-Aug-2020 - 00:00,,48.67,5.02,10.21,5.19,5.0,0.52,0.65,6.5,0.96,1.28,2.25,0.55,1.74,29.76,83.46,0.47,118.62,745.23,130.42,0.0,10-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
10-Aug-2020 - 00:00,23.94,45.47,4.99,9.84,4.95,5.0,1.24,0.73,15.39,1.23,1.27,1.5,0.33,1.19,30.72,75.67,0.79,96.99,745.23,193.14,0.0,11-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
11-Aug-2020 - 00:00,24.03,37.71,4.84,3.81,5.04,4.82,0.86,0.32,3.95,1.04,1.14,1.15,0.04,0.89,30.7,77.86,0.31,171.43,745.23,138.16,0.01,12-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
12-Aug-2020 - 00:00,8.11,29.09,5.02,3.66,5.19,5.0,0.8,0.64,23.74,0.83,1.17,0.57,0.14,0.52,28.58,87.65,0.35,181.12,745.23,274.62,0.06,13-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
13-Aug-2020 - 00:00,,13.07,4.37,7.11,3.32,4.97,0.9,0.89,6.48,0.05,0.14,0.04,0.0,0.03,27.13,88.55,0.11,206.99,745.22,9.01,0.0,14-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
14-Aug-2020 - 00:00,41.97,56.05,4.9,8.31,3.81,4.99,0.79,0.1,15.09,0.18,0.98,0.06,0.08,0.03,30.8,75.78,0.79,60.42,745.21,191.14,0.0,15-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
15-Aug-2020 - 00:00,14.45,30.46,4.99,9.71,4.93,5.0,141.95,0.38,46.17,0.87,1.8,1.27,2.92,1.67,29.07,83.76,0.79,57.88,745.21,148.5,0.06,16-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
16-Aug-2020 - 00:00,18.17,25.8,4.99,9.82,4.83,5.0,0.68,0.37,49.15,0.46,1.91,0.03,0.37,0.16,28.26,86.39,1.08,52.2,745.21,149.52,0.03,17-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
17-Aug-2020 - 00:00,16.59,29.86,5.01,10.11,5.1,5.0,0.41,0.44,40.6,0.47,1.57,0.01,0.25,0.08,28.38,89.52,0.78,83.23,745.22,143.91,0.18,18-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
18-Aug-2020 - 00:00,26.79,52.33,5.0,10.01,5.01,5.0,0.54,0.39,66.4,0.27,0.77,0.01,0.1,0.05,29.86,85.23,0.62,72.29,745.23,147.23,0.0,19-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
19-Aug-2020 - 00:00,27.06,49.75,5.01,10.0,5.1,5.0,5.84,0.24,109.86,0.22,0.93,0.0,0.08,0.02,29.76,81.94,1.05,61.65,745.22,203.02,0.0,20-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
20-Aug-2020 - 00:00,15.41,29.76,5.0,9.97,4.97,5.0,0.93,0.37,66.58,0.24,1.09,0.0,0.08,0.01,27.02,86.93,1.66,63.99,745.23,87.4,0.15,21-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
21-Aug-2020 - 00:00,9.43,22.27,5.0,10.02,5.02,5.0,0.89,0.33,4.66,0.27,1.27,0.0,0.08,0.0,27.32,87.57,1.57,83.27,745.25,164.81,0.05,22-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
22-Aug-2020 - 00:00,12.08,35.45,5.01,10.05,5.15,5.01,1.37,0.62,4.73,0.75,1.19,0.17,0.29,0.24,28.18,84.77,0.59,105.98,745.26,126.97,0.0,23-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
23-Aug-2020 - 00:00,20.91,49.73,5.0,10.03,5.03,5.0,0.9,0.48,8.2,0.53,1.77,0.51,0.55,0.71,28.87,83.89,0.33,166.95,745.26,189.26,0.0,24-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
