from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
14-Apr-2020 - 00:00,27.67,53.19,4.84,2.17,7.03,14.76,3.43,0.4,26.12,3.75,8.32,0.18,0.29,0.22,30.49,84.85,1.12,194.26,-0.01,,146.4,0.0,15-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Apr-2020 - 00:00,26.2,57.86,5.45,2.2,7.65,14.31,7.54,0.4,33.34,3.6,8.38,0.22,0.41,0.26,29.12,83.66,1.03,200.3,-0.02,,105.03,0.0,16-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Apr-2020 - 00:00,30.29,58.46,5.88,2.21,8.09,16.37,7.99,0.41,35.76,3.36,8.68,0.26,0.54,0.23,28.47,82.7,0.81,162.79,-0.02,,123.43,0.0,17-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Apr-2020 - 00:00,24.29,46.15,5.1,2.2,7.3,14.9,9.6,0.35,36.31,1.6,10.02,0.15,0.3,0.12,30.55,78.02,1.6,257.2,-0.02,,138.69,0.0,18-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Apr-2020 - 00:00,16.47,37.54,5.31,2.17,7.48,14.23,10.78,0.36,31.6,1.52,9.5,0.14,0.33,0.13,29.41,82.95,1.38,256.87,-0.02,,102.74,0.0,19-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Apr-2020 - 00:00,16.06,31.02,4.85,2.12,6.97,14.93,9.38,0.33,48.45,1.26,9.7,0.1,0.23,0.09,29.72,71.23,1.51,236.5,-0.02,,143.8,0.0,20-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Apr-2020 - 00:00,15.04,31.39,4.8,2.64,7.45,14.41,5.76,0.34,28.59,1.92,8.83,0.11,0.24,0.11,29.49,87.44,1.23,223.73,-0.02,,118.02,0.0,21-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Apr-2020 - 00:00,12.29,23.79,6.15,2.15,8.26,13.43,8.29,0.36,42.71,2.56,9.04,0.18,0.42,0.16,24.33,80.74,0.95,193.87,-0.02,,58.67,0.01,22-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Apr-2020 - 00:00,19.0,31.44,5.65,2.18,7.82,13.57,13.16,0.37,37.76,1.78,8.07,0.12,0.29,0.12,26.75,85.53,0.79,199.69,-0.02,,101.94,0.0,23-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Apr-2020 - 00:00,16.36,27.39,5.25,2.24,7.49,13.22,6.09,0.33,27.33,1.69,8.63,0.11,0.27,0.11,27.06,89.57,0.78,192.73,-0.02,,95.5,0.0,24-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Apr-2020 - 00:00,11.73,22.6,5.14,2.18,7.32,13.38,9.35,0.35,33.89,1.66,8.03,0.1,0.22,0.1,26.37,88.73,0.99,218.76,-0.02,,110.37,0.0,25-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Apr-2020 - 00:00,15.0,28.93,5.1,2.16,7.28,14.22,8.9,0.37,45.37,1.92,8.0,0.11,0.23,0.12,28.02,83.06,0.62,216.45,-0.02,,111.4,0.0,26-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Apr-2020 - 00:00,19.15,31.77,5.04,2.13,7.16,13.8,8.26,0.36,46.42,1.97,7.17,0.1,0.21,0.1,27.64,85.16,0.85,212.54,-0.02,,130.15,0.0,27-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Apr-2020 - 00:00,10.18,21.49,4.86,2.15,7.01,13.51,7.3,0.34,30.67,1.67,7.09,0.09,0.21,0.09,25.91,94.3,0.65,155.04,-0.02,,92.6,0.01,28-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Apr-2020 - 00:00,9.43,17.01,4.93,2.15,7.09,13.14,6.59,0.34,29.12,1.44,7.35,0.13,0.3,0.09,25.48,97.62,0.56,163.77,-0.02,,96.16,0.04,29-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-Apr-2020 - 00:00,17.49,27.72,5.66,2.24,8.0,13.45,7.3,0.36,34.75,1.84,9.21,0.23,0.55,0.17,27.07,86.34,0.43,149.2,-0.02,,126.56,0.0,30-Apr-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-Apr-2020 - 00:00,14.31,25.55,5.13,2.15,7.27,13.22,7.42,0.32,36.11,1.43,7.38,0.1,0.23,0.11,28.29,83.17,0.56,228.41,-0.02,,142.97,0.0,01-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-May-2020 - 00:00,12.79,21.23,4.94,2.12,7.06,12.95,7.52,0.34,39.46,1.28,7.95,0.09,0.22,0.09,25.55,90.28,0.86,191.04,-0.01,,118.33,0.05,02-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-May-2020 - 00:00,16.14,29.29,5.67,2.23,7.9,13.95,7.0,0.4,30.96,1.73,9.38,0.15,0.38,0.14,26.1,89.96,0.24,152.0,-0.02,,141.7,0.0,03-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-May-2020 - 00:00,19.58,31.59,5.07,2.12,7.19,13.14,7.33,0.4,46.0,1.54,7.73,0.11,0.28,0.1,27.56,86.36,0.32,171.11,-0.02,,124.33,0.0,04-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-May-2020 - 00:00,24.09,40.47,5.43,2.17,7.61,13.51,5.53,0.38,28.65,2.06,7.13,0.18,0.48,0.15,28.88,90.57,0.32,213.36,-0.02,,95.33,0.0,05-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-May-2020 - 00:00,18.16,34.88,5.04,2.13,7.17,12.59,5.92,0.35,28.21,1.78,7.49,0.11,0.29,0.11,29.48,85.79,0.69,242.24,-0.02,,133.92,0.0,06-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-May-2020 - 00:00,15.35,29.89,6.14,2.16,8.32,12.97,8.34,0.39,45.68,1.95,7.94,0.19,0.45,0.17,27.47,88.59,0.4,208.91,-0.02,,147.22,0.09,07-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-May-2020 - 00:00,18.41,32.16,5.17,2.15,7.33,13.01,6.68,0.33,37.65,2.22,8.28,0.19,0.46,0.15,28.75,84.65,0.65,163.53,-0.02,,141.47,0.0,08-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-May-2020 - 00:00,17.96,29.4,4.78,2.11,6.9,13.12,7.73,0.35,49.72,1.13,7.04,0.08,0.21,0.08,29.34,79.43,0.8,226.42,-0.02,999.58,147.92,0.0,09-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-May-2020 - 00:00,21.49,38.75,5.09,2.16,7.27,13.29,6.63,0.35,48.2,1.43,7.6,0.11,0.28,0.1,31.72,73.85,0.56,234.32,-0.02,,177.61,0.0,10-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-May-2020 - 00:00,16.69,36.15,4.86,2.14,6.99,12.59,5.38,0.35,38.58,1.38,7.78,0.11,0.27,0.1,30.36,83.4,0.78,184.35,-0.01,1000.0,167.76,0.01,11-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-May-2020 - 00:00,15.61,29.98,5.88,2.18,8.07,12.79,8.46,0.39,59.33,1.65,8.64,0.18,0.43,0.17,28.5,77.75,0.45,190.67,-0.02,,171.23,0.0,12-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-May-2020 - 00:00,29.54,51.44,6.47,2.15,8.59,13.46,11.17,0.39,65.63,2.16,7.14,0.19,0.49,0.17,31.19,72.07,0.62,204.96,-0.02,,169.31,0.0,13-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-May-2020 - 00:00,24.86,44.13,5.58,2.15,7.68,12.52,10.54,0.31,40.59,1.59,8.07,0.14,0.35,0.13,31.6,66.5,1.14,260.01,-0.02,999.9,177.27,0.0,14-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-May-2020 - 00:00,16.08,35.67,4.83,2.15,6.99,12.24,7.66,0.3,26.26,1.16,8.48,0.12,0.29,0.1,31.44,81.51,1.21,259.62,-0.02,999.37,178.66,0.0,15-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-May-2020 - 00:00,10.95,25.27,4.64,2.2,6.85,11.54,6.56,0.31,22.46,1.07,8.4,0.1,0.25,0.09,31.34,80.74,1.29,245.76,-0.02,998.33,163.6,0.0,16-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-May-2020 - 00:00,10.99,24.4,4.91,2.15,7.08,11.72,6.51,0.3,24.59,1.17,8.98,0.12,0.32,0.11,31.76,83.31,1.53,258.69,-0.02,998.28,171.62,0.0,17-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-May-2020 - 00:00,8.27,22.44,4.94,2.18,7.09,11.7,6.33,0.3,20.43,1.11,8.33,0.13,0.35,0.11,31.32,81.98,1.2,250.71,-0.01,998.48,145.19,0.0,18-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-May-2020 - 00:00,9.36,22.75,4.84,2.29,7.13,11.71,5.29,0.29,18.17,1.28,7.8,0.13,0.3,0.11,32.08,71.59,0.67,210.96,-0.02,997.45,175.36,0.0,19-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-May-2020 - 00:00,6.61,18.78,4.59,2.27,6.85,11.46,4.61,0.32,19.55,0.71,6.79,0.08,0.2,0.06,28.46,93.68,1.21,119.17,-0.01,996.66,70.53,0.02,20-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-May-2020 - 00:00,7.54,18.92,4.43,2.14,6.57,11.1,6.18,0.32,32.07,0.37,4.05,0.01,0.06,0.02,24.9,98.88,3.68,141.54,0.04,930.48,44.66,0.19,21-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-May-2020 - 00:00,6.64,11.79,5.84,2.24,8.07,11.55,6.42,0.38,30.99,0.43,4.44,0.02,0.11,0.04,25.27,98.7,2.0,245.24,-0.02,966.53,62.98,0.0,22-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-May-2020 - 00:00,17.67,36.58,5.78,2.26,8.05,11.61,6.41,0.36,32.16,0.13,2.27,0.0,0.02,0.0,28.84,90.76,1.14,251.36,0.31,,146.48,0.0,23-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-May-2020 - 00:00,22.04,52.01,4.56,2.15,6.71,11.11,8.12,0.3,27.91,0.19,1.54,0.01,0.04,0.01,30.3,89.76,1.79,266.4,0.42,,143.26,0.0,24-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-May-2020 - 00:00,18.18,46.76,4.43,2.15,6.57,10.31,12.97,0.33,29.57,0.25,7.52,0.01,0.07,0.02,30.28,93.37,3.52,262.57,-0.02,,124.3,0.0,25-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-May-2020 - 00:00,14.35,46.32,4.35,2.13,6.48,10.03,12.46,0.31,29.43,0.23,6.45,0.01,0.08,0.03,30.12,94.11,4.0,261.1,1.5,,99.45,0.0,26-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-May-2020 - 00:00,16.84,45.66,4.39,2.18,6.57,9.95,13.38,0.28,29.33,0.15,6.51,0.0,0.04,0.01,29.91,94.2,4.55,261.42,,,92.96,0.0,27-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-May-2020 - 00:00,13.57,33.97,4.66,2.23,6.91,10.05,13.99,0.3,32.82,0.1,4.31,0.0,0.01,0.0,28.96,92.65,4.73,242.08,,,100.53,0.03,28-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-May-2020 - 00:00,15.13,24.18,6.12,2.2,8.32,11.03,14.4,0.36,50.47,0.1,2.09,0.0,0.0,0.0,24.62,98.37,1.97,212.14,,,57.22,0.08,29-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-May-2020 - 00:00,18.86,25.09,5.11,2.14,7.25,10.72,14.27,0.33,48.82,0.09,1.76,0.0,0.0,0.0,29.55,85.81,1.54,214.88,,,167.04,0.0,30-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-May-2020 - 00:00,12.03,21.79,4.61,2.16,6.77,10.25,12.87,0.3,32.84,0.03,0.95,0.0,0.0,0.0,29.83,85.85,2.14,217.15,,,150.58,0.0,31-May-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
31-May-2020 - 00:00,9.59,14.55,5.31,2.14,7.47,10.48,14.21,0.35,42.82,0.01,0.18,0.0,0.0,0.0,29.2,83.63,1.99,161.29,,,141.75,0.01,01-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Jun-2020 - 00:00,13.22,18.34,5.8,2.28,8.1,10.86,14.23,0.33,27.01,0.0,0.0,0.0,0.0,0.0,29.09,89.81,2.63,241.68,,,135.07,0.0,02-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Jun-2020 - 00:00,12.73,21.39,5.71,2.23,7.94,10.58,15.52,0.32,32.16,0.0,0.0,0.0,0.0,0.0,29.53,87.08,3.55,234.35,,,168.28,0.0,03-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Jun-2020 - 00:00,14.43,21.8,5.71,2.18,7.91,10.55,17.86,0.34,39.89,0.0,0.0,0.0,0.0,0.0,30.42,82.37,2.78,251.66,,,185.48,0.0,04-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Jun-2020 - 00:00,17.47,22.76,5.16,2.22,7.39,10.17,13.58,0.3,23.42,0.0,0.0,0.0,0.0,0.0,30.9,87.89,3.07,235.48,,999.7,146.38,0.0,05-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Jun-2020 - 00:00,12.46,25.14,4.65,2.22,6.88,9.88,12.93,0.28,25.3,,,,,,30.94,85.94,3.34,238.01,,,183.21,0.0,06-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Jun-2020 - 00:00,17.58,34.2,5.35,2.16,7.52,10.51,14.36,0.35,38.82,,,,,,32.14,81.2,2.22,255.09,,1000.0,151.86,0.0,07-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Jun-2020 - 00:00,26.88,36.06,5.92,2.19,8.1,10.89,11.71,0.45,34.47,,,,,,29.78,90.1,1.84,188.95,,,111.29,0.08,08-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Jun-2020 - 00:00,23.51,31.26,6.02,2.21,8.23,10.9,11.6,0.41,29.66,,,,,,29.91,89.68,1.13,218.06,,999.81,136.17,0.0,09-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Jun-2020 - 00:00,19.77,31.52,5.27,2.22,7.47,10.41,11.28,0.36,20.7,,,,,,31.37,85.56,1.4,196.42,,999.8,148.51,0.0,10-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Jun-2020 - 00:00,16.31,25.86,4.89,2.29,7.19,10.28,11.33,0.33,20.68,,,,,,30.43,91.12,2.59,138.1,,999.15,127.65,0.0,11-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Jun-2020 - 00:00,6.95,22.67,5.05,2.36,7.45,9.94,12.3,0.31,17.73,,,,,,28.4,98.81,2.32,117.11,,999.1,70.71,0.0,12-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Jun-2020 - 00:00,11.61,26.21,5.33,2.27,7.59,9.87,12.43,0.33,20.1,,,,,,27.38,98.88,2.36,138.46,,997.98,52.25,0.05,13-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Jun-2020 - 00:00,12.76,25.13,4.57,2.26,6.8,9.05,12.39,0.33,20.31,,,,,,28.36,98.85,1.74,113.65,,943.77,77.76,0.0,14-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Jun-2020 - 00:00,8.59,27.17,4.7,2.24,6.95,9.03,11.59,0.33,19.23,,,,,,27.74,98.88,1.29,168.29,,758.92,68.41,0.02,15-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Jun-2020 - 00:00,12.85,40.7,4.69,2.27,6.94,9.27,10.1,0.32,23.61,,,,,,28.56,98.83,1.12,186.82,,824.75,87.3,0.02,16-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Jun-2020 - 00:00,9.2,36.22,4.54,2.25,6.79,8.65,10.93,0.27,44.16,,,,,,28.02,98.25,1.21,193.74,,948.8,108.31,0.01,17-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Jun-2020 - 00:00,17.78,51.83,5.21,2.39,7.59,11.43,9.54,0.31,44.15,,,,,,28.65,98.27,2.3,257.01,,938.62,79.02,0.0,18-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Jun-2020 - 00:00,15.57,44.97,5.05,2.36,7.41,14.51,9.67,0.31,31.77,,,,,,28.87,98.29,2.04,256.93,,970.06,75.88,0.0,19-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Jun-2020 - 00:00,18.68,51.64,5.09,2.31,7.41,17.68,11.76,0.26,26.24,,,,,,29.33,97.2,1.92,239.32,,974.83,94.2,0.0,20-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Jun-2020 - 00:00,10.53,35.54,4.6,2.34,6.95,23.36,11.27,0.21,12.05,,,,,,29.58,96.92,2.22,170.47,,967.21,115.2,0.0,21-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Jun-2020 - 00:00,9.46,28.5,4.54,2.21,6.75,24.05,11.63,0.25,23.08,,,,,,28.8,97.73,2.42,129.6,,959.6,91.64,0.0,22-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Jun-2020 - 00:00,17.26,38.28,4.8,3.31,8.1,19.46,8.41,0.27,29.89,,,,,,29.47,95.89,1.76,170.06,,919.09,131.39,0.03,23-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Jun-2020 - 00:00,14.03,37.0,6.84,3.09,9.93,20.7,5.02,0.29,15.82,,,,,,29.7,98.04,1.71,196.13,,870.48,81.94,0.0,24-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Jun-2020 - 00:00,16.07,48.49,6.51,3.58,10.08,20.45,5.62,0.27,11.1,,,,,,31.41,87.07,2.92,263.38,,802.61,175.68,0.0,25-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Jun-2020 - 00:00,15.94,43.28,6.54,5.41,12.05,17.4,8.48,0.24,7.55,,,,,,31.33,85.97,3.19,259.16,,828.72,163.3,0.0,26-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Jun-2020 - 00:00,9.53,25.76,6.13,3.39,9.52,15.44,9.97,0.23,18.6,2.6,7.89,0.0,0.75,0.28,30.67,87.89,3.25,254.24,,771.27,149.9,0.0,27-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
27-Jun-2020 - 00:00,7.78,22.09,6.01,2.53,8.55,14.37,3.69,0.23,25.76,2.04,10.45,0.0,0.74,0.27,29.11,97.0,3.07,260.19,,772.11,83.67,0.05,28-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
28-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
29-Jun-2020 - 00:00,17.9,37.16,7.04,2.32,9.37,13.48,4.2,0.32,38.4,3.84,5.04,0.0,1.44,0.39,29.19,98.76,1.23,212.17,,774.15,68.67,0.0,30-Jun-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
30-Jun-2020 - 00:00,13.28,26.22,5.97,2.46,8.43,12.56,3.27,0.25,27.01,2.03,10.04,0.0,0.78,0.27,30.25,92.29,2.85,264.38,,774.13,129.71,0.0,01-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
01-Jul-2020 - 00:00,13.22,28.37,5.21,2.33,7.53,11.88,2.96,0.22,28.97,1.51,7.42,0.0,0.51,0.19,31.74,87.75,3.02,259.74,,774.03,153.93,0.0,02-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
02-Jul-2020 - 00:00,10.82,23.27,5.2,2.28,7.48,11.94,7.6,0.2,30.45,2.3,25.08,1.74,2.33,1.42,31.98,85.74,2.81,260.25,,772.59,167.25,0.0,03-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
03-Jul-2020 - 00:00,10.22,21.1,4.76,2.34,7.09,11.24,4.85,0.22,19.35,1.26,61.38,0.72,1.23,0.55,31.19,91.5,1.49,187.84,,771.47,131.87,0.0,04-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
04-Jul-2020 - 00:00,5.47,12.3,4.94,2.29,7.24,11.07,7.03,0.2,19.1,0.95,49.72,0.56,1.09,0.41,30.36,94.56,1.97,139.7,1.83,756.65,140.02,0.0,05-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
05-Jul-2020 - 00:00,6.19,11.03,4.85,2.26,7.11,11.02,7.23,0.22,24.97,0.67,7.09,0.16,0.43,0.13,28.66,98.84,2.98,130.31,1.83,722.19,79.48,0.01,06-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
06-Jul-2020 - 00:00,6.39,12.95,5.27,2.61,7.89,10.96,7.55,0.21,27.22,0.68,8.72,0.11,0.33,0.11,28.73,98.74,1.98,145.6,1.83,722.85,110.53,0.03,07-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
07-Jul-2020 - 00:00,11.17,20.91,5.18,2.24,7.42,10.67,8.25,0.26,31.89,1.54,8.26,0.19,0.61,0.19,29.71,98.49,1.39,190.14,,965.63,106.52,0.01,08-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
08-Jul-2020 - 00:00,21.29,41.03,6.43,2.31,8.74,11.04,8.41,0.3,32.14,3.5,10.9,0.42,1.13,0.41,30.31,96.07,2.19,258.08,,986.47,114.65,0.0,09-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
09-Jul-2020 - 00:00,15.92,34.95,6.46,2.34,8.8,10.92,8.36,0.25,31.85,2.53,10.18,0.29,0.85,0.33,32.18,94.95,2.59,254.37,,986.96,124.18,0.01,10-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
10-Jul-2020 - 00:00,12.28,30.74,5.45,3.15,8.61,11.24,10.47,0.21,33.57,3.19,8.99,1.67,2.05,1.68,33.87,90.89,3.04,257.66,,989.18,136.3,0.0,11-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
11-Jul-2020 - 00:00,16.76,29.41,5.66,2.15,7.81,10.38,9.93,0.24,33.63,2.01,9.83,0.22,0.63,0.27,30.58,97.85,2.73,249.1,,990.12,91.59,0.0,12-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
12-Jul-2020 - 00:00,21.73,37.91,5.96,2.21,8.16,10.51,10.12,0.24,46.24,1.3,8.03,0.11,0.42,0.15,32.44,93.31,2.58,247.33,,990.05,107.83,0.12,13-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
13-Jul-2020 - 00:00,24.92,45.03,6.91,3.64,10.55,12.35,13.3,0.34,33.53,5.76,9.6,2.97,3.56,2.89,30.66,98.52,1.62,234.35,1.83,868.57,81.8,0.06,14-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
14-Jul-2020 - 00:00,13.31,29.06,4.81,2.16,6.98,9.72,7.23,0.21,34.72,0.81,8.34,0.07,0.25,0.11,32.07,94.45,1.69,149.42,1.82,724.91,147.67,0.02,15-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
15-Jul-2020 - 00:00,7.68,15.83,5.24,2.5,7.75,9.96,10.24,0.21,27.08,1.41,9.96,0.2,0.59,0.22,31.49,97.88,1.85,205.39,,724.97,111.89,0.03,16-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
16-Jul-2020 - 00:00,6.22,16.49,4.71,2.31,7.02,9.73,9.22,0.18,22.18,0.81,7.04,0.07,0.32,0.13,32.44,93.39,1.58,224.64,1.84,725.03,141.17,0.16,17-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
17-Jul-2020 - 00:00,4.73,15.92,4.66,2.25,6.92,9.35,9.83,0.16,23.85,0.8,8.03,0.07,0.33,0.11,33.14,91.75,2.02,242.01,,725.03,159.79,0.01,18-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
18-Jul-2020 - 00:00,10.56,26.05,5.16,2.17,7.33,9.45,7.02,0.18,33.61,1.28,9.84,0.11,0.49,0.19,33.7,91.51,3.15,261.96,,725.07,135.81,0.0,19-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
19-Jul-2020 - 00:00,12.02,27.93,5.24,2.21,7.46,9.67,8.01,0.2,30.12,0.9,9.6,0.11,0.47,0.16,33.27,92.86,2.89,260.52,1.83,743.74,128.1,0.06,20-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
20-Jul-2020 - 00:00,15.55,34.47,6.15,3.39,9.54,11.22,10.11,0.26,23.45,2.85,9.42,0.99,1.62,0.96,32.53,96.56,2.99,262.2,,,96.99,0.09,21-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
21-Jul-2020 - 00:00,15.18,33.96,6.71,2.63,9.33,10.63,7.77,0.29,22.32,3.26,14.68,0.47,1.25,0.53,31.75,98.85,2.6,254.95,,,63.0,0.25,22-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
22-Jul-2020 - 00:00,15.91,32.71,7.32,2.92,10.25,11.09,7.9,0.31,25.08,3.7,12.96,0.49,1.5,0.55,31.6,98.84,1.91,227.51,,,71.85,0.04,23-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
23-Jul-2020 - 00:00,10.84,24.19,5.39,2.21,7.65,10.01,7.57,0.23,34.96,2.01,12.63,0.15,0.57,0.21,29.1,98.9,1.8,254.95,,,59.27,0.68,24-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
24-Jul-2020 - 00:00,16.91,34.06,6.62,2.57,9.12,11.08,7.33,0.28,22.13,2.36,7.17,0.45,0.98,0.41,31.43,98.86,1.1,221.9,,999.7,72.88,0.0,25-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
25-Jul-2020 - 00:00,13.47,28.66,5.42,2.25,7.71,9.75,10.07,0.21,27.96,2.5,9.62,0.18,0.61,0.22,32.44,93.08,1.86,272.65,,,128.78,0.0,26-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
26-Jul-2020 - 00:00,16.48,32.04,6.05,2.31,8.36,9.88,6.25,0.26,36.64,2.01,8.36,0.23,0.74,0.28,33.74,92.83,1.59,223.03,,999.6,107.96,0.0,27-Jul-2020 - 00:00,"Bidhannagar, Kolkata - WBPCB"
