from date,PM10,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
21-Apr-2020 - 00:00,,-4.39,256.28,42.37,158.19,3.91,14.91,11.06,64.78,44.5,27.19,0.54,0.76,3.69,1.17,0.17,0.28,0.1,0.51,22-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Apr-2020 - 00:00,,-4.23,219.72,33.9,189.12,4.0,18.21,12.89,66.57,63.57,28.58,0.62,0.55,6.45,1.67,0.25,0.61,0.24,0.79,23-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Apr-2020 - 00:00,,-3.5,168.44,32.09,116.91,3.87,17.6,12.45,60.02,53.28,29.18,0.58,0.86,3.87,1.72,0.37,0.63,0.24,0.72,24-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Apr-2020 - 00:00,,-3.4,177.08,38.32,205.83,4.02,18.74,13.19,61.9,49.96,29.01,0.64,0.66,3.94,1.29,0.29,0.64,0.27,0.86,25-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Apr-2020 - 00:00,,-3.71,171.1,34.0,134.45,3.74,12.72,9.76,77.33,38.34,30.06,0.59,0.76,2.64,0.51,0.13,0.12,0.03,0.25,26-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Apr-2020 - 00:00,,-0.69,138.78,55.27,123.38,4.02,14.47,10.91,57.81,49.9,25.6,0.55,1.41,2.29,0.6,0.2,0.11,0.03,0.55,27-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Apr-2020 - 00:00,,2.82,128.29,61.77,160.55,3.98,12.86,10.03,63.75,37.88,25.31,0.56,1.66,2.09,0.43,0.13,0.0,0.0,0.38,28-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Apr-2020 - 00:00,,-1.03,129.77,56.22,151.68,3.95,13.66,10.42,67.53,45.49,27.12,0.56,0.89,3.82,0.39,1.08,0.0,0.04,0.23,29-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Apr-2020 - 00:00,,-0.63,177.74,47.16,178.04,3.9,15.44,11.33,76.17,56.31,30.34,0.62,0.66,11.3,0.84,0.36,0.17,0.56,0.6,30-Apr-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Apr-2020 - 00:00,,-3.37,144.27,53.07,260.63,3.96,13.88,10.55,69.83,58.96,29.64,0.6,0.79,0.64,0.82,0.96,0.71,0.54,0.0,01-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-May-2020 - 00:00,,-2.08,143.44,59.2,46.61,4.09,18.19,12.93,39.42,62.37,27.3,0.62,0.35,3.1,0.0,0.0,0.0,1.04,0.0,02-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-May-2020 - 00:00,,-3.11,127.98,43.18,235.21,3.86,12.09,9.52,97.27,43.97,32.49,0.59,1.88,4.76,0.0,0.0,0.0,0.0,0.0,03-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-May-2020 - 00:00,,2.45,138.08,58.82,132.56,3.91,12.8,9.93,65.8,43.44,27.76,0.51,1.4,2.39,0.0,0.0,0.0,0.0,0.0,04-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-May-2020 - 00:00,,2.99,109.01,58.63,210.15,3.9,13.24,10.16,68.94,32.18,26.94,0.57,0.81,2.39,0.0,0.0,0.0,0.0,0.0,05-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-May-2020 - 00:00,,-0.02,231.26,32.78,226.28,3.82,15.69,11.4,93.61,45.47,33.13,0.62,0.84,8.64,0.0,0.0,0.0,0.0,0.0,06-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-May-2020 - 00:00,,0.63,168.63,35.98,120.1,3.88,17.32,12.31,82.02,71.84,29.9,0.65,0.71,2.92,0.0,0.0,0.0,0.0,0.0,07-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-May-2020 - 00:00,,0.29,125.74,35.21,209.45,3.74,14.88,10.91,98.87,50.77,29.77,0.97,1.09,3.93,0.0,0.0,0.0,0.0,0.0,08-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-May-2020 - 00:00,,2.79,141.05,39.66,196.01,3.78,16.85,11.99,101.54,62.38,31.8,0.66,0.78,2.9,0.0,0.0,0.0,0.0,0.0,09-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-May-2020 - 00:00,,0.31,151.92,41.23,187.62,3.73,14.61,10.76,109.7,66.36,32.96,0.68,1.19,4.68,0.0,0.0,0.0,0.0,0.0,10-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-May-2020 - 00:00,,0.63,126.43,49.91,85.16,3.75,14.74,10.84,80.91,61.75,28.16,0.82,1.66,4.64,0.0,0.0,0.0,0.0,0.0,11-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-May-2020 - 00:00,,0.59,141.96,52.65,150.71,3.84,16.9,12.06,85.98,50.19,28.39,0.75,1.12,7.39,0.0,0.0,0.0,0.0,0.0,12-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-May-2020 - 00:00,,0.46,99.29,47.13,189.04,3.77,15.05,11.02,92.61,55.3,30.53,0.66,0.97,9.0,0.0,0.0,0.0,0.0,0.0,13-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-May-2020 - 00:00,,0.53,163.52,51.68,106.55,3.87,18.51,12.94,76.14,80.48,29.89,0.67,0.59,7.05,0.0,0.0,0.0,0.0,0.0,14-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-May-2020 - 00:00,,0.83,172.27,50.92,185.74,4.4,19.79,14.05,67.87,61.07,29.81,0.79,1.01,4.69,0.0,0.02,0.0,0.0,0.0,15-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-May-2020 - 00:00,,3.09,300.61,38.26,203.91,3.96,19.81,13.71,69.74,58.61,31.01,0.93,1.32,2.88,0.03,0.01,0.02,0.01,0.0,16-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-May-2020 - 00:00,,-1.93,294.33,30.66,217.24,3.8,20.83,14.12,80.38,86.31,32.28,1.06,1.14,5.78,0.0,0.0,0.0,0.0,0.0,17-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-May-2020 - 00:00,,8.34,247.18,29.65,173.68,4.47,26.57,17.7,67.71,109.09,32.36,0.82,0.57,8.72,0.0,0.0,0.0,0.0,0.0,18-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-May-2020 - 00:00,,11.09,274.92,26.15,202.67,4.44,27.18,18.01,63.16,100.93,32.67,1.06,0.77,10.48,0.0,0.0,0.0,0.0,0.0,19-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-May-2020 - 00:00,,4.34,210.58,21.8,209.53,6.75,31.73,22.28,68.74,115.7,33.0,1.0,0.74,13.28,0.0,0.0,0.0,0.0,0.0,20-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-May-2020 - 00:00,,0.49,283.47,20.14,217.94,4.04,28.06,18.12,69.54,80.19,32.88,0.83,1.3,7.98,0.0,0.0,0.0,0.0,0.0,21-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-May-2020 - 00:00,,0.49,279.59,21.28,225.91,7.59,35.39,24.87,54.86,104.63,33.64,3.0,1.27,30.67,0.0,0.0,0.0,0.0,0.0,22-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-May-2020 - 00:00,,0.38,223.22,21.83,163.87,6.05,32.81,22.29,63.98,93.45,34.82,0.85,0.74,7.83,2.89,0.31,1.09,0.43,0.32,23-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-May-2020 - 00:00,,0.34,260.7,19.69,137.56,5.96,25.34,18.25,52.46,88.0,36.92,0.41,1.0,4.76,0.29,0.12,0.09,0.05,0.07,24-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-May-2020 - 00:00,,0.33,281.0,19.21,152.49,5.53,20.68,15.43,61.03,79.78,37.52,0.48,1.16,6.71,0.18,0.04,0.0,0.0,0.05,25-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-May-2020 - 00:00,,0.4,259.34,23.37,155.14,7.13,26.06,19.57,56.86,91.88,36.62,0.42,1.21,7.04,0.05,0.02,0.03,0.01,0.07,26-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-May-2020 - 00:00,,0.37,230.45,20.72,152.07,12.89,29.8,26.16,40.23,87.07,38.18,0.55,1.1,4.4,0.06,0.01,0.01,0.0,0.0,27-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-May-2020 - 00:00,,0.35,194.3,21.94,147.79,5.64,21.29,15.83,77.77,71.76,38.59,0.57,1.24,2.09,0.05,0.12,0.02,0.0,0.0,28-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-May-2020 - 00:00,,0.69,127.61,42.99,129.62,5.17,13.71,11.43,57.54,79.88,33.82,0.28,2.43,3.04,0.0,0.0,0.0,0.0,0.01,29-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-May-2020 - 00:00,,0.89,135.67,58.79,123.91,5.47,16.61,13.22,48.7,41.39,29.33,0.25,2.04,6.26,2.0,0.0,0.0,0.0,0.16,30-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-May-2020 - 00:00,,5.48,168.61,60.49,147.89,5.05,16.37,12.75,63.7,38.82,29.09,0.37,1.69,9.41,1.0,0.0,0.0,0.0,0.5,31-May-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-May-2020 - 00:00,,3.08,167.35,70.41,110.77,5.25,15.16,12.26,57.09,32.01,26.4,0.26,1.44,4.33,2.0,0.0,0.0,0.0,1.0,01-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Jun-2020 - 00:00,,8.33,126.65,61.13,135.73,5.72,21.85,16.2,66.32,52.43,29.0,0.17,0.52,4.82,1.99,0.0,0.0,0.0,1.0,02-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jun-2020 - 00:00,,4.14,154.58,54.12,151.32,5.58,20.39,15.32,65.43,54.02,30.81,0.25,1.15,4.12,1.44,0.0,0.0,0.0,0.44,03-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jun-2020 - 00:00,,0.15,169.38,48.04,135.33,5.24,18.71,14.14,72.31,60.59,32.17,0.32,0.84,5.4,1.0,0.0,0.0,0.0,0.0,04-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jun-2020 - 00:00,,-0.86,168.98,57.61,74.54,6.51,25.51,18.77,48.9,75.09,29.57,0.27,0.75,6.79,1.0,0.0,0.0,0.0,0.0,05-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jun-2020 - 00:00,,-1.1,174.26,56.96,130.77,5.97,22.73,16.87,50.85,47.02,29.51,0.27,0.78,4.75,1.73,0.18,0.0,0.0,0.31,06-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jun-2020 - 00:00,,-0.48,155.69,59.35,131.27,5.36,19.25,14.53,60.83,46.79,30.67,0.31,0.93,3.33,3.78,0.59,0.0,0.0,1.0,07-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jun-2020 - 00:00,,-2.52,159.19,60.95,134.84,5.67,20.21,15.29,45.3,53.32,30.06,0.36,0.95,3.29,2.0,0.0,0.0,0.0,0.0,08-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jun-2020 - 00:00,,-2.98,160.56,53.91,128.43,5.92,20.93,15.87,54.33,60.96,32.3,0.36,0.8,5.86,1.67,0.0,0.0,0.0,0.0,09-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jun-2020 - 00:00,,-1.27,173.44,47.35,124.6,6.07,26.21,18.8,54.03,75.66,34.96,0.38,0.76,5.54,1.0,0.0,0.0,0.0,0.0,10-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jun-2020 - 00:00,,-0.11,205.89,52.63,114.25,7.83,21.91,17.92,35.09,61.56,34.15,0.46,0.65,4.09,0.63,0.04,0.04,0.02,0.01,11-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jun-2020 - 00:00,,-0.16,209.79,53.64,125.01,7.74,22.84,18.34,21.06,67.56,34.54,0.52,0.57,4.25,0.34,0.12,0.08,0.03,0.01,12-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jun-2020 - 00:00,,0.05,134.11,47.56,125.65,5.51,24.23,17.3,45.67,85.93,35.76,1.15,0.95,15.72,0.25,0.07,0.02,0.03,0.01,13-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jun-2020 - 00:00,,0.08,152.32,56.21,76.67,5.5,19.73,14.89,41.48,66.3,32.96,0.54,1.19,3.48,0.11,0.03,0.0,0.0,0.0,14-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jun-2020 - 00:00,,0.05,106.54,52.97,117.83,6.55,23.12,17.54,45.58,89.12,34.69,0.47,0.82,3.32,0.0,0.0,0.0,0.0,0.0,15-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Jun-2020 - 00:00,,0.03,212.39,41.67,113.01,5.59,23.09,16.76,56.6,66.71,36.61,0.56,0.89,2.59,0.0,0.0,0.0,0.0,0.0,16-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Jun-2020 - 00:00,,0.04,139.14,44.0,121.87,5.27,20.31,15.02,70.92,60.96,36.3,0.63,1.17,3.09,0.0,0.0,0.0,0.0,0.0,17-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jun-2020 - 00:00,,0.05,132.13,49.47,125.79,5.14,15.1,12.14,61.4,54.39,35.76,0.47,1.64,2.64,0.0,0.0,0.0,0.0,0.0,18-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Jun-2020 - 00:00,,0.04,180.66,46.57,13.55,5.23,16.19,12.79,57.9,59.06,36.67,0.54,1.29,4.12,0.0,0.0,0.0,0.0,0.0,19-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Jun-2020 - 00:00,,0.05,185.61,49.75,13.67,5.31,14.43,11.93,40.66,117.62,36.78,0.54,1.53,3.14,0.0,0.0,0.0,0.0,0.0,20-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Jun-2020 - 00:00,,0.08,195.75,55.84,13.43,5.39,17.18,13.45,39.6,59.97,32.57,0.67,1.28,3.0,0.0,0.0,0.0,0.0,0.0,21-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Jun-2020 - 00:00,,-0.03,156.48,60.56,13.61,5.86,20.21,15.44,47.13,51.94,32.1,0.48,0.8,3.32,0.0,0.0,0.0,0.0,0.0,22-Jun-2020 - 00:00,"NSIT Dwarka, Delhi - CPCB"
