from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
28-Mar-2020 - 00:00,4.6,4.53,2.65,29.34,2.29,0.21,21.41,17.03,33.44,0.97,14.22,0.17,0.48,21.61,444.23,71.78,0.0,0.86,68.62,29-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
29-Mar-2020 - 00:00,2.24,2.61,1.79,22.99,4.58,0.16,23.53,22.59,41.18,0.82,12.08,0.1,0.26,21.55,343.2,67.91,0.0,1.33,58.57,30-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
30-Mar-2020 - 00:00,2.63,2.75,1.72,19.98,8.15,0.2,24.58,25.65,41.07,1.02,12.79,0.14,0.39,21.57,,67.68,0.0,1.05,58.44,31-Mar-2020 - 00:00,"Sector-12, Karnal - HSPCB"
31-Mar-2020 - 00:00,3.14,3.15,1.89,20.19,10.28,0.22,22.94,34.14,56.3,1.21,12.75,0.16,0.45,21.92,,65.52,0.0,0.93,102.1,01-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
01-Apr-2020 - 00:00,4.55,4.22,2.3,22.56,11.68,0.17,21.53,26.87,69.96,1.01,12.88,0.16,0.47,23.62,467.43,60.71,0.0,0.68,147.34,02-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
02-Apr-2020 - 00:00,2.91,2.98,1.82,22.49,15.15,0.2,24.41,24.63,55.03,0.83,12.03,0.12,0.31,22.71,453.85,60.57,0.0,1.26,54.33,03-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
03-Apr-2020 - 00:00,4.58,3.79,1.75,19.92,16.21,0.19,26.77,17.61,34.79,0.87,10.29,0.11,0.31,22.02,364.49,46.89,0.0,1.04,55.7,04-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
04-Apr-2020 - 00:00,5.54,4.24,1.69,22.97,9.83,0.22,27.94,26.52,48.9,1.07,12.74,0.13,0.37,23.56,479.65,49.03,0.0,0.92,59.37,05-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
05-Apr-2020 - 00:00,10.45,7.01,1.96,28.62,15.53,0.32,28.32,36.88,69.98,1.94,14.12,0.22,0.65,24.24,394.5,54.09,0.0,0.49,163.61,06-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
06-Apr-2020 - 00:00,8.94,6.36,2.09,31.02,15.97,0.27,27.94,43.12,77.82,1.6,13.75,0.19,0.52,26.12,210.19,53.16,0.0,0.78,116.81,07-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
07-Apr-2020 - 00:00,6.12,4.68,1.85,24.16,16.13,0.21,25.72,37.2,98.28,0.96,12.29,0.14,0.42,23.86,165.74,53.79,0.0,0.96,85.28,08-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
08-Apr-2020 - 00:00,6.85,5.05,1.83,20.87,13.73,0.2,24.4,27.8,59.7,0.93,11.78,0.12,0.35,24.36,915.09,42.46,0.0,0.96,56.54,09-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
09-Apr-2020 - 00:00,6.09,4.54,1.71,23.23,18.82,0.23,26.97,36.79,69.05,1.29,12.9,0.17,0.5,24.8,803.68,47.33,0.0,0.68,70.05,10-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
10-Apr-2020 - 00:00,8.55,6.04,2.06,27.85,22.38,0.29,25.85,41.29,87.69,1.49,13.59,0.22,0.59,27.15,190.37,42.48,0.0,0.66,134.2,11-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
11-Apr-2020 - 00:00,7.71,5.54,1.9,28.17,27.44,0.29,26.66,46.09,139.39,1.63,14.36,0.2,0.59,28.08,215.82,42.29,0.0,0.61,143.25,12-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
12-Apr-2020 - 00:00,5.86,4.43,1.71,24.32,29.28,0.25,27.97,29.92,,1.04,12.76,0.13,0.35,27.56,182.47,41.31,0.0,0.94,52.3,13-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
13-Apr-2020 - 00:00,7.51,6.67,3.44,25.19,39.95,0.28,30.58,38.74,40.59,1.37,12.62,0.18,0.56,29.46,425.41,37.19,0.0,0.85,48.94,14-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
14-Apr-2020 - 00:00,11.5,7.42,1.76,26.11,60.32,0.41,33.54,55.67,70.15,2.94,15.26,0.25,0.73,30.25,341.74,42.28,0.0,0.42,184.88,15-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
15-Apr-2020 - 00:00,15.91,11.38,3.94,27.46,67.27,0.51,32.35,78.0,102.27,4.6,15.05,0.25,0.78,30.03,330.51,39.89,0.0,0.38,220.84,16-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
16-Apr-2020 - 00:00,14.82,9.96,2.84,27.3,62.93,0.4,28.72,70.8,104.18,2.52,14.56,0.3,0.91,28.75,372.9,34.2,0.0,0.55,147.61,17-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
17-Apr-2020 - 00:00,7.65,5.74,2.31,22.66,55.32,0.21,27.32,38.81,77.46,1.0,12.13,0.18,0.49,28.65,298.1,41.76,0.12,0.65,228.32,18-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
18-Apr-2020 - 00:00,7.07,5.0,1.71,21.0,59.64,0.21,31.16,26.1,37.64,0.83,11.27,0.17,0.53,25.76,280.62,56.15,0.02,0.6,55.13,19-Apr-2020 - 00:00,"Sector-12, Karnal - HSPCB"
