from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
26-Feb-2020 - 00:00,103.37,27.39,8.38,6.52,14.9,9.15,0.4,13.85,3.0,3.6,548.85,91.41,0.0,135.85,0.68,38.39,27-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
27-Feb-2020 - 00:00,120.82,15.75,8.48,6.66,15.14,9.15,0.34,14.81,2.95,3.61,432.12,93.8,0.0,114.16,1.0,44.98,28-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-Feb-2020 - 00:00,112.18,19.67,8.36,6.57,14.93,9.11,0.38,18.7,2.76,3.45,587.87,94.09,0.0,116.82,1.8,41.77,29-Feb-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
29-Feb-2020 - 00:00,63.29,14.17,8.45,6.52,14.97,9.23,0.28,15.95,2.75,3.43,572.5,93.02,0.0,117.46,1.32,23.54,01-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
01-Mar-2020 - 00:00,45.47,15.46,8.6,6.41,15.02,9.24,0.29,12.88,2.87,3.52,487.87,76.89,0.0,217.85,0.72,16.95,02-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Mar-2020 - 00:00,67.56,13.78,8.36,6.63,14.99,9.17,0.47,15.32,1.53,1.83,505.84,78.08,0.0,198.64,0.49,25.09,03-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Mar-2020 - 00:00,168.77,32.65,8.29,6.67,14.97,9.15,0.47,19.19,1.81,1.63,521.6,78.24,0.0,245.18,0.94,57.86,04-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Mar-2020 - 00:00,121.94,10.99,10.65,11.91,22.47,12.44,0.45,17.97,4.29,4.1,611.14,76.44,0.0,140.86,0.67,37.62,05-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Mar-2020 - 00:00,88.33,12.44,14.06,26.38,40.65,17.64,0.27,20.38,2.99,2.91,734.37,77.07,0.05,125.91,1.7,26.94,06-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Mar-2020 - 00:00,37.1,10.37,13.26,21.67,34.93,16.29,0.3,16.48,2.88,2.82,86.83,96.05,0.07,114.48,1.92,18.6,07-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
