from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,BP,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,station
29-Feb-2020 - 00:00,0.32,39.24,3.5,13.71,16.0,7.67,68.85,-0.42,3.59,117.67,999.27,34.42,219.48,0.0,0.0,0.0,0.0,0.0,01-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
01-Mar-2020 - 00:00,0.27,49.01,3.28,8.3,11.22,5.88,64.84,-0.42,3.8,91.03,999.21,31.83,254.92,0.0,0.0,0.0,0.0,0.0,02-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
02-Mar-2020 - 00:00,0.3,14.21,5.01,9.54,14.2,6.29,63.38,-0.41,3.84,137.15,999.69,46.72,214.82,0.1,0.0,0.0,0.0,0.0,03-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
03-Mar-2020 - 00:00,0.32,44.8,6.24,10.91,16.92,6.93,65.46,-0.42,3.75,142.62,998.97,54.14,224.19,0.65,0.0,0.0,0.0,0.0,04-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
04-Mar-2020 - 00:00,0.27,30.72,11.51,10.97,22.35,6.45,70.62,-0.41,4.2,158.31,998.9,36.45,227.83,0.19,0.11,0.0,0.0,0.0,05-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
05-Mar-2020 - 00:00,0.63,13.78,5.82,12.47,18.0,7.49,68.32,-0.4,5.02,165.69,998.61,17.07,213.01,0.0,0.0,0.19,0.0,0.0,06-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
06-Mar-2020 - 00:00,0.65,12.83,5.11,11.07,15.9,7.49,72.03,-0.41,4.62,160.98,999.12,18.16,152.59,0.31,0.0,0.0,0.0,0.0,07-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
07-Mar-2020 - 00:00,0.38,19.03,4.41,9.12,13.19,6.06,71.71,-0.4,5.28,158.31,999.94,21.12,197.5,0.0,0.0,0.0,0.0,0.0,08-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
08-Mar-2020 - 00:00,0.35,14.99,1.92,8.15,8.94,5.98,68.07,-0.41,4.45,128.15,999.72,14.7,215.34,0.0,0.0,0.0,0.0,0.0,09-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
09-Mar-2020 - 00:00,0.37,11.76,3.5,13.31,15.58,6.45,66.65,-0.41,4.03,152.67,999.15,17.59,261.21,0.14,0.0,0.0,0.0,0.0,10-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
10-Mar-2020 - 00:00,0.38,16.44,3.21,14.0,16.13,5.18,65.74,-0.41,4.15,159.61,999.26,15.68,241.5,0.0,0.0,0.0,0.0,0.0,11-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
11-Mar-2020 - 00:00,0.36,23.54,3.3,12.93,15.49,4.54,65.01,-0.4,4.94,163.25,999.62,13.52,245.52,0.19,0.0,0.0,0.0,0.0,12-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
12-Mar-2020 - 00:00,0.77,15.72,7.33,11.69,18.73,4.94,67.32,-0.4,4.82,161.74,,26.02,230.7,0.85,0.0,0.0,0.0,0.0,13-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
13-Mar-2020 - 00:00,0.72,23.16,8.87,13.46,21.58,4.77,71.33,-0.42,3.64,133.55,,32.58,290.06,3.16,0.0,0.0,0.0,0.0,14-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
14-Mar-2020 - 00:00,0.44,18.13,4.52,11.11,15.3,4.19,68.63,-0.42,3.53,128.7,999.44,36.41,246.74,0.19,0.0,0.0,0.0,0.0,15-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
15-Mar-2020 - 00:00,0.63,15.21,2.43,11.6,12.8,7.51,66.85,-0.43,3.63,98.72,999.69,28.71,333.76,0.25,0.0,0.0,0.0,0.0,16-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
16-Mar-2020 - 00:00,1.0,14.16,2.13,9.13,10.24,5.55,69.06,-0.42,3.78,71.41,,25.95,295.16,0.12,0.0,0.0,0.0,0.0,17-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
17-Mar-2020 - 00:00,1.02,19.58,2.36,12.08,13.3,5.2,70.68,-0.41,4.17,99.04,,26.39,280.47,0.18,0.0,0.0,0.0,0.0,18-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
18-Mar-2020 - 00:00,1.06,26.78,2.84,10.89,12.89,6.68,72.22,-0.39,4.9,149.87,,36.33,283.35,0.0,0.0,0.0,0.0,0.0,19-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
19-Mar-2020 - 00:00,1.03,10.18,3.41,10.9,13.62,6.45,66.21,-0.36,6.4,167.74,999.1,27.28,266.56,0.0,0.0,0.0,0.0,0.0,20-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
20-Mar-2020 - 00:00,1.04,22.49,5.21,10.03,15.05,6.8,69.53,-0.36,6.23,173.15,999.44,26.32,249.36,0.0,0.0,0.0,0.0,0.0,21-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
21-Mar-2020 - 00:00,1.0,19.76,3.9,10.09,13.6,7.25,69.03,-0.36,6.84,172.25,999.29,22.11,256.64,0.0,0.0,0.0,0.0,0.0,22-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
