from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
16-Jul-2020 - 00:00,32.65,974.53,90.84,24.83,59.41,122.19,87.08,1.14,0.58,9.93,14.96,21.64,7.28,17.23,,28.85,0.93,17-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Jul-2020 - 00:00,32.86,975.18,97.32,43.08,61.23,132.54,102.16,1.21,0.28,10.16,12.63,21.52,5.45,15.89,,18.63,0.99,18-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Jul-2020 - 00:00,32.88,976.22,99.1,38.78,61.83,122.05,106.25,1.18,0.26,10.3,15.15,22.49,5.21,16.21,,26.29,0.92,19-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Jul-2020 - 00:00,31.25,974.37,67.12,,65.22,136.54,224.7,0.97,0.23,8.43,15.19,21.11,7.56,17.36,,18.99,1.02,20-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Jul-2020 - 00:00,29.03,973.31,50.34,22.08,66.07,118.82,249.14,1.02,0.59,10.58,15.95,24.69,6.36,18.27,,48.25,0.88,21-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Jul-2020 - 00:00,26.73,976.23,35.17,19.94,74.04,106.61,174.12,1.14,1.41,19.19,15.21,24.99,6.58,18.66,,36.8,0.92,22-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
22-Jul-2020 - 00:00,26.43,977.05,33.78,13.68,77.47,76.9,241.35,0.79,1.61,16.43,13.74,28.42,13.19,25.87,,22.73,0.93,23-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
23-Jul-2020 - 00:00,29.7,976.13,83.66,34.64,65.98,184.29,227.28,0.6,2.49,22.46,13.38,37.27,18.95,35.27,,11.75,1.18,24-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
24-Jul-2020 - 00:00,29.99,979.11,68.31,41.97,66.84,145.78,102.98,0.97,2.24,20.76,16.65,32.12,6.93,22.73,,40.11,1.0,25-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
25-Jul-2020 - 00:00,30.64,980.7,49.86,30.23,67.92,142.4,87.23,0.89,1.46,15.23,19.25,22.71,5.22,16.33,,38.45,0.98,26-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
26-Jul-2020 - 00:00,32.17,980.28,67.79,37.59,62.83,173.32,125.38,0.68,1.68,18.35,20.36,34.58,9.32,25.99,,14.44,1.26,27-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Jul-2020 - 00:00,33.1,977.29,77.95,29.84,60.43,203.36,263.83,0.94,0.73,9.51,18.38,26.77,10.4,22.7,,,0.94,28-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Jul-2020 - 00:00,33.11,975.08,72.22,22.51,59.88,179.14,260.58,1.02,0.8,8.1,16.32,26.25,9.96,22.08,,37.04,0.91,29-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Jul-2020 - 00:00,30.84,975.77,72.52,21.32,63.61,122.82,172.9,1.02,0.92,12.45,16.22,30.46,9.62,24.05,,28.26,0.9,30-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Jul-2020 - 00:00,28.92,977.75,50.34,17.22,67.08,118.96,217.8,1.06,1.08,15.76,15.03,28.91,10.22,23.7,,36.13,0.92,31-Jul-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Jul-2020 - 00:00,30.81,977.01,60.13,36.3,66.24,123.59,114.6,0.81,1.3,17.17,16.58,37.57,8.6,26.99,,39.32,1.1,01-Aug-2020 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
