from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
19-Apr-2020 - 00:00,64.35,28.44,8.48,33.74,41.36,0.48,,21.35,20-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Apr-2020 - 00:00,83.95,34.83,17.44,17.01,51.57,0.62,,17.45,21-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Apr-2020 - 00:00,70.32,31.87,1.39,,2.84,0.5,,27.95,22-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Apr-2020 - 00:00,115.51,52.16,10.58,15.69,31.47,0.57,,25.58,23-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Apr-2020 - 00:00,92.35,42.73,2.91,13.23,18.94,0.57,,23.89,24-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Apr-2020 - 00:00,110.95,56.52,2.85,5.5,9.49,0.6,,27.81,25-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Apr-2020 - 00:00,57.11,20.46,0.5,6.55,5.95,0.46,,32.16,26-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Apr-2020 - 00:00,79.9,31.63,1.14,3.54,4.43,0.51,,24.79,27-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Apr-2020 - 00:00,40.45,23.97,1.13,,,0.46,,28.75,28-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Apr-2020 - 00:00,64.4,39.2,1.01,9.41,9.01,0.5,,32.0,29-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-Apr-2020 - 00:00,93.5,53.06,1.38,27.47,31.75,0.59,,30.8,30-Apr-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
30-Apr-2020 - 00:00,106.08,52.63,0.86,7.19,8.71,0.55,,33.18,01-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-May-2020 - 00:00,128.6,55.37,1.15,8.66,9.1,0.56,,34.85,02-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-May-2020 - 00:00,87.98,34.12,0.47,,,0.46,,34.29,03-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-May-2020 - 00:00,66.69,31.72,0.84,,,0.5,,27.97,04-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
