from date,Benzene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,SR,Temp,WD,WS,SO2,to date,station
03-May-2020 - 00:00,1.97,4.3,2.7,0.77,6.99,3.08,9.6,2.72,25.92,40.48,336.05,31.56,158.19,4.78,18.38,04-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-May-2020 - 00:00,1.48,4.06,2.61,0.48,7.13,2.8,9.43,2.73,40.06,42.06,395.68,31.25,175.66,4.45,7.17,05-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-May-2020 - 00:00,1.54,3.09,2.51,0.77,7.18,2.68,9.43,2.64,35.22,48.2,333.8,31.35,158.77,4.56,15.27,06-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-May-2020 - 00:00,1.52,2.39,2.4,0.92,6.78,2.84,7.7,5.77,44.67,58.57,359.09,32.13,164.02,1.9,9.09,07-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-May-2020 - 00:00,1.51,2.41,2.41,0.68,7.08,6.17,7.35,9.13,27.64,60.9,377.13,31.76,205.54,0.52,6.96,08-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-May-2020 - 00:00,1.48,2.41,2.41,0.62,3.02,2.11,11.75,3.01,32.95,70.94,400.86,32.9,171.84,0.45,4.49,09-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-May-2020 - 00:00,1.49,2.4,2.39,0.71,3.06,2.14,11.65,3.0,25.01,57.49,349.25,31.29,197.08,0.43,4.38,10-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-May-2020 - 00:00,1.5,2.41,2.41,0.74,3.03,2.15,11.76,3.01,25.31,57.93,345.82,31.69,196.53,0.42,3.79,11-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-May-2020 - 00:00,1.39,2.21,2.4,0.77,3.04,2.16,11.68,2.98,28.37,62.99,332.3,31.54,191.85,0.43,10.15,12-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-May-2020 - 00:00,1.3,2.09,2.41,0.63,3.05,2.14,11.73,2.98,20.32,61.43,313.72,30.67,200.3,0.35,12.98,13-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-May-2020 - 00:00,1.31,2.11,2.39,0.61,5.62,1.89,8.96,6.15,22.84,70.66,342.76,34.02,182.77,0.37,13.1,14-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-May-2020 - 00:00,1.29,2.1,2.4,0.5,10.99,2.16,6.92,11.3,22.13,56.21,298.4,36.35,199.67,0.44,15.2,15-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-May-2020 - 00:00,1.29,2.11,2.4,0.5,7.23,0.9,3.91,10.71,34.58,77.78,287.94,37.08,196.72,0.44,16.47,16-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-May-2020 - 00:00,0.86,1.38,1.59,0.66,13.68,2.48,8.16,13.07,32.58,96.27,372.74,36.47,147.32,0.31,15.36,17-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-May-2020 - 00:00,0.0,0.0,0.0,0.77,,,,,32.47,129.15,,,,,12.24,18-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-May-2020 - 00:00,0.0,0.0,0.0,0.74,,,,,31.67,98.25,,,,,13.25,19-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-May-2020 - 00:00,3.79,0.36,23.11,0.52,6.87,23.86,15.97,7.16,24.76,55.43,352.68,37.12,198.97,0.81,6.13,20-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-May-2020 - 00:00,10.95,0.21,54.19,0.45,10.66,6.11,9.19,4.74,27.37,73.43,323.35,35.84,169.51,0.48,3.16,21-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-May-2020 - 00:00,8.5,0.35,64.28,0.32,8.08,4.6,6.88,5.16,18.71,73.38,319.12,36.13,171.97,0.47,3.5,22-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-May-2020 - 00:00,7.61,0.53,38.17,0.38,6.59,4.72,5.61,3.29,1.3,64.45,329.39,36.6,184.92,0.54,4.2,23-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-May-2020 - 00:00,7.78,1.05,50.66,0.61,2.99,4.04,6.16,4.85,7.66,79.73,341.31,36.68,174.22,0.46,3.61,24-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-May-2020 - 00:00,7.93,1.58,39.1,0.75,3.99,5.86,9.42,8.13,12.09,61.0,343.13,37.04,202.89,0.62,4.57,25-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-May-2020 - 00:00,6.79,1.42,44.76,0.86,4.1,5.37,9.17,8.08,12.41,66.65,275.04,36.95,172.05,0.68,4.52,26-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-May-2020 - 00:00,14.42,4.38,272.35,0.38,3.86,6.24,9.61,8.18,12.29,73.05,324.54,37.97,174.78,0.55,8.53,27-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-May-2020 - 00:00,4.79,1.57,55.04,0.63,4.19,5.69,9.45,8.08,23.35,85.92,407.84,38.24,194.52,0.81,3.8,28-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-May-2020 - 00:00,3.87,2.6,24.79,0.71,4.02,5.83,9.45,8.12,29.3,70.43,359.52,36.67,172.73,0.61,4.04,29-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-May-2020 - 00:00,3.02,2.13,11.17,0.73,3.96,6.29,9.67,8.18,32.91,52.38,289.48,36.85,172.19,0.64,4.29,30-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-May-2020 - 00:00,3.8,2.83,12.87,1.03,3.24,6.86,9.6,7.97,36.64,30.93,201.93,35.12,151.55,0.55,14.56,31-May-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-May-2020 - 00:00,1.96,3.07,4.44,1.45,,,,,33.57,57.79,354.55,36.16,181.2,0.55,18.01,01-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Jun-2020 - 00:00,5.82,2.97,25.33,0.52,0.68,12.36,9.64,4.06,35.12,105.19,154.41,36.63,136.78,0.5,8.73,02-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Jun-2020 - 00:00,6.41,3.46,19.25,0.8,1.99,2.83,6.31,4.44,36.18,90.41,105.29,35.32,133.18,0.41,6.96,03-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Jun-2020 - 00:00,4.08,2.11,8.53,0.48,2.84,1.41,5.51,4.61,28.8,,43.57,30.98,110.02,0.78,8.32,04-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Jun-2020 - 00:00,11.18,8.59,105.98,0.6,3.98,0.27,5.24,4.53,26.07,88.19,78.09,29.87,147.92,0.22,8.1,05-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Jun-2020 - 00:00,12.46,3.59,84.55,0.06,3.92,0.3,4.92,4.6,25.69,45.82,387.37,33.22,145.83,0.37,4.79,06-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Jun-2020 - 00:00,7.43,2.05,53.79,0.46,4.21,0.66,5.16,4.45,25.63,36.33,248.86,32.79,139.94,0.35,3.99,07-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Jun-2020 - 00:00,14.55,3.41,102.66,0.5,4.18,0.21,4.61,4.59,25.78,42.57,422.98,34.26,159.1,0.35,4.69,08-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Jun-2020 - 00:00,9.69,1.89,102.17,0.35,4.22,0.41,4.9,4.53,26.53,32.72,371.02,32.86,150.33,0.33,5.45,09-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Jun-2020 - 00:00,6.86,2.34,19.69,0.32,4.19,1.68,6.4,4.56,27.89,50.51,344.19,33.93,139.24,0.31,4.22,10-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Jun-2020 - 00:00,2.63,2.53,9.98,1.04,4.07,1.89,7.47,4.61,26.73,55.32,248.3,34.44,142.6,0.36,4.66,11-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Jun-2020 - 00:00,1.58,3.78,22.66,0.98,4.01,2.43,7.5,4.56,26.0,24.05,,32.03,111.52,0.14,4.09,12-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Jun-2020 - 00:00,,,,,,,,,,,,,,,,13-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,14-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,15-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Jun-2020 - 00:00,1.6,5.33,15.27,2.26,,,,,27.14,31.22,218.57,32.75,147.22,0.25,12.78,16-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Jun-2020 - 00:00,1.18,0.88,7.87,1.71,3.73,1.29,6.65,4.58,26.34,40.91,268.81,34.96,146.81,0.73,4.52,17-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Jun-2020 - 00:00,1.03,0.23,9.61,1.63,4.12,2.3,7.71,4.58,27.11,35.83,282.08,33.67,110.27,0.49,7.68,18-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Jun-2020 - 00:00,1.34,1.81,5.98,1.66,4.16,2.09,7.39,4.53,26.59,34.05,74.76,31.51,116.92,0.32,10.03,19-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Jun-2020 - 00:00,1.1,2.19,4.55,1.38,5.1,6.17,9.74,4.47,26.76,45.2,415.89,33.62,137.09,0.43,12.99,20-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Jun-2020 - 00:00,1.3,0.28,0.05,1.56,8.84,15.06,18.08,,26.31,50.1,266.82,33.9,151.34,0.31,4.46,21-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Jun-2020 - 00:00,1.33,0.13,0.0,1.33,9.12,15.08,18.24,,26.55,43.31,217.06,32.1,135.95,0.28,3.84,22-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Jun-2020 - 00:00,1.12,0.0,0.0,1.04,9.77,15.51,18.15,,26.32,22.32,7.0,30.42,,,4.88,23-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Jun-2020 - 00:00,,,,,,,,,,,,,,,,24-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Jun-2020 - 00:00,1.19,0.57,2.54,1.03,8.44,15.05,17.86,,26.7,39.6,437.0,35.78,177.59,0.34,26.44,25-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Jun-2020 - 00:00,1.02,0.18,0.0,1.03,8.85,15.49,18.34,,26.87,46.02,414.79,35.17,155.3,0.28,6.47,26-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Jun-2020 - 00:00,1.03,0.3,0.1,1.32,8.67,15.29,18.13,,27.76,52.65,222.15,34.66,203.76,0.31,3.83,27-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Jun-2020 - 00:00,1.06,0.19,0.0,1.25,8.93,15.12,18.17,,28.13,72.12,274.54,35.15,191.39,0.29,4.05,28-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Jun-2020 - 00:00,0.99,0.11,0.0,1.04,9.13,15.19,18.31,,28.64,39.85,328.1,33.95,172.17,0.29,4.71,29-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Jun-2020 - 00:00,0.98,1.1,2.07,1.49,8.34,14.93,17.67,0.11,29.6,38.4,302.81,33.98,168.46,0.2,16.98,30-Jun-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Jun-2020 - 00:00,1.22,2.24,11.66,,6.64,12.06,14.77,0.09,28.22,20.17,290.43,31.95,113.94,0.18,19.11,01-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Jul-2020 - 00:00,1.1,3.42,42.83,2.09,6.94,15.08,17.1,,28.49,33.34,268.79,34.47,122.73,0.41,12.81,02-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Jul-2020 - 00:00,1.06,2.7,19.85,1.64,7.92,15.69,17.98,,25.0,22.8,242.89,32.86,131.02,0.24,4.03,03-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Jul-2020 - 00:00,0.94,5.03,39.88,1.75,7.71,15.48,17.74,8.23,26.71,11.94,101.89,31.0,113.04,0.22,4.68,04-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Jul-2020 - 00:00,0.78,4.27,28.81,1.63,7.44,15.68,17.73,8.36,26.67,18.82,40.86,30.12,114.55,0.23,3.72,05-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Jul-2020 - 00:00,0.8,3.44,26.32,1.37,6.85,16.29,17.78,8.32,25.94,30.84,24.01,30.41,159.17,0.4,6.88,06-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Jul-2020 - 00:00,1.9,0.03,11.29,1.33,7.13,15.89,17.68,8.36,26.71,40.94,171.76,32.41,157.99,0.5,6.8,07-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Jul-2020 - 00:00,1.09,1.37,48.63,1.39,7.31,15.84,17.75,8.31,26.67,15.69,104.52,30.71,120.84,0.22,5.41,08-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Jul-2020 - 00:00,1.15,3.04,33.37,1.33,7.25,16.14,17.9,8.37,25.55,34.49,91.6,31.89,131.0,0.24,6.58,09-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Jul-2020 - 00:00,1.94,2.58,11.01,1.44,11.37,18.85,20.83,9.01,18.89,44.23,242.54,32.15,127.3,0.28,7.94,10-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Jul-2020 - 00:00,1.43,2.03,7.44,,6.51,15.54,12.7,7.67,9.9,29.05,194.51,33.12,161.4,0.39,5.19,11-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Jul-2020 - 00:00,0.78,1.75,5.17,,7.47,19.63,15.65,7.45,29.56,4.2,223.03,33.83,153.28,1.03,10.53,12-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Jul-2020 - 00:00,1.06,2.3,15.29,,9.82,37.53,27.36,8.11,28.78,6.56,50.87,31.2,135.47,0.89,6.89,13-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Jul-2020 - 00:00,3.48,1.34,52.62,0.66,7.33,25.4,19.0,13.41,30.34,4.98,210.83,31.73,141.45,0.76,7.3,14-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Jul-2020 - 00:00,10.4,1.97,144.48,0.6,9.51,30.56,23.09,13.11,40.25,7.19,131.97,31.01,140.05,0.36,12.42,15-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Jul-2020 - 00:00,17.63,5.44,59.16,0.65,14.03,26.27,24.2,30.19,29.45,8.17,65.15,30.68,118.07,0.28,3.39,16-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Jul-2020 - 00:00,10.84,7.33,77.13,0.65,22.18,29.23,29.92,87.92,25.03,24.63,127.27,28.26,84.33,0.36,2.57,17-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Jul-2020 - 00:00,7.47,2.46,124.63,0.53,21.71,51.97,44.16,131.48,14.31,13.91,191.66,26.04,94.12,0.42,5.9,18-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Jul-2020 - 00:00,6.67,1.22,129.24,0.51,22.19,28.27,30.26,57.49,21.94,2.33,322.27,31.15,148.72,0.24,7.22,19-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Jul-2020 - 00:00,11.06,0.51,168.28,0.47,26.26,22.12,28.7,60.44,23.48,4.54,315.95,33.16,201.68,0.35,8.42,20-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Jul-2020 - 00:00,12.67,3.57,113.08,0.47,23.79,22.0,27.34,35.87,21.54,32.87,337.16,27.01,149.47,1.06,8.78,21-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Jul-2020 - 00:00,13.6,3.33,118.36,0.37,22.14,32.86,32.98,30.08,,29.15,360.06,26.54,127.33,0.24,6.42,22-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Jul-2020 - 00:00,12.38,3.25,169.31,0.32,19.42,16.42,21.69,20.16,11.24,13.55,301.94,26.49,149.79,0.29,3.4,23-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Jul-2020 - 00:00,11.48,4.84,187.16,0.41,15.89,18.75,21.24,8.74,13.37,31.1,183.07,24.42,135.77,0.17,3.16,24-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Jul-2020 - 00:00,11.5,3.77,47.13,0.41,16.89,11.72,17.56,12.75,18.11,19.87,111.48,24.14,122.37,0.11,2.94,25-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Jul-2020 - 00:00,14.45,4.1,135.48,0.44,13.95,17.42,19.46,15.13,12.33,15.6,211.06,25.06,151.71,0.15,2.62,26-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Jul-2020 - 00:00,9.97,3.05,92.33,0.4,15.0,54.36,38.89,23.26,12.35,13.69,303.64,25.26,133.65,0.22,2.76,27-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Jul-2020 - 00:00,12.35,3.16,181.52,0.46,1.88,109.4,55.83,,12.57,18.6,138.07,23.32,120.88,0.2,3.71,28-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Jul-2020 - 00:00,13.39,4.99,165.29,0.41,6.6,62.28,33.22,16.74,12.32,34.62,81.78,22.61,144.41,0.12,3.4,29-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Jul-2020 - 00:00,12.58,2.7,86.45,0.38,18.04,101.24,78.39,9.57,13.2,48.82,209.69,24.45,160.05,0.24,3.31,30-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Jul-2020 - 00:00,13.44,1.03,157.07,0.36,8.7,93.69,63.4,11.81,12.6,44.69,188.52,24.78,160.09,0.27,2.66,31-Jul-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Jul-2020 - 00:00,18.19,0.97,114.41,0.36,7.38,123.75,80.67,8.88,10.06,40.24,228.15,25.26,144.54,0.23,2.97,01-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Aug-2020 - 00:00,12.87,0.85,121.46,0.33,7.13,121.8,79.4,6.9,10.6,39.76,373.9,25.84,141.26,0.22,2.99,02-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Aug-2020 - 00:00,5.34,0.0,9.65,0.31,8.67,107.4,71.59,8.6,9.81,42.8,335.13,25.5,107.32,0.17,2.27,03-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,04-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Aug-2020 - 00:00,2.67,0.0,15.04,0.28,11.01,77.33,54.82,14.19,9.94,16.38,146.82,23.56,169.92,0.48,1.95,05-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Aug-2020 - 00:00,3.79,0.0,44.39,0.29,11.55,95.62,66.05,12.41,10.51,25.0,72.64,22.38,156.44,0.45,2.87,06-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Aug-2020 - 00:00,1.53,0.0,12.24,0.28,12.5,93.99,65.56,12.45,10.57,32.45,53.3,22.54,164.67,0.42,2.09,07-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Aug-2020 - 00:00,1.78,0.0,2.84,0.25,12.33,88.17,61.99,13.97,10.12,35.68,102.15,23.41,158.81,0.33,2.0,08-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Aug-2020 - 00:00,2.15,0.0,4.91,0.3,12.53,92.41,64.63,13.76,10.0,45.81,190.72,23.91,167.1,0.33,2.22,09-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Aug-2020 - 00:00,1.33,0.0,7.58,0.32,13.25,87.34,61.97,14.38,10.94,62.59,288.31,25.22,172.91,0.4,2.22,10-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Aug-2020 - 00:00,7.14,0.0,117.93,0.25,12.86,91.38,64.18,14.12,10.9,57.12,187.15,24.92,173.02,0.32,2.45,11-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Aug-2020 - 00:00,8.48,0.01,234.22,0.36,11.28,105.22,71.65,14.44,10.47,66.52,81.35,24.26,168.35,0.29,2.72,12-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Aug-2020 - 00:00,4.32,0.0,148.6,0.28,11.19,106.08,72.11,14.65,10.21,45.27,29.86,22.72,177.77,0.37,2.44,13-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Aug-2020 - 00:00,2.18,0.0,110.28,0.27,10.71,101.74,69.27,14.88,10.53,45.93,187.75,23.55,171.87,0.45,2.18,14-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Aug-2020 - 00:00,3.24,0.0,67.02,0.3,11.05,120.86,80.89,13.72,10.75,37.2,55.03,22.36,163.38,0.37,1.98,15-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Aug-2020 - 00:00,2.63,0.0,21.21,0.23,11.59,86.53,60.62,16.41,13.96,41.24,132.03,23.87,167.45,0.4,1.53,16-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Aug-2020 - 00:00,3.45,0.01,44.78,0.31,11.98,93.42,64.95,16.05,13.35,51.44,114.82,24.15,173.6,0.48,1.94,17-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Aug-2020 - 00:00,3.88,0.02,79.5,0.35,11.01,101.01,68.99,15.74,11.99,47.3,58.76,23.1,168.58,0.32,2.23,18-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Aug-2020 - 00:00,7.47,0.04,151.32,0.35,9.77,107.97,72.51,15.61,11.14,48.91,118.54,23.35,158.44,0.24,2.54,19-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Aug-2020 - 00:00,5.79,0.0,121.08,0.23,10.38,95.25,65.21,16.0,12.25,39.33,170.1,23.8,166.4,0.39,2.29,20-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Aug-2020 - 00:00,7.33,0.16,114.42,0.59,8.29,103.5,69.05,15.6,6.47,50.15,70.11,23.16,158.43,0.28,2.92,21-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Aug-2020 - 00:00,4.75,0.0,52.91,0.74,7.78,124.18,81.16,14.78,3.78,36.64,36.38,22.56,161.83,0.29,2.84,22-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Aug-2020 - 00:00,2.55,0.0,19.35,0.53,9.71,97.58,66.25,17.11,4.26,43.27,116.45,23.59,171.69,0.38,1.42,23-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Aug-2020 - 00:00,0.14,0.0,0.22,0.53,10.24,94.07,64.43,17.64,3.91,49.02,160.22,24.33,169.01,0.38,1.94,24-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Aug-2020 - 00:00,0.47,0.0,0.08,0.64,9.65,90.44,61.95,17.81,5.2,51.58,170.86,24.48,165.56,0.41,3.46,25-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Aug-2020 - 00:00,0.75,0.0,0.72,0.65,10.18,99.45,67.62,17.09,5.14,51.1,217.94,24.53,156.2,0.24,2.05,26-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Aug-2020 - 00:00,1.26,0.0,1.13,0.76,10.17,105.89,71.47,16.81,4.59,43.2,212.95,23.8,142.72,0.2,3.08,27-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Aug-2020 - 00:00,,,,,,,,,,,,,,,,28-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Aug-2020 - 00:00,0.95,0.0,0.0,0.34,10.06,90.83,62.4,17.3,3.79,29.97,82.92,22.18,135.5,0.2,1.92,29-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Aug-2020 - 00:00,1.38,0.0,0.14,0.22,,,,,3.49,35.82,41.38,22.04,137.83,0.16,2.38,30-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Aug-2020 - 00:00,0.77,0.0,0.13,0.19,,,,,4.25,42.52,57.19,22.51,153.94,0.27,3.8,31-Aug-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Aug-2020 - 00:00,32.84,1.16,4.74,0.21,,,,,4.5,38.68,171.84,23.15,153.42,0.25,3.91,01-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Sep-2020 - 00:00,24.59,0.17,4.15,0.48,,,,,4.82,48.5,271.93,24.12,171.88,0.26,4.72,02-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Sep-2020 - 00:00,9.98,0.0,2.62,0.71,,,,,5.57,78.23,368.85,25.59,188.82,0.19,23.32,03-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Sep-2020 - 00:00,10.66,0.0,1.99,0.72,,,,,8.26,93.62,331.27,25.03,130.48,0.17,9.84,04-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Sep-2020 - 00:00,10.24,0.06,3.81,0.73,,,,,19.91,79.84,384.68,25.8,156.0,0.18,24.18,05-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Sep-2020 - 00:00,14.03,0.01,3.85,0.71,5.91,4.12,9.72,26.01,18.66,77.93,419.72,26.81,175.23,0.3,3.7,06-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Sep-2020 - 00:00,24.45,0.0,51.52,0.68,5.4,3.96,9.36,26.54,4.35,100.12,269.32,26.3,153.91,0.22,4.12,07-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
