from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
20-Oct-2020 - 00:00,8.69,4.75,15.13,7.3,727.86,150.61,65.81,0.0,24.52,165.49,28.71,22.16,175.6,0.53,1.81,84.98,26.51,51.87,78.38,57.33,14.02,21-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Oct-2020 - 00:00,3.68,1.57,6.25,2.74,727.77,134.97,57.24,0.0,24.23,141.07,28.77,10.07,138.05,0.78,0.86,53.52,4.54,40.04,44.58,82.65,12.26,22-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-Oct-2020 - 00:00,2.65,0.97,4.41,1.86,727.96,106.91,51.08,0.0,31.33,171.56,29.28,6.7,131.28,0.75,0.87,41.15,3.21,31.61,34.81,87.53,12.13,23-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-Oct-2020 - 00:00,5.52,2.86,7.91,4.36,727.99,156.89,76.57,0.0,27.44,156.4,28.87,13.79,156.05,1.06,1.06,38.72,3.49,26.97,30.42,73.9,17.7,24-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-Oct-2020 - 00:00,4.55,2.66,8.24,3.84,727.83,143.69,70.48,0.0,22.74,156.03,28.5,12.83,211.09,0.69,1.05,68.45,21.85,35.67,57.52,66.2,14.9,25-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-Oct-2020 - 00:00,3.28,1.33,4.41,1.97,727.88,132.61,72.7,0.0,23.51,148.65,28.06,7.22,169.58,0.93,1.12,47.39,6.87,33.24,40.12,78.16,15.36,26-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-Oct-2020 - 00:00,2.86,1.36,3.65,1.67,728.09,123.54,56.73,0.0,26.58,180.09,27.6,8.17,303.61,0.95,0.86,48.1,7.66,35.49,43.16,51.75,18.05,27-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-Oct-2020 - 00:00,3.44,1.3,3.36,1.46,729.73,191.64,101.02,0.0,28.76,134.76,26.27,7.79,290.75,0.86,1.04,40.4,6.68,23.94,29.97,83.94,17.61,28-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-Oct-2020 - 00:00,6.42,4.02,12.37,6.04,731.36,129.96,55.8,0.0,24.24,164.33,25.6,18.64,239.01,0.49,1.46,77.0,21.09,53.28,74.37,51.88,14.57,29-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
29-Oct-2020 - 00:00,4.59,2.37,7.36,3.43,731.01,159.91,72.49,0.0,24.64,161.06,25.93,12.05,171.64,0.56,1.08,56.86,9.31,40.0,49.31,85.67,13.41,30-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
30-Oct-2020 - 00:00,3.57,1.19,4.99,2.16,730.88,166.0,87.21,0.0,24.23,131.8,25.65,8.84,276.52,0.87,1.08,48.08,6.7,36.14,42.84,70.65,15.09,31-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
31-Oct-2020 - 00:00,4.9,1.85,5.85,2.61,730.82,188.66,114.34,0.0,26.55,127.51,24.77,11.09,302.07,0.82,1.17,56.17,7.75,43.03,49.47,54.94,14.07,01-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-Nov-2020 - 00:00,4.63,2.37,7.26,3.36,730.78,114.16,51.75,0.0,20.0,148.38,24.27,11.62,280.53,0.84,1.14,60.84,11.49,45.19,56.68,46.16,12.94,02-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Nov-2020 - 00:00,11.69,8.82,24.96,12.71,730.95,136.13,66.67,0.0,22.96,155.01,23.79,34.42,216.04,0.55,2.87,169.46,90.04,75.16,165.16,22.86,12.83,03-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Nov-2020 - 00:00,8.9,6.87,18.26,8.86,730.9,153.83,72.24,0.0,20.01,160.17,24.25,26.06,271.64,0.64,1.28,88.78,20.7,50.42,71.12,31.81,14.29,04-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Nov-2020 - 00:00,11.59,7.85,22.27,11.26,730.95,197.17,120.35,0.0,26.75,147.73,24.18,30.93,274.85,0.7,1.73,109.83,53.74,51.31,81.92,53.82,15.25,05-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Nov-2020 - 00:00,12.46,9.44,27.58,13.84,730.92,168.87,84.43,0.0,27.45,153.16,24.34,37.14,168.25,0.45,2.59,153.62,58.99,68.14,127.13,37.25,12.14,06-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Nov-2020 - 00:00,14.75,10.85,30.73,15.75,730.98,183.78,83.63,0.0,28.44,149.74,24.79,44.34,185.92,0.42,2.28,215.18,97.69,92.69,177.39,49.15,14.34,07-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Nov-2020 - 00:00,8.92,6.05,18.13,9.07,730.7,195.32,101.54,0.0,25.04,149.55,25.33,26.35,208.68,0.44,1.53,142.21,48.24,69.01,93.97,56.42,14.29,08-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Nov-2020 - 00:00,9.51,5.15,15.33,7.89,731.18,237.63,129.94,0.0,27.54,145.55,25.29,22.43,160.18,0.44,2.17,116.08,34.05,66.77,100.79,62.79,13.71,09-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Nov-2020 - 00:00,6.81,2.71,8.79,4.12,731.08,227.32,143.44,0.0,26.97,142.6,25.06,14.38,200.21,0.71,1.6,78.93,9.86,53.86,63.7,80.23,15.12,10-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Nov-2020 - 00:00,7.51,2.4,6.87,3.11,730.86,297.21,216.4,0.0,33.15,121.8,23.45,12.19,160.55,0.58,1.7,62.12,3.23,50.38,53.59,75.98,17.81,11-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Nov-2020 - 00:00,5.68,0.91,4.02,1.76,730.98,209.56,128.56,0.0,39.86,125.26,22.89,7.31,81.2,0.92,1.28,38.41,3.02,25.12,28.12,93.75,13.52,12-Nov-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
