from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
13-Mar-2020 - 00:00,19.6,990.61,219.56,68.38,51.81,153.61,188.01,1.46,,1.66,7.57,50.32,21.34,2.4,13.28,0.6,45.21,21.76,14-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Mar-2020 - 00:00,18.4,991.77,154.68,68.9,61.14,114.47,134.15,1.79,,2.03,10.18,50.77,22.72,5.18,16.31,0.32,37.2,11.26,15-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Mar-2020 - 00:00,16.64,993.7,168.76,93.89,63.33,116.59,142.31,1.26,,3.17,18.05,55.08,29.3,11.06,24.61,0.51,53.58,16.71,16-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Mar-2020 - 00:00,18.42,993.46,169.48,100.28,62.04,137.8,170.68,1.43,,2.23,3.16,54.08,25.5,2.99,15.99,0.43,43.19,16.39,17-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Mar-2020 - 00:00,17.36,993.17,155.95,95.86,64.0,72.18,132.07,1.29,,2.36,3.4,52.77,29.96,6.35,20.93,0.69,32.74,11.85,18-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Mar-2020 - 00:00,20.68,991.48,160.08,90.71,57.97,162.15,142.08,1.7,,2.6,6.31,57.26,30.17,7.52,22.19,0.82,49.77,16.38,19-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Mar-2020 - 00:00,22.38,988.41,168.48,90.4,57.26,153.43,166.99,1.32,,2.56,14.16,58.42,28.09,4.8,18.72,0.51,54.55,19.22,20-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Mar-2020 - 00:00,20.85,987.32,182.28,98.31,62.72,57.31,152.73,1.32,,3.74,27.9,60.89,43.82,5.37,27.51,0.99,28.65,11.14,21-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Mar-2020 - 00:00,23.13,987.68,138.67,65.47,54.7,135.07,119.1,1.42,,2.26,9.54,61.01,29.98,2.56,18.06,0.99,47.68,16.2,22-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Mar-2020 - 00:00,23.24,989.56,145.26,87.74,55.14,155.14,109.66,1.41,,2.99,14.4,63.86,26.93,5.45,18.65,0.63,51.72,16.1,23-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
