from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
22-Aug-2020 - 00:00,30.39,980.53,59.08,14.85,72.37,204.95,66.03,0.99,1.45,40.28,16.35,7.07,15.0,17.35,1.4,22.86,32.49,23-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
23-Aug-2020 - 00:00,29.77,979.18,,14.88,76.98,147.39,78.22,0.9,0.85,17.24,18.04,5.3,12.38,15.14,1.91,25.72,25.04,24-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
24-Aug-2020 - 00:00,29.42,979.62,,18.26,79.77,123.77,110.85,0.95,1.04,29.63,17.16,6.84,16.55,20.64,0.74,28.96,34.97,25-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
25-Aug-2020 - 00:00,29.94,981.5,59.0,16.95,77.98,145.64,132.33,1.02,1.0,39.64,15.77,6.51,15.81,19.74,0.96,15.96,16.51,26-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
26-Aug-2020 - 00:00,30.47,982.61,60.24,17.29,73.52,152.19,231.52,1.09,2.35,37.02,17.23,6.38,17.6,23.31,1.43,33.13,9.97,27-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
27-Aug-2020 - 00:00,30.7,981.94,60.43,22.48,75.3,178.69,196.58,1.19,2.17,44.85,16.43,12.17,23.4,25.32,0.85,34.26,14.55,28-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
28-Aug-2020 - 00:00,27.56,980.17,81.69,39.65,94.05,37.67,117.88,1.2,1.8,88.77,16.57,21.25,38.02,38.18,2.08,20.73,16.29,29-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
29-Aug-2020 - 00:00,30.26,979.72,104.55,51.58,78.28,185.08,70.64,0.94,2.36,69.43,21.38,13.52,25.53,27.28,0.99,34.27,43.68,30-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
30-Aug-2020 - 00:00,28.8,979.56,82.11,,79.22,113.87,83.41,0.88,1.16,21.58,18.88,6.03,12.5,15.16,0.7,30.86,29.03,31-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
31-Aug-2020 - 00:00,29.38,981.82,,8.74,74.97,165.91,133.62,1.01,0.77,51.93,18.23,5.62,14.19,18.07,0.57,24.75,11.97,01-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
01-Sep-2020 - 00:00,30.17,983.29,51.5,14.02,70.9,182.08,163.54,1.04,1.07,50.56,16.77,6.27,17.15,22.6,0.5,31.51,14.3,02-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-Sep-2020 - 00:00,30.68,985.14,93.44,29.6,72.29,129.84,177.19,1.14,1.74,37.42,17.32,4.88,19.36,28.94,0.65,40.9,17.53,03-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Sep-2020 - 00:00,31.38,985.81,78.02,39.25,71.1,176.56,98.09,1.03,1.36,45.76,17.03,5.04,16.57,23.46,0.46,60.02,34.87,04-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Sep-2020 - 00:00,31.38,984.4,70.12,42.65,71.7,155.93,127.44,1.07,1.29,26.22,19.31,5.02,18.28,26.67,0.61,50.45,31.13,05-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Sep-2020 - 00:00,30.01,982.63,95.87,50.17,79.37,152.58,169.45,1.08,2.4,62.93,19.06,6.9,23.29,33.22,0.69,38.54,16.8,06-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Sep-2020 - 00:00,29.56,981.79,74.61,46.08,82.28,162.59,240.85,1.1,2.4,42.51,19.17,5.46,18.69,26.74,0.66,35.72,17.3,07-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Sep-2020 - 00:00,29.79,982.26,133.21,98.85,81.81,127.48,172.24,0.87,3.18,50.06,22.69,12.37,31.76,40.74,1.1,36.38,17.21,08-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Sep-2020 - 00:00,31.18,982.9,80.8,38.35,70.56,193.69,279.46,0.93,2.69,36.66,20.95,4.87,17.36,25.17,0.85,45.01,13.62,09-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Sep-2020 - 00:00,31.79,982.67,100.08,50.0,70.18,185.43,285.6,0.7,2.62,39.81,21.61,5.05,17.46,25.08,0.95,49.15,16.84,10-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Sep-2020 - 00:00,31.92,980.32,109.52,56.29,67.08,185.89,272.68,1.08,2.73,40.53,23.19,4.39,16.96,25.12,1.23,54.59,14.64,11-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Sep-2020 - 00:00,32.18,980.91,149.94,82.5,63.1,191.84,232.75,1.19,3.95,47.18,23.36,6.71,24.41,35.62,1.82,40.87,21.09,12-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
12-Sep-2020 - 00:00,32.02,983.3,146.65,81.44,64.79,213.84,144.85,0.71,3.44,43.33,25.25,6.33,21.54,30.77,1.26,45.79,21.03,13-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
13-Sep-2020 - 00:00,32.07,983.21,152.65,100.96,66.9,162.93,106.63,0.95,3.81,48.23,27.43,4.48,18.43,27.77,1.27,55.77,20.6,14-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
14-Sep-2020 - 00:00,31.88,982.16,157.38,94.02,67.74,170.23,200.79,1.21,3.28,34.42,27.15,5.41,21.25,31.61,1.25,48.71,22.21,15-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
15-Sep-2020 - 00:00,32.16,981.64,154.0,95.55,66.26,178.59,221.07,1.06,3.85,49.32,27.66,4.4,18.85,28.7,1.34,48.33,19.47,16-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
16-Sep-2020 - 00:00,32.71,981.29,157.79,82.7,65.51,201.04,272.66,1.14,3.11,45.57,25.6,5.35,19.74,28.93,1.06,49.18,17.37,17-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
17-Sep-2020 - 00:00,33.39,980.9,124.89,58.42,60.23,221.29,273.6,1.04,2.87,44.91,24.95,4.18,15.77,23.27,1.02,58.41,17.84,18-Sep-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
