from date,Benzene,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
05-Mar-2020 - 00:00,2.0,1.05,3.61,715.96,38.4,91.84,0.0,44.46,22.7,183.75,3.14,0.85,22.14,8.44,19.41,27.85,44.44,3.9,06-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Mar-2020 - 00:00,1.19,1.62,47.45,715.53,46.35,89.36,0.0,60.23,18.36,218.28,3.74,0.77,26.18,4.98,14.32,19.3,59.32,6.8,07-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Mar-2020 - 00:00,1.62,3.01,110.8,719.86,33.37,59.68,0.0,58.84,18.54,220.61,3.34,0.8,22.63,5.02,12.27,17.3,53.19,7.3,08-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Mar-2020 - 00:00,2.47,3.05,106.41,721.48,34.94,80.15,0.0,46.55,20.94,153.79,5.3,0.89,27.43,5.9,18.08,23.99,54.3,7.85,09-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Mar-2020 - 00:00,2.88,3.24,111.29,719.97,39.59,89.82,0.0,38.52,21.61,123.87,3.59,0.49,22.35,4.92,16.06,20.98,73.04,6.8,10-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Mar-2020 - 00:00,2.03,3.34,133.7,717.7,32.24,75.46,0.0,38.01,21.38,93.21,4.57,0.54,16.25,3.65,8.71,12.35,89.4,6.9,11-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Mar-2020 - 00:00,1.39,2.25,95.58,716.05,31.48,80.01,0.0,44.09,21.42,174.95,6.33,0.53,15.22,3.8,12.07,15.88,73.68,6.81,12-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Mar-2020 - 00:00,1.41,1.78,67.59,718.11,41.49,100.75,0.0,24.08,21.15,198.5,4.84,0.93,13.8,6.37,19.08,25.45,58.0,7.58,13-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Mar-2020 - 00:00,1.1,1.47,61.15,720.37,114.13,233.99,0.0,24.35,20.11,227.6,6.43,0.79,14.23,5.35,14.58,19.93,52.9,7.79,14-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Mar-2020 - 00:00,0.89,0.61,24.62,721.31,55.18,114.95,0.0,35.91,19.43,239.58,5.09,0.63,17.54,3.71,10.52,14.23,63.37,7.37,15-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Mar-2020 - 00:00,1.02,0.11,2.12,721.81,40.99,85.96,0.0,43.44,19.47,162.83,2.81,0.7,18.19,4.16,13.02,17.18,72.16,6.72,16-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Mar-2020 - 00:00,2.13,0.51,3.86,721.97,49.73,95.8,0.0,43.18,20.63,130.57,2.45,0.7,17.12,5.73,19.92,25.66,65.12,6.77,17-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Mar-2020 - 00:00,2.57,0.5,4.5,721.99,50.84,89.11,0.0,36.46,22.84,148.75,2.4,0.64,15.37,6.5,22.36,28.87,74.97,7.53,18-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Mar-2020 - 00:00,4.31,1.56,7.92,720.84,58.19,114.74,0.0,33.62,24.37,197.27,2.36,0.64,23.32,12.89,27.95,40.83,58.93,7.31,19-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Mar-2020 - 00:00,5.57,1.66,9.13,718.26,65.57,137.19,0.0,32.06,25.34,191.73,2.39,0.6,24.87,17.63,29.75,47.38,49.0,7.88,20-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Mar-2020 - 00:00,3.06,0.71,6.08,716.7,64.73,131.22,0.0,26.0,27.14,183.31,2.47,0.4,26.31,7.25,24.57,31.82,45.62,9.72,21-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Mar-2020 - 00:00,1.91,0.55,4.06,717.93,35.6,98.79,0.0,36.01,26.06,184.6,2.14,1.12,25.11,6.82,18.46,25.28,56.34,8.33,22-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Mar-2020 - 00:00,1.99,0.24,3.04,719.03,53.24,106.68,0.0,37.16,26.81,166.07,2.61,0.58,28.56,4.24,11.72,15.95,67.81,7.74,23-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Mar-2020 - 00:00,1.05,0.12,2.57,718.63,50.8,102.17,0.0,37.05,27.07,161.04,2.66,0.93,29.06,4.31,10.94,15.25,66.93,10.55,24-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Mar-2020 - 00:00,1.76,0.31,3.5,717.46,43.86,87.72,0.0,37.19,27.58,233.42,2.68,0.67,27.29,4.06,12.89,16.93,48.74,5.72,25-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Mar-2020 - 00:00,0.98,0.08,1.9,717.66,33.89,73.78,0.0,38.49,27.44,174.55,2.61,0.67,28.93,3.74,7.68,11.42,46.45,6.19,26-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Mar-2020 - 00:00,0.4,0.02,1.14,719.45,23.7,49.34,0.0,62.03,22.89,179.57,3.1,0.46,28.89,3.51,5.82,9.34,55.26,6.59,27-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Mar-2020 - 00:00,0.2,0.01,1.12,720.01,13.98,27.98,0.0,71.52,21.3,175.12,2.8,0.4,29.41,3.74,6.04,9.78,50.45,5.84,28-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Mar-2020 - 00:00,0.4,0.04,1.62,720.23,10.63,15.9,0.0,50.59,23.16,163.04,2.45,0.29,29.69,4.03,8.36,12.38,52.61,5.54,29-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Mar-2020 - 00:00,0.47,0.04,1.52,719.17,17.42,32.37,0.0,35.09,25.33,192.81,2.7,0.38,29.15,3.67,8.27,11.93,61.31,5.62,30-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Mar-2020 - 00:00,0.83,0.07,1.87,719.03,16.68,40.97,0.0,34.83,26.06,150.15,2.54,0.49,28.79,3.57,9.28,12.85,67.57,6.01,31-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Mar-2020 - 00:00,1.48,0.13,2.24,717.74,20.57,46.61,0.0,30.67,27.16,182.77,2.96,0.5,28.47,3.52,9.67,13.19,73.12,6.15,01-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Apr-2020 - 00:00,0.33,0.03,1.32,717.95,25.13,79.52,0.0,26.57,27.53,256.12,3.38,0.39,28.52,3.24,5.79,9.03,76.29,5.68,02-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Apr-2020 - 00:00,0.62,0.05,1.58,718.22,21.41,37.69,0.0,31.62,26.75,240.73,2.57,0.5,21.53,3.39,7.08,10.47,66.49,5.38,03-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Apr-2020 - 00:00,0.67,0.08,1.91,718.94,19.66,39.88,0.0,24.38,26.3,213.64,2.53,0.53,21.11,3.37,7.67,11.04,67.41,5.56,04-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Apr-2020 - 00:00,1.01,0.15,2.81,718.72,19.49,41.1,0.0,19.36,27.2,231.2,2.86,0.47,20.36,3.4,9.87,13.27,57.93,5.7,05-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Apr-2020 - 00:00,1.63,0.17,3.06,718.72,18.44,58.43,0.0,24.94,27.89,128.47,3.3,0.63,20.3,3.37,10.25,13.63,60.13,5.32,06-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Apr-2020 - 00:00,1.17,0.17,3.62,717.92,21.33,67.34,0.0,21.13,29.75,186.1,3.07,0.62,20.62,3.43,9.62,13.05,54.83,5.87,07-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
