from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,AT,RH,WS,WD,SR,BP,RF,to date,station
07-Mar-2020 - 00:00,30.01,1.04,37.92,1.52,28.36,16.29,28.89,7.37,42.8,84.01,17.32,81.16,1.01,,84.07,746.46,0.0,08-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Mar-2020 - 00:00,29.92,1.03,36.33,1.91,46.66,25.77,27.37,9.08,70.67,135.29,18.93,72.6,1.04,1.0,118.23,748.12,0.0,09-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Mar-2020 - 00:00,29.93,0.98,26.03,1.56,40.43,22.62,24.8,9.37,51.57,138.8,19.26,64.08,1.72,,145.33,745.43,0.0,10-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Mar-2020 - 00:00,30.01,0.88,35.54,1.34,36.56,20.54,27.89,16.32,87.06,170.21,19.39,64.74,1.0,,112.0,744.24,0.0,11-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Mar-2020 - 00:00,29.95,0.74,34.13,1.35,22.86,13.25,27.88,12.06,52.72,107.12,20.91,70.51,1.49,,96.69,741.82,0.0,12-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Mar-2020 - 00:00,29.81,0.84,26.92,1.49,37.22,20.93,25.8,14.34,54.32,159.38,22.02,66.91,1.19,,96.94,744.0,0.0,13-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Mar-2020 - 00:00,29.42,0.58,24.23,1.23,33.85,18.87,20.67,13.27,52.95,177.08,21.73,56.64,1.01,1.0,122.24,745.44,0.0,14-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Mar-2020 - 00:00,29.4,0.54,18.51,1.36,27.73,15.85,23.5,8.93,35.29,73.48,18.23,81.74,1.3,,72.84,747.37,0.0,15-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Mar-2020 - 00:00,29.74,0.73,28.89,1.53,41.92,23.25,21.41,9.28,45.22,107.69,18.04,74.59,0.87,,64.37,748.3,0.0,16-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Mar-2020 - 00:00,29.88,0.99,23.05,1.6,53.04,29.44,21.84,10.11,54.57,147.46,20.16,70.87,1.31,,100.43,748.39,0.0,17-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Mar-2020 - 00:00,30.02,0.96,25.63,1.61,51.45,28.54,25.1,10.51,57.34,149.4,21.64,65.32,1.25,,129.85,748.31,0.0,18-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Mar-2020 - 00:00,29.77,1.44,24.16,1.74,53.69,28.7,25.42,11.93,54.59,150.98,22.49,64.71,1.16,1.0,115.49,746.64,0.0,19-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Mar-2020 - 00:00,29.89,1.06,27.19,1.64,49.58,27.51,27.19,20.26,77.42,187.62,23.77,66.59,1.07,1.0,106.45,743.28,0.0,20-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Mar-2020 - 00:00,29.98,0.94,30.65,1.65,46.08,25.63,28.72,17.55,87.03,206.32,24.33,66.42,0.91,1.0,94.46,742.19,0.0,21-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Mar-2020 - 00:00,30.15,0.7,39.02,1.32,32.68,18.42,27.84,18.59,56.89,146.47,24.92,58.04,1.1,1.0,103.99,742.49,0.0,22-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Mar-2020 - 00:00,29.3,0.4,24.5,1.35,21.32,12.44,24.18,17.84,63.72,121.69,24.44,60.78,1.05,,115.71,744.4,0.0,23-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Mar-2020 - 00:00,29.58,1.04,36.28,1.2,12.89,7.83,20.86,11.85,31.6,83.65,29.0,45.35,1.06,,309.8,745.2,0.0,24-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Mar-2020 - 00:00,29.3,0.73,22.13,1.31,13.55,8.26,23.96,12.67,40.55,109.38,25.38,60.77,1.27,,80.97,742.35,0.0,25-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Mar-2020 - 00:00,29.35,0.05,15.04,1.3,14.13,8.58,25.6,11.96,35.75,81.39,25.72,62.57,1.09,,135.58,743.38,0.0,26-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Mar-2020 - 00:00,29.26,0.65,12.18,1.33,12.32,7.64,24.69,10.4,34.19,76.16,24.29,66.86,1.68,,75.97,744.31,0.0,27-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Mar-2020 - 00:00,29.16,0.25,14.57,1.27,10.09,6.41,23.04,8.46,24.44,49.07,22.15,74.74,1.55,1.0,73.86,746.1,0.0,28-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Mar-2020 - 00:00,29.22,0.37,12.33,1.29,9.8,6.28,22.48,6.85,16.83,31.72,22.46,72.22,1.42,,138.33,746.55,0.0,29-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Mar-2020 - 00:00,29.31,0.18,16.33,1.36,9.26,6.03,19.54,6.25,18.11,52.38,23.58,62.83,1.92,,137.36,744.46,0.0,30-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Mar-2020 - 00:00,29.37,0.54,18.61,1.29,10.58,6.68,18.04,7.78,29.43,67.64,24.0,56.79,1.63,,132.09,744.66,0.0,31-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
31-Mar-2020 - 00:00,29.54,0.34,24.15,1.25,10.0,6.34,17.57,10.13,24.77,65.41,26.18,50.97,1.86,,134.38,743.11,0.0,01-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Apr-2020 - 00:00,29.61,0.67,19.83,1.3,10.87,6.84,18.9,9.2,21.62,60.33,28.09,50.6,1.58,,130.55,742.43,0.0,02-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Apr-2020 - 00:00,29.45,0.47,19.6,1.28,8.98,5.81,17.92,7.65,23.06,60.65,25.09,55.32,1.68,,135.76,742.82,0.0,03-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Apr-2020 - 00:00,29.48,0.64,22.53,1.27,10.86,6.79,15.81,11.48,26.39,70.06,24.33,47.15,1.52,,136.23,744.14,0.0,04-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Apr-2020 - 00:00,29.52,0.43,21.13,1.28,12.62,7.75,16.51,10.0,32.38,71.47,25.68,46.7,1.34,1.0,136.97,744.07,0.0,05-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Apr-2020 - 00:00,29.53,0.6,25.06,1.27,12.55,7.71,19.56,18.58,43.46,92.86,26.79,49.68,1.19,1.0,125.89,744.67,0.0,06-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-Apr-2020 - 00:00,29.64,0.0,21.43,1.29,13.08,8.0,20.77,14.55,53.51,115.98,29.02,45.02,1.08,1.0,135.79,743.36,0.0,07-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Apr-2020 - 00:00,29.57,0.32,16.72,1.26,9.15,5.89,20.26,10.87,24.46,108.32,27.22,48.88,1.9,,132.98,741.42,0.0,08-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Apr-2020 - 00:00,29.61,0.37,19.19,1.34,10.19,6.51,17.53,10.19,20.98,82.61,26.75,44.96,1.56,,133.96,742.07,0.0,09-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Apr-2020 - 00:00,29.55,0.33,19.43,1.29,11.37,7.09,17.84,11.21,29.08,77.18,26.44,46.86,1.29,1.0,130.75,742.59,0.0,10-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Apr-2020 - 00:00,29.63,0.62,18.63,1.27,15.53,9.29,19.95,15.07,48.71,108.15,28.56,43.66,0.86,1.0,131.06,743.4,0.0,11-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Apr-2020 - 00:00,29.64,0.76,23.69,1.22,16.1,9.55,25.02,26.42,57.09,130.27,30.28,45.54,1.07,1.0,127.17,744.25,0.0,12-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Apr-2020 - 00:00,29.63,0.75,16.45,1.25,11.29,7.02,22.32,12.91,33.79,97.05,29.54,44.47,1.41,,135.84,742.2,0.0,13-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Apr-2020 - 00:00,29.61,0.17,14.56,1.27,16.53,9.82,24.1,18.31,53.9,138.23,31.39,43.06,1.2,1.0,130.48,740.08,0.0,14-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Apr-2020 - 00:00,29.52,0.58,12.86,1.18,18.45,10.77,27.53,17.05,55.7,186.88,32.47,42.94,0.61,,106.66,740.5,0.0,15-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Apr-2020 - 00:00,29.5,0.68,10.56,1.27,15.66,9.36,27.46,14.74,58.89,227.38,32.2,38.43,0.91,,125.5,740.17,0.0,16-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Apr-2020 - 00:00,29.35,0.79,14.1,1.17,21.12,12.16,31.54,28.05,103.11,288.09,31.09,41.67,1.23,,156.58,739.39,0.0,17-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Apr-2020 - 00:00,29.45,0.76,13.25,1.26,8.35,5.47,22.61,9.67,18.76,96.97,32.32,37.86,1.69,,158.59,738.76,0.0,18-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Apr-2020 - 00:00,29.41,0.02,11.81,1.29,9.07,5.87,22.99,12.92,17.33,78.72,30.11,43.39,1.97,,232.78,742.33,0.0,19-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Sector - 125, Noida - UPPCB"
