from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
07-Sep-2020 - 00:00,34.4,972.47,76.71,81.46,72.24,170.09,2.18,168.45,0.33,2.18,0.83,36.55,89.03,63.15,120.71,21.74,39.13,08-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Sep-2020 - 00:00,35.35,972.68,64.87,38.11,65.82,186.45,1.29,244.95,0.34,1.55,0.38,19.84,56.4,39.43,66.15,23.73,11.15,09-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Sep-2020 - 00:00,35.76,972.77,74.59,47.74,65.58,184.9,0.65,256.56,0.37,2.83,0.2,23.86,67.08,42.03,75.65,28.6,20.36,10-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Sep-2020 - 00:00,35.91,972.99,93.99,52.78,63.65,180.8,1.32,256.44,0.41,1.77,0.36,23.35,75.36,36.37,83.77,32.66,18.16,11-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Sep-2020 - 00:00,36.23,972.68,91.93,58.35,60.86,179.94,1.97,179.34,0.33,1.22,0.7,22.33,66.69,53.15,85.27,34.93,17.74,12-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Sep-2020 - 00:00,36.11,972.79,89.35,62.75,61.59,180.02,10.81,117.22,0.37,2.45,2.74,22.66,65.24,51.49,80.77,39.46,32.33,13-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Sep-2020 - 00:00,35.83,972.94,83.44,67.73,64.13,175.19,6.73,111.41,0.33,2.36,1.23,21.57,36.07,44.59,52.91,33.76,25.15,14-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Sep-2020 - 00:00,35.74,973.06,103.43,84.95,63.93,171.91,22.75,100.98,0.31,3.59,2.89,27.33,55.06,57.88,76.73,39.23,26.01,15-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Sep-2020 - 00:00,36.0,972.97,154.57,83.19,63.18,178.94,0.19,158.34,0.35,1.28,0.05,25.53,65.18,56.75,84.39,41.13,27.87,16-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Sep-2020 - 00:00,36.49,972.96,190.53,69.47,62.04,175.59,0.74,191.07,0.39,1.7,0.1,25.34,79.42,50.06,106.63,30.29,26.79,17-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Sep-2020 - 00:00,36.7,972.69,153.05,51.48,59.75,176.72,13.54,266.95,0.56,1.67,0.83,23.99,84.68,44.8,93.12,34.26,18.47,18-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Sep-2020 - 00:00,37.06,972.49,140.54,27.54,59.39,200.25,1.31,242.65,0.51,1.86,0.29,24.01,74.63,41.52,92.81,30.81,21.9,19-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Sep-2020 - 00:00,37.68,972.36,170.28,30.57,53.54,190.85,0.76,146.48,0.36,2.87,0.3,17.59,35.75,40.04,46.45,42.53,21.24,20-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Sep-2020 - 00:00,36.08,972.68,186.57,52.89,62.6,175.52,1.32,164.61,0.36,1.61,0.33,21.3,3.85,43.12,20.57,61.71,58.29,21-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
