from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,WS,WD,RH,RF,to date,station
23-May-2020 - 00:00,24.93,48.51,7.93,16.99,11.06,4.03,2.75,0.27,4.53,1.43,205.49,71.18,0.0,24-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-May-2020 - 00:00,16.89,35.08,5.61,10.68,6.54,4.33,2.77,0.01,5.91,1.66,207.34,69.25,0.0,25-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-May-2020 - 00:00,18.9,39.82,7.61,17.5,11.76,4.93,2.49,0.26,5.38,1.57,193.01,67.58,0.0,26-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
26-May-2020 - 00:00,20.21,44.79,8.58,22.25,15.68,4.94,2.5,0.38,4.63,1.39,189.8,68.6,0.0,27-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-May-2020 - 00:00,21.24,46.79,8.4,18.24,11.95,4.43,2.51,0.24,4.97,1.57,197.48,73.14,0.0,28-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-May-2020 - 00:00,20.06,44.19,9.87,17.86,10.6,4.56,2.6,0.26,6.18,1.63,202.55,66.8,0.0,29-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-May-2020 - 00:00,24.14,37.65,14.11,21.08,10.88,3.99,2.89,0.51,7.28,1.35,204.77,78.21,0.0,30-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
30-May-2020 - 00:00,19.3,30.45,11.35,20.97,12.61,3.97,3.1,0.48,5.3,1.51,187.98,77.32,0.0,31-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
31-May-2020 - 00:00,9.49,18.91,6.2,8.66,4.2,3.46,3.09,0.0,7.82,1.58,205.68,77.78,0.0,01-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-Jun-2020 - 00:00,15.6,23.07,10.67,22.77,14.8,3.39,3.38,0.39,4.45,1.42,220.91,83.83,0.0,02-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Jun-2020 - 00:00,13.36,17.43,9.21,23.01,15.99,3.12,3.55,0.3,4.28,1.22,226.54,87.18,0.0,03-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Jun-2020 - 00:00,18.18,23.93,10.0,24.39,16.81,3.18,2.7,0.3,4.2,1.15,225.68,86.31,0.0,04-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-Jun-2020 - 00:00,21.23,29.54,8.9,28.54,21.54,3.09,2.22,0.5,2.57,0.83,252.47,86.62,0.0,05-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-Jun-2020 - 00:00,21.96,34.29,9.05,29.37,22.22,3.14,2.19,0.61,2.86,0.65,225.24,83.94,0.0,06-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-Jun-2020 - 00:00,16.61,23.95,8.22,20.73,14.47,3.04,2.21,0.26,3.62,1.39,195.2,83.37,0.0,07-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-Jun-2020 - 00:00,13.77,21.58,6.4,10.08,5.43,3.48,2.21,0.0,7.1,1.19,190.22,78.75,0.0,08-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-Jun-2020 - 00:00,18.49,32.46,10.66,22.44,14.49,4.95,2.28,0.3,4.57,1.1,210.12,74.56,0.0,09-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-Jun-2020 - 00:00,21.23,34.15,8.38,20.97,14.58,4.66,2.65,0.25,4.62,1.21,202.28,74.5,0.0,10-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-Jun-2020 - 00:00,20.9,32.47,7.55,18.72,12.97,3.98,2.65,0.17,4.67,1.37,213.63,78.84,0.0,11-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-Jun-2020 - 00:00,22.59,41.29,8.06,29.26,22.78,3.87,1.64,0.5,3.37,0.93,185.37,78.48,0.0,12-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-Jun-2020 - 00:00,16.23,29.89,12.04,25.26,16.28,4.03,1.33,0.3,5.67,1.2,213.33,80.17,0.0,13-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-Jun-2020 - 00:00,14.75,26.46,8.44,23.9,17.37,3.67,1.33,0.27,3.66,0.89,235.38,85.37,0.0,14-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-Jun-2020 - 00:00,14.27,22.04,4.9,9.46,5.84,2.98,1.32,0.01,5.0,0.92,242.42,86.01,0.0,15-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-Jun-2020 - 00:00,17.21,32.26,8.43,34.87,27.93,3.94,1.78,0.57,3.5,0.85,207.96,80.15,0.0,16-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-Jun-2020 - 00:00,16.81,30.7,8.91,27.7,20.7,3.69,2.03,0.46,3.94,0.8,209.13,84.16,0.0,17-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-Jun-2020 - 00:00,11.59,34.42,8.11,30.33,23.82,3.6,2.37,0.43,3.07,0.74,225.69,83.31,0.0,18-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-Jun-2020 - 00:00,18.19,46.88,10.11,29.08,21.24,3.97,2.82,0.6,4.06,1.0,225.16,78.72,0.0,19-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-Jun-2020 - 00:00,15.82,42.82,5.98,32.91,27.66,4.04,2.81,0.39,2.51,0.8,200.62,77.94,0.0,20-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-Jun-2020 - 00:00,14.26,30.88,8.53,28.18,21.49,3.89,2.04,0.36,3.76,1.15,196.02,77.35,0.0,21-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-Jun-2020 - 00:00,8.57,16.05,4.32,12.38,9.02,3.31,1.76,0.01,4.08,0.86,226.78,89.94,0.0,22-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-Jun-2020 - 00:00,13.24,24.37,7.56,27.94,21.85,3.68,2.26,0.33,3.78,1.13,204.45,82.56,0.0,23-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
23-Jun-2020 - 00:00,19.18,41.75,7.2,31.7,25.75,4.07,2.69,0.44,3.57,0.91,181.55,79.17,0.0,24-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-Jun-2020 - 00:00,18.08,37.81,9.38,33.28,25.75,4.06,2.21,0.38,3.58,1.04,186.84,75.78,0.0,25-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-Jun-2020 - 00:00,14.37,31.7,9.31,26.47,19.28,3.69,2.22,0.27,4.2,1.24,186.87,77.17,0.0,26-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
26-Jun-2020 - 00:00,10.91,23.5,9.48,23.35,16.14,3.32,2.22,0.22,4.43,1.09,190.69,82.64,0.0,27-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-Jun-2020 - 00:00,10.12,20.89,7.53,26.77,20.74,3.33,2.11,0.25,3.76,0.81,202.57,87.86,0.0,28-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-Jun-2020 - 00:00,8.18,17.5,4.52,12.25,8.77,3.14,1.91,0.01,4.63,1.01,198.1,80.62,0.0,29-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-Jun-2020 - 00:00,13.55,28.92,6.82,33.32,27.63,3.61,1.92,0.36,3.53,1.25,198.94,83.39,0.0,30-Jun-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
30-Jun-2020 - 00:00,9.9,21.41,9.7,29.69,22.09,3.19,2.24,0.32,4.5,1.27,196.85,79.59,0.0,01-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-Jul-2020 - 00:00,13.28,24.54,6.66,30.18,24.58,3.54,2.51,0.16,2.11,1.08,202.42,83.43,0.0,02-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Jul-2020 - 00:00,12.49,22.77,6.74,37.48,31.55,3.89,2.65,0.5,1.85,0.81,218.31,87.94,0.0,03-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Jul-2020 - 00:00,7.45,22.37,6.76,36.33,30.46,4.06,2.57,0.42,2.05,0.82,217.5,90.69,0.0,04-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-Jul-2020 - 00:00,10.27,28.86,6.39,31.27,25.85,3.86,2.07,0.51,2.21,0.73,201.89,87.94,0.0,05-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-Jul-2020 - 00:00,9.75,30.68,4.22,15.47,12.07,3.46,2.07,0.09,2.69,1.07,174.13,84.72,0.0,06-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-Jul-2020 - 00:00,12.83,37.09,6.81,34.52,28.66,3.67,2.07,0.58,3.0,1.04,166.87,80.55,0.0,07-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-Jul-2020 - 00:00,10.89,24.71,6.66,40.08,34.13,3.36,2.77,0.44,2.65,0.89,250.36,90.01,0.0,08-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-Jul-2020 - 00:00,9.31,24.67,5.67,36.26,31.1,3.62,3.41,0.29,2.56,0.91,244.03,84.24,0.0,09-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-Jul-2020 - 00:00,13.71,34.43,5.42,30.5,25.73,3.66,3.77,0.19,2.63,1.19,219.52,80.74,0.0,10-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-Jul-2020 - 00:00,14.17,18.06,6.4,31.33,25.87,3.59,3.54,0.29,2.53,0.93,197.95,77.9,0.0,11-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-Jul-2020 - 00:00,11.41,14.17,7.22,27.53,21.66,3.42,3.53,0.23,3.41,1.11,176.47,80.58,0.0,12-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-Jul-2020 - 00:00,23.04,4.03,4.99,11.34,7.58,2.94,3.53,0.01,5.02,1.0,206.68,77.11,0.0,13-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-Jul-2020 - 00:00,3.59,14.98,7.47,31.09,24.95,3.5,3.18,0.29,3.69,1.44,212.4,81.81,0.0,14-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-Jul-2020 - 00:00,2.75,11.45,7.0,22.1,16.61,3.24,2.8,0.07,4.21,1.65,200.28,77.73,0.0,15-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-Jul-2020 - 00:00,16.57,25.71,5.71,32.1,27.07,3.35,3.36,0.21,2.84,0.85,194.99,84.16,0.0,16-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-Jul-2020 - 00:00,9.54,18.35,4.84,29.94,25.56,2.97,3.24,0.25,2.6,0.85,189.72,89.54,0.0,17-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-Jul-2020 - 00:00,10.91,20.47,6.35,36.73,31.1,3.05,2.07,0.44,2.62,0.9,227.44,92.23,0.0,18-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-Jul-2020 - 00:00,14.23,33.12,5.7,29.83,24.9,3.13,2.57,0.28,2.18,0.83,217.78,84.92,0.0,19-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-Jul-2020 - 00:00,10.95,17.54,2.96,10.42,8.05,2.92,3.09,0.0,4.64,1.0,187.24,80.93,0.0,20-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-Jul-2020 - 00:00,15.26,19.07,5.91,18.16,13.58,3.15,2.53,0.07,3.87,1.51,178.64,81.89,0.0,21-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-Jul-2020 - 00:00,12.26,42.33,6.38,21.93,16.84,3.57,2.5,0.09,3.47,1.11,178.49,77.63,0.0,22-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-Jul-2020 - 00:00,12.75,16.46,7.64,21.13,15.23,3.56,2.75,0.08,4.66,1.27,180.2,80.46,0.0,23-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
23-Jul-2020 - 00:00,11.52,14.89,6.79,18.21,13.01,3.23,2.66,0.05,5.02,1.46,182.98,81.14,0.0,24-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-Jul-2020 - 00:00,5.32,7.68,7.21,16.17,10.75,2.78,3.17,0.03,5.1,1.58,209.86,82.9,0.0,25-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-Jul-2020 - 00:00,13.02,41.26,7.52,17.73,12.05,3.18,2.83,0.08,3.86,1.14,221.12,80.72,0.0,26-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
26-Jul-2020 - 00:00,12.64,24.94,3.67,10.14,7.3,2.9,2.49,0.0,5.02,0.82,198.99,77.44,0.0,27-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-Jul-2020 - 00:00,11.82,27.04,6.56,24.31,19.01,3.63,3.03,0.13,4.53,1.16,198.94,74.87,0.0,28-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-Jul-2020 - 00:00,6.44,11.17,6.44,16.72,11.79,3.33,2.81,0.02,4.7,1.51,191.55,78.82,0.0,29-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-Jul-2020 - 00:00,6.55,9.72,5.55,21.58,17.06,2.91,2.17,0.06,2.57,1.29,204.18,91.05,0.0,30-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
30-Jul-2020 - 00:00,3.57,7.85,5.84,23.32,18.53,3.19,2.06,0.11,2.14,1.17,186.33,83.9,0.0,31-Jul-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
31-Jul-2020 - 00:00,58.5,,4.1,13.12,9.89,2.55,2.06,0.12,2.42,0.86,183.43,88.23,0.0,01-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-Aug-2020 - 00:00,10.6,32.73,5.04,12.16,8.34,2.55,2.93,0.14,2.95,1.27,189.14,83.22,0.0,02-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Aug-2020 - 00:00,0.69,16.42,3.38,11.03,8.35,2.62,3.52,0.13,2.53,0.93,221.9,89.31,0.0,03-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Aug-2020 - 00:00,5.86,39.74,4.44,24.63,20.73,2.9,3.14,0.13,2.01,1.0,188.22,87.36,0.0,04-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-Aug-2020 - 00:00,13.45,45.42,4.52,18.59,14.87,3.01,4.06,0.12,2.45,1.26,154.59,83.57,0.0,05-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-Aug-2020 - 00:00,8.33,14.15,5.21,23.0,18.65,2.94,3.97,0.29,2.23,1.36,168.21,87.85,0.0,06-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-Aug-2020 - 00:00,8.87,17.94,4.32,20.23,16.6,2.98,2.22,0.12,2.17,1.22,145.8,85.86,0.0,07-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-Aug-2020 - 00:00,2.2,7.15,5.55,16.29,11.97,2.71,2.64,0.04,4.11,1.45,148.01,89.34,0.0,08-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-Aug-2020 - 00:00,5.32,22.85,5.87,15.45,10.95,2.74,2.56,0.09,4.09,1.33,224.61,93.35,0.0,09-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-Aug-2020 - 00:00,3.62,8.33,3.71,10.26,7.4,2.79,2.79,0.0,5.46,0.86,197.94,93.27,0.0,10-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-Aug-2020 - 00:00,5.31,16.49,7.89,24.85,18.69,3.34,2.39,0.26,4.42,0.76,195.17,85.26,0.0,11-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-Aug-2020 - 00:00,4.74,18.62,6.77,23.26,17.86,3.17,2.28,0.15,3.7,0.87,192.39,87.62,0.0,12-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-Aug-2020 - 00:00,8.18,27.23,6.81,21.58,16.24,2.84,2.79,0.1,3.7,0.87,201.98,83.15,0.0,13-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-Aug-2020 - 00:00,6.36,22.65,6.03,17.94,13.24,2.7,3.19,0.04,3.44,1.0,163.36,80.49,0.0,14-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-Aug-2020 - 00:00,3.76,15.14,6.41,21.56,16.47,2.85,3.52,0.14,3.4,0.99,153.83,79.77,0.0,15-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-Aug-2020 - 00:00,4.58,16.32,5.72,17.92,13.43,3.03,3.53,0.02,3.84,1.36,128.29,79.19,0.0,16-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-Aug-2020 - 00:00,7.53,26.9,5.62,12.21,8.0,3.24,2.2,0.0,5.02,0.91,164.03,76.45,0.0,17-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-Aug-2020 - 00:00,8.44,31.35,7.18,29.28,23.41,3.78,3.15,0.36,3.26,1.07,202.9,81.65,0.0,18-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-Aug-2020 - 00:00,8.98,28.24,6.05,27.39,22.35,3.43,2.39,0.19,3.02,0.98,215.1,83.34,0.0,19-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-Aug-2020 - 00:00,5.35,52.6,6.32,25.21,20.05,3.18,2.39,0.12,3.48,1.17,221.83,80.28,0.0,20-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-Aug-2020 - 00:00,5.33,28.79,6.44,28.91,23.59,3.26,2.58,0.19,2.72,0.8,215.02,83.17,0.0,21-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-Aug-2020 - 00:00,6.73,42.01,6.03,29.79,24.65,3.18,3.03,0.4,2.7,0.7,193.04,81.92,0.0,22-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-Aug-2020 - 00:00,5.7,24.35,5.42,24.8,20.24,2.97,3.37,0.18,2.94,1.19,197.58,77.71,0.0,23-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
23-Aug-2020 - 00:00,3.51,18.9,4.14,12.06,8.83,2.59,2.94,0.01,4.01,1.21,204.29,75.5,0.0,24-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-Aug-2020 - 00:00,7.65,24.87,4.98,26.07,21.76,3.0,2.75,0.23,2.73,1.19,195.54,74.73,0.0,25-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-Aug-2020 - 00:00,7.86,26.99,5.89,23.09,18.28,3.23,2.83,0.15,3.62,1.54,200.17,74.56,0.0,26-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
26-Aug-2020 - 00:00,6.13,25.55,7.84,22.69,16.61,3.0,2.94,0.11,4.26,1.6,196.77,77.91,0.0,27-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-Aug-2020 - 00:00,5.15,17.21,7.95,26.54,20.24,3.32,3.17,0.17,3.91,1.36,184.48,76.99,0.0,28-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-Aug-2020 - 00:00,4.18,12.95,6.11,29.9,24.7,3.53,3.37,0.27,2.96,1.28,196.07,75.55,0.0,29-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-Aug-2020 - 00:00,4.4,17.36,5.56,38.12,33.03,3.74,3.07,0.47,3.16,1.22,185.2,74.95,0.0,30-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
30-Aug-2020 - 00:00,6.89,31.71,5.62,20.25,15.73,3.2,2.06,0.09,4.0,1.32,170.57,75.27,0.0,31-Aug-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
31-Aug-2020 - 00:00,3.1,4.3,4.14,13.61,10.34,2.9,2.06,0.0,4.04,1.27,184.89,76.38,0.0,01-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-Sep-2020 - 00:00,1.6,13.1,6.95,19.86,14.47,2.94,2.06,0.03,4.42,1.51,194.47,76.8,0.0,02-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Sep-2020 - 00:00,9.41,19.73,7.79,24.29,18.17,3.1,2.95,0.25,2.55,1.12,213.49,81.78,0.0,03-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Sep-2020 - 00:00,3.32,11.1,9.8,21.17,13.85,3.19,2.87,0.16,3.86,1.34,166.35,79.48,0.0,04-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-Sep-2020 - 00:00,4.46,17.8,8.81,23.55,16.79,3.08,2.06,0.19,3.62,1.29,198.8,77.89,0.0,05-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-Sep-2020 - 00:00,5.72,16.86,8.11,23.98,17.66,3.03,2.06,0.25,3.3,1.27,186.6,78.27,0.0,06-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-Sep-2020 - 00:00,4.76,67.03,5.78,11.8,7.5,2.52,2.07,0.0,4.12,1.78,190.12,83.04,0.0,07-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-Sep-2020 - 00:00,4.63,68.38,6.96,28.96,23.21,2.75,2.52,0.26,2.78,1.42,182.71,86.52,0.0,08-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-Sep-2020 - 00:00,6.98,22.54,7.92,28.78,22.41,2.97,2.58,0.28,2.53,1.25,206.21,82.4,0.0,09-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-Sep-2020 - 00:00,2.21,21.05,7.44,27.4,21.39,2.67,2.06,0.25,2.57,1.22,191.75,85.47,0.0,10-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-Sep-2020 - 00:00,40.65,33.74,8.26,31.62,24.91,2.79,2.25,0.32,2.86,0.92,224.77,90.25,0.0,11-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-Sep-2020 - 00:00,4.42,8.13,6.89,36.99,30.99,2.83,2.5,0.27,2.25,0.87,220.22,94.54,0.0,12-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-Sep-2020 - 00:00,4.75,14.44,6.6,39.49,33.59,2.69,2.5,0.38,2.13,0.79,247.17,93.63,0.0,13-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-Sep-2020 - 00:00,4.58,14.63,4.07,22.1,18.54,2.54,2.5,0.17,2.0,0.46,194.37,93.06,0.0,14-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-Sep-2020 - 00:00,6.24,20.48,5.55,41.36,36.08,3.17,2.81,0.64,1.92,0.8,203.74,84.23,0.0,15-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-Sep-2020 - 00:00,5.06,22.91,7.77,42.99,36.17,3.13,2.14,0.6,1.67,0.88,191.86,81.11,0.0,16-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-Sep-2020 - 00:00,4.81,22.15,6.63,36.18,30.37,2.88,2.47,0.38,2.51,1.0,187.64,81.8,0.0,17-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-Sep-2020 - 00:00,3.76,13.91,4.07,34.85,30.81,2.97,2.64,0.29,1.94,0.98,193.37,83.02,0.0,18-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-Sep-2020 - 00:00,4.37,9.44,6.26,27.81,22.58,2.8,2.7,0.29,2.49,1.49,219.55,85.24,0.0,19-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-Sep-2020 - 00:00,7.09,13.39,4.8,34.39,29.9,2.61,3.03,0.73,2.63,1.13,194.83,93.59,0.0,20-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-Sep-2020 - 00:00,5.01,10.98,5.6,13.6,9.36,2.36,2.65,0.02,3.23,1.15,207.1,90.84,0.0,21-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-Sep-2020 - 00:00,8.5,19.33,3.29,32.7,29.25,2.85,2.88,0.38,2.25,0.96,169.74,87.14,0.0,22-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-Sep-2020 - 00:00,8.73,19.9,5.51,34.79,29.79,3.21,3.31,0.42,2.39,1.02,179.65,80.58,0.0,23-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
23-Sep-2020 - 00:00,10.34,21.89,4.93,37.12,32.42,3.27,3.86,0.55,2.48,0.86,194.81,81.52,0.0,24-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-Sep-2020 - 00:00,7.14,16.61,5.82,31.92,26.82,3.32,3.48,0.29,2.22,0.87,205.85,79.39,0.0,25-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-Sep-2020 - 00:00,7.46,34.39,4.7,27.66,23.47,3.15,3.08,0.16,2.38,0.76,193.15,78.13,0.0,26-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
26-Sep-2020 - 00:00,9.3,21.53,4.71,30.48,26.18,3.28,2.2,0.25,2.33,0.62,202.19,79.88,0.0,27-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-Sep-2020 - 00:00,5.36,15.99,3.85,13.75,10.66,3.1,2.2,0.0,2.69,1.06,209.01,75.51,0.0,28-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-Sep-2020 - 00:00,9.38,21.21,6.94,21.93,16.47,3.36,2.21,0.35,2.74,1.35,201.17,73.89,0.0,29-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-Sep-2020 - 00:00,7.72,22.04,6.03,24.01,19.07,3.17,2.2,0.43,2.39,1.15,185.77,80.53,0.0,30-Sep-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
30-Sep-2020 - 00:00,7.3,27.0,6.26,26.02,20.86,3.18,2.41,0.49,2.58,0.95,183.51,80.9,0.0,01-Oct-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-Oct-2020 - 00:00,6.28,15.21,6.12,23.31,18.34,3.49,2.5,0.5,2.51,1.17,203.11,77.85,0.0,02-Oct-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Oct-2020 - 00:00,7.08,15.15,5.66,21.46,16.87,3.44,2.49,0.43,2.58,1.0,208.41,76.68,0.0,03-Oct-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Oct-2020 - 00:00,5.3,19.17,6.57,19.91,14.78,3.2,2.49,0.36,3.2,0.9,199.01,72.55,0.0,04-Oct-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
