from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
22-Aug-2020 - 00:00,34.32,978.46,40.85,12.88,67.0,207.22,40.82,2.16,3.36,16.49,19.79,10.59,17.06,17.71,28.48,22.03,0.74,23-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Aug-2020 - 00:00,33.71,977.09,36.0,15.27,70.74,126.18,43.81,2.02,2.14,9.76,19.57,8.22,17.32,15.92,32.17,23.46,0.72,24-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Aug-2020 - 00:00,33.69,977.46,33.72,14.11,71.06,128.05,68.22,1.19,1.99,14.09,18.78,9.95,21.33,19.46,32.88,21.82,0.68,25-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Aug-2020 - 00:00,34.15,979.33,38.04,13.83,69.82,134.45,108.9,0.71,2.0,13.04,18.24,11.58,22.92,21.64,30.75,17.97,0.63,26-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Aug-2020 - 00:00,34.52,980.44,46.9,13.6,67.29,160.88,157.62,0.92,2.46,17.67,18.75,10.76,23.63,21.33,31.2,19.63,0.68,27-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Aug-2020 - 00:00,34.79,979.82,51.9,17.17,66.83,171.99,139.18,0.57,2.92,32.43,18.47,12.55,22.75,22.34,33.38,20.43,0.85,28-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Aug-2020 - 00:00,33.26,978.23,79.56,35.0,75.92,88.68,105.03,0.64,5.85,38.16,21.14,31.21,29.24,41.0,30.67,20.8,0.86,29-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Aug-2020 - 00:00,34.29,977.67,83.49,42.53,70.54,184.71,43.93,0.98,3.75,25.76,22.1,16.46,23.66,26.01,41.96,18.83,0.94,30-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Aug-2020 - 00:00,33.22,977.56,51.99,24.04,70.55,116.27,45.02,2.12,2.12,9.16,21.92,10.23,16.62,17.18,27.64,15.22,0.59,31-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Aug-2020 - 00:00,33.65,979.63,28.84,9.28,68.4,137.88,100.68,0.65,1.16,9.34,20.95,10.26,20.06,19.04,25.38,11.84,0.55,01-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Sep-2020 - 00:00,34.65,980.93,39.02,12.98,64.18,190.73,139.42,0.69,1.61,9.82,19.92,10.91,22.51,20.87,28.13,13.22,0.62,02-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Sep-2020 - 00:00,34.81,982.95,61.35,22.9,65.29,153.83,119.71,0.78,1.95,13.08,19.63,9.53,26.24,21.72,46.85,15.11,0.76,03-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Sep-2020 - 00:00,34.83,983.63,69.84,32.25,67.0,167.46,55.94,1.07,2.35,27.82,20.09,8.42,23.4,19.31,39.33,16.84,0.8,04-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Sep-2020 - 00:00,35.2,982.28,70.0,39.27,66.17,167.82,97.62,0.74,2.82,19.73,21.51,9.03,25.96,21.17,39.45,17.26,0.84,05-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Sep-2020 - 00:00,34.03,980.52,79.74,41.62,71.81,147.28,114.76,0.74,4.54,33.02,21.08,13.79,29.48,26.93,47.41,17.14,0.87,06-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Sep-2020 - 00:00,34.04,979.67,59.34,32.21,71.8,155.96,125.2,0.43,2.19,18.64,20.61,10.49,25.88,22.33,45.07,13.62,0.8,07-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Sep-2020 - 00:00,33.83,980.15,95.45,54.2,73.4,103.59,123.63,0.61,4.98,27.79,20.81,16.26,29.73,29.06,32.33,16.83,0.93,08-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Sep-2020 - 00:00,34.83,981.35,59.63,29.2,66.57,264.63,177.26,0.61,2.16,15.39,21.31,10.97,23.88,21.65,36.59,11.39,0.62,09-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Sep-2020 - 00:00,36.52,980.34,96.41,46.24,60.92,264.04,172.13,0.31,2.77,21.21,22.34,7.98,22.24,18.34,45.58,16.34,0.86,10-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Sep-2020 - 00:00,35.31,978.25,105.3,50.35,64.96,191.99,149.1,0.56,2.91,23.17,21.59,8.83,25.71,20.88,40.59,14.75,0.88,11-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Sep-2020 - 00:00,35.68,978.81,136.73,53.31,61.58,190.48,116.96,0.44,3.65,26.65,21.76,12.22,28.94,25.36,44.86,18.71,0.92,12-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Sep-2020 - 00:00,35.61,981.4,139.61,56.56,61.61,189.14,76.09,0.59,3.32,31.47,22.82,13.81,26.18,25.18,48.36,20.8,0.84,13-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Sep-2020 - 00:00,35.5,981.34,131.88,58.27,64.08,165.87,66.54,0.67,2.58,16.14,24.6,8.37,24.61,19.92,48.84,16.35,0.87,14-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Sep-2020 - 00:00,35.42,980.24,156.83,69.12,64.89,137.97,85.87,0.43,3.86,34.92,23.96,9.93,27.4,22.67,45.81,18.17,0.95,15-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Sep-2020 - 00:00,35.69,979.66,142.7,64.29,63.11,154.29,116.02,0.32,3.61,31.69,23.89,9.5,27.26,22.25,55.01,21.33,0.86,16-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Sep-2020 - 00:00,36.14,979.29,152.39,62.67,61.97,167.71,164.78,0.49,3.93,25.62,24.39,8.8,27.99,22.06,47.81,19.25,0.9,17-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Sep-2020 - 00:00,36.46,978.8,114.84,43.75,59.69,176.83,178.86,0.52,2.59,20.63,23.62,7.74,25.03,19.63,42.58,20.01,0.79,18-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Sep-2020 - 00:00,36.78,977.87,118.07,39.52,58.66,174.35,184.72,0.69,3.45,23.9,22.72,8.34,23.16,19.12,37.14,17.74,0.77,19-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Sep-2020 - 00:00,36.05,978.25,130.41,54.79,61.42,164.68,114.53,0.52,2.44,19.37,21.99,7.74,25.49,19.87,46.31,17.66,0.84,20-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Sep-2020 - 00:00,35.73,977.65,154.0,66.65,62.23,163.46,137.9,0.41,2.86,19.92,21.85,8.03,24.89,19.78,48.71,19.74,0.83,21-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Sep-2020 - 00:00,35.86,976.63,169.18,66.83,61.07,130.96,106.02,0.42,4.27,25.55,22.43,7.29,27.19,20.4,56.5,23.44,0.92,22-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Sep-2020 - 00:00,35.76,977.09,108.65,25.28,61.73,147.91,56.58,0.87,4.01,19.95,24.14,8.64,27.86,21.86,34.16,17.44,0.9,23-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Sep-2020 - 00:00,35.4,977.23,70.47,21.71,61.33,145.44,62.78,0.93,2.61,15.09,26.3,8.8,26.66,21.36,30.88,8.21,0.75,24-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Sep-2020 - 00:00,34.76,979.44,102.17,42.38,63.47,147.91,86.27,0.67,2.78,20.09,23.72,9.53,30.1,23.78,39.14,12.18,0.85,25-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Sep-2020 - 00:00,35.06,978.61,150.46,57.85,60.32,161.94,153.35,0.71,3.75,24.17,22.78,10.31,34.65,26.84,42.63,12.8,0.93,26-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Sep-2020 - 00:00,33.63,978.76,169.83,57.31,60.7,104.13,146.98,0.77,4.78,35.94,21.84,14.16,38.57,32.06,20.15,8.11,0.81,27-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Sep-2020 - 00:00,33.93,981.39,119.81,38.12,56.75,170.07,156.5,0.67,2.34,24.73,21.9,13.78,32.83,28.7,30.0,9.13,0.79,28-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Sep-2020 - 00:00,34.39,982.46,209.88,58.15,56.59,166.59,154.42,0.41,3.3,25.62,23.27,15.18,34.68,30.82,34.02,9.42,0.83,29-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Sep-2020 - 00:00,34.25,982.05,210.45,66.38,58.61,157.61,194.01,0.5,3.42,23.28,27.62,7.39,29.36,21.61,45.18,11.26,0.83,30-Sep-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Sep-2020 - 00:00,34.03,980.94,180.21,54.1,55.05,165.53,183.3,0.57,3.08,18.4,27.37,6.64,29.02,20.86,42.94,10.7,0.76,01-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Oct-2020 - 00:00,34.06,980.4,195.18,60.52,54.87,161.05,166.83,0.54,3.42,38.7,24.6,10.36,33.66,26.35,37.79,12.12,0.9,02-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Oct-2020 - 00:00,33.8,981.05,208.5,80.12,57.11,157.56,134.28,0.6,3.99,26.65,25.62,10.31,33.08,25.94,50.98,9.89,0.87,03-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Oct-2020 - 00:00,33.25,982.1,191.5,81.88,56.04,155.71,136.77,0.41,4.86,23.69,25.21,7.71,35.13,24.97,48.12,14.95,0.87,04-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Oct-2020 - 00:00,32.85,983.31,203.29,81.67,54.72,151.47,144.89,0.36,4.09,25.93,24.29,11.0,38.84,29.63,51.75,14.69,0.85,05-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Oct-2020 - 00:00,32.96,982.75,202.56,73.83,52.35,154.57,171.15,0.41,4.02,33.52,24.55,10.35,39.92,29.58,48.43,12.25,0.87,06-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Oct-2020 - 00:00,32.59,983.24,218.31,82.52,54.72,154.98,136.54,0.46,4.7,48.53,23.18,18.26,45.11,38.63,42.32,16.89,0.99,07-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Oct-2020 - 00:00,32.9,985.09,236.34,99.25,53.91,143.15,149.3,0.44,5.33,35.81,23.19,30.69,45.19,49.04,51.07,17.89,0.97,08-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Oct-2020 - 00:00,33.06,985.37,223.56,90.56,53.48,135.89,155.91,0.45,5.1,31.16,25.54,,,,57.47,22.01,0.93,09-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Oct-2020 - 00:00,32.83,985.51,231.06,95.88,54.23,125.19,129.36,0.44,5.86,37.2,27.82,6.06,44.67,28.7,44.75,21.45,0.99,10-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Oct-2020 - 00:00,32.94,984.26,227.23,100.31,55.63,126.88,140.76,0.4,4.73,31.7,28.02,12.5,41.08,32.04,52.44,20.5,0.98,11-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Oct-2020 - 00:00,32.85,982.38,225.85,104.85,54.92,121.99,146.63,0.34,4.49,33.26,28.22,14.22,39.37,32.54,49.24,24.62,1.02,12-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Oct-2020 - 00:00,32.5,981.04,333.33,157.04,55.15,107.15,114.61,0.34,7.06,57.2,28.54,69.11,73.26,95.31,54.62,20.84,1.65,13-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Oct-2020 - 00:00,32.93,981.91,310.25,159.81,60.4,92.01,66.8,0.56,9.05,59.04,34.46,148.35,48.15,146.6,52.79,16.2,1.44,14-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Oct-2020 - 00:00,32.84,983.4,289.4,158.88,60.72,84.15,62.53,0.54,8.58,33.52,41.77,,,,38.3,12.99,1.45,15-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Oct-2020 - 00:00,32.87,983.9,311.12,163.22,49.2,109.64,118.46,0.39,6.78,47.87,34.66,,,,40.88,21.86,1.13,16-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Oct-2020 - 00:00,31.41,983.71,284.9,135.0,46.49,104.4,108.77,0.41,6.55,64.19,27.93,,,,50.22,20.98,1.34,17-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Oct-2020 - 00:00,31.18,984.52,294.27,151.17,50.91,96.53,107.26,0.43,7.76,68.0,26.62,20.61,51.89,44.42,42.91,21.37,1.24,18-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Oct-2020 - 00:00,31.44,984.36,235.0,116.33,46.9,104.77,167.34,0.44,3.73,30.97,20.34,13.59,41.06,32.93,40.84,24.39,0.97,19-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Oct-2020 - 00:00,31.19,984.06,271.0,139.04,45.23,107.04,163.88,0.4,4.33,32.12,20.34,16.1,43.36,36.19,47.87,25.94,1.0,20-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Oct-2020 - 00:00,30.56,983.8,263.62,124.81,45.84,106.54,138.89,0.39,4.58,51.76,17.88,33.26,44.67,50.87,41.63,26.36,1.41,21-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Oct-2020 - 00:00,30.81,984.84,291.5,132.62,49.6,101.87,97.15,0.47,9.09,96.87,42.54,124.25,45.58,125.56,34.92,18.24,1.98,22-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Oct-2020 - 00:00,30.5,983.59,419.59,186.22,50.31,73.97,76.7,0.4,10.38,102.87,38.3,111.37,58.04,121.43,35.22,25.77,1.88,23-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Oct-2020 - 00:00,29.59,983.35,425.24,167.1,53.13,95.26,80.21,0.44,7.51,83.74,34.73,83.87,50.96,95.49,40.4,23.41,1.78,24-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Oct-2020 - 00:00,29.42,984.32,381.84,196.05,55.89,94.97,125.7,0.44,8.66,87.29,42.04,82.22,51.39,94.37,18.1,23.04,2.21,25-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Oct-2020 - 00:00,29.7,986.66,376.22,210.18,56.33,94.3,113.72,0.44,9.6,91.23,44.82,109.8,52.78,117.6,27.01,22.4,2.29,26-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Oct-2020 - 00:00,30.04,987.98,377.96,209.48,52.5,84.78,141.03,0.31,8.02,79.38,43.08,76.45,48.04,87.87,26.31,22.93,1.79,27-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Oct-2020 - 00:00,28.78,987.89,303.33,178.48,49.77,95.6,158.8,0.53,5.44,58.68,38.87,26.39,40.71,43.11,26.71,21.33,1.39,28-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Oct-2020 - 00:00,28.04,988.61,356.0,200.67,53.4,85.1,133.28,0.47,8.81,85.78,30.52,90.65,65.54,108.77,28.35,23.6,1.7,29-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Oct-2020 - 00:00,28.05,989.55,448.27,160.45,57.77,78.83,98.1,0.38,8.38,101.74,20.12,118.7,119.85,156.39,44.37,24.03,2.4,30-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Oct-2020 - 00:00,28.86,989.08,391.27,154.46,53.03,86.0,149.05,0.36,8.11,75.65,17.74,55.19,88.32,91.96,49.41,25.57,1.69,31-Oct-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Oct-2020 - 00:00,28.79,988.96,413.04,132.25,49.38,89.12,170.83,0.59,5.66,33.27,15.04,6.33,66.04,40.15,57.72,30.83,1.53,01-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Nov-2020 - 00:00,27.86,989.62,433.05,139.3,47.31,86.35,154.15,0.56,6.54,41.77,12.41,20.65,70.82,54.13,55.29,30.86,1.59,02-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Nov-2020 - 00:00,27.1,990.29,349.49,182.44,49.74,80.34,149.94,0.55,6.58,61.56,9.43,59.79,68.91,85.4,46.29,27.47,2.15,03-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Nov-2020 - 00:00,27.21,989.69,327.74,164.34,51.15,84.14,116.92,0.43,8.16,107.95,9.99,122.13,81.71,143.02,32.97,25.43,2.12,04-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Nov-2020 - 00:00,26.8,988.49,587.61,247.52,57.03,75.76,141.88,0.6,11.06,125.14,15.12,91.84,98.41,127.22,21.81,27.05,2.43,05-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Nov-2020 - 00:00,29.41,990.32,487.04,187.11,50.28,101.38,143.87,0.6,10.23,91.75,12.22,84.66,82.02,111.16,35.52,35.05,2.21,06-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Nov-2020 - 00:00,27.4,992.39,483.58,202.86,55.53,75.31,146.44,0.51,9.98,109.0,12.83,84.69,80.17,111.69,31.49,32.1,2.0,07-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Nov-2020 - 00:00,27.4,993.25,547.42,181.89,54.86,78.09,162.32,0.54,9.03,79.57,13.43,62.19,74.59,87.11,39.74,28.35,2.42,08-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Nov-2020 - 00:00,26.52,993.9,566.02,268.5,58.92,67.88,129.47,0.4,10.24,92.44,12.84,89.88,83.16,112.81,35.09,30.53,2.42,09-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Nov-2020 - 00:00,26.32,992.36,753.97,,64.59,63.48,131.82,0.4,11.83,101.7,15.72,72.75,96.93,109.6,29.52,28.1,2.41,10-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Nov-2020 - 00:00,26.4,991.36,464.67,194.4,67.94,71.06,78.6,0.42,11.96,113.64,15.69,91.52,84.76,118.1,42.24,34.11,3.12,11-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Nov-2020 - 00:00,26.72,993.22,416.21,142.63,66.08,96.96,54.58,0.63,8.19,94.09,14.9,167.26,65.93,171.43,31.47,29.4,2.48,12-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Nov-2020 - 00:00,27.02,994.39,400.48,162.0,64.61,96.67,78.5,0.38,7.56,92.67,20.95,165.4,81.17,178.02,43.08,23.65,2.29,13-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Nov-2020 - 00:00,26.95,992.89,459.81,156.6,64.27,101.26,116.78,0.47,10.14,104.76,23.93,137.55,95.5,162.94,50.53,18.83,1.64,14-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Nov-2020 - 00:00,26.11,990.67,680.83,574.13,65.97,82.55,93.14,0.39,10.49,54.58,26.09,51.09,112.29,101.38,56.88,30.78,2.15,15-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Nov-2020 - 00:00,27.11,990.06,372.95,321.62,64.47,84.71,62.37,0.66,5.84,28.62,26.52,37.39,74.44,70.09,85.27,45.99,1.08,16-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Nov-2020 - 00:00,27.09,991.84,145.23,112.96,69.86,76.09,85.53,0.91,3.26,17.08,20.34,10.1,45.67,32.52,44.03,18.03,0.77,17-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Nov-2020 - 00:00,26.57,990.11,145.65,89.77,65.06,110.71,143.1,0.42,4.06,19.14,20.11,15.78,55.09,42.16,31.22,20.17,0.74,18-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Nov-2020 - 00:00,25.55,989.08,208.48,139.41,61.63,107.85,138.26,0.4,4.04,31.52,18.08,15.68,64.8,47.26,52.41,18.57,1.03,19-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Nov-2020 - 00:00,24.98,989.62,267.98,169.33,59.61,108.63,90.32,0.44,4.98,38.26,17.67,28.84,77.58,64.78,52.42,20.95,1.06,20-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Nov-2020 - 00:00,25.09,991.03,264.08,179.92,55.54,113.97,169.58,0.43,4.91,27.64,15.26,11.38,66.77,44.79,55.93,23.73,0.85,21-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Nov-2020 - 00:00,24.48,991.41,224.52,137.19,53.12,114.12,169.7,0.46,3.96,26.83,15.6,16.22,60.74,45.52,53.64,24.11,0.91,22-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Nov-2020 - 00:00,23.77,991.96,272.52,172.83,54.44,103.24,167.84,0.48,5.6,45.4,15.5,39.41,71.73,70.28,41.41,23.22,1.36,23-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Nov-2020 - 00:00,23.65,992.4,429.38,265.06,60.19,99.21,103.54,0.4,8.86,78.81,17.84,132.82,99.71,161.32,44.0,23.82,2.39,24-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Nov-2020 - 00:00,23.73,991.94,482.46,330.06,62.69,78.68,89.85,0.37,10.15,70.29,22.26,118.12,109.77,154.68,47.64,20.37,2.41,25-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Nov-2020 - 00:00,24.81,992.3,521.7,382.23,65.03,50.44,59.11,0.7,11.99,47.19,26.43,64.1,96.11,103.37,57.39,29.55,1.49,26-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Nov-2020 - 00:00,27.51,994.83,200.82,121.1,56.13,131.78,180.9,0.47,2.45,20.03,11.24,7.08,43.86,29.09,37.0,16.31,1.78,27-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Nov-2020 - 00:00,25.51,996.12,157.21,97.89,60.58,105.69,176.01,0.6,2.5,29.34,10.54,9.62,50.46,34.68,29.28,16.89,1.95,28-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Nov-2020 - 00:00,25.01,994.97,207.31,142.5,57.59,105.22,159.23,0.8,3.63,24.88,12.51,14.61,60.75,44.22,39.55,19.44,1.63,29-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Nov-2020 - 00:00,24.14,993.73,287.77,183.71,59.91,100.92,154.0,0.49,7.87,55.23,13.48,57.24,68.74,83.23,48.73,21.06,2.76,30-Nov-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Nov-2020 - 00:00,24.08,992.75,343.94,236.94,64.21,95.43,153.76,0.52,7.56,70.78,14.76,80.44,76.74,106.39,42.05,18.98,2.63,01-Dec-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Dec-2020 - 00:00,20.85,992.4,500.0,373.0,83.65,1.3,108.05,0.35,11.9,165.1,16.1,221.45,91.25,229.1,4.4,24.85,5.05,02-Dec-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
