from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,BP,SR,WS,WD,to date,station
11-Mar-2020 - 00:00,27.15,113.45,18.07,4.37,22.43,6.91,13.56,0.58,61.23,0.0,0.0,0.0,29.3,,332.97,0.99,184.42,12-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Mar-2020 - 00:00,34.36,122.39,19.01,8.32,27.3,4.21,18.9,0.71,49.1,0.66,1.86,0.6,26.22,,220.36,0.73,173.54,13-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Mar-2020 - 00:00,37.22,145.65,22.6,6.16,28.76,3.66,16.92,0.76,80.66,1.48,4.21,1.23,26.33,,272.05,0.66,164.52,14-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Mar-2020 - 00:00,48.1,155.14,24.29,5.06,29.34,4.02,23.88,0.83,95.69,1.91,5.59,1.65,27.92,,296.93,0.66,170.18,15-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Mar-2020 - 00:00,77.14,220.29,32.07,23.01,55.08,4.68,27.12,1.39,78.06,4.07,12.26,3.75,28.84,,219.63,0.63,150.23,16-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Mar-2020 - 00:00,79.8,239.57,32.66,21.18,53.78,5.89,28.19,1.58,81.58,4.77,14.07,4.28,31.51,,246.29,0.63,170.69,17-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Mar-2020 - 00:00,102.53,275.78,35.01,31.99,67.0,8.61,37.39,2.1,76.29,6.15,15.41,4.76,31.18,,260.32,0.6,158.52,18-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Mar-2020 - 00:00,84.83,205.81,30.25,18.44,48.68,10.34,33.76,1.43,71.67,4.25,11.25,3.53,31.66,,268.98,0.65,161.01,19-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Mar-2020 - 00:00,61.39,151.09,26.7,11.37,37.93,8.28,33.15,0.93,70.49,2.21,4.66,1.7,29.93,,293.15,0.69,171.46,20-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Mar-2020 - 00:00,48.18,127.0,19.3,6.82,26.12,7.38,24.76,0.82,53.78,1.94,3.99,1.47,28.43,,297.53,0.69,174.42,21-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
