from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,to date,station
31-May-2020 - 00:00,28.07,49.05,2.85,4.78,4.33,,4.85,0.44,67.54,12.03,1.03,0.55,0.11,29.16,1.26,170.04,25.26,75.49,,252.99,01-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
01-Jun-2020 - 00:00,43.87,98.39,2.85,4.78,4.33,,4.96,0.57,65.62,12.13,1.21,0.55,0.13,25.58,0.7,110.34,26.67,73.78,,417.48,02-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
02-Jun-2020 - 00:00,67.09,244.45,2.93,7.41,7.56,,3.6,0.67,59.1,9.5,1.37,0.54,0.13,19.07,0.79,178.95,29.26,61.19,,410.11,03-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
03-Jun-2020 - 00:00,53.98,103.79,3.0,9.92,10.64,,4.46,0.67,45.31,10.02,2.38,0.6,0.14,19.84,0.8,145.12,29.43,59.54,,368.15,04-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
04-Jun-2020 - 00:00,62.31,127.84,2.92,9.58,9.96,,4.77,0.77,50.19,10.57,2.55,0.6,0.13,20.78,0.86,128.76,27.75,67.6,,192.07,05-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
05-Jun-2020 - 00:00,47.99,76.55,2.97,9.05,9.58,,5.03,0.76,40.43,12.63,2.25,0.71,0.15,27.27,0.78,137.64,27.52,67.7,,354.89,06-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
06-Jun-2020 - 00:00,45.74,81.07,2.97,9.05,9.57,,4.56,0.67,55.21,12.71,1.78,0.73,0.14,27.63,1.02,104.06,28.87,65.14,,365.92,07-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
07-Jun-2020 - 00:00,59.23,92.94,2.97,9.05,9.57,,6.61,0.67,51.92,12.67,1.56,0.67,0.14,26.7,0.76,117.69,28.12,70.81,,346.86,08-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
08-Jun-2020 - 00:00,53.95,88.1,2.97,9.05,9.57,,6.62,0.66,52.14,12.69,1.75,0.72,0.15,25.88,0.72,164.72,30.28,62.26,,438.35,09-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
09-Jun-2020 - 00:00,70.48,140.63,2.97,9.05,9.57,,4.57,0.74,49.19,11.81,1.88,0.77,0.16,24.95,0.7,158.86,32.68,56.36,,426.15,10-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
10-Jun-2020 - 00:00,58.76,118.51,2.97,9.05,9.58,,2.13,0.71,50.2,11.34,1.99,0.81,0.17,23.47,0.73,168.43,32.85,55.43,,399.97,11-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
11-Jun-2020 - 00:00,52.86,93.28,2.97,9.05,9.58,,1.43,0.6,52.01,10.4,1.8,0.76,0.16,21.1,0.64,178.0,32.82,57.53,,426.8,12-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
12-Jun-2020 - 00:00,79.82,138.26,2.97,9.05,9.57,,4.46,0.75,62.45,8.26,1.49,0.63,0.13,17.91,0.85,116.17,33.78,55.0,,388.57,13-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
13-Jun-2020 - 00:00,68.12,128.03,2.97,9.05,9.58,,6.9,0.71,50.32,8.3,1.08,0.52,0.11,16.69,0.97,149.88,30.88,63.16,,217.33,14-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
14-Jun-2020 - 00:00,81.95,150.66,2.97,8.96,9.58,,5.2,0.76,54.97,8.55,1.27,0.61,0.13,17.1,0.73,92.45,31.18,68.28,,398.74,15-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
15-Jun-2020 - 00:00,59.3,106.13,2.97,9.05,9.58,,2.82,0.68,49.77,7.89,1.37,0.6,0.12,16.45,0.76,192.98,,,,,16-Jun-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
