from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
07-Mar-2020 - 00:00,81.58,38.51,28.63,16.44,45.06,0.33,,16.48,08-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Mar-2020 - 00:00,156.21,61.38,124.16,37.15,161.32,0.87,,14.68,09-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Mar-2020 - 00:00,162.63,53.85,94.83,37.2,132.01,0.85,,12.99,10-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Mar-2020 - 00:00,168.21,78.99,57.87,22.11,80.0,0.73,,19.71,11-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Mar-2020 - 00:00,97.26,51.38,16.19,11.36,27.56,0.3,,18.3,12-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Mar-2020 - 00:00,165.57,57.17,47.69,23.35,71.04,0.43,,13.5,13-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Mar-2020 - 00:00,167.6,54.92,68.81,25.8,94.62,0.49,,14.5,14-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Mar-2020 - 00:00,83.58,35.36,28.4,15.3,43.7,0.36,,16.55,15-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Mar-2020 - 00:00,118.75,47.37,64.1,25.1,89.2,0.5,,20.2,16-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Mar-2020 - 00:00,175.31,58.06,104.31,40.06,144.37,0.91,,15.01,17-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Mar-2020 - 00:00,185.88,64.15,125.18,48.03,172.5,1.11,,14.05,18-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Mar-2020 - 00:00,208.95,70.64,164.61,54.81,216.89,1.39,,14.24,19-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Mar-2020 - 00:00,194.92,80.25,123.34,42.32,164.52,1.21,,16.51,20-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-Mar-2020 - 00:00,201.4,90.2,74.85,37.85,112.41,0.78,,24.18,21-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-Mar-2020 - 00:00,175.54,72.87,95.66,58.28,153.95,0.92,,18.07,22-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-Mar-2020 - 00:00,123.66,67.89,49.79,34.08,83.87,0.66,,21.62,23-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
23-Mar-2020 - 00:00,109.18,52.71,28.16,27.37,55.52,0.49,,23.05,24-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-Mar-2020 - 00:00,119.25,59.11,38.75,27.75,66.51,0.54,,15.59,25-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
25-Mar-2020 - 00:00,73.11,33.13,22.0,20.54,42.54,0.38,,15.27,26-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Mar-2020 - 00:00,66.91,33.57,11.99,17.79,29.78,0.3,,13.37,27-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Mar-2020 - 00:00,38.32,19.27,10.29,15.51,25.8,0.24,,14.11,28-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Mar-2020 - 00:00,42.58,20.11,13.88,18.42,32.31,0.24,,13.94,29-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
29-Mar-2020 - 00:00,55.12,22.26,8.55,16.64,25.19,0.24,,17.77,30-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
30-Mar-2020 - 00:00,66.06,32.53,8.86,18.61,27.46,0.29,,18.19,31-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
31-Mar-2020 - 00:00,61.93,28.43,8.05,16.12,24.17,0.28,,19.96,01-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-Apr-2020 - 00:00,63.33,28.22,8.55,15.91,24.46,0.28,,18.13,02-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Apr-2020 - 00:00,50.12,22.06,3.82,14.32,18.13,0.24,,20.95,03-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Apr-2020 - 00:00,57.77,29.27,8.28,18.18,26.45,0.28,,21.82,04-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Apr-2020 - 00:00,105.14,52.24,18.52,20.58,39.1,0.44,,20.66,05-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Apr-2020 - 00:00,103.21,52.94,23.47,20.57,44.04,0.51,,22.88,06-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Apr-2020 - 00:00,117.68,62.84,18.54,19.42,37.96,0.49,419.65,28.72,07-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Apr-2020 - 00:00,84.89,28.34,7.16,15.25,22.41,0.31,440.75,18.4,08-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Apr-2020 - 00:00,83.15,29.22,7.44,17.24,24.68,0.3,,17.93,09-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Apr-2020 - 00:00,84.18,34.77,16.33,19.2,35.53,0.4,,17.58,10-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Apr-2020 - 00:00,117.54,54.29,23.42,20.79,44.21,0.54,,17.92,11-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Apr-2020 - 00:00,126.13,60.81,33.16,22.41,55.57,0.66,,22.81,12-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Apr-2020 - 00:00,86.79,34.03,8.34,15.98,24.32,0.39,,14.97,13-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Apr-2020 - 00:00,126.03,52.17,20.85,18.94,39.78,0.54,,13.52,14-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Apr-2020 - 00:00,157.2,67.16,30.31,21.76,52.07,0.64,,12.12,15-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Apr-2020 - 00:00,201.14,59.69,17.73,17.27,35.0,0.56,,11.59,16-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Apr-2020 - 00:00,181.84,70.16,29.36,22.49,51.85,0.67,,11.59,17-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Apr-2020 - 00:00,83.51,25.27,6.55,14.54,21.09,0.38,,11.52,18-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Apr-2020 - 00:00,155.92,23.35,1.9,12.64,14.53,0.25,,11.4,19-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Apr-2020 - 00:00,85.95,39.54,12.11,16.03,28.14,0.36,,11.65,20-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-Apr-2020 - 00:00,106.45,48.29,29.83,19.67,49.5,0.58,,11.22,21-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-Apr-2020 - 00:00,90.89,40.64,10.45,14.9,25.35,0.4,,13.26,22-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-Apr-2020 - 00:00,132.51,52.65,22.73,19.31,42.04,0.52,,13.57,23-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
23-Apr-2020 - 00:00,121.41,54.09,15.76,16.43,32.19,0.51,,12.55,24-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-Apr-2020 - 00:00,118.44,55.2,10.07,14.96,25.03,0.44,,12.63,25-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
25-Apr-2020 - 00:00,79.65,31.56,6.69,14.18,20.87,0.37,,13.35,26-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Apr-2020 - 00:00,106.06,44.14,4.56,13.23,17.8,0.37,,12.01,27-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Apr-2020 - 00:00,45.93,24.92,1.11,10.58,11.69,0.26,,13.93,28-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Apr-2020 - 00:00,80.23,43.85,3.09,11.39,14.48,0.33,,13.42,29-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
29-Apr-2020 - 00:00,115.74,55.98,7.21,13.35,20.56,0.46,,12.59,30-Apr-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
30-Apr-2020 - 00:00,108.46,50.95,1.95,10.59,12.54,0.37,,13.58,01-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-May-2020 - 00:00,123.04,54.28,2.96,11.14,14.09,0.36,,13.31,02-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-May-2020 - 00:00,92.52,32.53,0.81,8.85,9.66,0.27,,14.13,03-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-May-2020 - 00:00,67.97,30.51,1.33,9.48,10.81,0.3,,12.12,04-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-May-2020 - 00:00,61.47,31.13,5.34,11.46,16.81,0.35,,12.98,05-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-May-2020 - 00:00,106.03,55.0,15.59,15.73,31.32,0.52,,14.4,06-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-May-2020 - 00:00,145.27,52.83,5.9,13.01,18.91,0.45,,13.21,07-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-May-2020 - 00:00,87.64,34.7,3.03,11.54,14.57,0.36,,15.86,08-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-May-2020 - 00:00,98.78,44.68,3.73,12.51,16.24,0.43,,15.42,09-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-May-2020 - 00:00,119.9,56.89,1.66,10.53,12.2,0.4,,15.31,10-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-May-2020 - 00:00,102.94,41.38,2.08,10.46,12.54,0.35,,13.42,11-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-May-2020 - 00:00,82.54,41.0,1.95,9.81,11.76,0.34,,14.69,12-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-May-2020 - 00:00,79.18,38.62,2.21,9.14,11.35,0.37,,16.58,13-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-May-2020 - 00:00,133.1,54.18,5.1,10.8,15.9,0.48,,16.11,14-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-May-2020 - 00:00,126.3,43.1,19.79,16.21,36.0,0.51,,15.4,15-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-May-2020 - 00:00,109.41,44.89,11.31,18.55,29.85,0.5,,12.68,16-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-May-2020 - 00:00,167.02,97.05,16.92,21.63,38.54,0.59,,13.93,17-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
