from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
09-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Mar-2020 - 00:00,26.73,2.12,15.94,23.49,10.04,2.43,59.99,32.31,127.54,0.1,0.75,24.84,2.71,125.23,45.85,742.0,0.0,126.02,14-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-Mar-2020 - 00:00,37.22,1.98,21.22,24.31,9.71,2.92,27.96,36.58,75.71,0.14,1.5,18.79,2.05,91.9,64.28,742.0,0.16,67.35,15-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Mar-2020 - 00:00,43.03,2.23,24.35,23.19,16.31,2.57,34.43,52.04,113.08,0.22,3.93,19.13,1.08,64.39,58.69,742.0,0.01,89.22,16-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-Mar-2020 - 00:00,51.75,2.13,29.26,25.98,10.66,4.1,54.03,53.96,139.62,0.23,2.18,21.51,1.37,42.15,54.08,742.0,0.0,88.47,17-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-Mar-2020 - 00:00,58.08,2.3,32.71,26.58,9.89,3.57,48.48,59.67,158.42,0.25,2.62,22.96,1.78,46.92,51.7,742.0,0.0,104.19,18-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
18-Mar-2020 - 00:00,52.82,2.44,30.05,27.93,13.3,3.19,48.51,88.11,175.46,0.25,3.39,24.11,1.75,39.98,50.05,742.0,0.0,101.43,19-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-Mar-2020 - 00:00,67.24,2.18,37.36,35.35,24.38,3.46,53.54,92.0,240.55,0.33,4.14,24.98,0.82,62.93,54.18,741.62,0.0,92.05,20-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-Mar-2020 - 00:00,55.06,2.41,30.88,36.04,18.65,4.4,43.34,92.0,213.67,0.3,3.37,26.04,1.1,88.99,52.34,741.4,0.0,82.76,21-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
