from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,SR,WD,VWS,WS,RF,AT,to date,station
22-Mar-2020 - 00:00,24.82,37.87,9.32,2.14,5.15,4.47,7.02,0.45,46.46,0.34,0.55,0.07,29.73,63.75,,74.72,152.76,-0.01,0.93,0.0,22.85,23-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
23-Mar-2020 - 00:00,26.71,51.17,4.81,2.54,6.19,5.35,6.05,0.5,41.73,0.23,0.8,0.07,29.77,71.95,,72.01,136.07,-0.01,0.87,0.0,22.14,24-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
24-Mar-2020 - 00:00,18.26,42.36,6.05,2.44,6.87,5.57,4.67,0.48,45.87,0.31,1.32,0.08,29.79,71.24,,70.72,139.77,-0.01,0.8,0.0,22.04,25-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
25-Mar-2020 - 00:00,15.1,30.61,4.36,2.25,5.4,4.7,4.15,0.43,38.64,0.19,1.15,0.07,29.74,65.32,,81.26,162.89,-0.01,0.77,0.0,22.26,26-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
26-Mar-2020 - 00:00,17.51,30.47,5.35,2.37,4.97,4.57,4.17,0.43,35.25,0.22,3.43,0.34,29.78,69.0,,81.98,143.26,-0.04,0.96,0.0,21.85,27-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
27-Mar-2020 - 00:00,21.96,38.19,4.78,2.19,4.69,4.27,4.12,0.39,64.57,0.3,0.76,0.06,29.73,64.69,,83.33,171.17,-0.04,0.91,0.0,22.02,28-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
28-Mar-2020 - 00:00,18.36,50.04,5.04,2.17,4.17,3.99,3.22,0.29,70.89,0.23,0.83,0.06,29.64,48.62,,84.79,160.33,0.0,0.79,0.0,23.06,29-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
29-Mar-2020 - 00:00,11.84,31.47,6.61,2.33,4.43,4.25,3.62,0.34,55.47,0.48,0.87,0.06,29.79,50.66,,82.68,127.07,-0.03,0.87,0.0,23.66,30-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
30-Mar-2020 - 00:00,27.93,44.06,6.03,2.29,5.74,4.74,4.1,0.5,64.24,0.17,0.66,0.07,29.76,49.66,,73.64,150.89,-0.03,1.08,0.0,23.38,31-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
31-Mar-2020 - 00:00,25.99,44.24,5.77,2.16,4.71,4.17,4.34,0.44,59.78,0.46,1.03,0.06,29.78,57.65,,67.6,144.66,-0.03,0.8,0.0,22.88,01-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
01-Apr-2020 - 00:00,28.06,39.12,6.35,2.29,4.23,3.97,3.88,0.36,57.43,0.25,0.77,0.04,29.56,47.35,,83.59,159.3,-0.01,0.73,0.0,24.33,02-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
02-Apr-2020 - 00:00,29.49,51.62,6.99,2.15,4.1,3.92,5.08,0.41,74.32,0.28,3.18,0.35,29.92,53.34,,78.48,150.03,-0.01,0.84,0.0,24.21,03-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
03-Apr-2020 - 00:00,30.65,49.6,5.74,2.05,4.69,4.17,5.03,0.46,48.03,0.37,0.67,0.06,29.91,65.66,,79.01,123.27,0.0,0.78,0.0,22.96,04-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
04-Apr-2020 - 00:00,23.47,49.25,4.35,2.18,4.96,4.42,4.44,0.46,51.7,0.39,0.6,0.06,29.9,70.31,,86.15,150.75,0.0,0.91,0.0,22.57,05-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
05-Apr-2020 - 00:00,18.71,34.23,5.95,2.31,3.94,3.88,4.09,0.41,37.46,0.3,0.54,0.05,29.99,72.64,,84.04,142.12,0.01,0.99,0.0,23.3,06-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
06-Apr-2020 - 00:00,20.79,39.72,6.83,2.25,5.7,4.87,4.15,0.48,29.65,0.2,0.61,0.06,29.95,76.53,,45.33,152.72,0.02,0.87,0.0,23.41,07-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
07-Apr-2020 - 00:00,20.22,32.72,5.98,2.27,5.13,4.57,3.99,0.46,41.43,0.39,0.56,0.37,29.93,69.76,,59.33,143.92,0.02,0.92,0.0,23.77,08-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
08-Apr-2020 - 00:00,23.29,37.03,4.33,2.1,6.22,5.02,4.06,0.48,55.21,0.26,0.64,0.05,28.79,66.98,,42.11,158.93,0.01,0.75,0.01,23.58,09-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
09-Apr-2020 - 00:00,21.86,32.79,5.38,2.36,7.05,5.38,5.1,0.57,38.82,0.27,0.52,0.05,29.26,78.75,,62.54,163.67,0.01,1.05,0.02,21.68,10-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
10-Apr-2020 - 00:00,12.29,17.68,5.92,2.47,9.48,7.05,5.61,0.37,35.08,0.04,0.37,0.04,28.07,69.34,,68.09,152.11,0.0,0.87,0.0,22.26,11-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
11-Apr-2020 - 00:00,17.02,29.16,4.26,2.31,8.47,6.39,5.73,0.45,35.24,0.13,2.35,0.34,28.58,73.6,,78.58,125.32,-0.04,0.83,0.0,22.58,12-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
12-Apr-2020 - 00:00,16.47,33.45,4.76,2.26,8.91,6.34,5.14,0.49,44.57,0.26,0.69,0.05,28.39,63.34,,93.63,117.35,-0.01,0.69,0.0,23.37,13-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
13-Apr-2020 - 00:00,21.92,41.84,3.96,2.21,8.1,6.05,4.46,0.42,64.6,0.22,0.55,0.04,27.41,48.42,,95.3,153.25,0.0,0.79,0.0,24.12,14-Apr-2020 - 00:00,"Tirumala, Tirupati - APPCB"
