from date,Benzene,Eth-Benzene,O Xylene,Toluene,BP,PM10,PM2.5,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
17-Aug-2020 - 00:00,1.11,1.46,,1.53,731.83,74.37,25.23,85.48,213.58,31.13,175.68,2.63,0.82,27.74,16.3,14.79,31.1,20.41,10.21,18-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Aug-2020 - 00:00,0.92,0.85,,1.47,731.74,40.43,20.77,85.32,222.71,30.67,234.59,1.97,0.67,25.71,12.62,17.67,30.21,21.04,8.43,19-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Aug-2020 - 00:00,1.26,1.24,,1.23,731.64,56.55,27.27,82.38,203.38,30.61,246.49,2.17,0.62,28.34,13.39,18.4,31.79,20.22,6.1,20-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Aug-2020 - 00:00,1.15,1.5,,1.56,731.52,44.98,21.13,87.35,206.14,29.84,244.45,1.95,0.57,21.84,11.13,14.73,25.81,26.16,6.22,21-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Aug-2020 - 00:00,1.21,1.54,,1.57,732.28,76.74,36.3,84.68,270.83,31.77,207.87,1.84,0.74,20.39,14.43,14.63,29.07,39.49,6.21,22-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Aug-2020 - 00:00,1.23,1.6,,1.6,731.52,40.5,24.55,92.04,218.87,29.62,261.44,2.01,0.55,20.65,10.84,11.3,22.13,55.88,6.13,23-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Aug-2020 - 00:00,1.18,1.53,,1.6,731.48,36.18,18.11,91.78,234.58,29.33,276.03,1.95,0.43,18.5,8.7,8.57,16.94,43.88,6.11,24-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Aug-2020 - 00:00,1.08,1.47,,1.59,731.48,32.13,17.91,95.14,183.05,28.33,177.18,3.09,0.56,15.98,10.79,11.68,22.41,25.6,6.67,25-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Aug-2020 - 00:00,1.23,1.54,,1.59,733.47,44.74,23.67,90.38,156.26,28.33,188.96,2.71,0.48,15.22,11.81,14.12,25.93,30.43,8.32,26-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Aug-2020 - 00:00,1.25,1.61,,1.6,734.31,76.5,27.32,83.6,218.66,29.07,196.47,2.7,0.5,17.37,13.98,13.44,27.37,28.55,20.02,27-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Aug-2020 - 00:00,1.22,1.58,,1.61,734.79,65.49,28.59,79.2,243.01,30.0,218.57,2.38,0.54,19.0,12.91,12.19,25.07,33.81,33.31,28-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Aug-2020 - 00:00,1.23,1.59,,1.58,734.72,57.36,25.97,83.72,225.44,30.17,225.7,2.08,0.59,26.92,11.89,15.21,27.08,32.07,12.39,29-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Aug-2020 - 00:00,1.25,1.61,,1.61,734.65,49.13,27.08,84.55,236.92,30.21,252.82,1.85,0.68,30.44,12.92,15.47,28.39,25.31,14.18,30-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Aug-2020 - 00:00,1.23,1.6,,1.6,733.7,22.26,16.39,94.36,151.0,28.25,240.58,2.25,0.28,26.41,8.84,11.21,20.05,28.48,15.38,31-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Aug-2020 - 00:00,1.22,0.64,,1.61,733.67,44.73,20.61,89.73,163.69,27.75,187.04,3.07,0.71,29.71,12.36,14.28,26.64,33.9,12.48,01-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Sep-2020 - 00:00,1.26,0.37,,1.37,733.96,61.63,29.79,82.83,180.05,28.59,240.9,2.06,0.71,17.5,11.61,16.14,27.75,37.32,15.7,02-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Sep-2020 - 00:00,1.39,0.37,,1.42,734.72,79.64,38.56,80.4,216.75,30.33,237.38,1.76,0.71,14.09,11.29,19.94,31.23,28.27,16.38,03-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Sep-2020 - 00:00,1.65,0.34,,2.0,733.87,63.83,37.21,92.15,151.21,28.77,230.62,1.85,1.08,17.78,15.1,22.84,37.93,26.44,13.5,04-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Sep-2020 - 00:00,1.48,0.36,,4.01,733.23,70.84,33.97,81.04,255.63,30.45,244.0,1.99,0.91,17.66,13.24,20.42,33.66,21.89,8.63,05-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Sep-2020 - 00:00,1.17,0.14,,1.45,731.78,75.74,34.85,80.78,214.48,30.5,235.86,2.05,0.74,12.87,11.47,18.99,30.45,16.08,12.49,06-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Sep-2020 - 00:00,1.1,0.13,,1.11,731.05,53.65,32.72,88.43,142.79,29.09,236.22,1.8,0.93,7.99,12.8,19.12,31.84,19.72,19.76,07-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Sep-2020 - 00:00,2.05,0.31,,2.44,731.33,49.04,27.0,89.91,193.55,29.12,258.56,1.88,1.04,10.29,17.96,13.45,30.74,9.31,24.03,08-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Sep-2020 - 00:00,1.66,0.3,,2.69,731.8,101.61,36.87,85.89,205.3,30.44,241.23,1.82,0.96,14.5,15.94,36.68,51.57,10.2,6.27,09-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Sep-2020 - 00:00,1.44,0.29,,2.65,731.94,85.66,36.07,81.95,218.49,31.04,263.18,2.16,0.75,31.96,11.58,38.9,50.45,14.51,6.2,10-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Sep-2020 - 00:00,1.23,0.26,,1.52,731.82,68.65,34.09,80.0,197.04,30.88,242.34,1.84,0.77,28.1,8.68,23.91,31.39,18.37,5.51,11-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Sep-2020 - 00:00,1.63,0.33,,2.48,730.98,54.26,28.56,88.02,151.52,29.69,232.54,1.91,0.97,20.77,9.85,26.82,36.77,11.79,7.1,12-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Sep-2020 - 00:00,1.51,0.31,,2.8,731.55,71.36,28.64,76.16,263.97,31.78,207.26,1.92,0.99,18.29,11.12,28.24,39.36,18.28,6.45,13-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Sep-2020 - 00:00,1.2,0.22,,1.74,731.62,59.42,25.88,69.72,251.08,33.08,200.22,1.68,0.81,13.25,8.31,17.98,26.29,24.35,6.37,14-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Sep-2020 - 00:00,1.18,0.23,,1.42,731.99,54.33,23.46,73.03,278.94,32.8,174.08,2.11,0.8,11.68,11.03,18.7,29.61,25.63,8.21,15-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Sep-2020 - 00:00,1.43,0.25,,1.51,732.68,44.6,18.93,67.11,355.37,33.75,177.76,2.02,0.94,11.54,14.82,25.19,39.89,29.02,6.79,16-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Sep-2020 - 00:00,1.15,0.22,,1.32,731.41,45.62,20.45,80.82,257.41,31.58,258.92,2.06,0.74,10.97,13.82,18.73,32.52,18.34,5.45,17-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Sep-2020 - 00:00,1.27,0.29,,1.69,730.48,43.59,20.79,86.31,138.92,30.71,286.12,2.02,0.85,8.64,13.76,15.51,29.29,5.36,9.24,18-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Sep-2020 - 00:00,1.46,0.3,,2.22,730.68,56.63,26.26,80.34,213.08,31.94,249.41,1.94,0.88,8.12,14.84,15.63,30.47,7.21,7.11,19-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Sep-2020 - 00:00,1.23,0.24,,1.92,730.3,42.97,20.24,83.69,224.96,31.02,261.13,2.18,0.71,10.44,14.72,19.93,35.83,13.88,5.81,20-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Sep-2020 - 00:00,1.09,0.18,,1.64,730.32,29.34,17.31,81.11,276.92,31.16,229.26,1.96,0.65,16.01,14.83,19.51,34.35,12.14,11.97,21-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Sep-2020 - 00:00,1.25,0.22,,1.86,730.48,55.77,25.2,67.44,260.35,32.45,227.94,2.08,0.84,16.35,15.47,19.71,35.19,24.82,19.95,22-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Sep-2020 - 00:00,2.05,0.35,,2.51,731.26,75.58,31.28,61.35,224.19,32.45,249.45,2.16,0.8,14.04,13.3,20.07,33.37,24.56,8.9,23-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Sep-2020 - 00:00,1.2,0.96,,1.83,732.21,73.88,34.03,60.68,276.73,33.24,285.19,2.31,0.62,3.99,16.85,37.56,54.41,26.5,13.22,24-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Sep-2020 - 00:00,1.08,0.53,,1.37,732.67,63.49,33.58,64.96,277.16,33.27,291.84,2.52,0.51,10.97,18.49,33.62,52.09,24.82,12.23,25-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Sep-2020 - 00:00,1.31,1.5,,1.54,732.41,57.34,34.34,68.11,252.23,32.33,274.72,2.3,0.59,25.39,11.84,15.82,27.57,16.43,6.49,26-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Sep-2020 - 00:00,1.05,0.49,,1.12,732.0,54.31,26.9,70.28,229.56,31.02,244.95,2.29,0.57,25.57,12.97,16.67,29.64,21.12,6.76,27-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Sep-2020 - 00:00,0.87,0.18,,0.6,732.16,54.89,24.95,64.85,262.64,30.33,252.94,2.2,0.28,27.37,12.09,18.04,30.12,27.65,6.19,28-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Sep-2020 - 00:00,1.1,0.2,,1.64,732.29,64.54,34.86,61.52,258.87,30.82,247.4,2.1,0.43,26.8,13.07,19.06,32.1,28.39,11.44,29-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Sep-2020 - 00:00,1.26,0.75,,1.57,731.3,45.05,22.84,74.87,172.62,29.04,266.74,2.13,0.46,22.95,13.57,14.94,28.43,29.5,12.71,30-Sep-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Sep-2020 - 00:00,1.7,0.57,,3.27,731.53,61.48,28.22,71.63,230.38,29.24,252.24,2.09,0.67,16.17,14.33,18.35,32.07,25.96,4.9,01-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Oct-2020 - 00:00,1.75,0.88,,2.18,731.93,58.64,27.89,66.3,256.31,31.0,299.95,2.2,0.64,13.63,15.75,19.28,34.98,24.17,5.08,02-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Oct-2020 - 00:00,1.84,0.89,,2.45,732.13,64.42,29.6,64.04,232.61,31.26,293.26,2.28,0.55,13.46,13.64,18.97,32.62,24.64,5.21,03-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Oct-2020 - 00:00,1.74,0.87,,2.51,732.46,54.21,27.84,54.33,244.89,31.6,307.89,2.18,0.49,14.56,12.13,18.06,30.19,25.3,5.94,04-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Oct-2020 - 00:00,1.52,0.83,,2.29,732.12,57.0,28.56,56.43,225.9,31.16,310.88,2.19,0.43,15.48,11.0,16.87,27.87,25.84,6.19,05-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Oct-2020 - 00:00,1.59,0.84,,2.34,732.3,55.84,25.71,46.96,249.39,31.63,319.69,2.24,0.59,11.62,10.83,23.96,34.77,29.21,5.25,06-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Oct-2020 - 00:00,1.82,0.89,,2.32,732.39,64.16,30.11,45.68,252.99,31.56,245.34,1.9,0.72,8.65,9.74,24.9,34.64,30.74,5.88,07-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Oct-2020 - 00:00,1.96,1.24,,2.15,732.18,54.53,28.74,47.69,234.42,30.87,279.88,2.02,0.53,8.74,8.47,20.38,28.85,29.77,11.98,08-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Oct-2020 - 00:00,2.09,1.11,,2.18,732.17,63.94,33.02,47.29,227.35,30.44,239.35,1.92,0.54,9.12,11.18,20.9,32.08,18.61,16.66,09-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Oct-2020 - 00:00,2.22,0.86,,2.7,732.23,82.34,37.53,43.11,232.49,30.86,243.88,2.07,0.7,8.92,13.51,18.31,31.69,16.34,6.74,10-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Oct-2020 - 00:00,1.81,0.57,,2.42,732.76,77.06,31.92,43.04,271.89,31.8,233.34,2.11,0.7,7.57,9.94,15.24,25.18,23.77,7.81,11-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Oct-2020 - 00:00,1.62,0.54,,1.8,732.09,85.82,35.94,46.97,236.94,30.47,258.64,2.15,0.7,7.68,10.64,15.7,26.28,21.58,7.88,12-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Oct-2020 - 00:00,1.78,0.47,,2.15,732.1,77.04,30.0,44.94,231.91,30.27,235.81,2.06,0.8,6.38,11.59,16.95,28.49,19.56,5.98,13-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Oct-2020 - 00:00,1.59,0.22,,1.99,732.09,72.7,28.23,44.15,237.03,30.33,244.6,2.05,0.72,5.64,13.56,21.13,34.69,20.83,5.08,14-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Oct-2020 - 00:00,1.34,0.16,,1.71,732.16,84.34,41.02,47.86,228.9,31.19,234.74,2.1,0.7,4.0,16.47,24.69,41.35,33.14,8.53,15-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Oct-2020 - 00:00,1.2,0.14,,1.35,732.44,97.51,48.08,56.15,232.13,32.65,166.11,1.83,1.02,13.34,17.17,30.51,47.65,59.14,11.05,16-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Oct-2020 - 00:00,1.2,0.13,,1.17,732.34,124.21,57.77,53.82,220.3,32.71,80.48,1.54,0.99,23.32,12.91,27.69,40.58,71.53,12.09,17-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Oct-2020 - 00:00,1.03,0.09,,0.93,732.35,111.93,49.16,62.78,259.53,32.22,164.88,1.93,0.87,24.76,12.22,24.76,36.98,38.9,13.25,18-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Oct-2020 - 00:00,1.19,1.16,,1.66,731.84,90.09,45.2,70.29,203.05,31.49,271.94,2.36,0.66,23.95,10.89,22.8,33.61,32.14,11.41,19-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Oct-2020 - 00:00,1.05,1.45,,1.45,731.96,112.63,53.05,70.12,225.56,31.36,238.33,1.75,0.78,18.2,16.73,28.15,44.1,25.82,10.02,20-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Oct-2020 - 00:00,1.22,0.5,,2.09,731.35,115.19,55.47,76.82,176.31,29.96,239.75,1.99,0.78,19.16,15.56,32.05,46.67,26.31,9.86,21-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Oct-2020 - 00:00,1.95,1.62,,4.14,731.94,103.44,43.19,72.74,238.06,30.56,241.41,2.03,1.01,20.97,11.37,31.74,43.04,32.59,7.57,22-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Oct-2020 - 00:00,2.14,2.11,,5.79,732.55,82.71,34.41,37.23,328.27,32.03,293.51,2.2,1.1,18.95,10.04,40.2,50.02,29.92,12.72,23-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Oct-2020 - 00:00,2.43,3.37,,4.35,731.54,94.17,30.22,43.56,261.13,28.28,267.98,2.19,0.8,20.4,12.09,40.48,52.4,28.38,10.13,24-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Oct-2020 - 00:00,2.21,2.65,,3.56,731.57,81.24,32.29,43.14,227.32,28.55,282.59,2.16,0.69,16.4,13.83,34.78,48.61,33.27,9.27,25-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Oct-2020 - 00:00,1.68,2.32,,2.58,731.62,64.26,29.82,41.66,233.64,28.91,283.21,2.31,0.42,14.73,13.38,28.4,41.79,35.35,10.16,26-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Oct-2020 - 00:00,1.21,1.77,,1.5,731.59,63.61,28.2,44.32,228.31,28.83,262.51,1.96,0.65,16.87,15.55,28.35,43.87,28.1,10.6,27-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Oct-2020 - 00:00,1.27,2.05,,1.63,731.2,107.04,41.57,37.02,215.35,27.66,283.42,2.21,0.92,14.05,13.88,29.88,43.77,39.06,8.08,28-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Oct-2020 - 00:00,1.28,2.06,,1.63,731.13,115.06,48.14,42.33,218.46,26.62,265.99,2.18,1.05,13.1,19.8,45.36,65.11,39.54,16.87,29-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Oct-2020 - 00:00,1.48,2.09,,1.61,731.14,107.62,44.39,47.57,218.05,26.84,232.2,1.98,1.01,23.83,12.45,45.93,58.23,32.68,24.55,30-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Oct-2020 - 00:00,1.58,1.81,,1.68,731.09,110.21,42.54,44.42,210.49,26.91,252.15,1.98,1.12,37.81,15.2,36.25,51.44,36.48,17.72,31-Oct-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Oct-2020 - 00:00,1.5,1.53,,1.84,729.84,128.72,46.69,46.5,95.15,23.94,276.4,2.12,1.29,29.42,21.69,39.66,61.35,20.88,21.97,01-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Nov-2020 - 00:00,1.64,1.74,,1.83,730.82,118.8,42.88,41.28,205.21,25.37,280.28,2.21,0.97,37.23,10.83,29.04,39.56,32.78,17.77,02-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Nov-2020 - 00:00,1.49,1.54,,1.86,729.5,115.13,45.22,47.27,83.72,22.82,288.06,2.24,1.47,38.77,13.62,34.2,47.81,18.63,14.91,03-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Nov-2020 - 00:00,1.63,1.68,,1.85,730.81,108.98,38.78,41.51,214.84,25.19,297.05,2.35,1.68,19.71,19.97,31.65,51.62,28.18,15.08,04-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Nov-2020 - 00:00,1.63,1.71,,1.82,730.86,117.23,44.68,41.63,209.75,25.28,259.17,2.15,1.44,20.89,21.79,30.59,51.17,30.88,15.08,05-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Nov-2020 - 00:00,1.71,1.73,,1.84,730.87,106.24,42.73,45.26,215.92,25.41,246.29,2.35,1.42,31.89,21.27,25.06,46.34,28.36,22.21,06-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Nov-2020 - 00:00,1.68,1.73,,1.83,730.93,120.52,42.72,49.81,209.88,25.9,238.78,2.1,1.49,33.05,26.46,38.29,64.74,28.25,19.46,07-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Nov-2020 - 00:00,1.71,1.72,,1.85,730.82,140.65,64.84,45.56,204.68,25.58,260.74,2.14,1.57,45.25,28.71,50.67,79.38,32.19,5.81,08-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Nov-2020 - 00:00,1.74,1.86,,1.79,730.79,151.72,77.85,45.74,205.3,25.21,244.73,2.04,1.41,43.38,23.42,46.83,70.24,39.95,4.8,09-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Nov-2020 - 00:00,1.73,1.84,,1.78,730.7,176.48,82.22,46.83,196.64,25.03,264.82,2.19,1.35,32.68,21.14,51.73,72.87,32.97,6.69,10-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Nov-2020 - 00:00,1.74,1.73,,1.85,730.63,163.69,74.84,45.21,199.28,24.58,261.11,2.12,1.62,40.05,36.39,49.3,85.69,35.06,8.79,11-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Nov-2020 - 00:00,1.72,2.41,,1.9,730.4,189.76,92.21,44.02,180.96,24.06,240.24,1.82,1.54,41.21,39.81,59.23,99.04,33.88,8.93,12-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Nov-2020 - 00:00,1.79,2.31,,1.67,730.4,224.35,118.05,48.77,192.1,24.19,236.25,1.38,1.2,20.77,24.1,55.45,78.38,52.68,14.36,13-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Nov-2020 - 00:00,1.82,2.33,,1.65,730.66,176.22,81.46,49.75,201.09,25.43,246.52,1.26,1.46,18.87,30.66,42.7,73.35,61.16,14.02,14-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Nov-2020 - 00:00,1.83,2.27,,1.65,730.75,159.31,73.56,59.74,202.53,25.7,248.05,1.46,0.99,21.14,20.28,31.39,51.38,48.6,12.43,15-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Nov-2020 - 00:00,1.82,2.32,,1.66,730.94,117.92,58.58,60.62,198.6,26.83,254.04,1.48,0.99,22.05,19.49,22.41,41.9,39.68,13.66,16-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Nov-2020 - 00:00,1.84,2.31,,1.64,731.01,107.2,52.21,52.89,215.1,27.05,254.28,1.32,0.79,24.71,21.0,27.02,48.01,38.78,11.2,17-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Nov-2020 - 00:00,1.82,2.3,,1.63,730.45,131.21,66.07,70.35,181.19,25.16,241.64,1.26,0.79,22.9,14.74,13.19,28.76,55.46,11.14,18-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Nov-2020 - 00:00,1.83,2.28,,1.66,730.42,127.58,70.92,73.51,179.89,24.73,263.63,1.34,1.13,17.43,13.48,18.07,32.79,47.66,11.17,19-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Nov-2020 - 00:00,1.78,1.99,,1.57,730.41,107.14,56.75,62.03,194.34,24.36,251.96,1.3,0.69,11.96,10.32,24.81,34.96,65.18,10.0,20-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Nov-2020 - 00:00,1.78,1.78,,1.65,730.36,117.0,55.15,48.09,200.44,23.71,243.45,1.26,1.0,17.15,17.62,25.83,43.45,62.88,11.2,21-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Nov-2020 - 00:00,1.78,1.8,,1.64,730.12,121.95,60.35,39.12,192.49,22.51,245.69,1.23,1.27,17.49,22.9,31.74,54.65,62.59,9.1,22-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Nov-2020 - 00:00,1.75,1.81,,1.64,730.04,134.04,63.58,45.32,200.21,21.34,226.99,1.27,1.02,17.54,22.1,32.19,54.29,52.14,8.36,23-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Nov-2020 - 00:00,1.8,1.76,,1.64,730.2,149.77,71.35,50.44,199.43,21.93,244.05,1.31,1.59,18.45,25.86,36.44,62.31,50.53,10.94,24-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Nov-2020 - 00:00,1.78,1.78,,1.67,730.36,145.87,62.5,53.47,203.09,23.01,231.96,1.36,1.42,19.67,26.41,35.29,61.7,46.03,12.85,25-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Nov-2020 - 00:00,1.77,1.81,,1.66,730.38,157.32,69.81,53.12,184.28,24.12,237.3,1.47,1.44,19.72,25.8,36.85,62.6,53.73,12.89,26-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Nov-2020 - 00:00,1.78,1.79,,1.67,730.26,119.81,63.71,61.88,187.61,23.78,142.29,1.16,0.93,16.23,17.64,24.66,42.3,71.12,13.4,27-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Nov-2020 - 00:00,1.8,1.77,,1.64,730.02,104.92,54.81,60.08,190.19,22.26,218.76,1.24,1.16,16.7,17.38,27.3,44.68,71.21,12.1,28-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Nov-2020 - 00:00,1.79,1.8,,1.66,730.09,89.59,43.34,49.67,197.67,21.97,226.11,1.19,1.01,15.47,13.17,29.85,43.02,55.48,11.63,29-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Nov-2020 - 00:00,1.76,1.79,,1.66,730.29,114.64,55.92,55.54,202.59,22.4,247.9,1.29,1.28,16.83,16.98,30.4,47.36,51.94,12.84,30-Nov-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Nov-2020 - 00:00,1.78,1.78,,1.63,730.54,127.29,57.5,53.92,200.72,23.92,241.48,1.29,1.43,18.58,19.84,31.5,51.3,40.73,13.81,01-Dec-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Dec-2020 - 00:00,0.51,0.77,,0.58,728.79,165.45,82.05,67.53,42.6,19.92,358.03,1.54,0.32,18.82,11.59,43.52,55.11,16.95,14.63,02-Dec-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
