from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
23-Apr-2020 - 00:00,56.82,113.59,10.82,3.93,9.04,15.21,16.52,0.79,83.63,32.34,1.03,172.18,25.41,700.85,185.64,0.0,24-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
24-Apr-2020 - 00:00,43.29,120.69,10.98,3.1,8.31,15.24,13.42,0.58,61.82,32.42,0.94,220.6,30.29,700.15,184.3,0.0,25-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
25-Apr-2020 - 00:00,36.59,124.28,9.11,3.91,8.12,11.74,10.92,0.38,66.73,32.19,1.38,236.71,25.91,700.37,196.98,0.0,26-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
26-Apr-2020 - 00:00,42.05,140.32,9.75,3.73,8.32,12.92,11.23,0.49,76.94,31.35,1.23,233.26,31.51,700.98,189.21,0.0,27-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
27-Apr-2020 - 00:00,26.5,75.62,11.7,2.35,8.13,18.95,11.19,0.47,81.99,29.51,1.04,164.68,43.35,702.67,199.41,0.01,28-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
28-Apr-2020 - 00:00,36.73,68.35,11.59,1.26,7.28,14.9,13.21,0.48,86.43,31.33,0.93,172.89,33.77,702.62,190.6,0.0,29-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
29-Apr-2020 - 00:00,82.55,129.88,15.99,1.88,10.09,17.22,12.62,0.75,80.89,32.79,0.93,173.35,30.19,701.5,182.33,0.0,30-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
30-Apr-2020 - 00:00,43.68,96.08,12.59,1.63,8.12,15.91,7.54,0.55,85.23,32.53,0.71,169.98,33.39,701.63,180.68,0.01,01-May-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
01-May-2020 - 00:00,32.9,110.25,11.4,1.36,7.26,14.5,12.44,0.43,74.23,34.27,0.84,260.18,24.04,701.23,187.26,0.0,02-May-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
02-May-2020 - 00:00,26.74,85.98,8.91,1.12,5.74,11.36,8.99,0.43,72.38,34.74,1.19,238.24,20.6,700.87,192.6,0.0,03-May-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
