from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,AT,WS,WD,RH,BP,to date,station
28-Mar-2020 - 00:00,5.75,7.75,0.88,3.77,2.69,0.83,31.45,17.05,42.42,0.38,0.48,20.81,27.08,1.35,91.7,39.35,716.6,29-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Mar-2020 - 00:00,9.26,7.93,1.58,6.21,2.72,0.9,37.92,20.8,41.73,0.25,0.5,20.57,27.06,1.16,119.89,34.84,715.14,30-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Mar-2020 - 00:00,5.27,7.98,0.67,3.35,2.76,0.82,44.47,13.2,36.05,0.22,0.5,21.04,30.33,1.92,93.05,29.98,716.2,31-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
31-Mar-2020 - 00:00,6.57,8.53,1.46,4.64,2.72,0.87,33.64,20.33,45.29,0.2,0.42,20.74,27.43,1.48,103.12,41.67,716.97,01-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Apr-2020 - 00:00,5.8,8.11,0.89,3.81,2.74,0.86,27.64,20.85,49.54,0.2,0.41,20.69,28.37,1.62,92.83,38.83,716.29,02-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Apr-2020 - 00:00,5.22,9.02,0.61,3.27,2.11,0.59,36.15,28.42,55.3,0.2,0.3,20.5,28.91,1.62,116.35,39.53,715.38,03-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Apr-2020 - 00:00,5.44,8.75,0.56,3.35,1.33,0.31,43.44,31.85,58.45,0.2,0.3,20.31,28.81,1.61,119.33,43.11,715.71,04-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Apr-2020 - 00:00,5.08,8.29,0.52,3.11,1.3,0.31,34.92,28.81,58.24,0.22,0.34,20.47,28.5,1.54,126.26,47.58,716.32,05-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Apr-2020 - 00:00,5.05,7.98,0.57,3.14,1.29,0.3,34.21,28.21,54.15,0.2,0.4,20.47,28.65,1.62,137.24,52.44,717.19,06-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Apr-2020 - 00:00,7.72,6.8,0.64,4.63,1.16,0.35,33.37,18.78,43.22,0.2,0.37,20.69,27.59,1.55,199.44,58.93,717.5,07-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
