from date,PM2.5,PM10,SO2,NO2,NO,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,Xylene,WS,WD,RH,SR,RF,Temp,to date,station
22-Apr-2020 - 00:00,30.77,60.52,2.87,13.77,1.89,15.71,,0.19,23.71,1.17,0.0,0.0,0.56,192.07,61.51,199.08,0.01,30.38,23-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Apr-2020 - 00:00,33.16,57.63,2.71,4.91,3.0,7.03,,0.07,23.32,0.87,0.0,0.0,0.58,187.91,55.28,203.49,0.02,31.34,24-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Apr-2020 - 00:00,30.32,49.61,2.91,3.89,2.45,5.88,,0.13,20.13,0.56,0.0,0.0,0.57,197.68,59.03,204.04,0.0,31.01,25-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Apr-2020 - 00:00,27.2,50.49,2.86,3.43,1.86,4.65,,0.18,25.89,0.98,0.02,0.02,0.64,187.36,58.26,209.58,0.02,29.94,26-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Apr-2020 - 00:00,30.65,52.69,2.85,3.09,1.74,4.32,0.5,0.23,21.86,0.82,0.0,0.0,0.6,180.23,64.14,203.73,0.01,29.18,27-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Apr-2020 - 00:00,33.44,54.23,2.71,8.76,4.32,12.26,,0.22,21.46,1.01,0.02,0.02,0.61,174.97,66.42,192.31,0.01,29.14,28-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Apr-2020 - 00:00,38.76,62.96,5.67,12.66,6.76,18.0,74.3,0.26,27.29,0.79,0.03,0.01,0.56,192.83,66.57,150.67,0.02,29.68,29-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Apr-2020 - 00:00,42.33,71.33,7.51,7.62,3.73,11.08,0.2,0.2,31.47,1.07,0.03,0.01,0.58,196.9,59.97,201.21,0.02,31.1,30-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-Apr-2020 - 00:00,31.61,60.27,7.21,26.76,6.65,32.88,,0.37,30.97,1.43,0.24,0.13,0.72,163.15,62.38,198.3,0.02,30.8,01-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-May-2020 - 00:00,30.28,54.75,12.82,48.1,10.12,58.27,,0.15,36.35,0.78,0.0,0.0,0.69,174.74,65.27,188.37,0.01,30.29,02-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-May-2020 - 00:00,25.86,47.52,27.03,34.83,8.36,43.23,,0.19,11.2,0.89,0.0,0.0,0.6,161.67,63.9,206.2,0.02,30.92,03-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-May-2020 - 00:00,23.91,43.16,18.29,22.29,6.84,29.18,,0.34,12.85,0.89,0.0,0.0,0.54,149.09,59.48,212.21,0.02,31.43,04-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-May-2020 - 00:00,22.66,46.74,22.29,17.45,7.64,25.14,,0.39,10.89,0.52,0.01,0.0,0.59,172.52,60.74,215.36,0.01,31.2,05-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-May-2020 - 00:00,24.82,53.52,19.91,16.22,6.0,22.24,,0.55,12.81,0.76,0.05,0.05,0.6,201.6,64.54,203.91,0.01,31.02,06-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-May-2020 - 00:00,29.4,74.66,18.87,12.66,7.08,19.79,,0.58,16.57,1.08,0.01,0.01,0.53,198.53,57.29,215.51,0.02,31.82,07-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-May-2020 - 00:00,30.19,63.64,22.63,8.36,13.02,20.96,,0.62,13.45,1.06,0.0,0.0,0.56,158.52,61.05,218.38,0.0,30.99,08-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-May-2020 - 00:00,27.08,57.33,22.67,7.63,12.53,20.0,,0.68,12.69,0.85,0.0,0.0,0.61,149.38,64.66,209.32,0.01,30.58,09-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-May-2020 - 00:00,25.78,54.61,21.97,8.04,12.22,19.82,,0.48,12.06,0.63,0.01,0.01,0.57,189.52,64.84,213.31,0.01,30.41,10-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-May-2020 - 00:00,31.2,58.25,21.39,8.99,12.13,20.9,,0.51,14.6,0.87,0.01,0.01,0.51,181.93,64.66,201.57,0.03,30.98,11-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-May-2020 - 00:00,25.41,53.03,19.84,8.83,11.39,20.06,,0.43,12.65,0.78,0.0,0.0,0.56,177.09,63.55,215.22,0.01,30.41,12-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-May-2020 - 00:00,28.44,61.76,17.56,6.03,13.23,17.12,0.47,0.46,11.55,0.68,0.01,0.01,0.52,179.28,66.26,210.59,0.01,29.68,13-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-May-2020 - 00:00,32.0,63.54,27.71,4.27,16.82,20.4,,0.51,14.1,0.95,0.0,0.0,0.56,163.0,66.46,190.92,0.01,30.64,14-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-May-2020 - 00:00,30.17,62.24,25.48,4.26,18.99,22.68,,0.43,12.24,0.86,0.01,0.01,0.56,160.82,63.28,199.07,0.0,31.28,15-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-May-2020 - 00:00,29.46,68.24,22.89,5.44,13.53,18.84,,0.45,11.82,0.63,0.01,0.01,0.64,161.67,60.52,201.94,0.02,31.52,16-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-May-2020 - 00:00,56.29,115.61,22.6,3.14,11.05,14.18,9.2,0.52,14.42,1.64,0.01,0.01,0.55,184.48,60.88,188.51,0.01,31.66,17-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-May-2020 - 00:00,56.71,121.55,34.1,3.41,8.14,10.55,,0.48,19.04,0.76,0.01,0.01,0.51,183.86,57.83,158.45,0.01,31.64,18-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-May-2020 - 00:00,40.33,84.68,25.22,3.02,6.21,9.14,,0.49,17.57,1.64,0.01,0.04,0.61,150.79,54.2,201.65,0.01,31.52,19-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-May-2020 - 00:00,29.17,66.57,28.06,1.92,6.97,8.51,5.99,0.39,12.72,0.83,0.06,0.04,0.61,134.42,58.91,213.76,0.02,30.7,20-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-May-2020 - 00:00,23.67,52.16,28.44,1.29,7.26,8.06,6.26,0.34,11.07,1.49,0.01,0.0,0.65,159.26,63.49,213.04,0.02,30.43,21-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-May-2020 - 00:00,20.38,62.74,28.22,1.73,7.94,8.49,6.17,0.46,10.13,1.31,0.01,0.01,0.6,164.91,64.3,210.01,0.03,30.83,22-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-May-2020 - 00:00,20.71,55.49,22.56,2.17,6.59,7.69,6.45,0.58,9.95,1.08,0.0,0.0,0.62,185.66,62.35,214.53,0.03,31.22,23-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-May-2020 - 00:00,29.82,56.67,26.84,3.03,6.6,8.65,6.12,0.75,16.63,1.06,0.06,0.04,0.57,148.65,56.61,219.43,0.01,31.75,24-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-May-2020 - 00:00,15.72,40.31,18.88,2.46,6.16,7.98,6.16,0.57,10.79,1.05,0.02,0.01,0.61,128.75,58.07,210.33,0.01,32.04,25-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-May-2020 - 00:00,19.57,50.99,21.97,2.88,7.12,9.26,5.75,0.63,10.43,1.2,0.01,0.01,0.59,152.55,59.83,210.07,0.01,32.25,26-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-May-2020 - 00:00,15.49,55.66,24.7,2.21,7.18,8.75,5.94,0.5,10.18,0.9,0.0,0.0,0.69,127.07,60.43,212.5,0.02,31.99,27-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-May-2020 - 00:00,7.47,45.11,27.08,1.27,6.91,7.47,6.44,0.62,9.28,1.01,0.0,0.0,0.77,58.32,60.67,214.49,0.03,31.6,28-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-May-2020 - 00:00,5.59,36.17,27.65,0.78,7.11,7.63,6.37,0.56,9.74,0.79,0.0,0.0,0.87,41.4,60.53,209.04,0.02,31.72,29-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-May-2020 - 00:00,8.0,18.07,27.08,0.63,7.87,7.94,6.16,0.62,8.91,1.14,0.0,0.0,0.76,51.26,61.43,195.42,0.01,31.81,30-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-May-2020 - 00:00,13.02,24.17,25.47,1.01,8.94,8.82,5.75,0.58,6.93,1.56,0.31,0.26,0.66,66.68,61.06,204.38,0.01,32.04,31-May-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
31-May-2020 - 00:00,9.34,28.43,24.99,1.32,8.25,8.65,5.91,0.46,8.37,0.93,0.02,0.01,0.66,73.85,60.37,209.12,0.02,32.06,01-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Jun-2020 - 00:00,35.1,54.01,24.88,2.25,7.52,8.25,6.16,0.56,11.13,1.15,0.01,0.01,0.49,178.85,62.71,152.04,0.01,30.71,02-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Jun-2020 - 00:00,44.12,73.84,25.65,3.05,6.31,9.42,6.08,0.81,11.83,2.8,0.42,0.52,0.42,274.97,66.0,74.84,0.01,28.51,03-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Jun-2020 - 00:00,20.2,42.72,28.93,6.21,8.87,15.13,4.64,0.72,13.38,2.76,0.32,0.4,1.18,194.01,70.18,106.3,0.0,26.86,04-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Jun-2020 - 00:00,17.76,33.49,28.96,2.86,10.24,12.97,6.5,0.55,13.09,2.14,0.09,0.15,0.56,201.84,68.36,171.86,0.0,27.94,05-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Jun-2020 - 00:00,13.42,23.61,24.84,1.82,6.33,7.82,6.48,0.52,13.98,0.55,0.0,0.0,0.48,299.69,70.56,156.62,0.0,27.61,06-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Jun-2020 - 00:00,10.35,22.46,26.04,1.7,8.91,10.15,6.23,0.48,14.18,0.57,0.01,0.02,0.62,195.44,67.37,236.57,0.04,28.78,07-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Jun-2020 - 00:00,6.65,14.77,26.11,1.41,9.17,9.57,5.58,0.48,14.15,0.54,0.0,0.0,0.6,234.54,66.22,227.12,0.09,29.11,08-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Jun-2020 - 00:00,7.84,22.8,21.67,1.73,5.26,7.03,6.75,0.48,13.98,0.47,0.0,0.0,0.68,193.31,68.63,196.12,0.09,27.94,09-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Jun-2020 - 00:00,12.61,24.77,28.43,1.0,10.09,10.41,5.14,0.49,9.41,0.63,0.08,0.5,0.57,251.68,70.62,214.32,0.06,28.41,10-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Jun-2020 - 00:00,8.36,32.73,28.09,1.2,11.57,11.05,4.76,0.51,6.61,1.2,0.14,0.16,0.51,189.84,70.54,173.17,0.19,29.17,11-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Jun-2020 - 00:00,3.75,19.55,21.5,1.81,10.5,10.13,5.01,0.51,6.57,1.51,0.1,0.6,0.49,173.08,69.42,215.21,0.15,29.53,12-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Jun-2020 - 00:00,8.64,29.41,25.81,1.64,9.62,10.26,5.14,0.52,7.1,0.94,0.17,0.53,0.4,227.11,74.54,134.16,0.18,28.31,13-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Jun-2020 - 00:00,7.72,23.19,23.96,2.48,9.73,11.14,4.8,0.81,4.94,1.41,0.41,1.08,0.38,210.14,76.06,167.06,0.12,27.9,14-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Jun-2020 - 00:00,14.73,21.4,7.95,1.47,2.26,3.77,7.97,1.07,4.11,1.04,0.01,0.28,0.38,203.95,73.33,176.64,0.19,28.85,15-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Jun-2020 - 00:00,15.42,24.11,6.24,1.84,2.25,4.14,7.91,0.57,4.28,0.76,0.06,0.24,0.46,202.83,72.31,154.26,0.3,29.4,16-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Jun-2020 - 00:00,14.8,38.04,5.26,2.51,3.46,6.02,7.31,0.67,4.99,0.89,0.07,0.16,0.56,242.63,70.93,203.21,0.29,29.74,17-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Jun-2020 - 00:00,6.65,18.54,4.54,2.24,2.64,4.93,7.64,0.74,4.59,0.86,0.17,0.21,0.59,249.56,68.16,185.67,0.35,29.53,18-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Jun-2020 - 00:00,3.32,9.23,3.82,1.9,4.13,6.07,7.11,0.83,4.0,0.54,0.01,0.02,0.68,281.93,69.14,144.46,0.26,29.13,19-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Jun-2020 - 00:00,12.44,32.13,3.36,1.36,5.56,6.75,6.7,0.83,3.56,0.86,0.07,0.07,0.63,222.12,70.34,190.08,0.29,29.52,20-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Jun-2020 - 00:00,22.28,45.67,3.17,1.44,5.45,6.24,6.83,0.81,2.99,0.76,0.06,0.03,0.66,209.22,68.82,218.04,0.32,30.03,21-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Jun-2020 - 00:00,12.04,28.35,3.08,0.98,6.46,6.76,6.55,0.95,2.81,0.48,0.0,0.0,0.49,245.35,74.2,163.65,0.23,28.76,22-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Jun-2020 - 00:00,18.08,39.81,2.93,1.98,6.28,6.95,6.53,1.05,2.73,0.61,0.03,0.04,0.56,219.09,70.77,218.89,0.24,28.88,23-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Jun-2020 - 00:00,4.0,27.1,2.72,2.14,5.45,6.63,6.78,1.08,3.12,0.68,0.04,0.04,0.63,314.38,65.58,221.09,0.26,29.88,24-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Jun-2020 - 00:00,9.98,25.38,2.66,1.62,5.65,6.91,6.66,1.07,2.83,0.79,0.02,0.13,0.5,229.93,70.32,182.55,0.29,28.94,25-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Jun-2020 - 00:00,9.43,26.92,2.75,2.38,6.76,7.7,6.29,1.13,2.7,0.76,0.21,0.44,0.4,232.48,69.22,200.24,0.31,29.84,26-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Jun-2020 - 00:00,12.42,33.17,2.59,2.09,6.92,7.46,6.38,1.25,2.56,0.68,0.26,0.6,0.35,237.18,73.95,168.62,0.28,29.31,27-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Jun-2020 - 00:00,24.53,35.0,2.62,1.63,6.79,7.47,6.37,1.31,2.59,0.58,0.53,0.86,0.42,198.62,69.94,199.76,0.26,30.02,28-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Jun-2020 - 00:00,13.04,32.37,2.59,1.17,6.88,7.83,6.27,1.42,2.55,0.71,0.48,0.45,0.35,223.51,70.34,154.18,0.29,29.72,29-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Jun-2020 - 00:00,5.0,20.63,2.4,1.65,6.31,7.0,6.72,1.45,2.78,1.3,0.87,1.23,0.43,238.12,74.51,147.58,0.23,28.81,30-Jun-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-Jun-2020 - 00:00,,23.92,2.43,2.28,5.56,6.76,6.7,1.47,2.98,1.25,0.38,0.88,0.34,261.48,75.29,151.09,0.18,28.3,01-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Jul-2020 - 00:00,,12.39,2.43,1.39,4.59,5.84,7.12,1.54,3.15,0.53,0.22,0.34,0.6,269.93,70.91,193.93,0.32,28.98,02-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Jul-2020 - 00:00,,14.24,2.31,1.39,4.58,5.78,7.11,1.58,3.13,0.64,0.11,0.09,0.59,249.17,69.44,204.85,0.35,29.25,03-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Jul-2020 - 00:00,11.33,17.97,2.2,1.55,5.01,5.96,7.01,1.67,3.26,1.02,0.0,0.04,0.51,240.62,73.04,185.93,0.28,28.85,04-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Jul-2020 - 00:00,4.89,8.7,2.23,1.56,5.23,6.18,6.95,1.78,2.96,0.71,0.35,0.16,0.59,285.54,80.24,147.34,0.14,26.99,05-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Jul-2020 - 00:00,3.29,6.79,2.07,1.03,5.61,6.65,6.81,1.86,2.79,0.62,0.03,0.0,0.57,267.67,84.85,59.42,0.08,25.64,06-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Jul-2020 - 00:00,,9.48,2.01,1.75,3.74,5.53,7.3,1.9,3.07,0.32,0.1,0.04,0.82,318.82,81.0,116.17,0.13,26.84,07-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Jul-2020 - 00:00,,10.42,1.83,2.5,2.35,4.89,7.69,1.87,3.53,0.81,0.17,0.07,0.84,228.22,78.02,157.82,0.08,27.63,08-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Jul-2020 - 00:00,7.12,25.65,1.67,1.42,4.33,5.54,7.21,1.92,2.95,0.99,0.33,0.26,0.63,211.41,76.0,190.22,0.11,28.46,09-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Jul-2020 - 00:00,7.14,29.11,1.78,1.35,6.89,7.29,6.39,1.95,2.83,0.81,4.11,3.7,0.61,207.16,74.27,207.92,0.16,28.89,10-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Jul-2020 - 00:00,8.61,29.6,2.3,1.23,7.03,7.41,6.36,1.89,2.88,0.96,6.36,5.35,0.64,194.32,75.49,184.84,0.21,28.48,11-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Jul-2020 - 00:00,14.43,29.46,2.26,1.18,6.57,6.71,6.56,2.02,2.91,1.53,1.33,1.51,0.62,181.99,76.62,174.97,0.15,28.17,12-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Jul-2020 - 00:00,9.17,18.96,2.35,0.19,9.0,8.44,5.78,1.95,2.62,0.98,0.41,0.57,0.43,285.69,83.47,86.32,0.08,25.85,13-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Jul-2020 - 00:00,6.51,18.69,2.18,1.65,7.56,7.88,6.17,1.97,2.92,1.0,0.19,0.5,0.49,271.2,78.2,193.57,0.09,27.33,14-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Jul-2020 - 00:00,4.79,18.05,2.1,1.2,6.44,6.64,6.65,2.07,2.86,0.74,0.5,0.97,0.38,297.6,80.83,106.96,0.12,26.79,15-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Jul-2020 - 00:00,5.16,13.6,2.29,0.73,8.77,8.37,5.99,2.11,2.86,1.05,0.38,0.98,0.35,203.27,83.01,80.59,0.05,26.31,16-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Jul-2020 - 00:00,3.98,9.04,2.25,1.42,4.93,5.46,7.13,2.11,3.06,0.38,0.05,0.15,0.64,320.87,74.22,170.72,0.01,27.76,17-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Jul-2020 - 00:00,4.19,3.9,2.04,1.03,3.5,4.55,7.58,2.07,3.1,0.22,0.05,0.01,0.61,318.07,73.22,189.81,0.08,27.73,18-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Jul-2020 - 00:00,6.94,13.72,1.85,1.1,4.43,5.37,7.2,2.05,3.02,0.48,0.18,0.19,0.6,282.84,72.4,197.42,0.08,28.24,19-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Jul-2020 - 00:00,15.54,25.88,1.62,0.83,5.79,6.15,6.77,2.09,2.93,1.26,0.25,0.33,0.52,175.58,73.07,226.04,0.0,28.92,20-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Jul-2020 - 00:00,13.91,27.8,1.55,1.1,5.72,6.07,6.93,2.07,3.43,1.24,0.26,0.54,0.44,193.87,72.6,224.11,0.0,28.95,21-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Jul-2020 - 00:00,6.91,28.48,1.51,1.23,6.77,6.73,6.5,2.1,3.4,1.15,0.18,0.65,0.4,214.68,72.94,170.69,0.01,28.77,22-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Jul-2020 - 00:00,6.0,29.13,1.69,1.19,7.37,6.78,6.35,2.0,6.54,1.37,0.72,1.33,0.37,210.08,73.85,167.1,0.0,28.48,23-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Jul-2020 - 00:00,5.55,36.67,1.84,1.27,7.59,7.23,6.15,1.95,8.63,1.11,0.59,1.55,0.3,216.12,76.66,158.12,0.01,28.03,24-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Jul-2020 - 00:00,4.05,27.84,1.84,1.07,6.66,6.57,6.51,1.93,9.03,0.7,0.62,1.04,0.34,264.44,75.74,162.89,0.01,27.85,25-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Jul-2020 - 00:00,11.01,33.43,1.64,1.77,6.67,6.48,6.63,1.88,9.79,1.09,0.85,1.23,0.42,231.84,75.15,190.08,0.01,27.67,26-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Jul-2020 - 00:00,11.93,25.22,1.62,1.17,6.92,6.91,6.41,2.03,9.95,0.89,0.61,1.36,0.32,271.2,75.23,216.62,0.01,27.84,27-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Jul-2020 - 00:00,6.49,13.39,1.34,1.51,6.73,6.56,6.53,1.85,9.84,0.77,0.12,0.16,0.43,226.73,76.73,210.17,0.01,27.35,28-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Jul-2020 - 00:00,6.57,10.83,1.36,0.51,9.16,8.57,5.63,1.8,9.45,1.53,0.81,1.49,0.29,281.45,83.95,87.41,0.03,26.34,29-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Jul-2020 - 00:00,3.14,12.23,1.43,0.51,8.51,7.73,5.94,1.77,8.96,0.75,0.76,1.53,0.39,241.93,80.01,129.07,0.0,27.01,30-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-Jul-2020 - 00:00,3.12,19.78,1.37,0.81,6.7,6.25,6.61,1.79,8.47,0.89,0.5,0.91,0.36,215.76,77.05,150.98,0.0,28.02,31-Jul-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
31-Jul-2020 - 00:00,2.11,7.52,1.35,0.58,6.83,6.34,6.55,1.76,5.59,1.4,0.58,1.02,0.35,213.02,76.7,157.61,0.0,28.07,01-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Aug-2020 - 00:00,3.32,12.86,1.26,1.52,5.55,5.61,6.92,1.9,3.94,0.93,0.37,0.69,0.39,228.02,72.25,228.63,0.0,29.01,02-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Aug-2020 - 00:00,10.38,14.51,1.19,1.12,5.47,5.52,6.95,1.91,3.73,0.57,0.16,0.49,0.41,264.02,70.26,239.82,0.0,29.3,03-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Aug-2020 - 00:00,4.09,9.07,1.08,0.45,5.56,5.55,6.92,1.96,3.95,0.32,0.0,0.01,0.55,321.0,79.48,109.83,0.01,26.99,04-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Aug-2020 - 00:00,,19.69,1.13,1.33,5.03,5.5,7.12,1.74,4.09,0.84,0.0,0.0,0.78,245.06,81.55,104.03,0.11,26.46,05-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Aug-2020 - 00:00,16.61,33.68,1.68,2.38,10.5,10.81,4.84,,3.96,2.96,0.63,1.23,0.56,176.74,82.23,93.47,0.02,27.25,06-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Aug-2020 - 00:00,5.69,10.24,1.89,1.02,9.22,8.9,5.62,,4.12,0.79,0.64,0.9,0.4,217.7,82.4,86.61,0.01,26.45,07-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Aug-2020 - 00:00,6.48,27.21,1.76,0.53,4.58,5.01,7.25,,4.39,0.81,0.13,0.01,0.55,231.52,83.79,78.03,0.02,26.63,08-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Aug-2020 - 00:00,4.04,31.37,1.49,0.8,4.52,5.06,7.26,,5.12,0.65,0.0,0.0,0.72,205.99,78.29,170.95,0.0,27.72,09-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Aug-2020 - 00:00,9.86,40.21,1.49,0.23,6.33,5.31,6.89,,5.15,1.28,0.01,0.01,0.51,137.79,78.65,112.33,0.01,27.85,10-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Aug-2020 - 00:00,14.13,30.81,1.41,0.68,7.81,7.47,6.16,,6.08,1.05,0.37,1.13,0.36,210.07,80.87,130.62,0.03,27.35,11-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Aug-2020 - 00:00,6.3,26.15,1.4,0.26,8.09,7.64,6.05,,6.77,1.21,0.06,0.32,0.43,216.35,84.67,62.56,0.04,26.31,12-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Aug-2020 - 00:00,6.9,24.88,3.34,0.67,7.57,7.01,7.22,,6.62,1.22,0.03,0.03,0.55,79.44,85.53,51.97,0.06,25.67,13-Aug-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
